,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,Diagnosis
RNA466_FPKM,0.886025982,0.119464941,0.478384447,0.997939503,5.942857199,0.32756516,0
RNA471_FPKM,0.964663908,0.718221695,0.710259519,0.740784551,5.514506114,0.546959593,0
RNA476_FPKM,0.872077252,0.52903979,0.882812522,0.429716426,4.021470005,0.362556364,0
RNA483_FPKM,1.34423737,0.293521128,0.130624586,1.294459701,4.598183879,0.536663441,0
RNA488_FPKM,0.759050135,0.425009895,0.378281058,1.011084297,3.818249698,0.874083083,0
RNA499_FPKM,1.266165998,0.224800786,0.150088151,0.756509775,2.175055951,0.308194625,0
RNA50_FPKM,0.630332967,0.546238878,0.097256999,0.304236952,0.0,0.748875881,1
RNA504_FPKM,0.832244122,0.40776446,0.596241316,0.581333493,4.025662625,0.559031922,0
RNA519_FPKM,2.92060332,0.0,0.0,0.860612335,6.150229613,0.338923944,0
RNA52_FPKM,0.0,0.0,0.0,1.154845289,0.0,0.0,0
RNA521_FPKM,1.050819321,0.415745373,0.259024604,0.771853105,1.838743762,0.683968194,0
RNA528_FPKM,0.738318364,0.511875918,0.740305433,0.712755965,5.65944605,0.350803282,0
RNA53_FPKM,2.702841973,0.278423767,0.16520782,0.861561599,5.387386707,0.254473335,0
RNA535_FPKM,0.676159717,0.234433507,0.0,0.462370552,0.648027582,0.964041064,1
RNA58_FPKM,1.173101456,0.25111329,0.167680008,0.932624427,10.06688624,0.688696714,0
RNA6_FPKM,0.52797236,0.360328416,0.053471318,0.668975217,4.31588727,0.0,0
RNA60_FPKM,1.146290116,0.36813546,0.218420754,0.797407445,7.462356048,1.514105519,0
RNA62_FPKM,0.823855867,0.374824131,0.16680655,0.405944866,8.979431278,0.513871792,0
RNA63_FPKM,1.55769583,0.436098073,0.145566668,0.657900542,10.54848046,0.0,0
RNA64_FPKM,0.27343685,0.0,0.0,1.462796004,7.947311882,0.0,0
RNA66_FPKM,0.3222805,0.0,0.142360511,0.717704444,3.242456246,0.0,0
RNA67_FPKM,1.510122922,0.122184768,0.92407837,1.615771537,5.064310837,1.172205299,0
RNA69_FPKM,1.101348235,0.229024954,0.203896548,0.531607389,5.3819683,0.313985823,0
RNA7_FPKM,1.200165661,0.242711469,0.323989348,1.436220134,8.720903921,0.0,0
RNA72_FPKM,1.327024351,0.786245873,0.699799992,0.312834692,7.451757837,0.30799921,0
RNA74_FPKM,1.672330668,0.209937553,0.0,0.219211653,0.580315186,0.0,0
RNA75_FPKM,0.9991589,0.0,0.042582313,0.533057276,1.851748897,0.524864733,0
RNA78_FPKM,3.370876561,0.235935514,0.052518351,0.301170234,8.478576715,0.0,1
RNA86_FPKM,2.468060392,0.34114601,0.101212603,0.844462976,5.34335239,0.311800116,1
RNA87_FPKM,1.057796738,0.513352129,0.514040068,0.685045174,4.966378601,0.879785838,0
RNA89_FPKM,0.24321937,0.442576233,0.049250017,0.744725401,2.447024153,1.061923217,0
RNA94_FPKM,0.0,0.0,0.0,4.078568804,9.463389325,0.0,1
RNA95_FPKM,0.885240819,0.358001802,0.584154989,1.163200393,6.927189335,0.327147476,0
RNA97_FPKM,0.772861498,0.562534431,0.751098043,1.33832603,6.998254069,0.0,0
RNA98_FPKM,1.771383658,0.73263279,1.108538619,0.918166418,6.885556953,0.401766369,1
R_JS001_FPKM,1.69194795,1.642218786,1.461585021,2.064381171,15.88742787,1.500952654,1
R_JS002_FPKM,2.211634049,1.704689559,1.475058676,2.022058123,6.020818148,1.687870795,1
R_JS003_FPKM,2.295267131,1.05898844,1.256705045,1.77500516,12.68479297,0.967946823,1
R_JS004_FPKM,1.656461944,1.04344438,1.70275559,1.318529559,7.050723601,1.748465732,1
R_JS005_FPKM,1.533287137,1.819841525,1.619698693,1.604915565,11.06693474,1.49686375,1
R_JS006_FPKM,6.293401501,0.367419661,0.436108343,0.994996438,10.49655605,1.679368821,1
R_JS007_FPKM,1.868147251,0.557311673,0.644858817,1.189987189,3.697567422,0.764056326,1
R_JS008_FPKM,1.42112471,1.640056592,1.515848131,1.903137343,17.43652733,1.210753743,1
R_JS009_FPKM,1.516744354,1.885009249,2.936136462,1.281208968,13.39911104,0.73847655,1
R_JS010_FPKM,1.718749099,0.595751224,1.1931294,1.359668987,11.25377636,0.40844706,1
R_JS011_FPKM,1.439456167,0.564242372,2.833744321,1.814526146,8.689400032,1.104993245,1
R_JS012_FPKM,1.903006248,1.607956078,2.146680604,2.238995196,22.5648227,1.356461162,1
R_JS013_FPKM,2.957603314,0.678890377,0.474742421,1.215389711,7.50617095,0.797792774,1
R_JS014_FPKM,1.824273081,1.743799195,2.62658437,1.681079193,9.640515875,0.643602288,1
R_JS015_FPKM,2.798371832,1.642824307,1.462161034,1.347119751,26.33789461,0.450451826,1
R_JS016_FPKM,1.640320637,0.617646082,1.420111191,1.290054842,17.9259879,0.705644045,1
