,POM121B,MTCO2P11,MTCO1P11,SMG1P6,AC008443.5,RPS10P16,MTCO3P11,VN1R83P,CICP5,AC005682.1,AL022345.3,SEC22B2P,ASLP1,AC094019.2,AL117340.1,OR7E7P,FRG1KP,GUSBP15,PDIA3P2,AC008267.3,AL109840.1,UNC93B8,MTCO1P12,ARHGEF34P,FO538757.1,ENPP7P5,BLZF2P,MTND5P14,AC145285.4,DDX12P,AL353807.3,AL031432.2,AC093162.1,PKD1P1,TMSB4XP2,MTATP6P11,TREML5P,AC099654.2,AL157893.1,AL353743.4,PSPC1P1,AP005018.2,IDSP1,KRT128P,AGAP10P,MSTO2P,Diagnosis
RNA140_FPKM,0.431654078,0.336680171,0.29966298,0.781345841,1.240769937,0.153804209,0.690144601,1.543432696,0.06891902,0.572189043,0.0,8.523413665,0.718814809,0.323422942,0.243988333,0.75406565,0.0,2.008137142,6.278841482,0.428692984,0.852824741,0.541157861,106.8755175,0.151550651,2.008124088,0.073993102,0.135093477,0.18069654,0.211321019,4.143139125,0.426484568,9.809149755,5.961773409,5.43879637,0.363270895,0.569427302,1.19240894,0.231255067,1.181164992,0.887894794,0.57370871,11.41887563,3.85622869,0.063519474,4.260547552,5.447647092,1
RNA145_FPKM,0.649294399,0.0,0.0,0.573384034,2.67242379,1.17810941,0.283151876,0.656564345,0.065952852,0.149393014,0.0,7.903625443,0.4586674,0.0,0.058412458,0.649620803,0.214293211,1.048461006,4.160862357,0.512984717,0.408234553,0.310864613,83.36535388,0.064468476,0.256290468,0.283386163,0.0,0.288275547,0.0,1.982901216,0.320759209,3.660163879,7.885566406,4.2506893,0.695645556,0.0,0.507241552,0.184467232,0.904554594,0.377726094,0.329563236,9.86378318,3.885420403,0.121636609,7.703294047,3.932232702,0
RNA150_FPKM,0.621011874,0.713741259,0.582328165,1.104337401,4.603534409,0.326172081,1.149609091,3.635719245,0.219116955,0.275701009,0.354783667,9.458705726,1.015895461,1.199649857,0.064660812,1.518779039,0.474432118,5.999264355,4.095730433,0.454442,0.903806436,0.803169833,68.04910366,0.196336592,1.135307734,0.235375391,0.644262022,0.255377036,0.672221685,3.897822774,0.32291687,13.92289333,14.36315437,5.729712283,0.0,0.724394114,2.10666959,0.449392645,2.754790825,0.732042317,0.0,12.00606892,4.733181958,0.067352769,7.627678446,5.348725901,1
RNA151_FPKM,0.468880999,1.173258485,0.854392291,0.816876215,2.948256848,0.877320698,0.187378486,0.651955322,0.0,0.148313247,0.0,9.366727495,0.797010442,0.0,0.0,0.143311214,1.063532854,0.867618907,6.426527233,0.101888462,0.405277011,2.263307148,81.36572418,0.01600719,0.0,0.0,0.19254472,0.801413814,0.200954529,0.615272166,0.173713001,3.634370641,4.945146587,2.685859859,0.0,0.974305704,0.629626221,0.183163992,0.224596239,0.37507449,0.0,8.735209157,3.857980296,0.060403485,4.109368875,2.673679979,0
RNA152_FPKM,2.276160637,0.247343175,0.055037094,0.373064389,2.050776385,0.339099514,0.325956122,0.566943906,0.265728068,0.573134712,0.0,8.21747343,0.527939768,0.356341862,0.067223565,1.163216739,0.493235656,3.821936965,4.257495883,0.708554762,0.469813851,0.477017918,111.4377766,0.074205126,1.327686016,0.081568069,0.0,0.0,0.465909581,2.53931363,0.503501804,8.243413885,9.196555804,4.4481466,0.800920756,0.501936764,0.0,0.127419211,1.041169139,0.597857338,0.252922344,15.85493694,5.590586815,0.140044429,9.632283054,6.789573945,0
RNA155_FPKM,0.536905022,0.344872401,0.0,0.666942034,0.635537217,0.157602979,0.0,0.175665343,0.070583366,0.106572703,0.0,3.41036677,0.122717547,0.0,0.0,0.077244148,0.229240697,1.86995786,1.484260968,0.329372518,0.873419862,0.997831642,92.80713709,0.05174608,3.017009329,0.0,0.207533835,0.0,0.433080763,0.901825537,0.24962085,2.213846663,9.659763367,2.80274044,0.0,0.0,1.085590677,0.118441027,1.210078602,0.202123019,0.235100985,10.74556331,4.989279473,0.0,9.083888248,2.881512188,0
RNA165_FPKM,1.703534919,0.775045758,0.919796078,1.019297527,3.213800088,2.479248328,1.021440338,0.789631856,0.158639357,0.299392397,0.385186271,6.28515766,0.965233258,0.0,0.421287862,0.954782373,0.2575439,1.050738387,4.447316805,0.986904572,0.490628323,0.124570879,97.00409482,0.096912764,0.0,0.0,0.233242218,0.623989599,0.24327554,4.172873055,0.210391663,15.50102006,13.47522739,6.195824473,0.418202237,1.442148897,2.440014595,0.266177331,1.359779089,0.794897977,0.0,15.28092981,10.5127168,0.073124454,6.393566413,6.578931927,0
RNA174_FPKM,1.069910716,0.70796928,0.735229502,1.917086631,6.197554241,1.941386667,1.969765302,2.163882667,0.289806773,0.328165719,0.351980027,9.382739077,0.629917159,0.3400485,0.128299674,1.189409215,0.235341484,3.26360052,2.539602725,0.676150436,0.896664202,0.341495515,102.2941708,0.088538665,0.703960054,0.0,0.213056937,0.823345882,0.222303175,2.641219458,0.544584837,11.88793233,16.18555476,6.28508307,0.382149743,1.077870819,1.393098776,0.364734065,0.993825958,0.570572942,0.241357733,14.05733996,6.829195682,0.133641043,6.3717306,6.01006429,1
RNA179_FPKM,1.526482377,0.362387061,0.430009382,1.037149652,10.01599679,1.159099333,2.546722234,0.922766595,0.037084003,0.167977643,0.360267839,10.89350627,0.902532605,0.522083055,0.0,0.811597303,0.48176579,1.768410057,4.678451922,0.346100002,0.458888644,0.349536456,78.93765887,0.072482363,0.432321407,0.159342516,0.508772805,0.907518973,0.0,1.588571911,0.19671545,12.70446179,14.46634249,4.35700776,0.782295879,0.735480898,2.709256727,0.165904074,0.508613419,0.79635915,0.247040804,7.69357684,12.23239456,0.0,8.933241453,3.027673273,0
RNA18_FPKM,0.0,0.483757849,0.645922955,1.712326375,11.70181271,0.0,0.956433901,1.108955366,0.148512567,0.0,0.360810967,10.19119852,0.258288541,0.0,0.0,1.300321752,3.618079112,0.0,0.0,0.0,0.459580449,0.816666721,53.57033134,0.0,1.010087787,0.0,0.0,0.064928887,0.455761221,2.00944067,0.03284028,1.791809313,9.813624901,0.991089845,0.391737621,0.859328415,0.0,0.498469836,0.0,1.701328694,0.0,5.002932973,1.093670844,0.0,11.73508998,1.876948817,1
