,POM121B,MTCO2P11,MTCO1P11,Diagnosis
RNA1_FPKM,0.770349361,1.168268791,0.207964078,0
RNA102_FPKM,1.918307217,0.554171502,0.591824039,1
RNA104_FPKM,1.345953513,1.088638871,0.726709194,0
RNA108_FPKM,1.137120393,0.47297502,0.526240621,0
RNA110_FPKM,0.394545417,0.0,0.0,0
RNA114_FPKM,0.904695279,0.205825479,0.091597726,0
RNA115_FPKM,0.441099725,0.114733069,0.0,0
RNA116_FPKM,0.802709618,0.818045783,0.208045097,0
RNA126_FPKM,0.421305637,0.589832385,0.682415872,0
RNA132_FPKM,1.079511708,1.386682469,1.028554815,0
RNA140_FPKM,0.431654078,0.336680171,0.29966298,1
RNA145_FPKM,0.649294399,0.0,0.0,0
RNA150_FPKM,0.621011874,0.713741259,0.582328165,1
RNA151_FPKM,0.468880999,1.173258485,0.854392291,0
RNA152_FPKM,2.276160637,0.247343175,0.055037094,0
RNA155_FPKM,0.536905022,0.344872401,0.0,0
RNA165_FPKM,1.703534919,0.775045758,0.919796078,0
RNA174_FPKM,1.069910716,0.70796928,0.735229502,1
RNA179_FPKM,1.526482377,0.362387061,0.430009382,0
RNA18_FPKM,0.0,0.483757849,0.645922955,1
RNA185_FPKM,1.423715349,0.575809842,0.614944207,1
RNA2_FPKM,1.09827531,1.293249825,0.732487582,0
RNA201_FPKM,0.841135483,0.191292387,0.170305164,1
RNA205_FPKM,0.434891891,0.121768413,0.216760526,0
RNA209_FPKM,1.435357914,0.127459523,0.79387163,0
RNA213_FPKM,0.570586977,0.692218445,0.0,0
RNA219_FPKM,0.725017552,0.35984327,0.106759783,0
RNA23_FPKM,0.903934861,2.350040736,0.784387794,1
RNA246_FPKM,0.883574174,0.622479317,0.507826302,1
RNA253_FPKM,1.278182839,0.59646266,0.318507641,1
RNA26_FPKM,2.21546408,0.251988676,0.616778567,0
RNA277_FPKM,1.138359941,0.285812478,0.0,0
RNA288_FPKM,1.009428646,0.111310806,0.247737986,0
RNA29_FPKM,0.773124875,0.0,0.0,0
