,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-10b-3p,hsa-miR-1183,hsa-miR-1224-3p,hsa-miR-1227-5p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-2909,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3148,hsa-miR-3150a-5p,hsa-miR-3614-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-369-3p,hsa-miR-3692-5p,hsa-miR-4280,hsa-miR-4295,hsa-miR-4448,hsa-miR-4505,hsa-miR-4507,hsa-miR-450b-3p,hsa-miR-4526,hsa-miR-4540,hsa-miR-4655-5p,hsa-miR-4657,hsa-miR-4699-5p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-5002-3p,hsa-miR-500a-5p,hsa-miR-502-5p,hsa-miR-518a-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-5197-3p,hsa-miR-548f-5p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-5585-5p,hsa-miR-559,hsa-miR-561-5p,hsa-miR-579-5p,hsa-miR-626,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6762-5p,hsa-miR-6764-5p,hsa-miR-6767-3p,hsa-miR-6771-5p,hsa-miR-6775-5p,hsa-miR-6799-3p,hsa-miR-6849-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6888-3p,hsa-miR-7108-3p,hsa-miR-7109-3p,hsa-miR-7111-3p,hsa-miR-7704,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_31,1427316.47,1174.5,134636.83,9.0,3.0,0.0,47.0,0.0,302.0,16.0,1749.5,14831.0,56916.75,56.0,1126.67,11.5,140.0,3832.0,570902.48,0.0,7.0,112473.34,1.0,4.0,2.0,30.0,0.0,1488.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.5,0.0,0.0,2.0,1.0,9.0,1.0,27.0,2281.83,0.0,67.5,16.0,1.16,12.0,2.0,0.0,0.0,0.0,10.5,2.08,0.25,0.0,17.0,11.0,0.0,9.0,12.0,2.0,18.0,0.0,1.0,0.0,2.0,1.0,1.5,53.67,41.0,3.0,0.0,0.0,0.0,7.67,14.75,368.0,28221.66,225.0,12944.33,0
sample_32,694334.55,467.75,64745.75,13.0,0.0,0.0,17.0,0.0,213.67,4.0,1008.84,8812.83,41984.83,9.0,602.5,8.0,84.0,2064.0,359765.48,0.0,4.0,63475.66,1.0,3.0,0.0,9.0,0.0,833.75,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,429.25,0.0,36.0,9.0,0.66,3.0,2.0,0.0,0.0,0.0,10.83,1.66,0.0,0.0,8.0,12.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,3.0,0.0,0.0,0.0,3.67,9.0,214.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,581.5,84306.08,32.0,2.0,0.0,94.0,0.0,187.5,8.0,990.16,6194.83,63788.92,13.0,722.5,15.5,57.5,1761.5,357101.16,0.0,3.5,66189.66,0.0,1.5,0.0,8.0,0.0,926.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,6.0,4.0,46.0,397.5,0.0,16.0,4.0,0.0,10.0,2.0,1.0,0.0,0.0,12.0,3.0,1.0,0.0,9.5,6.0,0.0,6.0,3.33,2.0,26.0,0.0,0.0,0.0,0.0,0.0,2.5,68.17,54.0,0.0,0.0,0.0,1.0,8.33,20.0,182.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,11.0,1.0,0.0,17.5,0.0,235.0,17.0,1039.5,6658.75,54646.0,12.0,569.0,11.0,101.0,1858.5,391132.32,0.0,4.5,54513.0,0.0,2.5,0.0,8.0,0.0,2216.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.5,1.0,10.0,4.0,36.0,1786.42,0.0,32.5,12.0,0.0,6.0,6.0,0.0,0.0,0.0,7.0,3.16,0.0,0.0,8.5,15.0,0.0,6.0,2.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,2.0,118.33,50.0,6.0,0.0,1.0,1.0,8.33,4.0,214.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,13.0,1.0,0.0,66.08,0.0,259.0,11.0,2416.16,12640.08,64480.33,6.0,1050.83,13.5,156.0,2916.58,404816.66,0.0,4.5,126423.84,0.0,1.0,0.0,2.0,0.0,1633.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,0.0,1.0,0.0,3.0,4.0,28.0,1035.5,0.0,44.0,11.0,0.66,7.0,4.0,0.0,0.0,0.0,11.0,2.34,0.0,1.0,16.5,13.0,0.0,13.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.83,140.67,33.0,2.0,2.0,3.0,0.0,8.33,18.0,297.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,1405.25,105970.83,7.0,1.0,0.0,96.5,0.0,238.5,6.0,2212.0,15167.25,58104.92,9.0,1120.5,19.0,102.0,1487.0,411492.66,0.0,7.5,144325.84,0.0,1.5,0.0,4.0,0.0,1592.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,4.0,26.0,402.92,0.0,51.0,14.0,0.66,7.5,2.0,0.0,0.0,1.0,10.33,3.5,0.0,0.0,19.5,7.0,0.0,9.0,4.0,2.0,24.0,1.0,0.0,0.0,0.0,1.0,1.75,136.17,54.0,2.0,0.0,2.0,0.5,5.33,16.25,293.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,603.75,244416.25,17.0,2.0,0.0,16.0,0.0,473.0,39.0,1159.84,11484.92,40491.83,97.0,1538.0,9.5,150.5,2971.0,957376.32,0.0,13.5,89330.34,1.0,3.0,0.0,0.0,0.0,2243.83,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.5,0.0,0.0,1.0,2.0,3.0,1.0,49.0,2083.0,0.0,102.75,25.0,0.0,3.5,5.5,0.0,0.0,0.0,0.0,0.92,0.0,0.0,10.5,7.0,0.0,20.0,14.92,0.0,20.0,0.0,0.0,0.0,2.0,0.0,2.0,49.67,20.0,10.0,0.0,1.0,1.0,11.0,8.0,450.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,554.25,245438.83,32.0,1.0,0.0,48.5,0.0,603.83,35.0,849.0,10304.33,46535.25,337.5,2290.83,13.0,209.5,3650.33,1073443.82,0.0,14.5,74905.5,2.0,4.5,0.0,7.0,0.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.5,10.0,2.0,47.0,4606.33,2.0,117.25,21.0,0.0,2.0,2.0,0.0,0.0,0.0,8.0,3.16,0.5,0.0,10.5,4.0,0.0,10.0,6.25,0.0,24.0,0.0,0.0,0.0,1.0,1.0,3.5,130.33,39.0,13.0,1.0,0.0,0.0,16.33,45.25,324.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,500.5,246570.5,29.0,0.0,0.0,19.0,0.0,442.0,53.0,667.5,7581.5,40677.33,57.0,1520.5,7.0,121.0,4792.75,842892.98,0.0,8.0,62701.16,1.0,3.5,0.0,2.0,0.0,1646.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,53.5,3614.92,0.0,74.75,27.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,1.34,0.0,0.0,13.0,5.0,0.0,7.0,15.33,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,40.33,29.0,11.0,0.0,1.0,1.0,8.67,20.83,386.0,53491.0,359.0,12428.67,0
sample_40,994403.21,776.5,83164.17,221.0,0.0,0.0,34.0,0.0,205.0,22.0,1646.66,9979.0,47465.92,3.0,724.0,13.0,63.0,1692.5,362781.0,0.0,4.5,98775.0,2.0,1.5,0.0,3.0,0.0,1441.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,454.67,0.0,35.0,6.0,0.0,7.0,2.0,0.0,0.0,0.0,6.0,1.16,0.0,0.0,10.5,4.0,0.0,9.0,0.0,1.0,8.5,0.0,0.0,0.0,2.0,0.0,2.0,53.67,27.0,2.0,0.0,0.0,0.0,7.67,12.0,211.0,17461.16,137.5,12546.17,0
sample_41,1278626.4,1018.5,98027.42,31.0,5.0,0.0,193.5,0.0,248.83,6.0,2256.66,9690.25,59583.92,75.0,1624.17,12.0,126.5,1783.5,490505.32,0.0,6.0,91859.84,0.0,1.0,0.0,16.0,0.0,1642.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,9.0,3.0,26.0,575.83,1.0,45.5,19.0,0.66,7.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,6.0,8.0,0.0,14.0,5.33,2.0,33.0,0.0,0.0,0.0,3.0,0.0,4.5,136.83,39.0,6.0,1.0,2.0,0.0,14.0,41.5,515.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,1134.5,115119.67,16.5,3.0,0.0,111.0,0.0,307.83,6.0,4022.66,13341.0,74609.25,17.0,1450.67,17.5,174.0,2015.83,609860.14,0.0,9.5,132917.5,0.0,2.5,0.0,13.0,0.0,1855.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,1.0,1.0,10.5,6.0,39.0,942.42,2.0,44.83,14.33,0.0,5.0,3.0,2.0,0.0,0.0,4.5,2.5,2.0,0.0,18.5,10.0,0.0,10.0,9.33,2.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,163.17,35.0,3.0,0.0,2.0,4.0,15.33,26.33,533.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,832.75,92052.42,12.0,1.0,0.0,139.5,0.0,264.0,6.0,2307.84,9898.83,66674.75,271.0,1009.67,20.0,73.5,1589.0,474958.48,0.0,9.5,108196.0,2.0,2.0,0.0,5.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,6.0,24.0,328.17,0.0,36.5,15.0,0.66,13.5,11.5,2.0,0.0,1.0,4.0,2.16,1.0,0.0,12.5,7.0,0.0,12.0,9.0,1.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,153.33,60.0,2.0,0.0,1.0,0.5,5.67,19.5,319.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,406.0,113001.58,26.0,2.0,0.0,57.0,0.0,488.33,25.0,839.84,6210.17,43090.58,7.0,1633.83,14.5,138.0,4906.08,837761.98,0.0,11.75,53443.84,0.0,2.0,0.0,4.0,0.0,1754.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.33,0.0,0.0,7.0,0.0,37.0,2470.83,0.0,74.08,36.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.58,0.0,0.0,11.0,10.0,0.0,4.0,9.67,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,58.83,24.0,11.0,1.0,1.0,1.0,6.67,34.58,272.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,1471.75,84586.67,162.0,1.0,0.0,152.25,0.0,243.83,5.0,2722.0,10929.0,62306.58,18.0,1436.0,4.0,146.0,1836.0,482796.98,0.0,7.0,131275.0,0.0,3.0,0.0,6.0,0.0,1707.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,4.0,5.0,35.0,382.67,0.0,42.83,12.33,0.0,11.0,8.0,1.0,0.0,0.0,7.0,2.5,0.0,0.0,18.0,6.0,0.0,10.0,2.33,2.0,30.0,0.0,0.0,0.0,0.0,0.0,2.25,1.0,52.0,6.0,1.0,1.0,2.0,5.0,27.0,445.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,801.0,103398.58,6.0,0.0,0.0,50.75,0.0,362.83,12.0,2235.5,12841.75,62941.58,13.5,1008.08,10.0,118.5,2199.0,589243.32,0.0,8.5,110661.5,0.0,2.0,0.0,5.0,0.0,1681.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,31.0,518.25,1.0,58.0,17.0,0.0,9.0,2.0,0.0,0.0,0.0,10.5,1.84,1.0,0.0,7.0,12.0,0.0,5.0,17.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,44.0,2.0,1.0,1.0,0.0,3.67,14.0,404.5,16788.0,212.0,15612.33,1
sample_48,1476603.36,930.0,97773.33,37.0,1.0,0.0,51.5,0.0,487.17,13.0,2228.5,13941.17,75057.92,46.5,1389.83,13.33,87.0,2204.0,739304.32,0.0,4.5,115364.84,0.0,2.0,2.0,9.0,0.0,1241.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,12.0,2.0,18.0,584.17,0.0,77.5,21.0,0.0,9.0,8.0,0.0,0.0,0.0,7.83,2.24,0.5,0.0,10.5,7.0,0.0,7.0,11.67,2.0,22.0,0.0,0.0,0.0,1.0,0.0,2.33,76.0,32.0,2.0,0.0,0.0,1.0,5.67,27.25,447.0,23338.0,229.0,17069.25,1
sample_49,1496229.11,1996.75,133960.42,8.0,2.0,0.0,72.75,0.0,352.0,11.0,4715.84,23031.92,98125.08,50.0,1126.0,13.5,89.0,4428.25,784251.64,0.0,16.0,243959.0,0.0,3.5,0.0,8.0,0.0,2368.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,1.0,6.0,3.0,47.0,398.25,0.0,81.67,27.67,0.66,21.33,12.0,0.0,0.0,1.0,9.0,2.66,0.0,0.0,15.5,8.0,0.0,24.0,12.58,2.0,18.0,1.0,0.0,0.0,1.0,0.0,1.5,90.83,58.0,1.0,0.0,1.0,1.0,5.67,22.83,540.0,16050.0,210.5,23485.33,1
sample_50,1028619.51,1840.25,89313.92,12.0,1.0,0.0,84.0,0.0,293.0,6.0,5133.16,21848.42,91983.42,15.0,993.67,15.0,139.0,1934.5,569870.48,0.0,7.08,250847.16,0.0,2.0,0.0,6.0,0.0,2413.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,9.0,0.0,0.0,1.0,0.0,4.0,0.0,18.0,241.33,0.0,54.25,21.0,2.0,58.5,22.0,1.0,0.0,0.0,12.5,6.42,0.0,0.0,18.0,9.0,0.0,16.0,13.0,2.0,24.0,0.0,0.0,0.0,1.0,0.0,1.33,71.67,57.0,3.0,0.0,2.0,0.0,5.0,24.33,394.0,16872.34,193.5,21787.5,1
sample_51,1344007.7,2147.25,110700.83,19.0,0.0,0.0,75.0,0.0,281.5,6.0,3367.5,22149.08,91532.0,60.5,1288.0,16.5,182.5,2814.33,614604.82,0.0,9.0,227498.5,0.0,2.0,0.0,24.0,0.0,2734.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.5,6.0,3.0,39.0,379.92,2.0,70.0,15.0,0.0,7.0,2.0,0.0,0.0,1.0,15.5,4.92,1.5,0.0,21.5,8.0,0.0,22.0,8.0,1.0,21.0,0.0,0.0,1.0,1.0,1.0,2.5,167.33,54.0,2.0,0.0,0.0,0.0,7.33,36.25,468.0,27620.66,209.5,22545.83,1
sample_52,1121914.44,1744.75,102896.92,6.0,0.0,0.0,65.5,0.0,311.67,6.0,2728.0,20510.25,87707.5,10.0,1322.5,9.0,144.5,2301.0,556982.32,0.0,7.5,210166.16,0.0,3.0,0.0,11.0,0.0,2546.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,11.0,2.0,27.0,340.42,0.0,55.75,13.25,1.34,4.5,5.0,0.0,0.0,0.0,18.0,2.92,0.0,0.0,27.0,8.0,0.0,12.0,4.0,3.0,12.0,0.0,0.0,0.0,2.0,0.0,0.83,166.0,65.0,1.0,0.0,1.0,1.0,6.67,32.83,365.0,24152.16,182.0,22286.58,1
sample_53,1079424.0,1153.0,89192.83,6.0,2.0,0.0,59.83,0.0,237.83,5.0,2308.84,14456.75,68632.92,32.0,851.5,13.0,63.0,1427.5,430519.98,0.0,5.5,153877.34,0.0,2.0,0.0,15.0,0.0,1518.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.0,0.0,0.0,2.0,1.0,9.0,1.0,34.0,238.0,0.0,42.25,14.25,0.0,19.0,7.0,0.0,0.0,0.0,3.83,4.08,1.0,0.0,22.5,10.0,0.0,14.0,2.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,2.5,134.17,48.0,4.0,0.0,3.0,0.0,4.67,11.75,265.0,18400.5,129.0,18084.0,1
sample_54,1176624.79,1043.25,100762.75,10.0,1.0,0.0,47.5,0.0,316.5,6.0,1617.0,13652.58,69539.92,6.0,1023.5,10.0,118.5,2444.0,441853.16,0.0,7.5,132932.0,0.0,2.0,0.0,1.0,0.0,1612.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,6.0,3.0,17.0,547.42,0.0,39.0,13.0,0.66,2.0,3.0,0.0,0.0,0.0,15.0,2.08,0.0,0.0,13.0,6.0,0.0,8.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.25,61.17,24.0,2.0,0.0,1.0,0.0,5.0,24.25,312.0,23417.34,169.5,13165.58,1
sample_55,1522291.84,907.0,128788.17,17.0,0.0,0.0,72.25,0.0,322.5,11.0,2305.34,14528.92,63774.58,12.0,1044.0,21.0,142.0,2243.0,612820.66,0.0,6.5,134380.5,0.0,4.0,1.0,7.0,0.0,2350.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,7.0,5.0,44.0,783.75,2.0,50.5,21.0,0.66,13.0,5.0,0.0,0.0,0.0,11.33,1.5,0.5,0.0,15.0,17.0,0.0,12.0,8.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,86.67,69.0,7.0,1.0,3.0,0.0,7.33,24.5,308.0,25982.16,203.0,19514.58,1
sample_56,1310055.5,448.0,103765.5,140.0,1.0,0.0,32.0,0.0,214.33,4.0,771.0,5185.25,34590.5,14.0,916.0,6.5,87.5,1759.0,369774.32,0.0,5.75,56956.0,0.0,3.5,0.0,4.0,0.0,755.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,21.0,903.67,1.0,27.58,5.33,0.0,3.0,0.0,0.0,0.0,0.0,4.5,2.16,0.0,0.0,2.0,6.0,0.0,8.0,3.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,32.0,3.0,0.0,4.0,0.0,5.0,10.5,211.0,17262.66,130.0,9570.67,1
sample_57,1104968.79,1227.25,92659.0,6.0,0.0,0.0,72.5,0.0,273.0,6.0,2293.0,16353.83,84059.42,8.0,1116.83,8.5,103.0,2364.5,490719.82,0.0,6.92,159639.91,0.0,5.0,1.5,0.0,0.0,1946.83,0.0,0.0,0.0,0.0,0.0,0.0,1.67,10.0,0.0,0.0,0.0,2.0,9.0,5.0,35.5,372.0,1.0,49.33,10.0,0.66,8.5,2.5,2.0,0.0,0.0,14.08,2.0,0.0,0.0,13.5,9.0,0.0,10.0,7.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,55.0,3.0,1.0,0.0,1.0,1.67,20.33,367.0,22627.34,211.0,20119.0,1
sample_58,1474627.31,424.25,144728.08,23.0,4.0,0.0,29.33,0.0,406.67,17.0,915.16,6180.83,40979.83,35.16,1443.5,4.0,147.5,2864.33,740705.16,0.0,11.5,60244.34,0.0,1.0,1.0,1.0,0.0,1489.83,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.5,0.0,1.0,0.0,1.0,3.0,2.0,37.0,4515.25,0.0,93.75,23.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.16,0.0,0.0,4.0,7.0,0.0,5.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,3.33,60.33,19.0,1.0,0.0,1.0,3.0,14.0,33.25,203.0,63088.34,256.0,9397.75,1
sample_59,1451569.61,594.5,162802.5,26.0,0.0,0.0,28.5,0.0,482.17,15.0,1219.16,11291.0,49564.58,22.0,1617.0,14.0,282.5,5952.83,984079.48,0.0,19.17,105114.5,0.0,4.0,1.0,20.0,0.0,1940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0,4.0,2.0,24.0,4133.25,1.0,158.83,22.33,0.0,2.0,1.0,0.0,0.0,0.0,8.0,2.16,0.0,0.0,6.0,18.0,0.0,13.0,7.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,66.83,19.0,4.0,0.0,1.0,0.0,10.33,32.0,397.0,53882.34,435.0,11709.0,1
sample_60,1335679.22,1198.0,108961.92,16.0,0.0,0.0,35.5,0.0,270.5,6.0,3054.84,16310.08,82252.08,14.0,811.75,14.0,103.5,2461.5,492615.48,0.0,3.5,161667.66,0.0,3.5,1.0,19.5,0.0,1934.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.5,0.0,0.0,0.0,0.0,7.0,5.0,39.0,347.5,1.0,41.5,16.0,1.34,26.0,2.5,0.0,0.0,0.0,18.5,3.66,0.25,0.0,11.5,4.0,0.0,17.0,4.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5,78.33,84.5,3.0,0.0,4.0,1.0,3.67,16.0,360.0,23178.84,179.5,24445.42,1
sample_61,985183.4,1022.5,86326.17,24.0,3.0,0.0,33.5,0.0,336.5,5.0,3364.34,16550.75,60204.42,115.0,1129.5,9.5,66.0,1619.5,498263.66,0.0,9.5,116369.16,0.0,3.0,2.0,23.0,0.0,1514.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,4.0,2.0,37.0,356.17,1.0,48.33,18.33,0.66,4.5,4.5,1.0,0.0,0.0,10.5,3.16,0.0,0.0,16.5,8.0,0.0,14.0,13.67,0.0,9.0,0.0,1.0,0.0,0.0,0.0,4.5,117.0,31.0,0.0,1.0,3.0,0.0,3.67,10.5,408.0,13308.66,182.0,16388.25,1
sample_62,2234116.69,1298.25,227063.58,379.0,4.0,0.0,32.5,0.0,912.17,15.0,2544.16,21933.58,106888.58,39.5,1961.0,12.0,175.5,7077.33,1301247.14,0.0,25.0,191776.34,0.0,4.5,2.0,9.0,0.0,7409.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,13.0,1.0,64.0,5341.5,1.0,205.42,50.58,1.34,17.5,11.0,0.0,0.0,2.0,21.0,4.08,0.25,0.0,15.0,18.0,0.0,14.0,9.33,0.0,36.5,0.0,0.0,0.0,4.0,1.0,4.5,1.0,44.0,6.0,0.0,1.0,1.0,7.67,21.5,618.0,89474.66,505.5,23711.08,1
sample_63,1790417.32,1019.0,161597.08,65.0,2.0,0.0,121.5,0.0,476.0,15.0,3657.5,15210.33,72288.5,274.0,1635.5,10.0,138.5,3983.5,825674.48,0.0,14.5,135393.41,0.0,3.0,0.0,11.0,0.0,2732.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0,3.0,2.0,38.0,1577.67,2.0,89.17,21.0,0.0,23.0,8.0,1.0,0.0,0.0,10.5,4.34,1.0,0.0,22.5,12.0,0.0,17.0,33.33,1.0,19.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,64.0,9.0,0.0,1.0,2.0,7.0,24.5,628.0,19473.66,276.0,23234.08,1
sample_64,968845.91,946.5,90085.92,39.0,4.0,0.0,27.0,0.0,238.0,3.0,1268.84,10552.25,43438.75,74.5,756.5,13.5,73.0,1903.0,432294.82,0.0,9.67,103282.5,0.0,1.5,0.0,18.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,17.0,385.42,0.0,42.5,22.0,0.66,11.0,3.0,0.0,0.0,0.0,7.0,2.66,0.0,0.0,10.5,10.0,0.0,14.0,7.33,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.5,0.0,32.0,0.0,0.0,2.0,0.0,1.67,12.75,277.0,13901.0,149.0,11248.42,1
sample_65,1565912.63,1815.5,138807.33,104.0,1.0,0.0,107.25,0.0,305.5,4.0,5176.84,21874.67,85743.42,59.5,1337.0,21.0,149.5,2454.5,759803.3,0.0,16.5,225268.34,0.0,3.5,0.0,22.0,0.0,2739.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.5,0.0,0.0,0.0,1.0,8.0,1.0,46.0,528.5,1.0,82.83,23.33,1.34,36.33,15.33,1.0,0.0,1.0,16.5,4.84,0.0,1.0,31.5,8.0,0.0,20.0,12.33,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,76.0,7.0,2.0,2.0,2.0,5.33,24.75,682.0,21177.34,253.0,24123.5,1
sample_66,1288898.64,1205.0,126066.58,11.0,1.0,0.0,42.5,0.0,258.83,15.0,4301.0,19007.67,76570.5,32.5,896.83,12.0,133.5,2941.0,665104.48,0.0,12.5,178223.25,0.0,3.5,0.0,11.0,0.0,2582.5,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,6.0,1.0,28.0,496.25,1.0,56.58,20.0,0.66,20.5,8.5,0.0,0.0,0.0,11.0,4.08,0.0,0.0,23.5,7.0,0.0,14.0,11.58,4.0,15.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,56.0,4.0,0.0,2.0,0.0,2.67,15.5,467.0,14586.16,180.0,19645.33,1
sample_67,1680546.84,547.25,198004.92,18.0,3.0,0.0,54.5,0.0,767.5,24.0,1172.5,10132.67,49820.67,53.5,2720.0,14.0,136.0,7154.67,1244477.32,0.0,14.75,78987.84,0.0,4.0,1.0,8.0,0.0,1681.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,4.0,3.0,3.0,48.0,3727.92,0.0,194.25,38.0,0.66,3.0,4.0,2.0,0.0,0.0,6.5,3.58,1.0,0.0,8.0,8.0,0.0,9.0,8.67,1.5,18.0,0.0,0.0,0.0,0.0,1.0,4.5,148.5,25.0,7.0,0.0,1.0,1.0,8.67,22.0,515.0,54735.16,576.0,14373.42,1
sample_68,987628.61,1260.25,92468.92,7.0,4.0,0.0,82.0,0.0,226.5,6.0,2998.0,10102.08,68848.33,99.0,942.5,12.0,66.5,1776.0,449262.98,0.0,9.5,131292.66,0.0,2.0,1.0,11.0,0.0,1883.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,18.0,388.0,0.0,52.0,19.0,1.34,20.0,4.0,1.0,0.0,1.0,13.5,2.16,0.0,0.0,15.5,10.0,0.0,5.0,6.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,30.0,3.0,0.0,2.0,0.0,2.33,18.5,470.0,10974.0,161.0,14424.67,1
