,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-10b-3p,hsa-miR-1183,hsa-miR-1224-3p,hsa-miR-1227-5p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-2909,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3148,hsa-miR-3150a-5p,hsa-miR-3614-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-369-3p,hsa-miR-3692-5p,hsa-miR-4280,hsa-miR-4295,hsa-miR-4448,hsa-miR-4505,hsa-miR-4507,hsa-miR-450b-3p,hsa-miR-4526,hsa-miR-4540,hsa-miR-4655-5p,hsa-miR-4657,hsa-miR-4699-5p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-5002-3p,hsa-miR-500a-5p,hsa-miR-502-5p,hsa-miR-518a-5p,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-5197-3p,hsa-miR-548f-5p,hsa-miR-548m,hsa-miR-550a-5p,hsa-miR-5585-5p,hsa-miR-559,hsa-miR-561-5p,hsa-miR-579-5p,hsa-miR-626,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6762-5p,hsa-miR-6764-5p,hsa-miR-6767-3p,hsa-miR-6771-5p,hsa-miR-6775-5p,hsa-miR-6799-3p,hsa-miR-6849-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6874-3p,hsa-miR-6888-3p,hsa-miR-7108-3p,hsa-miR-7109-3p,hsa-miR-7111-3p,hsa-miR-7704,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,1489.25,89385.83,14.0,1.0,0.0,99.5,0.0,176.0,10.0,3000.66,18010.17,72254.67,8.5,1347.83,15.0,179.5,3754.0,480627.32,0.0,11.5,172346.34,0.0,4.0,0.0,2.0,0.0,3089.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,9.0,3.0,15.0,657.08,0.0,80.08,27.58,0.0,15.0,6.0,0.0,0.0,0.0,11.0,2.34,1.0,0.0,18.0,13.0,0.0,10.0,3.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,2.08,172.17,45.5,7.0,0.0,1.0,2.0,2.33,53.0,412.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,1439.0,95560.5,18.0,0.0,0.0,61.0,0.0,224.5,12.0,1916.84,16225.0,70021.42,13.0,1526.0,12.0,217.0,3708.75,427882.82,0.0,5.75,148707.41,0.0,4.0,0.0,7.0,0.0,2135.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,2.0,30.0,664.08,1.0,55.0,22.0,0.66,6.0,6.0,0.0,0.0,0.0,10.5,2.24,0.0,0.0,8.5,11.0,0.0,11.0,1.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.75,118.0,48.0,2.0,0.0,3.0,0.0,5.33,46.25,214.0,45909.0,312.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,7.0,0.0,0.0,50.75,0.0,246.5,9.0,1852.0,17954.92,71387.08,7.5,1201.83,17.0,151.0,7021.0,406255.16,0.0,6.0,134614.67,0.0,4.5,1.0,2.0,0.0,1834.58,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,30.0,654.67,0.0,48.58,8.33,3.34,14.0,7.0,0.0,0.0,1.0,8.0,2.0,1.0,0.0,9.5,14.0,0.0,7.0,6.0,3.0,22.0,0.0,0.0,0.0,1.0,1.0,1.5,56.0,46.0,4.0,0.0,3.0,2.0,8.33,25.75,345.0,26757.5,236.0,17101.92,0
sample_14,998615.48,1523.5,104944.25,9.0,0.0,0.0,123.0,0.0,206.5,16.0,1024.0,12357.17,55595.0,30.0,1962.67,8.0,155.5,1906.0,415483.32,0.0,4.5,114161.91,4.0,3.5,0.0,4.0,0.0,1551.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,11.0,3.0,21.0,894.17,1.0,66.42,12.0,2.34,10.5,7.5,1.0,0.0,0.0,29.0,4.0,0.0,0.0,9.0,5.0,0.0,6.0,6.33,3.0,30.0,0.0,0.0,0.0,1.0,0.0,3.5,115.17,35.0,2.5,0.0,3.0,1.0,9.33,48.5,433.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,11.0,2.0,0.0,87.0,0.0,465.33,39.0,529.5,6769.67,37588.5,27.0,2339.67,18.0,175.5,5549.33,762730.98,0.0,8.75,58985.34,0.0,1.5,0.0,21.0,0.0,1301.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.0,0.0,0.0,0.0,1.0,6.0,2.0,31.0,3866.75,1.0,109.58,23.0,0.0,2.0,1.0,1.0,0.0,0.0,11.5,4.0,0.0,0.0,4.0,10.0,0.0,7.0,7.33,1.0,18.0,0.0,0.0,0.0,1.0,0.0,4.0,54.83,28.0,7.0,0.0,1.0,2.0,15.33,65.08,360.0,59470.0,328.0,9118.58,0
sample_16,975637.65,1309.0,72512.67,8.0,0.0,0.0,145.0,0.0,263.33,11.0,2591.66,16945.92,70223.0,4.0,1653.83,14.0,122.5,3136.5,510676.98,0.0,4.17,131022.0,0.0,1.5,0.0,8.0,0.0,1943.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,3.0,3.0,23.0,799.67,0.0,70.5,25.0,2.66,18.5,7.0,0.0,0.0,0.0,19.5,3.5,0.0,0.0,13.5,4.0,0.0,16.0,5.0,0.0,18.0,0.0,0.0,0.0,1.0,1.0,3.0,82.33,38.0,2.0,1.0,4.0,4.0,3.33,52.25,492.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,1462.75,94602.33,8.0,0.0,0.0,161.0,0.0,218.0,7.0,1744.5,14944.0,76559.25,61.0,1884.5,8.0,113.0,4469.83,483656.82,0.0,10.0,155544.34,0.0,4.5,0.0,7.0,0.0,2210.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,5.0,4.0,40.0,875.17,1.0,64.17,17.33,1.16,8.0,4.0,1.0,0.0,1.0,33.0,2.34,0.0,0.0,13.0,4.0,0.0,9.0,7.0,7.0,21.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,59.5,4.0,2.0,2.0,0.0,8.0,66.33,351.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,27.0,1.0,0.0,47.5,0.0,215.0,20.0,3075.66,18997.0,70163.83,47.5,1120.0,11.0,174.0,2972.5,422444.98,0.0,8.5,169352.59,1.0,1.0,0.0,11.0,0.0,3136.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,4.0,54.0,410.83,2.0,55.5,26.0,0.0,15.5,3.5,0.0,0.0,2.0,8.0,1.84,0.0,0.5,10.0,4.0,0.0,16.0,7.33,0.0,22.0,0.0,0.0,0.0,1.0,0.0,2.5,154.0,66.0,4.0,0.0,3.0,0.0,3.67,21.0,301.0,27854.0,244.0,21170.0,0
sample_19,601240.79,924.0,43487.83,4.0,3.0,0.0,68.25,0.0,128.33,6.0,1078.0,8139.58,43130.25,7.0,1330.0,7.0,107.0,2035.5,224900.82,0.0,6.0,83631.34,0.0,2.5,0.0,0.0,0.0,1186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,8.0,1.0,16.0,430.0,1.0,42.5,6.0,0.5,1.0,6.0,0.0,0.0,0.0,9.5,1.5,0.0,0.0,9.0,12.0,0.0,4.0,6.33,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,26.0,3.0,0.0,1.0,4.5,5.33,29.5,257.0,23752.5,152.0,11528.5,0
sample_20,923612.02,1081.0,84369.75,4.0,0.0,0.0,55.5,0.0,161.5,2.0,1457.5,13040.25,56189.83,2.0,1259.17,14.0,130.5,3179.83,335039.32,0.0,6.25,119657.33,0.0,2.0,0.0,0.0,0.5,1796.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,3.0,3.0,34.0,496.5,0.0,31.5,12.0,1.34,8.0,2.0,0.0,0.0,0.0,4.5,2.0,0.0,1.0,10.33,8.0,0.0,4.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,2.0,2.0,67.33,34.0,2.0,2.0,1.0,0.0,3.0,30.33,310.0,30059.0,181.0,14666.5,0
