,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1199-5p,hsa-miR-1268b,hsa-miR-1271-5p,hsa-miR-1302,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-202-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3122,hsa-miR-3153,hsa-miR-3659,hsa-miR-3660,hsa-miR-3663-5p,hsa-miR-3681-5p,hsa-miR-3684,hsa-miR-369-3p,hsa-miR-373-5p,hsa-miR-3910,hsa-miR-4500,hsa-miR-4517,hsa-miR-4534,hsa-miR-4637,hsa-miR-4650-5p,hsa-miR-4691-5p,hsa-miR-4713-3p,hsa-miR-4720-5p,hsa-miR-4757-5p,hsa-miR-4783-5p,hsa-miR-4802-5p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-5095,hsa-miR-518c-3p,hsa-miR-518f-3p,hsa-miR-520b,hsa-miR-548f-5p,hsa-miR-548h-3p,hsa-miR-548m,hsa-miR-5571-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-6132,hsa-miR-6504-3p,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6729-5p,hsa-miR-6736-3p,hsa-miR-6743-5p,hsa-miR-6767-3p,hsa-miR-6820-5p,hsa-miR-6826-3p,hsa-miR-6858-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6874-3p,hsa-miR-7853-5p,hsa-miR-8080,hsa-miR-8081,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-891a-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_12,1133107.14,95560.5,18.0,0.0,0.0,224.5,1.0,3.0,1916.84,16225.0,13.0,1526.0,0.0,217.0,3708.75,427882.82,5.75,148707.41,0.0,0.0,12.0,0.0,7.0,4.0,3.0,2135.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,664.08,22.0,0.0,6.0,6.0,0.67,0.0,0.0,10.5,0.0,8.5,7.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.75,118.0,1.0,48.0,1.0,0.0,0.0,46.25,214.0,1.0,45909.0,312.0,0.0,18516.17,0
sample_13,907331.1,71403.0,7.0,0.0,0.0,246.5,1.0,3.5,1852.0,17954.92,7.5,1201.83,0.0,151.0,7021.0,406255.16,6.0,134614.67,0.0,0.0,10.0,0.0,2.0,8.0,1.0,1834.58,0.0,0.0,0.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.67,8.33,0.0,14.0,7.0,0.67,1.0,0.0,8.0,0.0,9.5,2.0,0.0,0.0,7.0,6.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,1.5,56.0,0.0,46.0,1.5,0.0,0.0,25.75,345.0,0.0,26757.5,236.0,1.5,17101.92,0
sample_14,998615.48,104944.25,9.0,0.0,0.0,206.5,0.0,4.0,1024.0,12357.17,30.0,1962.67,0.0,155.5,1906.0,415483.32,4.5,114161.91,0.0,0.0,3.0,0.0,4.0,1.0,4.0,1551.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.17,12.0,0.0,10.5,7.5,1.0,0.0,0.0,29.0,0.0,9.0,7.0,2.0,0.0,6.0,6.33,2.0,3.0,0.0,0.0,1.5,0.83,0.0,3.5,115.17,1.0,35.0,0.0,0.0,0.0,48.5,433.0,0.0,38005.34,264.0,1.0,14225.67,0
sample_15,1416219.62,185912.83,11.0,0.0,1.33,465.33,0.0,4.5,529.5,6769.67,27.0,2339.67,1.0,175.5,5549.33,762730.98,8.75,58985.34,0.0,0.0,2.0,0.0,21.0,1.0,2.0,1301.5,0.0,1.0,0.33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3866.75,23.0,0.0,2.0,1.0,0.0,0.0,0.0,11.5,0.0,4.0,4.0,4.0,0.5,7.0,7.33,0.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,54.83,0.0,28.0,0.0,0.0,0.0,65.08,360.0,0.0,59470.0,328.0,7.0,9118.58,0
sample_16,975637.65,72512.67,8.0,0.0,1.0,263.33,0.0,4.5,2591.66,16945.92,4.0,1653.83,1.0,122.5,3136.5,510676.98,4.17,131022.0,1.0,0.0,12.0,0.0,8.0,1.0,2.0,1943.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.67,25.0,0.0,18.5,7.0,1.0,0.0,0.0,19.5,0.0,13.5,4.0,0.0,0.0,16.0,5.0,0.0,3.0,0.0,0.0,0.0,4.5,3.0,3.0,82.33,0.0,38.0,0.0,0.0,0.0,52.25,492.0,0.0,30789.0,256.0,1.5,17816.67,0
sample_17,1218576.91,94602.33,8.0,0.0,0.5,218.0,0.0,6.5,1744.5,14944.0,61.0,1884.5,0.0,113.0,4469.83,483656.82,10.0,155544.34,0.0,0.0,9.0,0.0,7.0,4.0,8.0,2210.75,0.0,0.0,0.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,875.17,17.33,0.0,8.0,4.0,0.67,1.0,0.0,33.0,0.0,13.0,6.0,0.0,0.0,9.0,7.0,0.0,7.0,0.0,0.0,1.0,26.0,0.33,2.0,1.0,1.0,59.5,0.0,0.0,0.0,66.33,351.0,0.0,42293.16,260.0,3.0,21462.0,0
sample_18,1272135.61,126632.92,27.0,0.0,0.0,215.0,0.0,8.0,3075.66,18997.0,47.5,1120.0,0.0,174.0,2972.5,422444.98,8.5,169352.59,0.0,0.0,9.5,0.0,11.0,1.0,9.0,3136.83,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,410.83,26.0,0.0,15.5,3.5,1.33,2.0,0.0,8.0,0.0,10.0,8.0,0.0,0.0,16.0,7.33,1.0,3.0,0.0,0.0,0.0,17.0,1.0,2.5,154.0,1.0,66.0,0.0,0.0,0.0,21.0,301.0,0.0,27854.0,244.0,1.0,21170.0,0
sample_19,601240.79,43487.83,4.0,0.0,0.0,128.33,0.0,2.5,1078.0,8139.58,7.0,1330.0,0.0,107.0,2035.5,224900.82,6.0,83631.34,0.0,0.0,10.0,0.0,0.0,5.0,3.0,1186.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,6.0,0.0,1.0,6.0,0.0,0.0,0.0,9.5,0.0,9.0,2.0,0.0,0.0,4.0,6.33,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,54.0,0.0,26.0,0.0,0.0,0.0,29.5,257.0,0.0,23752.5,152.0,0.0,11528.5,0
sample_20,923612.02,84369.75,4.0,0.0,0.0,161.5,1.0,1.5,1457.5,13040.25,2.0,1259.17,0.0,130.5,3179.83,335039.32,6.25,119657.33,0.0,0.0,11.0,0.0,0.0,2.0,1.0,1796.0,0.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,496.5,12.0,0.0,8.0,2.0,0.0,0.0,0.0,4.5,0.0,10.33,9.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,18.5,1.0,2.0,67.33,2.0,34.0,0.0,0.0,0.0,30.33,310.0,0.0,30059.0,181.0,1.0,14666.5,0
sample_21,1080106.31,119319.67,31.0,0.0,0.0,389.0,0.0,10.0,1119.5,6606.83,55.0,1301.58,0.0,110.5,4370.83,730758.82,13.5,62845.16,0.0,0.0,3.0,0.0,12.0,0.0,1.0,1387.0,0.0,0.0,0.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2462.17,24.0,0.0,3.0,3.0,0.0,0.0,0.0,2.33,0.0,6.0,5.0,1.0,0.0,7.0,27.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,3.0,41.0,0.0,26.0,0.0,0.0,0.0,25.33,378.33,0.0,30132.16,286.5,7.0,8025.5,0
