,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1238-5p,hsa-miR-1244,hsa-miR-1255b-5p,hsa-miR-1261,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-1915-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3119,hsa-miR-3155a,hsa-miR-3156-5p,hsa-miR-3164,hsa-miR-3170,hsa-miR-3184-5p,hsa-miR-3201,hsa-miR-323b-5p,hsa-miR-34c-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-3944-3p,hsa-miR-3960,hsa-miR-3975,hsa-miR-411-3p,hsa-miR-4255,hsa-miR-4306,hsa-miR-4418,hsa-miR-4433-5p,hsa-miR-4632-5p,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4763-3p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-5100,hsa-miR-513b-3p,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5689,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-601,hsa-miR-6127,hsa-miR-643,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6720-5p,hsa-miR-6723-5p,hsa-miR-6742-3p,hsa-miR-6753-3p,hsa-miR-6808-3p,hsa-miR-6850-3p,hsa-miR-6852-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6880-5p,hsa-miR-6883-3p,hsa-miR-6890-5p,hsa-miR-7108-3p,hsa-miR-7112-5p,hsa-miR-769-5p,hsa-miR-7853-5p,hsa-miR-7855-5p,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-939-5p,hsa-miR-95-3p,Disese Group
sample_21,1080106.31,418.75,119319.67,31.0,41.0,0.0,0.0,0.0,0.0,389.0,11.0,11.0,9.0,10.0,1119.5,6606.83,0.0,32639.83,55.0,1301.58,110.5,4370.83,48.0,730758.82,271530.75,13.5,62845.16,0.0,0.0,0.0,0.0,0.0,2166.25,0.0,0.0,12.0,3.0,12.0,1387.0,0.0,1.0,0.0,0.0,50.5,0.0,0.67,0.0,0.0,0.0,11.5,0.0,5.0,2.0,0.0,0.0,20.0,2462.17,615.0,100.25,17.0,24.0,0.0,1.0,3.0,0.0,3.0,6.0,5.0,0.0,4.0,6.0,0.0,0.0,3.0,7.0,27.0,1.0,18.0,2.0,0.0,1.0,0.0,0.0,3.0,41.0,1.0,43.5,0.0,0.0,0.0,5287.33,0.0,4.0,690.58,25.33,378.33,30132.16,286.5,1.0,8025.5,0
sample_22,1234320.06,531.75,135104.58,24.0,57.5,0.0,0.0,0.0,0.0,500.17,19.0,18.0,9.0,6.0,1777.66,8450.25,0.0,49608.08,23.5,2168.5,183.5,4553.0,50.0,984850.64,307651.0,13.25,79757.16,0.0,0.0,0.0,1.0,0.0,3325.96,0.0,2.0,9.0,7.5,9.0,1723.0,0.0,1.0,0.0,0.0,46.0,0.0,3.25,0.0,0.0,0.0,11.0,0.0,1.0,12.0,1.0,0.0,44.0,2809.0,581.0,137.25,12.0,29.25,0.0,1.0,1.0,0.0,0.0,10.0,8.0,0.0,2.0,11.0,0.0,0.0,3.0,7.0,25.0,0.0,25.25,1.0,0.0,2.0,0.0,0.58,5.83,1.0,0.0,49.5,1.0,0.0,0.0,6211.83,8.0,2.0,737.33,19.5,540.33,41207.16,340.0,0.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,62.0,76.5,0.0,0.0,0.0,0.0,238.0,21.0,13.0,16.0,5.0,1529.5,8631.08,0.0,43934.67,6.0,1224.0,108.5,1423.5,57.0,483931.48,253616.08,3.83,86062.34,0.0,0.0,0.0,0.0,0.0,1372.75,0.0,2.0,3.0,7.0,1.0,1439.5,0.67,0.0,0.0,0.0,45.5,0.0,0.83,0.0,0.0,0.0,9.0,0.0,1.0,2.0,2.0,1.0,14.0,727.67,215.0,46.0,6.0,17.0,0.5,0.0,11.5,0.0,8.5,6.5,7.0,0.0,0.0,5.0,0.0,0.0,8.0,8.0,16.33,0.0,6.0,1.0,0.0,1.0,0.0,0.25,4.0,52.67,0.5,29.0,0.0,1.0,0.0,4522.33,0.0,0.0,740.5,24.83,298.0,20490.16,167.0,2.0,12603.25,0
sample_24,1478345.87,840.0,123298.08,11.0,83.0,0.0,0.0,0.0,0.0,365.0,30.0,6.0,11.0,10.0,2936.0,13138.42,0.0,59061.67,14.0,1469.25,244.0,2977.33,78.0,619079.32,382134.17,5.25,126725.59,0.0,0.0,0.0,6.0,0.0,1607.67,0.0,1.0,4.0,1.0,2.0,1914.5,0.33,0.0,0.0,0.0,95.83,0.0,1.08,0.0,0.0,0.0,7.67,0.0,0.0,3.0,6.0,0.0,25.0,936.17,271.0,91.33,10.0,21.0,0.0,0.0,11.5,0.0,8.5,4.0,6.0,0.0,4.0,6.0,0.0,0.0,5.0,10.0,12.5,2.0,11.0,0.33,0.0,3.0,0.0,0.25,3.33,141.08,0.0,42.0,0.0,1.0,0.0,6569.67,2.0,1.0,1096.58,26.0,484.0,21633.84,256.5,0.0,19701.42,0
sample_25,1858171.88,2626.0,144758.33,6.0,199.5,0.0,0.0,0.0,0.0,576.0,73.0,11.0,49.5,11.0,7244.0,31526.92,0.0,135796.08,6.0,2607.83,341.5,5968.0,181.0,944099.46,829992.91,12.5,292987.41,0.0,0.0,0.0,9.0,7.0,2411.75,0.0,9.0,4.0,12.0,5.0,3617.0,0.67,0.0,0.0,0.0,214.0,0.0,2.67,0.0,1.0,0.0,12.42,0.0,4.0,16.0,5.0,0.0,46.0,1230.92,350.0,133.83,23.0,29.33,0.0,0.0,24.5,0.0,6.0,28.5,10.0,0.0,10.0,26.0,0.0,0.0,14.0,19.0,20.0,0.0,41.75,11.0,1.0,1.0,0.0,0.83,6.25,272.67,3.0,82.5,0.0,0.0,0.0,13602.58,1.5,9.0,3092.92,43.17,809.0,46088.34,425.0,2.33,36399.25,0
sample_26,979381.07,1422.75,80560.33,67.0,97.0,0.0,0.0,0.0,0.0,174.0,27.0,6.0,23.0,7.0,6058.66,15481.58,0.0,79849.58,8.5,922.0,124.5,1838.0,60.0,491347.98,469603.17,6.5,166237.25,0.0,0.0,0.99,2.0,0.0,857.5,0.0,4.0,1.0,3.0,2.0,2963.5,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,2.0,4.0,4.0,0.0,27.0,404.25,336.0,71.5,13.0,23.0,0.0,0.0,16.5,0.0,2.0,20.5,15.0,0.0,0.0,4.0,0.0,0.0,5.0,7.0,6.33,0.0,20.25,4.0,0.0,2.0,0.0,2.25,2.0,125.92,1.5,39.5,0.0,0.0,0.0,7489.92,0.0,0.0,2170.75,14.75,342.0,16076.66,185.0,0.5,19040.58,0
sample_27,885663.77,1481.08,73136.42,9.0,93.0,0.0,0.0,0.0,0.0,199.5,23.33,7.0,17.0,3.0,2459.34,16047.42,0.0,66052.75,4.0,1644.33,118.5,1844.5,130.0,384780.16,280760.83,3.5,129844.41,0.0,0.0,0.0,1.0,0.0,1539.29,0.0,1.0,0.0,3.0,5.0,1659.5,0.0,0.0,0.0,0.0,75.0,0.0,0.67,0.0,0.0,0.0,10.67,0.0,2.0,7.0,4.0,0.0,31.0,856.08,181.0,48.5,8.0,8.0,0.0,0.0,4.0,0.0,5.0,17.0,7.0,0.0,4.0,7.0,0.0,0.0,3.0,6.0,7.33,0.0,19.75,3.0,0.0,2.0,0.0,0.58,2.0,109.83,0.0,37.0,2.0,1.0,0.0,5279.33,0.0,0.0,1109.33,37.0,424.0,22516.34,234.0,3.5,16431.17,0
sample_28,918971.09,1465.25,96025.33,12.5,87.5,0.0,0.0,0.0,0.0,188.5,18.0,5.0,5.0,7.0,2485.5,18775.0,1.0,58080.08,179.5,1255.5,130.0,1397.0,228.0,355511.16,315370.67,5.0,129408.16,0.0,0.0,0.0,1.0,0.0,1060.08,0.0,0.0,2.0,6.0,8.0,1846.25,0.0,1.0,0.0,0.0,54.5,0.0,2.25,0.0,0.0,0.0,10.0,0.0,1.0,8.0,4.0,0.0,30.0,545.83,189.0,46.0,12.0,6.0,0.0,1.0,7.5,0.0,7.0,18.5,5.0,0.0,3.0,7.0,0.0,0.0,3.0,10.0,3.33,3.0,11.0,2.0,0.0,4.0,0.0,0.0,3.75,109.17,1.0,35.0,1.0,0.0,0.0,5125.83,1.0,4.0,1395.75,32.75,331.0,19804.66,202.0,5.0,14972.17,0
sample_29,876441.95,1335.75,62264.92,10.0,201.0,0.0,0.0,0.0,0.0,233.0,19.0,2.0,21.0,1.0,3017.66,16894.33,1.0,62849.08,9.0,1863.75,180.0,1706.5,125.0,420312.66,304562.83,7.0,142587.34,0.0,0.0,2.01,2.0,0.0,1402.25,0.0,0.0,2.0,0.0,7.0,1625.5,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,2.0,6.0,0.0,26.0,415.33,260.0,50.0,11.0,21.0,0.25,0.0,4.0,0.0,4.0,24.0,8.0,0.0,2.0,14.0,0.0,0.0,3.0,5.0,7.33,0.0,11.5,0.0,0.0,2.0,0.0,0.0,5.08,107.33,0.5,35.0,0.0,0.0,0.0,6217.0,0.0,1.0,1170.0,52.5,379.0,18811.5,199.0,1.0,18037.83,0
sample_30,1666436.36,558.25,170163.0,8.0,105.5,0.0,0.0,0.0,0.0,539.83,28.0,36.0,16.0,3.0,1283.84,9636.5,0.0,48875.92,10.66,2416.0,209.0,3694.0,38.0,939717.16,312831.5,12.25,96358.67,0.0,0.0,0.0,3.0,0.0,3124.71,0.0,2.0,9.0,5.0,10.0,1618.0,0.0,2.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,18.5,0.0,3.0,6.0,4.0,0.0,19.0,3665.42,602.0,107.0,16.0,27.0,0.0,0.0,3.0,0.0,4.0,4.0,3.0,0.0,2.0,7.0,0.0,0.0,8.0,5.0,15.08,0.0,15.0,3.0,0.0,2.0,0.0,0.25,7.0,56.67,0.0,60.5,0.0,0.0,0.0,8969.33,2.0,4.0,843.83,60.25,540.0,45076.66,383.0,6.42,13559.33,0
sample_31,1427316.47,1174.5,134636.83,9.0,47.0,0.0,0.0,0.0,0.0,302.0,26.0,16.0,20.0,8.0,1749.5,14831.0,0.0,56916.75,56.0,1126.67,140.0,3832.0,115.0,570902.48,452170.33,7.0,112473.34,0.0,0.0,0.0,2.0,1.0,1293.87,0.0,1.0,1.0,8.0,30.0,1488.0,1.0,1.0,0.0,0.0,82.0,0.0,0.83,0.0,0.0,0.0,8.33,0.0,0.0,9.0,1.0,0.0,27.0,2281.83,182.0,67.5,14.0,16.0,0.25,0.0,12.0,0.0,2.0,17.0,7.0,0.0,2.0,11.0,0.0,0.0,4.0,9.0,12.0,2.0,10.25,1.0,0.0,1.0,1.0,0.0,1.5,53.67,0.5,36.0,0.0,0.0,0.0,6503.75,0.0,1.0,1330.42,14.75,368.0,28221.66,225.0,1.83,12944.33,0
sample_32,694334.55,467.75,64745.75,13.0,17.0,0.0,0.0,0.0,0.0,213.67,24.5,4.0,10.0,3.5,1008.84,8812.83,0.0,41984.83,9.0,602.5,84.0,2064.0,65.0,359765.48,270564.25,4.0,63475.66,0.0,0.0,0.0,1.5,1.0,822.25,0.0,0.0,5.0,3.0,9.0,833.75,0.0,0.5,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,15.0,429.25,82.0,36.0,9.0,9.0,0.0,0.0,3.0,0.0,2.0,8.0,3.0,0.0,3.0,12.0,0.0,0.0,5.0,5.0,3.0,0.0,2.25,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,3265.17,1.0,0.0,546.17,9.0,214.0,15707.5,119.33,0.0,7827.33,0
sample_33,1153565.45,581.5,84306.08,32.0,94.0,0.0,0.0,0.0,0.0,187.5,34.0,8.0,11.0,3.0,990.16,6194.83,0.0,63788.92,13.0,722.5,57.5,1761.5,187.0,357101.16,276555.33,3.5,66189.66,0.0,0.0,0.0,3.0,1.0,1366.0,0.0,0.0,4.0,12.0,8.0,926.5,0.0,0.0,0.0,0.0,16.0,0.0,1.25,0.0,0.0,0.0,17.67,0.0,1.0,6.0,4.0,0.0,46.0,397.5,156.0,16.0,6.0,4.0,0.25,0.0,10.0,0.0,2.0,9.5,9.0,0.0,2.0,6.0,0.0,0.0,5.0,6.0,3.33,0.0,9.25,1.33,0.0,4.0,0.0,0.25,2.5,68.17,1.0,22.0,3.0,0.0,0.0,3694.83,0.0,0.0,704.58,20.0,182.0,22580.0,86.0,1.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,11.0,17.5,0.0,0.0,0.0,0.0,235.0,20.0,17.0,13.0,7.0,1039.5,6658.75,0.0,54646.0,12.0,569.0,101.0,1858.5,133.0,391132.32,329310.17,4.5,54513.0,0.0,0.0,0.0,3.0,0.0,3123.0,0.0,0.0,4.0,5.0,8.0,2216.0,0.33,1.0,0.0,0.0,38.0,0.0,1.0,0.0,0.0,0.0,5.33,0.0,0.0,10.0,4.0,0.0,36.0,1786.42,128.5,32.5,17.5,12.0,0.0,0.0,6.0,0.0,6.0,8.5,16.0,0.0,2.0,15.0,0.0,0.0,2.0,6.0,2.0,0.0,44.5,1.0,0.0,2.0,0.0,0.25,2.0,118.33,0.0,24.5,1.0,0.0,0.0,4172.0,0.0,1.0,675.0,4.0,214.0,40640.84,140.0,1.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,13.0,66.08,0.0,0.0,0.0,0.0,259.0,29.0,11.0,18.0,4.5,2416.16,12640.08,0.0,64480.33,6.0,1050.83,156.0,2916.58,149.0,404816.66,360357.83,4.5,126423.84,0.0,0.0,0.0,1.33,1.0,1085.08,0.0,1.0,2.0,9.0,2.0,1633.0,0.33,0.5,0.0,0.0,86.5,0.0,0.0,0.0,1.5,0.0,7.83,0.0,2.0,3.0,4.0,0.0,28.0,1035.5,210.0,44.0,18.0,11.0,0.0,0.0,7.0,0.0,4.0,16.5,5.5,0.0,3.0,13.0,0.0,0.0,3.0,13.0,5.0,0.0,18.25,1.0,0.0,2.0,0.0,0.58,2.83,140.67,1.0,29.83,0.0,2.0,0.0,5050.33,2.0,1.0,1079.5,18.0,297.0,22246.84,187.0,0.25,17941.33,0
sample_36,1252890.32,1405.25,105970.83,7.0,96.5,0.0,0.0,0.0,0.0,238.5,37.0,6.0,28.0,8.5,2212.0,15167.25,0.0,58104.92,9.0,1120.5,102.0,1487.0,282.0,411492.66,361609.92,7.5,144325.84,0.0,0.0,0.0,2.0,2.0,1272.88,0.0,0.0,10.0,10.0,4.0,1592.33,0.0,1.33,0.0,0.0,22.0,0.0,0.25,0.0,0.0,0.0,5.33,0.0,0.0,8.0,4.0,0.0,26.0,402.92,169.0,51.0,19.0,14.0,0.0,1.0,7.5,0.0,2.0,19.5,13.0,0.0,6.0,7.0,0.0,0.0,3.0,9.0,4.0,0.0,4.75,2.0,0.0,3.0,0.0,0.25,1.75,136.17,1.0,52.0,1.0,0.0,0.0,5479.33,0.0,1.0,1166.33,16.25,293.0,24333.84,174.0,2.5,19516.92,0
sample_37,1672968.6,603.75,244416.25,17.0,16.0,0.0,0.0,0.0,0.0,473.0,12.33,39.0,15.0,8.5,1159.84,11484.92,0.0,40491.83,97.0,1538.0,150.5,2971.0,475.0,957376.32,329443.17,13.5,89330.34,0.0,1.0,0.99,2.0,1.0,2379.58,0.0,0.0,10.0,7.0,0.0,2243.83,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,3.0,1.0,0.0,49.0,2083.0,560.0,102.75,15.5,25.0,0.0,1.0,3.5,0.0,5.5,10.5,7.0,0.0,3.5,7.0,0.0,0.0,11.0,20.0,14.92,0.0,11.0,1.0,0.0,3.0,0.0,0.0,2.0,49.67,0.0,44.0,2.0,0.0,0.0,5900.83,0.0,0.0,541.0,8.0,450.0,32970.66,316.0,5.0,12870.83,0
sample_38,1971327.19,554.25,245438.83,32.0,48.5,0.0,0.0,0.0,0.0,603.83,18.0,35.0,5.5,5.5,849.0,10304.33,0.0,46535.25,337.5,2290.83,209.5,3650.33,122.0,1073443.82,310049.83,14.5,74905.5,0.0,0.0,0.0,8.0,1.0,3968.87,0.0,0.0,8.0,6.0,7.0,1750.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0.5,0.0,14.83,0.0,2.0,10.0,2.0,0.0,47.0,4606.33,375.0,117.25,27.0,21.0,0.0,0.0,2.0,0.0,2.0,10.5,7.0,0.0,2.0,4.0,0.0,0.0,8.0,10.0,6.25,0.0,10.75,0.0,0.0,0.0,0.0,0.83,3.5,130.33,0.0,83.5,2.0,1.0,0.0,5659.33,2.0,0.0,562.5,45.25,324.0,71566.16,443.75,2.58,12968.67,0
sample_39,1665552.5,500.5,246570.5,29.0,19.0,0.0,0.0,1.0,0.0,442.0,13.0,53.0,11.0,11.0,667.5,7581.5,0.0,40677.33,57.0,1520.5,121.0,4792.75,518.0,842892.98,392996.25,8.0,62701.16,0.0,0.0,0.0,8.5,0.0,2720.83,0.0,0.0,11.0,6.0,2.0,1646.25,0.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,0.5,0.0,2.83,0.0,2.0,6.0,4.0,0.0,53.5,3614.92,356.0,74.75,22.0,27.0,0.0,0.0,6.0,0.0,6.0,13.0,12.0,0.0,2.0,5.0,0.0,0.0,5.0,7.0,15.33,0.0,6.0,5.0,0.0,2.0,0.0,0.25,1.0,40.33,0.0,52.0,1.0,0.0,0.0,7953.58,0.0,1.0,503.5,20.83,386.0,53491.0,359.0,4.67,12428.67,0
sample_40,994403.21,776.5,83164.17,221.0,34.0,0.0,0.0,0.0,0.0,205.0,19.0,22.0,20.0,3.0,1646.66,9979.0,0.0,47465.92,3.0,724.0,63.0,1692.5,116.0,362781.0,309952.5,4.5,98775.0,0.0,0.0,0.0,5.0,0.0,791.25,0.0,0.0,1.0,10.0,3.0,1441.5,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.5,0.0,5.33,0.0,3.0,2.0,1.0,0.0,20.0,454.67,147.0,35.0,5.5,6.0,0.0,1.0,7.0,0.0,2.0,10.5,3.0,0.0,4.0,4.0,0.0,0.0,3.0,9.0,0.0,0.0,6.5,0.0,0.0,3.0,0.0,0.0,2.0,53.67,0.0,14.0,0.0,0.0,0.0,4288.5,0.0,0.0,725.5,12.0,211.0,17461.16,137.5,0.0,12546.17,0
sample_41,1278626.4,1018.5,98027.42,31.0,193.5,0.0,0.0,0.0,0.0,248.83,25.0,6.0,13.0,4.5,2256.66,9690.25,0.0,59583.92,75.0,1624.17,126.5,1783.5,153.0,490505.32,320475.33,6.0,91859.84,0.0,0.0,0.0,4.0,0.0,2031.0,0.0,3.0,9.0,7.0,16.0,1642.83,0.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.5,0.0,12.5,0.0,0.0,9.0,3.0,0.0,26.0,575.83,195.0,45.5,19.0,19.0,0.0,0.0,7.0,0.0,2.0,6.0,5.0,0.0,5.0,8.0,0.0,0.0,7.0,14.0,5.33,0.0,10.75,0.0,0.0,3.0,0.0,0.5,4.5,136.83,0.0,39.0,3.0,1.0,0.0,4931.83,3.0,7.0,1054.17,41.5,515.0,23051.66,161.0,0.5,17329.67,1
sample_42,1473476.69,1134.5,115119.67,16.5,111.0,0.0,0.0,0.0,0.0,307.83,31.0,6.0,23.0,8.0,4022.66,13341.0,0.0,74609.25,17.0,1450.67,174.0,2015.83,110.0,609860.14,421321.08,9.5,132917.5,0.0,0.0,0.0,2.0,1.0,1665.58,0.0,0.0,17.0,9.0,13.0,1855.0,0.33,1.0,0.0,0.0,218.5,0.0,1.75,0.0,1.5,0.0,11.0,0.0,3.0,10.5,6.0,0.0,39.0,942.42,243.0,44.83,20.0,14.33,0.0,0.0,5.0,0.0,3.0,18.5,14.0,0.0,1.0,10.0,0.0,0.0,5.0,10.0,9.33,1.0,18.25,2.0,0.0,1.0,0.0,0.25,1.0,163.17,0.5,30.5,1.0,0.0,0.0,6724.33,7.5,6.0,1536.5,26.33,533.0,22959.5,250.0,0.5,23785.0,1
sample_43,1288680.22,832.75,92052.42,12.0,139.5,0.0,0.0,0.0,0.0,264.0,16.0,6.0,14.0,8.0,2307.84,9898.83,0.0,66674.75,271.0,1009.67,73.5,1589.0,101.0,474958.48,386260.67,9.5,108196.0,0.0,0.0,0.0,4.0,0.0,1218.67,0.0,3.0,2.0,2.0,5.0,1175.0,1.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,1.0,5.0,6.0,0.0,24.0,328.17,289.0,36.5,14.5,15.0,0.0,0.0,13.5,0.0,11.5,12.5,10.0,0.0,1.0,7.0,0.0,0.0,7.0,12.0,9.0,0.0,23.5,4.0,0.0,3.0,0.0,1.0,1.0,153.33,0.0,28.0,0.0,0.0,0.0,5549.25,0.0,2.0,1175.17,19.5,319.0,16219.66,122.0,2.67,19936.08,1
sample_44,1134429.83,406.0,113001.58,26.0,57.0,0.0,0.0,0.0,0.0,488.33,16.0,25.0,9.0,14.5,839.84,6210.17,0.0,43090.58,7.0,1633.83,138.0,4906.08,58.0,837761.98,410805.42,11.75,53443.84,0.0,0.0,0.0,1.0,0.0,2381.21,0.0,1.0,5.0,1.0,4.0,1754.5,0.33,1.0,0.0,0.0,66.0,0.0,2.5,0.0,0.0,0.0,10.92,0.0,0.0,7.0,0.0,0.0,37.0,2470.83,469.5,74.08,11.0,36.0,0.0,1.0,2.0,0.0,0.0,11.0,13.0,0.0,1.0,10.0,0.0,0.0,6.0,4.0,9.67,2.0,12.5,0.0,0.0,0.0,0.0,1.25,5.0,58.83,0.0,56.0,1.0,1.0,0.0,9020.17,0.0,3.0,651.17,34.58,272.0,52934.66,398.0,0.5,10093.33,1
sample_46,1104152.52,1471.75,84586.67,162.0,152.25,0.0,0.0,0.0,0.0,243.83,24.0,5.0,18.5,5.0,2722.0,10929.0,0.0,62306.58,18.0,1436.0,146.0,1836.0,113.0,482796.98,396716.42,7.0,131275.0,0.0,0.0,0.0,3.0,0.0,1260.5,0.0,3.0,6.0,9.0,6.0,1707.5,0.0,0.0,0.0,0.0,85.5,0.0,0.25,0.0,1.0,0.0,13.17,0.0,1.0,4.0,5.0,0.0,35.0,382.67,232.0,42.83,16.0,12.33,0.25,0.0,11.0,0.0,8.0,18.0,13.0,0.0,3.0,6.0,0.0,0.0,4.0,10.0,2.33,0.0,21.25,2.0,0.0,3.0,0.0,0.0,2.25,1.0,0.0,33.0,0.0,1.0,0.0,5964.0,0.0,0.0,1413.67,27.0,445.0,17707.16,175.0,1.0,17242.25,1
sample_47,1268156.49,801.0,103398.58,6.0,50.75,0.0,0.0,0.0,0.0,362.83,14.0,12.0,23.0,2.0,2235.5,12841.75,0.0,62941.58,13.5,1008.08,118.5,2199.0,105.0,589243.32,395553.17,8.5,110661.5,0.0,0.0,0.99,0.0,1.0,1012.67,0.0,0.0,3.0,1.0,5.0,1681.0,0.0,1.0,0.0,0.0,55.5,0.0,0.25,0.0,0.0,0.0,2.5,0.0,0.0,4.0,5.0,0.0,31.0,518.25,235.0,58.0,9.5,17.0,0.25,0.0,9.0,0.0,2.0,7.0,11.0,0.0,3.0,12.0,0.0,0.0,6.0,5.0,17.0,0.0,10.25,4.0,0.0,2.0,0.0,0.25,0.5,0.0,0.0,20.0,0.0,1.0,0.0,6124.67,0.0,2.0,1127.08,14.0,404.5,16788.0,212.0,1.17,15612.33,1
sample_48,1476603.36,930.0,97773.33,37.0,51.5,0.0,0.0,0.0,0.0,487.17,22.0,13.0,14.0,4.0,2228.5,13941.17,0.0,75057.92,46.5,1389.83,87.0,2204.0,64.0,739304.32,404798.5,4.5,115364.84,0.0,0.0,0.0,5.0,3.0,1423.83,0.0,0.0,3.0,6.0,9.0,1241.75,0.33,1.0,0.0,0.0,35.5,0.0,0.0,0.0,0.0,0.0,8.17,0.0,0.0,12.0,2.0,0.0,18.0,584.17,215.0,77.5,11.0,21.0,0.0,0.0,9.0,0.0,8.0,10.5,11.0,0.0,5.0,7.0,0.0,0.0,5.0,7.0,11.67,0.0,7.5,1.0,0.0,3.0,0.0,0.25,2.33,76.0,0.0,38.0,1.0,0.0,0.0,5306.33,0.0,0.0,1164.42,27.25,447.0,23338.0,229.0,1.5,17069.25,1
sample_49,1496229.11,1996.75,133960.42,8.0,72.75,0.0,0.0,0.0,0.0,352.0,45.5,11.0,19.0,8.0,4715.84,23031.92,0.0,98125.08,50.0,1126.0,89.0,4428.25,182.0,784251.64,593074.83,16.0,243959.0,0.0,0.0,0.0,2.0,2.0,881.75,0.0,1.0,8.0,7.0,8.0,2368.5,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,4.0,6.0,3.0,0.0,47.0,398.25,386.0,81.67,12.5,27.67,0.0,1.0,21.33,0.0,12.0,15.5,20.0,0.0,1.0,8.0,0.0,0.0,12.0,24.0,12.58,1.0,30.25,4.0,0.0,3.0,0.0,1.33,1.5,90.83,0.0,41.0,0.0,0.0,0.0,6590.67,5.0,5.0,1542.67,22.83,540.0,16050.0,210.5,0.67,23485.33,1
sample_50,1028619.51,1840.25,89313.92,12.0,84.0,0.0,0.0,0.0,0.0,293.0,36.0,6.0,28.0,7.5,5133.16,21848.42,0.0,91983.42,15.0,993.67,139.0,1934.5,78.0,569870.48,607294.0,7.08,250847.16,0.0,2.0,0.0,3.0,0.0,779.25,0.0,1.0,4.0,9.0,6.0,2413.75,0.0,0.0,0.0,0.0,92.0,0.0,2.5,0.0,1.0,0.0,5.83,0.0,1.0,4.0,0.0,0.0,18.0,241.33,428.0,54.25,4.0,21.0,0.0,1.0,58.5,0.0,22.0,18.0,9.0,0.0,5.0,9.0,0.0,0.0,6.0,16.0,13.0,1.0,18.75,0.0,0.0,4.0,0.0,0.25,1.33,71.67,0.0,57.0,0.0,0.0,0.0,8879.33,4.0,2.0,2038.42,24.33,394.0,16872.34,193.5,0.83,21787.5,1
sample_51,1344007.7,2147.25,110700.83,19.0,75.0,0.0,0.0,0.0,0.0,281.5,42.5,6.0,39.0,5.0,3367.5,22149.08,0.0,91532.0,60.5,1288.0,182.5,2814.33,268.0,614604.82,579259.42,9.0,227498.5,0.0,0.0,0.0,4.0,1.0,1317.79,0.0,1.0,1.0,15.0,24.0,2734.0,0.0,0.0,0.33,0.0,32.5,0.0,0.33,0.0,0.5,0.0,12.33,0.0,3.0,6.0,3.0,0.0,39.0,379.92,293.0,70.0,15.0,15.0,0.0,0.0,7.0,0.0,2.0,21.5,23.0,0.0,11.0,8.0,0.0,0.0,9.0,22.0,8.0,0.0,5.75,1.0,0.0,0.0,0.0,0.0,2.5,167.33,0.0,55.0,1.0,0.0,0.0,5568.17,2.0,0.0,1729.0,36.25,468.0,27620.66,209.5,1.25,22545.83,1
