,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1238-5p,hsa-miR-1244,hsa-miR-1255b-5p,hsa-miR-1261,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-1915-3p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-224-5p,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3119,hsa-miR-3155a,hsa-miR-3156-5p,hsa-miR-3164,hsa-miR-3170,hsa-miR-3184-5p,hsa-miR-3201,hsa-miR-323b-5p,hsa-miR-34c-3p,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-369-3p,hsa-miR-378f,hsa-miR-3944-3p,hsa-miR-3960,hsa-miR-3975,hsa-miR-411-3p,hsa-miR-4255,hsa-miR-4306,hsa-miR-4418,hsa-miR-4433-5p,hsa-miR-4632-5p,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4746-5p,hsa-miR-4763-3p,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-495-3p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-5100,hsa-miR-513b-3p,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5689,hsa-miR-5690,hsa-miR-579-5p,hsa-miR-601,hsa-miR-6127,hsa-miR-643,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6720-5p,hsa-miR-6723-5p,hsa-miR-6742-3p,hsa-miR-6753-3p,hsa-miR-6808-3p,hsa-miR-6850-3p,hsa-miR-6852-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6880-5p,hsa-miR-6883-3p,hsa-miR-6890-5p,hsa-miR-7108-3p,hsa-miR-7112-5p,hsa-miR-769-5p,hsa-miR-7853-5p,hsa-miR-7855-5p,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-939-5p,hsa-miR-95-3p,Disese Group
sample_11,1111278.92,1489.25,89385.83,14.0,99.5,0.0,0.0,0.0,0.0,176.0,43.83,10.0,19.0,11.0,3000.66,18010.17,0.0,72254.67,8.5,1347.83,179.5,3754.0,96.0,480627.32,428694.33,11.5,172346.34,0.0,0.0,0.0,5.0,0.0,1553.29,0.0,1.0,0.0,31.0,2.0,3089.5,1.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.5,0.0,13.5,0.0,4.0,9.0,3.0,0.0,15.0,657.08,278.0,80.08,16.0,27.58,0.0,1.0,15.0,0.0,6.0,18.0,8.0,0.0,6.0,13.0,0.0,0.0,7.0,10.0,3.0,0.0,2.5,3.0,0.0,3.0,0.0,0.5,2.08,172.17,0.0,81.5,1.0,0.0,0.0,7297.08,1.0,1.0,1592.67,53.0,412.0,32250.5,259.5,1.0,19694.33,0
sample_12,1133107.14,1439.0,95560.5,18.0,61.0,0.0,0.0,0.0,0.0,224.5,38.0,12.0,36.0,3.0,1916.84,16225.0,0.0,70021.42,13.0,1526.0,217.0,3708.75,185.0,427882.82,372735.0,5.75,148707.41,0.0,0.0,0.0,4.0,2.0,1742.62,0.0,0.0,10.0,12.0,7.0,2135.25,1.0,0.0,0.0,0.0,77.5,0.0,1.08,0.0,1.5,0.0,14.33,0.0,2.0,8.0,2.0,0.0,30.0,664.08,218.0,55.0,23.0,22.0,0.0,0.0,6.0,0.0,6.0,8.5,7.0,0.0,5.0,11.0,0.0,0.0,6.0,11.0,1.0,0.0,7.75,3.0,0.0,0.0,0.0,0.58,0.75,118.0,0.33,58.0,0.0,0.0,0.0,4826.75,1.0,1.0,1136.17,46.25,214.0,45909.0,312.0,0.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,7.0,50.75,0.0,0.0,0.0,0.0,246.5,24.0,9.0,30.0,3.5,1852.0,17954.92,0.0,71387.08,7.5,1201.83,151.0,7021.0,126.0,406255.16,377848.67,6.0,134614.67,0.0,0.0,0.0,7.0,0.0,1464.75,0.0,0.0,1.0,10.0,2.0,1834.58,0.33,0.0,0.0,0.0,15.0,0.0,0.25,0.0,0.0,0.0,8.17,0.0,0.0,8.0,1.0,0.0,30.0,654.67,161.5,48.58,17.5,8.33,0.0,0.0,14.0,0.0,7.0,9.5,2.0,0.0,3.0,14.0,0.0,0.0,4.0,7.0,6.0,0.0,3.75,2.0,0.0,1.0,0.0,0.25,1.5,56.0,0.0,53.5,0.0,0.0,0.0,5602.5,1.5,0.0,1364.42,25.75,345.0,26757.5,236.0,2.83,17101.92,0
sample_14,998615.48,1523.5,104944.25,9.0,123.0,0.0,0.0,0.0,0.0,206.5,11.0,16.0,32.5,4.0,1024.0,12357.17,0.0,55595.0,30.0,1962.67,155.5,1906.0,181.0,415483.32,290152.42,4.5,114161.91,0.0,0.0,0.0,3.0,0.0,2088.5,0.0,0.0,6.0,3.0,4.0,1551.5,0.0,0.0,0.0,0.0,31.0,0.0,0.5,0.0,0.0,0.0,17.0,0.0,3.0,11.0,3.0,0.0,21.0,894.17,156.0,66.42,19.0,12.0,0.0,0.0,10.5,0.0,7.5,9.0,7.0,0.0,5.0,5.0,0.0,0.0,5.0,6.0,6.33,0.0,6.75,3.0,0.0,0.0,0.0,0.0,3.5,115.17,0.0,49.5,2.0,0.0,0.0,5622.92,0.0,1.0,1075.67,48.5,433.0,38005.34,264.0,4.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,11.0,87.0,0.0,0.0,0.0,0.0,465.33,16.0,39.0,15.0,4.5,529.5,6769.67,1.0,37588.5,27.0,2339.67,175.5,5549.33,38.0,762730.98,272807.33,8.75,58985.34,0.0,0.0,0.0,7.0,1.0,3511.08,0.0,0.0,4.0,2.0,21.0,1301.5,0.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,19.67,0.0,2.0,6.0,2.0,0.0,31.0,3866.75,505.0,109.58,18.5,23.0,0.0,0.0,2.0,0.0,1.0,4.0,4.0,0.0,5.0,10.0,0.0,0.0,8.0,7.0,7.33,2.0,11.25,3.0,0.0,1.0,0.0,0.0,4.0,54.83,0.5,74.0,1.0,0.0,0.0,6402.92,0.0,0.0,625.67,65.08,360.0,59470.0,328.0,5.83,9118.58,0
sample_16,975637.65,1309.0,72512.67,8.0,145.0,0.0,0.0,0.0,0.0,263.33,38.0,11.0,19.5,4.5,2591.66,16945.92,0.0,70223.0,4.0,1653.83,122.5,3136.5,109.0,510676.98,340826.92,4.17,131022.0,0.0,0.0,0.0,5.0,0.0,1695.04,0.0,0.0,0.0,12.0,8.0,1943.5,0.33,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,3.0,0.0,23.0,799.67,161.0,70.5,16.0,25.0,0.0,2.0,18.5,0.0,7.0,13.5,4.0,0.0,5.0,4.0,0.0,0.0,9.0,16.0,5.0,0.0,7.5,2.0,0.0,2.0,0.0,0.0,3.0,82.33,0.0,44.0,3.0,1.0,1.0,5419.33,0.0,0.0,1273.75,52.25,492.0,30789.0,256.0,2.5,17816.67,0
sample_17,1218576.91,1462.75,94602.33,8.0,161.0,0.0,0.0,0.0,0.0,218.0,42.0,7.0,19.5,6.5,1744.5,14944.0,0.0,76559.25,61.0,1884.5,113.0,4469.83,163.0,483656.82,368519.0,10.0,155544.34,0.0,0.0,0.0,2.0,2.0,2545.12,0.0,1.0,6.0,9.0,7.0,2210.75,1.67,0.0,0.0,0.0,38.5,0.0,1.5,0.0,2.5,0.0,17.33,0.0,1.0,5.0,4.0,0.0,40.0,875.17,281.0,64.17,16.0,17.33,0.0,0.0,8.0,0.0,4.0,13.0,6.0,0.0,10.0,4.0,0.0,0.0,4.0,9.0,7.0,1.0,9.25,4.0,0.0,2.0,0.0,0.83,2.0,1.0,0.0,65.0,0.0,2.0,0.0,5462.5,0.0,1.0,1377.08,66.33,351.0,42293.16,260.0,4.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,27.0,47.5,0.0,0.0,0.0,0.0,215.0,49.33,20.0,19.0,8.0,3075.66,18997.0,1.0,70163.83,47.5,1120.0,174.0,2972.5,380.0,422444.98,463757.17,8.5,169352.59,0.0,0.0,0.0,4.0,0.0,1499.17,0.0,1.0,3.0,9.5,11.0,3136.83,1.67,0.0,0.0,0.0,29.5,0.0,0.25,0.0,0.0,0.0,8.33,0.0,0.0,2.0,4.0,0.0,54.0,410.83,353.0,55.5,16.0,26.0,0.0,0.0,15.5,0.0,3.5,10.0,8.0,0.0,8.0,4.0,0.0,0.0,8.0,16.0,7.33,1.0,11.0,2.0,0.0,1.0,0.0,1.33,2.5,154.0,2.0,61.0,0.0,0.0,0.0,5339.5,0.0,1.0,1295.83,21.0,301.0,27854.0,244.0,1.67,21170.0,0
sample_19,601240.79,924.0,43487.83,4.0,68.25,0.0,0.0,0.0,0.0,128.33,24.0,6.0,2.5,2.5,1078.0,8139.58,0.0,43130.25,7.0,1330.0,107.0,2035.5,80.0,224900.82,174504.67,6.0,83631.34,0.0,0.0,0.0,1.0,0.0,1716.5,0.0,0.0,0.0,10.0,0.0,1186.5,0.67,1.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,9.33,0.0,0.0,8.0,1.0,0.0,16.0,430.0,139.0,42.5,6.0,6.0,0.0,0.0,1.0,0.0,6.0,9.0,2.0,0.0,2.5,12.0,0.0,0.0,1.0,4.0,6.33,0.0,5.75,0.0,0.0,1.0,0.0,0.75,1.0,54.0,0.0,28.33,1.0,0.0,0.0,2380.5,0.0,0.0,608.83,29.5,257.0,23752.5,152.0,2.67,11528.5,0
sample_20,923612.02,1081.0,84369.75,4.0,55.5,0.0,0.0,0.0,0.0,161.5,29.0,2.0,5.5,1.5,1457.5,13040.25,0.0,56189.83,2.0,1259.17,130.5,3179.83,152.0,335039.32,253280.67,6.25,119657.33,0.0,0.0,0.0,1.0,1.0,2070.92,0.0,0.0,3.0,11.0,0.0,1796.0,0.0,1.0,0.0,0.0,23.5,0.0,1.0,0.0,0.0,0.0,8.67,0.0,0.0,3.0,3.0,0.0,34.0,496.5,217.0,31.5,11.0,12.0,0.0,3.0,8.0,0.0,2.0,10.33,9.0,0.0,4.0,8.0,0.0,0.0,5.0,4.0,1.0,1.0,11.5,1.0,0.0,1.0,0.0,1.0,2.0,67.33,3.0,50.33,0.0,2.0,0.0,4088.75,0.0,0.0,988.5,30.33,310.0,30059.0,181.0,0.0,14666.5,0
