,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1178-3p,hsa-miR-1183,hsa-miR-1207-3p,hsa-miR-1224-3p,hsa-miR-1226-5p,hsa-miR-1231,hsa-miR-1257,hsa-miR-125a-3p,hsa-miR-1263,hsa-miR-1271-5p,hsa-miR-1278,hsa-miR-128-2-5p,hsa-miR-1281,hsa-miR-1297,hsa-miR-1298-5p,hsa-miR-1302,hsa-miR-153-3p,hsa-miR-1537-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-1913,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200b-5p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-300,hsa-miR-30c-5p,hsa-miR-3135b,hsa-miR-3150b-3p,hsa-miR-3173-3p,hsa-miR-3184-5p,hsa-miR-3185,hsa-miR-3681-5p,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-383-3p,hsa-miR-3942-5p,hsa-miR-423-3p,hsa-miR-4433-5p,hsa-miR-4464,hsa-miR-4474-5p,hsa-miR-4500,hsa-miR-4509,hsa-miR-4515,hsa-miR-4517,hsa-miR-4646-3p,hsa-miR-4652-5p,hsa-miR-4659a-5p,hsa-miR-4662a-3p,hsa-miR-4664-3p,hsa-miR-4694-5p,hsa-miR-4709-3p,hsa-miR-4728-5p,hsa-miR-4745-5p,hsa-miR-4746-5p,hsa-miR-4766-3p,hsa-miR-4788,hsa-miR-4798-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-5002-5p,hsa-miR-5004-3p,hsa-miR-5008-5p,hsa-miR-500a-5p,hsa-miR-500b-3p,hsa-miR-502-5p,hsa-miR-509-5p,hsa-miR-5096,hsa-miR-5100,hsa-miR-518c-3p,hsa-miR-518e-5p,hsa-miR-518f-3p,hsa-miR-5194,hsa-miR-519c-5p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-548ac,hsa-miR-548ah-5p,hsa-miR-548am-3p,hsa-miR-548m,hsa-miR-548s,hsa-miR-561-5p,hsa-miR-5690,hsa-miR-571,hsa-miR-579-5p,hsa-miR-605-3p,hsa-miR-6128,hsa-miR-622,hsa-miR-6511a-5p,hsa-miR-658,hsa-miR-665,hsa-miR-6732-5p,hsa-miR-6741-5p,hsa-miR-6764-5p,hsa-miR-6769a-3p,hsa-miR-6774-5p,hsa-miR-6821-3p,hsa-miR-6846-3p,hsa-miR-6849-5p,hsa-miR-6859-5p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6874-5p,hsa-miR-6883-3p,hsa-miR-7106-5p,hsa-miR-7157-5p,hsa-miR-769-5p,hsa-miR-7704,hsa-miR-7854-3p,hsa-miR-8077,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-921,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-940,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,1489.25,89385.83,298.5,14.0,0.0,0.0,0.0,99.5,0.0,0.0,0.0,360.67,0.0,176.0,43.83,2.0,0.0,6.33,10.0,0.0,3000.66,16.0,0.0,18010.17,0.0,72254.67,8.5,1347.83,11.0,15.0,179.5,3754.0,480627.32,428694.33,0.0,172346.34,0.0,4.0,4.0,1553.29,0.0,8.0,3089.5,5.75,47.0,4.0,1553.29,0.5,0.0,0.0,1.42,0.0,0.0,0.0,13.5,0.0,2.0,4.0,4.0,0.0,3.0,0.0,0.0,3.0,6.5,0.5,15.0,657.08,0.0,278.0,0.0,0.0,0.0,80.08,16.0,27.58,6.0,0.0,0.0,15.0,0.0,6.0,0.0,0.0,0.67,13.58,0.0,2.0,0.0,11.0,3.0,18.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,23.0,1.33,0.0,1.0,1.0,0.0,0.0,2.08,0.0,172.17,2.0,81.5,0.0,6.0,7297.08,2.33,2.0,0.0,1592.67,53.0,412.0,0.0,32250.5,259.5,2.0,19694.33,0
sample_12,1133107.14,1439.0,95560.5,268.5,18.0,1.0,0.0,0.0,61.0,0.0,1.0,0.0,286.5,0.0,224.5,38.0,4.0,0.0,6.67,12.0,1.0,1916.84,10.0,0.0,16225.0,1.0,70021.42,13.0,1526.0,10.0,12.0,217.0,3708.75,427882.82,372735.0,0.0,148707.41,0.0,4.0,2.0,1742.62,0.0,4.0,2135.25,7.0,27.0,2.0,1742.62,1.5,0.0,0.0,0.0,0.0,0.0,0.0,14.33,0.0,0.0,2.0,3.0,0.0,7.0,1.0,0.0,2.0,2.0,0.0,30.0,664.08,0.0,218.0,1.0,0.0,0.0,55.0,23.0,22.0,3.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.67,10.0,0.0,0.0,0.0,10.5,0.0,8.5,5.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,118.0,1.0,58.0,2.0,5.0,4826.75,5.33,1.0,0.0,1136.17,46.25,214.0,0.0,45909.0,312.0,0.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,281.5,7.0,0.0,0.0,0.0,50.75,1.0,0.0,0.0,292.75,0.0,246.5,24.0,1.0,0.0,5.75,9.0,1.0,1852.0,20.0,0.0,17954.92,0.0,71387.08,7.5,1201.83,13.0,17.0,151.0,7021.0,406255.16,377848.67,0.0,134614.67,0.0,4.5,2.0,1464.75,0.0,8.0,1834.58,5.08,32.5,4.0,1464.75,0.0,0.0,0.0,0.67,0.0,1.0,0.0,8.17,0.0,0.25,0.0,7.0,0.0,2.0,0.0,0.0,1.0,9.0,0.5,30.0,654.67,0.0,161.5,0.0,0.0,0.0,48.58,17.5,8.33,4.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,0.67,13.0,0.0,0.5,0.0,8.0,0.0,9.5,3.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,6.5,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,0.0,56.0,0.0,53.5,0.0,2.0,5602.5,8.33,0.0,0.0,1364.42,25.75,345.0,0.0,26757.5,236.0,1.5,17101.92,0
sample_14,998615.48,1523.5,104944.25,169.33,9.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,398.67,0.0,206.5,11.0,2.0,0.0,2.58,16.0,0.0,1024.0,7.0,1.0,12357.17,0.0,55595.0,30.0,1962.67,11.0,8.0,155.5,1906.0,415483.32,290152.42,0.0,114161.91,0.0,3.5,0.0,2088.5,1.0,1.0,1551.5,6.08,41.0,2.0,2088.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,21.0,894.17,0.0,156.0,0.0,0.0,1.0,66.42,19.0,12.0,0.0,0.0,0.0,10.5,0.0,7.5,1.0,0.0,1.0,6.0,0.0,0.0,0.0,29.0,0.0,9.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.5,6.33,0.0,3.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,115.17,1.0,49.5,0.0,6.0,5622.92,9.33,1.0,0.0,1075.67,48.5,433.0,0.0,38005.34,264.0,1.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,398.5,11.0,0.0,0.0,0.0,87.0,0.0,6.0,0.0,313.0,0.0,465.33,16.0,2.0,0.0,2.0,39.0,0.0,529.5,14.0,0.0,6769.67,0.0,37588.5,27.0,2339.67,19.0,18.0,175.5,5549.33,762730.98,272807.33,0.0,58985.34,0.0,1.5,11.0,3511.08,0.0,1.0,1301.5,19.08,12.0,1.0,3509.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,19.67,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,31.0,3866.75,0.0,505.0,1.0,0.0,0.0,109.58,18.5,23.0,6.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,11.5,0.0,4.0,5.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,7.33,0.0,0.5,18.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,4.0,54.83,1.0,74.0,0.0,4.0,6402.92,15.33,1.0,0.0,625.67,65.08,360.0,0.0,59470.0,328.0,7.0,9118.58,0
sample_16,975637.65,1309.0,72512.67,229.0,8.0,0.0,0.0,0.0,145.0,0.0,1.0,0.0,337.83,0.0,263.33,38.0,1.0,0.0,6.17,11.0,0.0,2591.66,9.0,0.0,16945.92,0.0,70223.0,4.0,1653.83,10.0,14.0,122.5,3136.5,510676.98,340826.92,0.0,131022.0,0.0,1.5,4.0,1695.04,0.0,1.0,1943.5,4.5,28.0,0.0,1695.04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.5,0.0,6.0,0.0,1.0,0.0,0.0,3.0,8.0,0.0,23.0,799.67,0.0,161.0,0.0,0.0,0.0,70.5,16.0,25.0,5.0,0.0,0.0,18.5,0.0,7.0,0.0,0.0,1.0,11.33,0.0,0.0,0.0,19.5,0.0,13.5,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,3.0,18.0,1.5,0.0,2.0,3.0,1.0,0.0,3.0,0.0,82.33,3.0,44.0,0.0,2.0,5419.33,3.33,0.0,0.0,1273.75,52.25,492.0,0.0,30789.0,256.0,1.5,17816.67,0
sample_17,1218576.91,1462.75,94602.33,289.5,8.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,426.5,0.0,218.0,42.0,0.0,0.0,5.42,7.0,0.0,1744.5,18.0,1.0,14944.0,3.0,76559.25,61.0,1884.5,8.0,8.0,113.0,4469.83,483656.82,368519.0,0.0,155544.34,0.0,4.5,3.0,2545.12,0.0,4.0,2210.75,10.17,32.0,3.0,2545.12,2.5,0.0,0.0,0.92,0.0,1.0,0.0,17.33,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,4.0,6.5,0.0,40.0,875.17,0.0,281.0,0.0,0.0,0.0,64.17,16.0,17.33,2.0,0.0,0.0,8.0,0.0,4.0,1.0,0.0,0.67,6.17,0.0,0.0,0.0,33.0,3.0,13.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,5.5,7.0,0.0,4.0,21.0,1.0,0.0,4.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,65.0,0.0,2.0,5462.5,8.0,1.0,0.0,1377.08,66.33,351.0,0.0,42293.16,260.0,3.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,321.0,27.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,294.33,0.0,215.0,49.33,2.0,0.0,7.67,20.0,0.0,3075.66,11.0,1.0,18997.0,0.0,70163.83,47.5,1120.0,13.0,11.0,174.0,2972.5,422444.98,463757.17,0.0,169352.59,0.0,1.0,1.0,1499.17,0.0,1.0,3136.83,4.25,12.0,1.0,1499.17,0.0,0.0,0.0,0.58,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,14.5,0.5,54.0,410.83,0.0,353.0,0.0,0.0,0.0,55.5,16.0,26.0,1.0,0.0,0.0,15.5,0.0,3.5,0.0,0.0,1.33,10.0,0.0,2.0,0.0,8.0,0.0,10.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,7.33,0.0,0.5,22.0,2.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,154.0,1.0,61.0,0.0,4.0,5339.5,3.67,0.0,0.0,1295.83,21.0,301.0,0.0,27854.0,244.0,1.0,21170.0,0
sample_19,601240.79,924.0,43487.83,164.5,4.0,2.0,0.0,0.0,68.25,0.0,0.0,0.0,242.17,0.0,128.33,24.0,0.0,0.0,6.5,6.0,0.0,1078.0,9.0,0.0,8139.58,0.0,43130.25,7.0,1330.0,7.0,7.0,107.0,2035.5,224900.82,174504.67,0.0,83631.34,0.0,2.5,0.0,1716.5,0.0,5.0,1186.5,7.5,18.5,1.0,1716.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,16.0,430.0,0.0,139.0,0.0,0.0,0.0,42.5,6.0,6.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,9.5,0.0,9.0,2.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,54.0,0.0,28.33,0.0,1.0,2380.5,5.33,2.0,0.0,608.83,29.5,257.0,0.0,23752.5,152.0,0.0,11528.5,0
sample_20,923612.02,1081.0,84369.75,231.0,4.0,0.0,0.0,0.0,55.5,0.0,0.0,0.0,291.25,0.0,161.5,29.0,3.0,0.0,6.42,2.0,1.0,1457.5,6.0,0.0,13040.25,0.0,56189.83,2.0,1259.17,15.0,14.0,130.5,3179.83,335039.32,253280.67,0.0,119657.33,0.0,2.0,1.0,2070.92,0.0,2.0,1796.0,3.83,39.0,1.0,2070.92,0.0,0.0,0.0,0.33,0.0,0.0,0.0,8.67,0.0,1.17,0.0,4.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,34.0,496.5,0.0,217.0,0.0,2.0,0.0,31.5,11.0,12.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,6.25,0.0,2.0,0.0,4.5,0.0,10.33,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,67.33,0.0,50.33,0.0,7.0,4088.75,3.0,2.0,0.0,988.5,30.33,310.0,0.0,30059.0,181.0,1.0,14666.5,0
sample_21,1080106.31,418.75,119319.67,385.0,31.0,0.0,0.0,0.0,41.0,1.0,3.0,0.0,270.17,0.0,389.0,11.0,0.0,0.0,2.92,11.0,0.0,1119.5,11.0,0.0,6606.83,0.0,32639.83,55.0,1301.58,6.0,15.0,110.5,4370.83,730758.82,271530.75,0.0,62845.16,0.0,2.0,4.0,2166.25,0.0,0.0,1387.0,7.83,20.0,1.0,2166.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,11.5,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,20.0,2462.17,0.0,615.0,0.0,0.0,0.0,100.25,17.0,24.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,4.5,0.0,2.33,1.5,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,41.0,0.0,43.5,1.0,1.0,5287.33,5.33,2.0,0.0,690.58,25.33,378.33,0.0,30132.16,286.5,7.0,8025.5,0
sample_22,1234320.06,531.75,135104.58,482.5,24.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,367.83,0.0,500.17,19.0,1.0,0.0,4.75,18.0,0.0,1777.66,4.0,0.0,8450.25,0.0,49608.08,23.5,2168.5,10.0,13.0,183.5,4553.0,984850.64,307651.0,0.0,79757.16,0.0,3.0,4.0,3325.96,0.0,3.0,1723.0,11.08,9.0,2.0,3325.96,0.0,0.0,0.0,1.33,0.0,0.0,0.0,11.0,0.0,0.5,1.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,44.0,2809.0,0.0,581.0,0.0,0.0,0.0,137.25,12.0,29.25,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.33,0.0,6.0,0.0,5.33,0.0,10.0,2.0,0.0,11.0,5.0,0.0,0.0,0.0,2.0,25.0,0.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,5.83,2.0,1.0,1.0,49.5,0.0,3.0,6211.83,6.67,1.0,0.0,737.33,19.5,540.33,0.0,41207.16,340.0,10.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,248.83,62.0,0.0,0.0,0.0,76.5,0.0,0.0,0.0,336.83,0.0,238.0,21.0,0.0,0.0,3.0,13.0,0.0,1529.5,7.0,0.0,8631.08,1.0,43934.67,6.0,1224.0,11.0,13.0,108.5,1423.5,483931.48,253616.08,0.0,86062.34,0.0,1.5,1.0,1372.75,0.0,3.0,1439.5,2.75,20.0,2.0,1372.75,0.0,1.0,0.0,0.67,0.0,0.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,6.0,0.0,14.0,727.67,0.0,215.0,0.0,1.0,0.0,46.0,6.0,17.0,1.0,0.0,0.5,11.5,0.0,8.5,0.0,0.0,0.25,1.83,0.0,2.0,0.0,12.0,0.0,6.5,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.5,16.33,0.0,2.0,20.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,1.0,52.67,1.0,29.0,0.0,3.0,4522.33,4.33,0.0,0.0,740.5,24.83,298.0,0.0,20490.16,167.0,0.0,12603.25,0
sample_24,1478345.87,840.0,123298.08,249.0,11.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,520.33,0.0,365.0,30.0,1.0,0.0,6.08,6.0,0.0,2936.0,9.0,0.0,13138.42,1.0,59061.67,14.0,1469.25,6.0,11.0,244.0,2977.33,619079.32,382134.17,0.0,126725.59,0.0,2.5,2.0,1607.67,0.0,9.0,1914.5,4.0,27.0,1.0,1607.17,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7.67,0.0,0.5,0.0,6.0,0.0,6.0,0.0,0.0,6.0,1.0,0.5,25.0,936.17,0.0,271.0,0.0,0.0,0.0,91.33,10.0,21.0,2.0,0.0,0.0,11.5,0.0,8.5,1.0,0.0,1.0,4.0,0.0,3.0,0.0,2.0,1.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,12.5,0.0,1.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,3.33,0.0,141.08,2.0,42.0,0.0,5.0,6569.67,4.67,1.0,0.0,1096.58,26.0,484.0,0.0,21633.84,256.5,2.0,19701.42,0
sample_25,1858171.88,2626.0,144758.33,519.5,6.0,0.0,0.0,0.0,199.5,0.0,5.0,0.0,727.67,0.0,576.0,73.0,8.0,0.0,47.75,11.0,0.0,7244.0,30.0,0.0,31526.92,0.25,135796.08,6.0,2607.83,21.0,24.5,341.5,5968.0,944099.46,829992.91,0.0,292987.41,0.0,8.0,1.0,2411.75,0.0,16.0,3617.0,9.0,82.0,2.0,2411.75,1.0,1.0,1.0,37.17,0.0,0.0,0.0,12.42,0.0,0.5,4.0,10.0,0.0,8.0,0.0,0.0,5.0,13.5,0.0,46.0,1230.92,0.0,350.0,1.0,3.0,0.0,133.83,23.0,29.33,4.0,0.0,0.0,24.5,0.0,6.0,0.0,0.0,1.83,19.17,0.0,4.5,0.0,23.5,0.0,28.5,10.0,0.0,26.0,0.0,0.0,0.5,0.0,2.0,20.0,0.0,4.0,30.0,1.0,0.0,2.0,3.0,0.0,0.0,6.25,0.0,272.67,1.0,82.5,0.0,4.0,13602.58,10.67,2.0,0.0,3092.92,43.17,809.0,0.0,46088.34,425.0,0.0,36399.25,0
sample_26,979381.07,1422.75,80560.33,264.0,67.0,0.0,0.0,0.0,97.0,0.0,3.0,0.0,299.0,0.0,174.0,27.0,1.0,0.0,26.75,6.0,0.0,6058.66,14.0,0.0,15481.58,1.0,79849.58,8.5,922.0,6.0,9.0,124.5,1838.0,491347.98,469603.17,0.0,166237.25,0.0,2.0,0.0,857.5,0.0,11.0,2963.5,2.0,46.0,0.0,857.5,0.0,0.0,0.0,20.08,0.0,0.0,0.0,3.33,0.0,0.5,2.0,1.0,0.0,4.0,0.0,0.0,4.0,8.0,0.0,27.0,404.25,0.0,336.0,0.0,1.0,0.0,71.5,13.0,23.0,3.0,0.0,0.0,16.5,0.0,2.0,1.0,0.0,1.0,14.17,0.0,1.0,0.0,5.0,0.0,20.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.33,1.0,0.0,26.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,125.92,0.0,39.5,0.0,5.0,7489.92,3.0,0.0,0.0,2170.75,14.75,342.0,0.0,16076.66,185.0,1.0,19040.58,0
sample_27,885663.77,1481.08,73136.42,218.0,9.0,0.0,0.0,0.0,93.0,0.0,3.0,0.0,408.67,0.0,199.5,23.33,0.0,0.0,24.83,7.0,0.0,2459.34,16.0,0.0,16047.42,1.0,66052.75,4.0,1644.33,17.0,8.0,118.5,1844.5,384780.16,280760.83,0.0,129844.41,0.0,2.5,1.0,1539.29,0.0,4.0,1659.5,5.08,19.0,1.0,1539.29,0.0,0.0,0.0,20.33,0.0,1.0,0.0,10.67,0.0,0.0,2.0,6.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,31.0,856.08,0.0,181.0,0.0,0.0,0.0,48.5,8.0,8.0,3.0,0.0,0.0,4.0,0.0,5.0,1.0,0.0,1.33,10.5,0.0,3.0,0.33,23.0,0.0,17.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,7.33,0.0,3.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,109.83,0.0,37.0,0.0,5.0,5279.33,9.67,1.0,0.0,1109.33,37.0,424.0,0.0,22516.34,234.0,0.0,16431.17,0
sample_28,918971.09,1465.25,96025.33,238.5,12.5,0.0,0.0,0.0,87.5,0.0,0.0,0.0,370.33,0.0,188.5,18.0,5.0,0.0,13.83,5.0,0.0,2485.5,9.0,0.0,18775.0,0.0,58080.08,179.5,1255.5,14.0,5.0,130.0,1397.0,355511.16,315370.67,0.0,129408.16,0.0,5.0,1.0,1060.08,0.0,0.0,1846.25,2.75,35.0,2.0,1060.08,0.0,0.0,0.0,14.92,0.0,0.0,0.0,10.0,0.0,0.25,1.0,2.0,0.0,3.0,0.0,0.0,4.0,1.0,0.5,30.0,545.83,0.0,189.0,0.0,0.0,0.0,46.0,12.0,6.0,2.0,0.0,0.0,7.5,0.0,7.0,0.0,0.0,0.33,16.0,0.0,1.0,0.0,12.0,2.0,18.5,3.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,3.33,0.0,0.5,23.0,0.0,0.0,0.0,1.0,1.0,0.0,3.75,0.0,109.17,0.0,35.0,0.0,6.0,5125.83,3.33,0.0,0.0,1395.75,32.75,331.0,0.0,19804.66,202.0,0.0,14972.17,0
sample_29,876441.95,1335.75,62264.92,196.5,10.0,0.0,0.0,0.0,201.0,0.0,2.0,0.0,392.33,0.0,233.0,19.0,0.0,0.0,17.08,2.0,3.0,3017.66,11.0,0.0,16894.33,0.0,62849.08,9.0,1863.75,4.0,13.5,180.0,1706.5,420312.66,304562.83,0.0,142587.34,0.0,3.5,2.0,1402.25,0.0,13.0,1625.5,2.25,40.0,0.0,1402.25,0.0,0.0,0.0,13.08,0.0,0.0,0.0,8.33,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,6.0,0.0,0.0,26.0,415.33,0.0,260.0,0.0,0.0,0.0,50.0,11.0,21.0,1.0,0.0,0.25,4.0,0.0,4.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,3.5,0.0,24.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,2.0,17.5,0.0,0.0,0.0,3.0,2.0,0.0,5.08,0.0,107.33,1.0,35.0,0.0,3.0,6217.0,3.33,1.0,0.0,1170.0,52.5,379.0,0.0,18811.5,199.0,1.0,18037.83,0
sample_30,1666436.36,558.25,170163.0,495.5,8.0,0.0,0.0,0.0,105.5,0.0,1.0,0.0,435.17,0.0,539.83,28.0,4.0,0.0,29.33,36.0,0.0,1283.84,19.0,0.0,9636.5,0.0,48875.92,10.66,2416.0,19.0,16.0,209.0,3694.0,939717.16,312831.5,0.0,96358.67,0.0,5.5,4.0,3124.71,0.0,10.0,1618.0,14.08,16.0,3.0,3124.71,0.0,0.0,0.0,21.58,0.0,0.0,0.0,18.5,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,4.0,3.0,0.0,19.0,3665.42,0.0,602.0,0.0,0.0,0.0,107.0,16.0,27.0,6.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.33,3.0,0.0,1.0,0.0,8.0,1.0,4.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,15.08,0.0,2.0,17.0,1.0,0.0,2.0,4.0,0.0,0.0,7.0,2.0,56.67,1.0,60.5,0.0,5.0,8969.33,10.33,1.0,0.0,843.83,60.25,540.0,0.0,45076.66,383.0,5.0,13559.33,0
sample_31,1427316.47,1174.5,134636.83,245.5,9.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,348.83,0.0,302.0,26.0,0.0,0.0,23.83,16.0,0.0,1749.5,11.0,0.0,14831.0,0.0,56916.75,56.0,1126.67,13.0,11.5,140.0,3832.0,570902.48,452170.33,0.0,112473.34,0.0,4.0,4.0,1293.87,0.0,5.0,1488.0,5.75,11.0,1.0,1293.87,0.0,0.0,0.0,12.67,0.0,0.0,0.0,8.33,0.0,0.25,0.0,2.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,27.0,2281.83,0.0,182.0,0.0,0.0,0.0,67.5,14.0,16.0,2.0,0.0,0.25,12.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,10.5,0.0,17.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,18.0,1.0,0.0,1.0,3.0,1.0,0.0,1.5,0.0,53.67,1.0,36.0,0.0,1.0,6503.75,7.67,2.0,0.0,1330.42,14.75,368.0,0.0,28221.66,225.0,3.0,12944.33,0
sample_32,694334.55,467.75,64745.75,214.5,13.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,145.17,0.0,213.67,24.5,0.0,0.0,0.5,4.0,0.0,1008.84,7.0,0.0,8812.83,0.0,41984.83,9.0,602.5,3.0,8.0,84.0,2064.0,359765.48,270564.25,0.0,63475.66,0.0,3.0,1.0,822.25,0.0,0.0,833.75,5.08,14.0,0.0,820.25,0.0,0.0,0.0,0.58,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,0.5,15.0,429.25,0.0,82.0,0.0,0.0,0.0,36.0,9.0,9.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.83,0.0,8.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,24.0,0.0,2.0,3265.17,3.67,1.0,0.0,546.17,9.0,214.0,0.0,15707.5,119.33,3.0,7827.33,0
