,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1256,hsa-miR-1271-5p,hsa-miR-1273g-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-148a-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200c-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23c,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3184-5p,hsa-miR-3186-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-3689c,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-378i,hsa-miR-3977,hsa-miR-4268,hsa-miR-4295,hsa-miR-4307,hsa-miR-4315,hsa-miR-4319,hsa-miR-4424,hsa-miR-4431,hsa-miR-4462,hsa-miR-4471,hsa-miR-4496,hsa-miR-4501,hsa-miR-4514,hsa-miR-4635,hsa-miR-4645-3p,hsa-miR-4663,hsa-miR-4701-3p,hsa-miR-4706,hsa-miR-4711-3p,hsa-miR-4712-5p,hsa-miR-4769-3p,hsa-miR-4772-3p,hsa-miR-4774-3p,hsa-miR-4782-3p,hsa-miR-4789-5p,hsa-miR-4790-5p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-508-5p,hsa-miR-5093,hsa-miR-515-3p,hsa-miR-548ai,hsa-miR-548aq-5p,hsa-miR-548j-3p,hsa-miR-549a,hsa-miR-550a-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-569,hsa-miR-579-5p,hsa-miR-6076,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6728-5p,hsa-miR-6739-3p,hsa-miR-6758-5p,hsa-miR-676-5p,hsa-miR-6760-5p,hsa-miR-6769a-3p,hsa-miR-6792-3p,hsa-miR-6824-5p,hsa-miR-6828-3p,hsa-miR-6832-5p,hsa-miR-6836-5p,hsa-miR-6838-5p,hsa-miR-6839-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6883-5p,hsa-miR-6891-5p,hsa-miR-7107-5p,hsa-miR-769-5p,hsa-miR-7703,hsa-miR-7704,hsa-miR-7705,hsa-miR-8061,hsa-miR-8083,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_21,1080106.31,418.75,119319.67,385.0,31.0,41.0,0.0,389.0,0.0,11.0,11.0,12.0,1119.5,6606.83,32639.83,55.0,1301.58,0.0,17.0,110.5,4370.83,0.0,730758.82,271530.75,13.5,62845.16,2.0,2166.25,0.0,12.0,0.0,0.0,1387.0,7.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2462.17,24.0,5.0,0.0,1.0,0.83,0.25,0.33,0.5,5.5,6.0,5.0,0.0,6.0,0.0,7.0,27.0,0.0,8.0,0.0,3.0,0.5,0.0,0.33,0.0,0.0,4.0,0.0,1.0,0.0,3.0,41.0,43.5,0.0,1.0,0.0,5287.33,0.0,5.33,2.0,0.0,0.0,690.58,25.33,378.33,0.0,30132.16,286.5,8025.5,0
sample_22,1234320.06,531.75,135104.58,482.5,24.0,57.5,3.17,500.17,0.0,19.0,18.0,29.0,1777.66,8450.25,49608.08,23.5,2168.5,0.0,19.0,183.5,4553.0,2.5,984850.64,307651.0,13.25,79757.16,3.0,3325.96,0.0,9.0,0.0,0.0,1723.0,11.08,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2809.0,29.25,4.0,0.0,0.0,0.83,0.67,0.0,0.5,5.58,10.0,8.0,0.0,11.0,0.0,7.0,25.0,0.0,7.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0,5.83,1.0,49.5,0.0,0.0,0.0,6211.83,4.0,6.67,1.0,0.0,0.0,737.33,19.5,540.33,0.0,41207.16,340.0,11690.17,0
sample_23,1036532.48,767.25,78018.17,248.83,62.0,76.5,0.0,238.0,0.0,21.0,13.0,11.0,1529.5,8631.08,43934.67,6.0,1224.0,0.0,13.0,108.5,1423.5,1.0,483931.48,253616.08,3.83,86062.34,1.5,1372.75,0.0,1.0,0.0,0.0,1439.5,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,727.67,17.0,2.0,0.0,6.0,0.0,0.67,0.0,1.0,1.66,6.5,7.0,0.0,5.0,0.0,8.0,16.33,0.0,5.0,4.0,2.0,2.0,0.0,0.5,0.0,0.0,4.0,1.0,2.0,0.0,4.0,52.67,29.0,0.0,0.0,0.0,4522.33,1.5,4.33,1.0,0.0,0.0,740.5,24.83,298.0,0.0,20490.16,167.0,12603.25,0
sample_24,1478345.87,840.0,123298.08,249.0,11.0,83.0,1.0,365.0,0.0,30.0,6.0,10.0,2936.0,13138.42,59061.67,14.0,1469.25,0.0,12.0,244.0,2977.33,3.5,619079.32,382134.17,5.25,126725.59,2.5,1607.67,0.0,2.0,0.0,0.0,1914.5,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.5,936.17,21.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,3.5,4.0,6.0,0.0,6.0,0.0,10.0,12.5,1.0,16.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,3.33,141.08,42.0,0.0,0.0,0.0,6569.67,0.0,4.67,0.0,0.0,0.0,1096.58,26.0,484.0,0.0,21633.84,256.5,19701.42,0
sample_25,1858171.88,2626.0,144758.33,519.5,6.0,199.5,2.83,576.0,0.0,73.0,11.0,27.0,7244.0,31526.92,135796.08,6.0,2607.83,0.0,33.0,341.5,5968.0,5.33,944099.46,829992.91,12.5,292987.41,8.0,2411.75,5.0,5.0,0.0,0.0,3617.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1230.92,29.33,5.0,0.0,1.0,0.0,2.67,0.0,1.0,4.66,28.5,10.0,0.0,26.0,0.0,19.0,20.0,1.0,15.0,7.0,0.0,4.0,1.0,2.5,0.0,0.0,3.0,0.0,4.0,0.0,6.25,272.67,82.5,1.0,0.5,0.0,13602.58,1.5,10.67,2.0,0.0,0.0,3092.92,43.17,809.0,0.0,46088.34,425.0,36399.25,0
sample_26,979381.07,1422.75,80560.33,264.0,67.0,97.0,1.0,174.0,0.0,27.0,6.0,9.0,6058.66,15481.58,79849.58,8.5,922.0,2.0,11.0,124.5,1838.0,2.0,491347.98,469603.17,6.5,166237.25,2.0,857.5,0.0,2.0,0.0,0.0,2963.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,404.25,23.0,3.0,0.0,1.0,0.0,0.75,0.0,0.5,3.34,20.5,15.0,0.0,4.0,0.0,7.0,6.33,0.0,14.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,125.92,39.5,1.0,1.0,0.0,7489.92,1.0,3.0,0.0,0.0,0.0,2170.75,14.75,342.0,0.0,16076.66,185.0,19040.58,0
sample_27,885663.77,1481.08,73136.42,218.0,9.0,93.0,0.83,199.5,0.0,23.33,7.0,10.0,2459.34,16047.42,66052.75,4.0,1644.33,0.0,12.0,118.5,1844.5,3.0,384780.16,280760.83,3.5,129844.41,2.5,1539.29,3.0,5.0,0.0,0.0,1659.5,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.5,856.08,8.0,2.0,0.0,0.0,0.0,0.92,0.0,1.0,3.34,17.0,7.0,0.0,7.0,0.0,6.0,7.33,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,109.83,37.0,0.0,1.0,0.0,5279.33,0.0,9.67,0.0,0.0,0.0,1109.33,37.0,424.0,0.0,22516.34,234.0,16431.17,0
sample_28,918971.09,1465.25,96025.33,238.5,12.5,87.5,0.83,188.5,0.0,18.0,5.0,14.0,2485.5,18775.0,58080.08,179.5,1255.5,0.0,16.0,130.0,1397.0,3.0,355511.16,315370.67,5.0,129408.16,5.0,1060.08,1.0,8.0,0.0,0.0,1846.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,545.83,6.0,3.0,0.0,1.0,0.0,1.5,0.0,0.0,2.34,18.5,5.0,0.0,7.0,0.0,10.0,3.33,0.0,8.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,3.75,109.17,35.0,2.0,0.0,0.0,5125.83,1.0,3.33,0.0,0.0,0.0,1395.75,32.75,331.0,0.0,19804.66,202.0,14972.17,0
sample_29,876441.95,1335.75,62264.92,196.5,10.0,201.0,1.0,233.0,0.0,19.0,2.0,13.0,3017.66,16894.33,62849.08,9.0,1863.75,0.0,14.0,180.0,1706.5,6.0,420312.66,304562.83,7.0,142587.34,3.5,1402.25,1.0,7.0,0.0,0.0,1625.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.5,415.33,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.08,24.0,8.0,0.0,14.0,0.0,5.0,7.33,0.0,3.0,4.5,0.0,3.5,0.0,4.5,0.0,0.0,8.0,0.0,2.0,0.0,5.08,107.33,35.0,0.0,1.0,1.0,6217.0,6.5,3.33,0.0,0.0,0.0,1170.0,52.5,379.0,0.0,18811.5,199.0,18037.83,0
sample_30,1666436.36,558.25,170163.0,495.5,8.0,105.5,4.0,539.83,0.0,28.0,36.0,20.0,1283.84,9636.5,48875.92,10.66,2416.0,1.0,14.0,209.0,3694.0,5.0,939717.16,312831.5,12.25,96358.67,5.5,3124.71,2.0,10.0,0.0,0.0,1618.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3665.42,27.0,4.0,0.0,0.0,0.5,0.25,0.0,0.0,5.34,4.0,3.0,0.0,7.0,0.0,5.0,15.08,0.0,14.0,1.0,0.0,1.0,1.0,0.5,0.0,0.0,7.0,0.0,2.0,0.0,7.0,56.67,60.5,0.0,0.0,0.0,8969.33,1.0,10.33,1.0,0.0,0.0,843.83,60.25,540.0,0.0,45076.66,383.0,13559.33,0
sample_31,1427316.47,1174.5,134636.83,245.5,9.0,47.0,0.0,302.0,0.0,26.0,16.0,18.0,1749.5,14831.0,56916.75,56.0,1126.67,0.0,21.0,140.0,3832.0,1.0,570902.48,452170.33,7.0,112473.34,4.0,1293.87,0.0,30.0,0.0,0.0,1488.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.5,2281.83,16.0,3.0,0.0,2.0,0.0,1.25,0.33,0.0,2.08,17.0,7.0,0.0,11.0,0.0,9.0,12.0,0.0,11.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,1.5,53.67,36.0,1.0,0.0,0.0,6503.75,1.5,7.67,0.0,0.0,0.0,1330.42,14.75,368.0,0.0,28221.66,225.0,12944.33,0
sample_32,694334.55,467.75,64745.75,214.5,13.0,17.0,0.0,213.67,0.0,24.5,4.0,6.0,1008.84,8812.83,41984.83,9.0,602.5,1.0,18.0,84.0,2064.0,0.0,359765.48,270564.25,4.0,63475.66,3.0,822.25,0.0,9.0,0.0,0.0,833.75,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,429.25,9.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,1.66,8.0,3.0,0.0,12.0,0.0,5.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,3265.17,1.0,3.67,1.0,0.0,0.0,546.17,9.0,214.0,0.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,581.5,84306.08,155.5,32.0,94.0,0.0,187.5,0.0,34.0,8.0,8.0,990.16,6194.83,63788.92,13.0,722.5,0.0,14.0,57.5,1761.5,0.0,357101.16,276555.33,3.5,66189.66,1.5,1366.0,2.0,8.0,0.0,0.0,926.5,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.5,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.0,9.5,9.0,0.0,6.0,0.0,6.0,3.33,2.0,3.0,2.0,4.0,3.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,2.5,68.17,22.0,3.0,1.0,0.0,3694.83,0.0,8.33,1.0,0.0,0.0,704.58,20.0,182.0,0.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,312.5,87267.5,108.0,11.0,17.5,0.83,235.0,0.0,20.0,17.0,10.0,1039.5,6658.75,54646.0,12.0,569.0,0.0,20.0,101.0,1858.5,2.0,391132.32,329310.17,4.5,54513.0,2.5,3123.0,0.0,8.0,0.0,0.0,2216.0,12.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1786.42,12.0,1.0,0.0,1.0,0.33,0.5,0.0,1.0,3.16,8.5,16.0,0.0,15.0,0.0,6.0,2.0,0.0,5.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,118.33,24.5,0.0,3.0,0.0,4172.0,0.0,8.33,0.0,0.0,0.0,675.0,4.0,214.0,0.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,1171.25,82160.42,282.67,13.0,66.08,0.0,259.0,0.0,29.0,11.0,19.0,2416.16,12640.08,64480.33,6.0,1050.83,0.0,17.0,156.0,2916.58,1.0,404816.66,360357.83,4.5,126423.84,1.0,1085.08,1.0,2.0,0.0,0.0,1633.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1035.5,11.0,2.0,0.0,1.0,0.0,0.75,0.0,0.0,2.34,16.5,5.5,0.0,13.0,0.0,13.0,5.0,0.0,2.0,2.0,2.0,1.5,0.0,1.0,0.0,0.0,9.0,0.0,0.0,2.0,2.83,140.67,29.83,1.0,1.0,0.0,5050.33,1.0,8.33,3.0,0.0,0.0,1079.5,18.0,297.0,0.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,1405.25,105970.83,228.5,7.0,96.5,0.5,238.5,0.0,37.0,6.0,17.0,2212.0,15167.25,58104.92,9.0,1120.5,3.0,13.0,102.0,1487.0,4.0,411492.66,361609.92,7.5,144325.84,1.5,1272.88,0.0,4.0,0.0,0.0,1592.33,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5,402.92,14.0,8.0,0.0,0.0,0.67,0.33,0.0,0.0,3.5,19.5,13.0,0.0,7.0,0.0,9.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,1.75,136.17,52.0,8.0,0.0,0.0,5479.33,0.0,5.33,0.0,0.0,0.0,1166.33,16.25,293.0,0.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,603.75,244416.25,407.5,17.0,16.0,1.33,473.0,0.0,12.33,39.0,53.0,1159.84,11484.92,40491.83,97.0,1538.0,0.0,25.0,150.5,2971.0,4.0,957376.32,329443.17,13.5,89330.34,3.0,2379.58,0.0,0.0,0.0,0.0,2243.83,10.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2083.0,25.0,10.0,0.0,1.0,0.0,1.58,0.33,0.5,0.92,10.5,7.0,0.0,7.0,0.0,20.0,14.92,1.0,8.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,49.67,44.0,2.0,2.0,0.0,5900.83,2.0,11.0,0.0,0.0,0.0,541.0,8.0,450.0,0.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,554.25,245438.83,383.5,32.0,48.5,3.0,603.83,0.0,18.0,35.0,30.0,849.0,10304.33,46535.25,337.5,2290.83,1.0,19.0,209.5,3650.33,1.0,1073443.82,310049.83,14.5,74905.5,4.5,3968.87,1.0,7.0,0.0,0.0,1750.0,16.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,3.0,4606.33,21.0,4.0,0.0,0.0,0.67,1.67,0.0,1.0,3.16,10.5,7.0,0.0,4.0,0.0,10.0,6.25,1.0,11.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,7.0,0.0,1.0,0.0,3.5,130.33,83.5,0.0,1.0,0.0,5659.33,2.0,16.33,0.0,0.0,0.0,562.5,45.25,324.0,0.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,500.5,246570.5,299.5,29.0,19.0,1.0,442.0,0.0,13.0,53.0,94.0,667.5,7581.5,40677.33,57.0,1520.5,1.0,23.0,121.0,4792.75,3.0,842892.98,392996.25,8.0,62701.16,3.5,2720.83,1.0,2.0,0.0,0.0,1646.25,13.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3614.92,27.0,4.0,0.0,1.0,0.5,0.0,0.0,1.0,1.34,13.0,12.0,0.0,5.0,0.0,7.0,15.33,0.0,12.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,40.33,52.0,1.0,0.0,0.0,7953.58,1.5,8.67,1.0,0.0,0.0,503.5,20.83,386.0,0.0,53491.0,359.0,12428.67,0
sample_40,994403.21,776.5,83164.17,225.83,221.0,34.0,0.83,205.0,0.0,19.0,22.0,12.0,1646.66,9979.0,47465.92,3.0,724.0,0.0,21.0,63.0,1692.5,4.0,362781.0,309952.5,4.5,98775.0,1.5,791.25,0.0,3.0,0.0,0.0,1441.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,454.67,6.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.16,10.5,3.0,0.0,4.0,0.0,9.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,53.67,14.0,0.0,0.0,0.0,4288.5,1.0,7.67,0.0,0.0,0.0,725.5,12.0,211.0,0.0,17461.16,137.5,12546.17,0
sample_41,1278626.4,1018.5,98027.42,193.0,31.0,193.5,1.33,248.83,0.0,25.0,6.0,9.0,2256.66,9690.25,59583.92,75.0,1624.17,0.0,28.0,126.5,1783.5,3.0,490505.32,320475.33,6.0,91859.84,1.0,2031.0,1.0,16.0,0.0,0.0,1642.83,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,575.83,19.0,3.0,0.0,0.0,0.25,2.0,0.0,0.5,3.0,6.0,5.0,0.0,8.0,0.0,14.0,5.33,1.0,7.0,4.0,2.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,2.0,0.0,4.5,136.83,39.0,0.0,3.0,0.0,4931.83,0.0,14.0,0.0,0.0,0.0,1054.17,41.5,515.0,2.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,1134.5,115119.67,224.5,16.5,111.0,0.5,307.83,0.0,31.0,6.0,19.0,4022.66,13341.0,74609.25,17.0,1450.67,0.0,18.0,174.0,2015.83,3.0,609860.14,421321.08,9.5,132917.5,2.5,1665.58,2.0,13.0,0.0,0.0,1855.0,4.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,942.42,14.33,1.0,0.0,2.0,0.0,0.5,0.0,0.5,2.5,18.5,14.0,0.0,10.0,0.0,10.0,9.33,2.0,18.5,4.0,1.0,2.0,1.0,2.0,0.0,0.0,8.0,0.0,3.0,0.0,1.0,163.17,30.5,0.0,1.0,0.0,6724.33,0.0,15.33,0.0,0.0,0.0,1536.5,26.33,533.0,0.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,832.75,92052.42,232.33,12.0,139.5,0.5,264.0,0.0,16.0,6.0,4.0,2307.84,9898.83,66674.75,271.0,1009.67,0.0,11.0,73.5,1589.0,1.0,474958.48,386260.67,9.5,108196.0,2.0,1218.67,0.0,5.0,0.0,0.0,1175.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.5,328.17,15.0,1.0,0.0,4.0,0.0,0.5,0.33,1.0,2.16,12.5,10.0,0.0,7.0,0.0,12.0,9.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,153.33,28.0,4.0,0.0,0.0,5549.25,0.0,5.67,0.0,0.0,0.0,1175.17,19.5,319.0,0.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,406.0,113001.58,378.0,26.0,57.0,2.5,488.33,0.0,16.0,25.0,28.0,839.84,6210.17,43090.58,7.0,1633.83,0.0,11.0,138.0,4906.08,3.0,837761.98,410805.42,11.75,53443.84,2.0,2381.21,0.0,4.0,0.0,0.0,1754.5,21.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2470.83,36.0,3.0,0.0,0.0,0.0,0.5,0.0,0.0,1.58,11.0,13.0,0.0,10.0,0.0,4.0,9.67,0.5,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,58.83,56.0,0.0,1.0,0.0,9020.17,3.5,6.67,0.0,0.0,0.0,651.17,34.58,272.0,0.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,1471.75,84586.67,216.5,162.0,152.25,0.5,243.83,0.0,24.0,5.0,13.0,2722.0,10929.0,62306.58,18.0,1436.0,0.0,24.0,146.0,1836.0,5.0,482796.98,396716.42,7.0,131275.0,3.0,1260.5,0.0,6.0,0.0,0.0,1707.5,3.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,382.67,12.33,3.5,0.0,0.0,0.33,0.5,0.0,0.5,2.5,18.0,13.0,0.0,6.0,0.0,10.0,2.33,3.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,0.0,2.0,0.0,2.25,1.0,33.0,3.0,1.0,0.0,5964.0,0.0,5.0,1.0,0.0,0.0,1413.67,27.0,445.0,0.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,801.0,103398.58,377.0,6.0,50.75,1.5,362.83,0.0,14.0,12.0,14.0,2235.5,12841.75,62941.58,13.5,1008.08,0.0,11.0,118.5,2199.0,4.0,589243.32,395553.17,8.5,110661.5,2.0,1012.67,0.0,5.0,0.0,0.0,1681.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,518.25,17.0,0.0,0.0,3.0,0.0,0.67,0.0,0.0,1.84,7.0,11.0,0.0,12.0,0.0,5.0,17.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.5,0.0,3.0,1.0,0.5,0.0,20.0,2.0,0.0,0.0,6124.67,2.5,3.67,0.0,0.0,0.0,1127.08,14.0,404.5,0.0,16788.0,212.0,15612.33,1
sample_48,1476603.36,930.0,97773.33,357.0,37.0,51.5,1.5,487.17,0.0,22.0,13.0,9.0,2228.5,13941.17,75057.92,46.5,1389.83,1.0,13.0,87.0,2204.0,2.0,739304.32,404798.5,4.5,115364.84,2.0,1423.83,0.0,9.0,0.0,0.0,1241.75,5.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,584.17,21.0,0.0,0.0,1.5,0.25,1.42,0.0,0.0,2.24,10.5,11.0,0.0,7.0,0.0,7.0,11.67,1.0,4.0,4.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,3.0,0.0,2.33,76.0,38.0,2.0,0.0,0.0,5306.33,3.0,5.67,3.0,0.0,0.0,1164.42,27.25,447.0,0.0,23338.0,229.0,17069.25,1
