,hsa-let-7a-5p,hsa-let-7b-3p,hsa-let-7c-5p,hsa-miR-106b-5p,hsa-miR-10a-5p,hsa-miR-1224-3p,hsa-miR-1256,hsa-miR-1271-5p,hsa-miR-1273g-5p,hsa-miR-1278,hsa-miR-1298-5p,hsa-miR-148a-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-192-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-200c-5p,hsa-miR-2116-5p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23c,hsa-miR-26a-5p,hsa-miR-29a-3p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3184-5p,hsa-miR-3186-3p,hsa-miR-3663-5p,hsa-miR-3670,hsa-miR-3689c,hsa-miR-369-3p,hsa-miR-378g,hsa-miR-378i,hsa-miR-3977,hsa-miR-4268,hsa-miR-4295,hsa-miR-4307,hsa-miR-4315,hsa-miR-4319,hsa-miR-4424,hsa-miR-4431,hsa-miR-4462,hsa-miR-4471,hsa-miR-4496,hsa-miR-4501,hsa-miR-4514,hsa-miR-4635,hsa-miR-4645-3p,hsa-miR-4663,hsa-miR-4701-3p,hsa-miR-4706,hsa-miR-4711-3p,hsa-miR-4712-5p,hsa-miR-4769-3p,hsa-miR-4772-3p,hsa-miR-4774-3p,hsa-miR-4782-3p,hsa-miR-4789-5p,hsa-miR-4790-5p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-508-5p,hsa-miR-5093,hsa-miR-515-3p,hsa-miR-548ai,hsa-miR-548aq-5p,hsa-miR-548j-3p,hsa-miR-549a,hsa-miR-550a-5p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-569,hsa-miR-579-5p,hsa-miR-6076,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6728-5p,hsa-miR-6739-3p,hsa-miR-6758-5p,hsa-miR-676-5p,hsa-miR-6760-5p,hsa-miR-6769a-3p,hsa-miR-6792-3p,hsa-miR-6824-5p,hsa-miR-6828-3p,hsa-miR-6832-5p,hsa-miR-6836-5p,hsa-miR-6838-5p,hsa-miR-6839-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6883-5p,hsa-miR-6891-5p,hsa-miR-7107-5p,hsa-miR-769-5p,hsa-miR-7703,hsa-miR-7704,hsa-miR-7705,hsa-miR-8061,hsa-miR-8083,hsa-miR-873-5p,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-892c-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,1489.25,89385.83,298.5,14.0,99.5,0.0,176.0,0.0,43.83,10.0,11.0,3000.66,18010.17,72254.67,8.5,1347.83,0.0,15.0,179.5,3754.0,8.5,480627.32,428694.33,11.5,172346.34,4.0,1553.29,2.0,2.0,0.0,0.0,3089.5,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,657.08,27.58,3.0,0.0,0.0,0.0,2.33,0.0,0.0,2.34,18.0,8.0,0.0,13.0,0.0,10.0,3.0,0.0,10.5,2.0,0.0,4.0,1.33,1.0,0.0,0.0,6.0,0.0,5.0,0.0,2.08,172.17,81.5,1.0,0.0,0.0,7297.08,2.0,2.33,2.0,0.0,0.0,1592.67,53.0,412.0,0.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,1439.0,95560.5,268.5,18.0,61.0,0.33,224.5,0.0,38.0,12.0,10.0,1916.84,16225.0,70021.42,13.0,1526.0,1.0,23.0,217.0,3708.75,1.0,427882.82,372735.0,5.75,148707.41,4.0,1742.62,2.0,7.0,0.0,0.0,2135.25,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,664.08,22.0,1.0,0.0,1.0,0.5,0.5,0.33,1.0,2.24,8.5,7.0,0.0,11.0,0.0,11.0,1.0,0.0,7.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,12.0,0.0,7.0,0.0,0.75,118.0,58.0,0.0,0.75,0.0,4826.75,0.0,5.33,0.0,0.0,0.0,1136.17,46.25,214.0,0.0,45909.0,312.0,18516.17,0
sample_13,907331.1,1101.5,71403.0,281.5,7.0,50.75,0.5,246.5,0.0,24.0,9.0,18.0,1852.0,17954.92,71387.08,7.5,1201.83,0.0,14.0,151.0,7021.0,4.0,406255.16,377848.67,6.0,134614.67,4.5,1464.75,0.0,2.0,0.0,0.0,1834.58,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,654.67,8.33,5.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,9.5,2.0,0.0,14.0,0.0,7.0,6.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.5,56.0,53.5,1.0,0.0,0.0,5602.5,0.5,8.33,0.0,0.0,0.0,1364.42,25.75,345.0,0.0,26757.5,236.0,17101.92,0
sample_14,998615.48,1523.5,104944.25,169.33,9.0,123.0,0.0,206.5,0.0,11.0,16.0,18.0,1024.0,12357.17,55595.0,30.0,1962.67,0.0,19.0,155.5,1906.0,3.0,415483.32,290152.42,4.5,114161.91,3.5,2088.5,2.0,4.0,0.0,0.0,1551.5,6.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,894.17,12.0,0.0,0.0,1.0,0.0,1.25,0.25,1.0,4.0,9.0,7.0,0.0,5.0,0.0,6.0,6.33,3.0,5.0,3.0,2.0,0.0,1.0,1.5,0.0,0.0,4.0,0.0,1.0,0.0,3.5,115.17,49.5,1.0,0.0,0.0,5622.92,1.5,9.33,0.0,0.0,0.0,1075.67,48.5,433.0,0.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,501.25,185912.83,398.5,11.0,87.0,1.33,465.33,0.0,16.0,39.0,29.0,529.5,6769.67,37588.5,27.0,2339.67,0.0,13.0,175.5,5549.33,1.0,762730.98,272807.33,8.75,58985.34,1.5,3511.08,0.5,21.0,0.0,0.0,1301.5,19.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3866.75,23.0,2.0,0.0,0.0,0.5,1.0,0.0,0.0,4.0,4.0,4.0,0.0,10.0,0.0,7.0,7.33,0.0,10.5,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,54.83,74.0,0.0,0.0,0.0,6402.92,1.5,15.33,2.0,0.0,0.0,625.67,65.08,360.0,0.0,59470.0,328.0,9118.58,0
sample_16,975637.65,1309.0,72512.67,229.0,8.0,145.0,0.5,263.33,0.0,38.0,11.0,12.0,2591.66,16945.92,70223.0,4.0,1653.83,0.0,12.0,122.5,3136.5,2.0,510676.98,340826.92,4.17,131022.0,1.5,1695.04,0.0,8.0,0.0,0.0,1943.5,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,799.67,25.0,2.0,0.0,2.0,0.0,2.25,0.0,0.5,3.5,13.5,4.0,0.0,4.0,0.0,16.0,5.0,0.0,5.0,2.0,1.0,2.0,1.5,5.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,82.33,44.0,3.33,0.0,0.0,5419.33,2.0,3.33,0.0,0.0,0.0,1273.75,52.25,492.0,0.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,1462.75,94602.33,289.5,8.0,161.0,0.33,218.0,0.0,42.0,7.0,18.0,1744.5,14944.0,76559.25,61.0,1884.5,0.0,10.0,113.0,4469.83,2.0,483656.82,368519.0,10.0,155544.34,4.5,2545.12,2.0,7.0,0.0,0.0,2210.75,10.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,875.17,17.33,0.0,0.0,0.0,0.0,1.25,0.0,0.0,2.34,13.0,6.0,0.0,4.0,0.0,9.0,7.0,0.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,1.0,65.0,4.0,0.0,0.0,5462.5,0.5,8.0,0.0,0.0,0.0,1377.08,66.33,351.0,0.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,1154.5,126632.92,321.0,27.0,47.5,0.33,215.0,0.0,49.33,20.0,13.0,3075.66,18997.0,70163.83,47.5,1120.0,3.0,52.0,174.0,2972.5,2.0,422444.98,463757.17,8.5,169352.59,1.0,1499.17,1.0,11.0,0.0,0.0,3136.83,4.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,410.83,26.0,1.0,0.0,0.0,0.0,2.42,0.0,1.0,1.84,10.0,8.0,0.0,4.0,0.0,16.0,7.33,0.0,8.0,1.0,0.0,2.0,2.0,2.0,0.33,0.0,3.0,0.0,2.0,2.0,2.5,154.0,61.0,5.0,0.0,0.0,5339.5,1.5,3.67,0.0,0.0,0.0,1295.83,21.0,301.0,0.0,27854.0,244.0,21170.0,0
sample_19,601240.79,924.0,43487.83,164.5,4.0,68.25,0.33,128.33,0.0,24.0,6.0,4.0,1078.0,8139.58,43130.25,7.0,1330.0,0.0,4.0,107.0,2035.5,0.0,224900.82,174504.67,6.0,83631.34,2.5,1716.5,3.0,0.0,0.0,0.0,1186.5,7.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.5,430.0,6.0,0.0,0.0,0.0,0.0,0.5,0.33,0.0,1.5,9.0,2.0,0.0,12.0,0.0,4.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,54.0,28.33,1.0,0.0,0.0,2380.5,0.0,5.33,1.0,0.0,0.0,608.83,29.5,257.0,2.0,23752.5,152.0,11528.5,0
sample_20,923612.02,1081.0,84369.75,231.0,4.0,55.5,0.33,161.5,0.0,29.0,2.0,12.0,1457.5,13040.25,56189.83,2.0,1259.17,3.0,21.0,130.5,3179.83,4.0,335039.32,253280.67,6.25,119657.33,2.0,2070.92,1.0,0.0,0.5,0.0,1796.0,3.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,496.5,12.0,4.0,0.0,0.0,0.0,0.25,0.5,1.5,2.0,10.33,9.0,0.0,8.0,0.0,4.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,2.0,67.33,50.33,4.0,0.0,0.0,4088.75,0.0,3.0,0.0,0.0,0.0,988.5,30.33,310.0,0.0,30059.0,181.0,14666.5,0
