,hsa-miR-152-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3196,hsa-miR-3927-5p,hsa-miR-4448,hsa-miR-484,hsa-miR-518f-3p,hsa-miR-5680,hsa-miR-6833-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6871-3p,hsa-miR-6879-5p,hsa-miR-875-5p,Disese Group
sample_44,14.5,837761.98,53443.84,0.0,0.0,0.0,2470.83,0.0,13.0,2.0,5.0,58.83,0.0,0.0,0.0,1
sample_46,5.0,482796.98,131275.0,0.0,0.0,0.0,382.67,8.0,13.0,3.33,2.25,1.0,1.0,0.0,0.0,1
sample_47,2.0,589243.32,110661.5,0.0,0.0,0.0,518.25,2.0,11.0,2.0,0.5,0.0,0.0,0.0,0.0,1
sample_48,4.0,739304.32,115364.84,0.0,0.0,0.0,584.17,8.0,11.0,1.0,2.33,76.0,0.0,0.0,0.0,1
sample_49,8.0,784251.64,243959.0,0.0,0.0,0.0,398.25,12.0,20.0,1.5,1.5,90.83,3.0,0.0,0.0,1
sample_50,7.5,569870.48,250847.16,0.0,0.0,0.0,241.33,22.0,9.0,4.0,1.33,71.67,0.0,0.0,0.0,1
sample_51,5.0,614604.82,227498.5,0.0,0.0,0.0,379.92,2.0,23.0,2.0,2.5,167.33,1.0,0.0,0.0,1
sample_52,3.0,556982.32,210166.16,0.0,0.0,0.0,340.42,5.0,6.0,3.0,0.83,166.0,0.0,0.0,0.0,1
sample_53,1.0,430519.98,153877.34,0.0,0.0,0.0,238.0,7.0,11.0,3.0,2.5,134.17,0.0,0.0,0.0,1
sample_54,5.0,441853.16,132932.0,0.0,0.0,0.0,547.42,3.0,10.0,1.5,1.25,61.17,0.0,0.0,0.0,1
sample_55,8.0,612820.66,134380.5,0.0,0.0,0.0,783.75,5.0,13.0,1.0,1.0,86.67,1.0,0.0,0.0,1
sample_56,5.0,369774.32,56956.0,0.0,0.0,0.0,903.67,0.0,8.0,2.0,1.5,1.0,0.0,0.0,0.0,1
sample_57,2.5,490719.82,159639.91,0.0,0.0,0.0,372.0,2.5,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1
sample_58,5.0,740705.16,60244.34,0.0,0.0,0.0,4515.25,3.0,4.0,0.0,3.33,60.33,0.0,0.0,0.0,1
sample_59,5.5,984079.48,105114.5,0.0,0.0,0.0,4133.25,1.0,3.0,1.0,3.0,66.83,0.0,0.0,0.0,1
sample_60,7.33,492615.48,161667.66,0.0,0.0,0.0,347.5,2.5,10.0,3.0,0.5,78.33,0.0,0.0,0.0,1
sample_61,3.0,498263.66,116369.16,0.0,0.0,0.0,356.17,4.5,11.0,1.0,4.5,117.0,1.0,0.0,0.0,1
sample_62,13.5,1301247.14,191776.34,0.0,0.0,0.0,5341.5,11.0,11.0,2.0,4.5,1.0,0.0,0.0,0.0,1
sample_63,11.0,825674.48,135393.41,0.0,0.0,0.0,1577.67,8.0,25.0,3.0,2.5,1.0,0.0,0.0,0.0,1
sample_64,5.0,432294.82,103282.5,0.0,0.0,0.0,385.42,3.0,11.0,0.5,0.5,0.0,0.0,0.0,0.0,1
sample_65,3.0,759803.3,225268.34,0.0,0.0,0.0,528.5,15.33,15.0,2.5,0.5,1.0,0.0,0.0,0.0,1
sample_66,5.5,665104.48,178223.25,0.0,0.0,0.0,496.25,8.5,15.0,2.0,1.0,2.0,0.0,0.0,0.0,1
sample_67,8.0,1244477.32,78987.84,0.0,0.0,0.0,3727.92,4.0,14.0,3.0,4.5,148.5,0.0,0.0,0.0,1
sample_68,2.0,449262.98,131292.66,0.0,0.0,0.0,388.0,4.0,13.0,2.0,3.0,2.0,1.0,0.0,1.0,1
sample_69,4.0,601588.65,155633.16,0.0,0.0,0.0,534.0,3.5,10.0,3.5,1.5,147.17,1.0,0.0,0.0,1
sample_70,7.5,662197.48,187585.0,0.0,0.0,0.0,482.67,9.0,24.0,3.0,1.0,167.33,1.0,0.0,0.0,1
sample_71,4.0,468068.66,69475.41,0.0,0.0,0.0,607.0,2.0,4.0,4.0,1.5,0.0,1.0,0.0,1.0,1
sample_72,9.0,486468.32,96758.34,0.0,0.0,0.0,740.0,7.0,5.0,0.0,2.0,141.33,0.5,0.0,0.0,1
sample_73,12.0,606739.32,182408.0,0.0,0.0,0.0,436.08,14.0,36.0,2.0,0.5,0.0,0.0,0.0,1.0,1
sample_74,12.5,601618.14,198921.66,0.0,0.0,0.0,666.33,11.5,10.0,1.5,0.5,1.0,4.0,0.0,0.0,1
sample_75,12.0,1194868.66,101286.5,0.0,0.0,0.0,10429.08,4.0,8.0,1.0,2.5,2.0,1.0,0.0,0.0,1
sample_76,9.0,1084734.48,59971.5,0.0,0.0,0.0,4262.67,2.5,8.0,3.0,3.25,0.0,0.0,0.5,0.0,1
sample_77,2.0,353936.48,103603.0,0.0,0.0,0.0,312.5,6.0,8.0,1.0,1.5,57.0,0.0,0.0,0.0,1
sample_78,7.0,488109.66,21178.5,0.0,0.0,0.0,1548.58,1.0,4.0,1.0,0.5,0.0,0.0,0.0,0.0,1
sample_79,7.5,563442.82,111138.66,0.0,0.0,0.0,1431.67,8.5,7.0,2.0,0.5,151.17,0.0,0.0,0.0,1
sample_80,5.0,728669.66,48213.84,0.5,0.0,0.0,4402.58,4.0,5.0,2.0,2.5,101.0,0.0,0.0,0.0,1
