,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10b-3p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-193a-3p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23a-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3159,hsa-miR-3621,hsa-miR-369-3p,hsa-miR-383-3p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-4304,hsa-miR-4314,hsa-miR-4316,hsa-miR-4321,hsa-miR-4455,hsa-miR-4476,hsa-miR-4490,hsa-miR-4500,hsa-miR-4659a-5p,hsa-miR-4679,hsa-miR-4687-3p,hsa-miR-4740-3p,hsa-miR-4742-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-518c-3p,hsa-miR-525-3p,hsa-miR-527,hsa-miR-548as-5p,hsa-miR-548b-5p,hsa-miR-5580-3p,hsa-miR-5584-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5693,hsa-miR-5694,hsa-miR-620,hsa-miR-649,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6764-5p,hsa-miR-6791-5p,hsa-miR-6801-5p,hsa-miR-6829-3p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-711,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7704,hsa-miR-8082,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_31,1427316.47,134636.83,3.0,302.0,16.0,8.0,1749.5,14831.0,10.0,56.0,1126.67,11.5,140.0,3832.0,1.0,570902.48,112473.34,4.0,0.0,1488.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67,0.25,1.0,0.0,9.0,14.0,2281.83,0.0,182.0,12.0,0.0,0.58,0.0,0.0,4.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,9.0,12.0,5.0,0.0,18.0,0.0,0.0,0.0,1.5,0.0,53.67,36.0,0.0,0.0,3.0,1.0,7.67,0.0,14.75,368.0,28221.66,225.0,12944.33,0
sample_32,694334.55,64745.75,0.0,213.67,4.0,3.5,1008.84,8812.83,0.0,9.0,602.5,8.0,84.0,2064.0,2.0,359765.48,63475.66,1.0,0.0,833.75,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,1.0,0.0,0.0,5.0,8.0,429.25,0.0,82.0,3.0,0.0,0.33,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,1.0,2.0,3.67,0.0,9.0,214.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,84306.08,2.0,187.5,8.0,3.0,990.16,6194.83,1.0,13.0,722.5,15.5,57.5,1761.5,2.0,357101.16,66189.66,2.0,0.0,926.5,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.33,397.5,0.0,156.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,0.0,0.0,0.0,0.0,6.0,3.33,3.0,0.0,26.0,0.0,0.0,0.0,2.5,1.0,68.17,22.0,0.0,0.0,2.0,4.0,8.33,0.0,20.0,182.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,87267.5,1.0,235.0,17.0,7.0,1039.5,6658.75,0.0,12.0,569.0,11.0,101.0,1858.5,1.0,391132.32,54513.0,5.0,0.0,2216.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.25,2.0,1.0,10.0,5.0,1786.42,0.0,128.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,16.0,0.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,17.0,1.0,0.0,0.0,2.0,3.0,118.33,24.5,0.0,0.0,2.0,3.0,8.33,0.0,4.0,214.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,82160.42,1.0,259.0,11.0,4.5,2416.16,12640.08,2.0,6.0,1050.83,13.5,156.0,2916.58,0.0,404816.66,126423.84,5.0,0.0,1633.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,1035.5,1.0,210.0,7.0,0.0,0.33,0.0,0.0,1.0,0.0,16.5,5.5,0.0,0.0,0.0,0.0,13.0,5.0,3.0,0.0,16.0,0.0,0.0,0.0,2.83,2.0,140.67,29.83,0.0,0.0,3.0,2.0,8.33,0.0,18.0,297.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,105970.83,1.0,238.5,6.0,8.5,2212.0,15167.25,2.0,9.0,1120.5,19.0,102.0,1487.0,23.0,411492.66,144325.84,1.0,0.0,1592.33,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,23.0,402.92,0.0,169.0,7.5,0.0,0.33,0.0,0.0,1.0,0.0,19.5,13.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,0.0,24.0,0.0,0.0,3.0,1.75,2.0,136.17,52.0,0.0,0.0,1.0,3.0,5.33,0.0,16.25,293.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,244416.25,2.0,473.0,39.0,8.5,1159.84,11484.92,13.0,97.0,1538.0,9.5,150.5,2971.0,4.0,957376.32,89330.34,1.0,0.0,2243.83,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,4.0,1.0,3.0,20.0,2083.0,0.0,560.0,3.5,0.0,0.0,0.0,0.0,1.0,0.0,10.5,7.0,0.0,0.0,0.0,0.0,20.0,14.92,5.0,0.0,20.0,1.0,1.0,0.0,2.0,2.0,49.67,44.0,0.0,0.0,9.0,3.0,11.0,0.0,8.0,450.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,245438.83,1.0,603.83,35.0,5.5,849.0,10304.33,3.0,337.5,2290.83,13.0,209.5,3650.33,1.0,1073443.82,74905.5,3.0,0.0,1750.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.75,2.0,0.5,10.0,40.0,4606.33,0.0,375.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,10.5,7.0,0.0,0.0,0.0,0.0,10.0,6.25,5.0,0.0,24.0,0.0,0.0,0.0,3.5,3.0,130.33,83.5,0.0,0.0,7.0,1.0,16.33,0.0,45.25,324.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,246570.5,0.0,442.0,53.0,11.0,667.5,7581.5,5.0,57.0,1520.5,7.0,121.0,4792.75,2.0,842892.98,62701.16,5.0,0.0,1646.25,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,3.0,0.0,6.0,14.0,3614.92,0.0,356.0,6.0,0.0,0.0,0.0,0.5,1.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,7.0,15.33,1.0,0.0,14.0,0.0,1.0,1.0,1.0,3.0,40.33,52.0,0.0,0.0,9.0,3.0,8.67,0.0,20.83,386.0,53491.0,359.0,12428.67,0
sample_40,994403.21,83164.17,0.0,205.0,22.0,3.0,1646.66,9979.0,3.0,3.0,724.0,13.0,63.0,1692.5,0.0,362781.0,98775.0,2.0,0.0,1441.5,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,454.67,0.0,147.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,10.5,3.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,8.5,0.0,1.5,1.0,2.0,0.0,53.67,14.0,0.0,0.0,0.0,2.0,7.67,0.0,12.0,211.0,17461.16,137.5,12546.17,0
sample_41,1278626.4,98027.42,5.0,248.83,6.0,4.5,2256.66,9690.25,2.0,75.0,1624.17,12.0,126.5,1783.5,5.0,490505.32,91859.84,3.0,0.0,1642.83,44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.5,1.0,1.0,9.0,23.83,575.83,0.0,195.0,7.0,0.0,0.33,0.0,0.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,14.0,5.33,9.0,0.0,33.0,0.0,1.0,1.0,4.5,1.0,136.83,39.0,1.0,0.0,3.0,7.5,14.0,0.0,41.5,515.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,115119.67,3.0,307.83,6.0,8.0,4022.66,13341.0,1.0,17.0,1450.67,17.5,174.0,2015.83,4.0,609860.14,132917.5,6.0,0.0,1855.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,10.5,11.0,942.42,0.0,243.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,18.5,14.0,0.0,0.0,0.0,0.0,10.0,9.33,4.0,0.0,22.0,0.0,0.0,0.5,1.0,0.0,163.17,30.5,0.0,0.0,4.0,3.0,15.33,0.0,26.33,533.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,92052.42,1.0,264.0,6.0,8.0,2307.84,9898.83,2.0,271.0,1009.67,20.0,73.5,1589.0,1.0,474958.48,108196.0,1.0,0.0,1175.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.92,0.5,0.0,0.0,5.0,18.0,328.17,0.0,289.0,13.5,0.0,0.33,0.0,0.0,2.0,0.0,12.5,10.0,0.0,0.0,0.0,0.0,12.0,9.0,2.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,153.33,28.0,0.0,0.0,3.0,1.0,5.67,0.0,19.5,319.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,113001.58,2.0,488.33,25.0,14.5,839.84,6210.17,3.0,7.0,1633.83,14.5,138.0,4906.08,0.0,837761.98,53443.84,3.0,0.0,1754.5,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,23.0,2470.83,0.0,469.5,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,13.0,0.0,1.0,0.0,0.0,4.0,9.67,4.0,0.0,19.0,0.0,0.0,0.0,5.0,0.0,58.83,56.0,0.0,0.0,9.0,3.0,6.67,0.0,34.58,272.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,84586.67,1.0,243.83,5.0,5.0,2722.0,10929.0,2.0,18.0,1436.0,4.0,146.0,1836.0,3.0,482796.98,131275.0,2.0,0.0,1707.5,44.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.5,0.0,0.0,4.0,18.5,382.67,0.0,232.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,10.0,2.33,2.0,0.0,30.0,0.0,0.0,0.0,2.25,0.0,1.0,33.0,0.0,0.0,0.0,2.0,5.0,0.25,27.0,445.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,103398.58,0.0,362.83,12.0,2.0,2235.5,12841.75,5.0,13.5,1008.08,10.0,118.5,2199.0,1.0,589243.32,110661.5,4.0,0.0,1681.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.5,2.0,0.0,4.0,22.0,518.25,0.0,235.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0,11.0,0.0,0.0,0.0,0.0,5.0,17.0,1.0,0.0,18.0,0.0,0.0,0.0,0.5,1.0,0.0,20.0,0.0,0.33,0.0,2.0,3.67,0.0,14.0,404.5,16788.0,212.0,15612.33,1
sample_48,1476603.36,97773.33,1.0,487.17,13.0,4.0,2228.5,13941.17,1.0,46.5,1389.83,13.33,87.0,2204.0,1.0,739304.32,115364.84,2.0,0.0,1241.75,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58,1.0,1.0,0.0,12.0,25.5,584.17,0.0,215.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,10.5,11.0,0.0,1.0,0.0,0.0,7.0,11.67,2.0,0.0,22.0,0.0,0.0,0.0,2.33,0.0,76.0,38.0,0.0,0.0,3.0,2.0,5.67,0.0,27.25,447.0,23338.0,229.0,17069.25,1
sample_49,1496229.11,133960.42,2.0,352.0,11.0,8.0,4715.84,23031.92,3.0,50.0,1126.0,13.5,89.0,4428.25,2.0,784251.64,243959.0,8.0,0.0,2368.5,39.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.67,0.0,1.0,6.0,25.0,398.25,0.0,386.0,21.33,0.0,0.33,0.0,0.0,4.0,0.0,15.5,20.0,0.0,0.0,0.0,0.0,24.0,12.58,3.0,0.0,18.0,0.0,0.0,0.0,1.5,0.0,90.83,41.0,1.0,0.0,6.0,4.0,5.67,0.0,22.83,540.0,16050.0,210.5,23485.33,1
sample_50,1028619.51,89313.92,1.0,293.0,6.0,7.5,5133.16,21848.42,5.0,15.0,993.67,15.0,139.0,1934.5,2.0,569870.48,250847.16,0.0,0.0,2413.75,35.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,2.0,0.0,4.0,17.0,241.33,0.0,428.0,58.5,1.0,1.0,0.0,0.0,4.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,16.0,13.0,2.0,0.0,24.0,1.0,1.0,0.0,1.33,0.0,71.67,57.0,0.0,0.0,1.0,3.0,5.0,0.0,24.33,394.0,16872.34,193.5,21787.5,1
sample_51,1344007.7,110700.83,0.0,281.5,6.0,5.0,3367.5,22149.08,0.0,60.5,1288.0,16.5,182.5,2814.33,4.0,614604.82,227498.5,6.0,0.0,2734.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.75,8.0,0.5,6.0,24.5,379.92,0.0,293.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,21.5,23.0,0.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,21.0,0.0,0.0,0.0,2.5,1.0,167.33,55.0,1.0,0.0,0.0,4.0,7.33,0.0,36.25,468.0,27620.66,209.5,22545.83,1
sample_52,1121914.44,102896.92,0.0,311.67,6.0,3.0,2728.0,20510.25,2.0,10.0,1322.5,9.0,144.5,2301.0,0.0,556982.32,210166.16,12.0,0.0,2546.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.17,3.0,0.0,11.0,19.0,340.42,0.0,295.0,4.5,0.0,0.67,0.0,0.0,1.0,0.0,27.0,6.0,0.0,0.0,0.0,0.0,12.0,4.0,1.0,0.0,12.0,0.0,0.0,1.0,0.83,2.0,166.0,45.5,0.0,0.0,2.0,4.0,6.67,0.0,32.83,365.0,24152.16,182.0,22286.58,1
sample_53,1079424.0,89192.83,2.0,237.83,5.0,1.0,2308.84,14456.75,3.0,32.0,851.5,13.0,63.0,1427.5,1.0,430519.98,153877.34,2.0,0.0,1518.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,9.0,19.0,238.0,0.0,210.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,11.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,14.5,0.0,0.0,0.0,2.5,0.0,134.17,33.0,0.0,0.0,1.0,4.0,4.67,0.0,11.75,265.0,18400.5,129.0,18084.0,1
sample_54,1176624.79,100762.75,1.0,316.5,6.0,5.0,1617.0,13652.58,8.0,6.0,1023.5,10.0,118.5,2444.0,0.0,441853.16,132932.0,4.0,0.0,1612.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,6.0,9.0,547.42,0.0,210.0,2.0,0.0,0.33,0.0,0.0,1.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,1.25,0.0,61.17,32.0,1.0,0.0,5.0,0.0,5.0,0.0,24.25,312.0,23417.34,169.5,13165.58,1
sample_55,1522291.84,128788.17,0.0,322.5,11.0,8.0,2305.34,14528.92,0.0,12.0,1044.0,21.0,142.0,2243.0,0.0,612820.66,134380.5,5.0,0.0,2350.5,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.0,4.0,1.0,7.0,24.5,783.75,0.0,260.0,13.0,0.0,0.33,0.0,0.0,0.0,1.0,15.0,13.0,0.0,1.0,0.0,0.0,12.0,8.0,5.0,0.0,15.0,0.0,0.0,1.0,1.0,1.0,86.67,64.0,0.0,0.0,2.0,2.0,7.33,0.0,24.5,308.0,25982.16,203.0,19514.58,1
sample_56,1310055.5,103765.5,1.0,214.33,4.0,5.0,771.0,5185.25,2.0,14.0,916.0,6.5,87.5,1759.0,0.0,369774.32,56956.0,5.0,0.0,755.5,18.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.0,1.0,2.5,3.0,12.0,903.67,0.0,182.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,3.0,4.5,0.0,14.0,0.0,0.0,1.0,1.5,1.0,1.0,25.0,0.0,0.0,2.0,1.0,5.0,0.0,10.5,211.0,17262.66,130.0,9570.67,1
sample_57,1104968.79,92659.0,0.0,273.0,6.0,2.5,2293.0,16353.83,1.0,8.0,1116.83,8.5,103.0,2364.5,5.0,490719.82,159639.91,2.0,0.0,1946.83,44.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.17,0.5,1.0,0.0,9.0,19.0,372.0,0.0,228.0,8.5,1.0,0.33,0.0,0.0,0.0,0.0,13.5,11.0,0.0,0.0,0.0,0.0,10.0,7.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,0.0,0.0,4.0,4.0,1.67,0.0,20.33,367.0,22627.34,211.0,20119.0,1
sample_58,1474627.31,144728.08,4.0,406.67,17.0,5.0,915.16,6180.83,1.0,35.16,1443.5,4.0,147.5,2864.33,1.0,740705.16,60244.34,2.0,0.0,1489.83,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.08,0.0,1.0,1.0,3.0,18.5,4515.25,0.0,474.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,3.33,0.0,60.33,68.5,0.0,0.0,5.0,1.0,14.0,0.0,33.25,203.0,63088.34,256.0,9397.75,1
sample_59,1451569.61,162802.5,0.0,482.17,15.0,5.5,1219.16,11291.0,5.0,22.0,1617.0,14.0,282.5,5952.83,3.0,984079.48,105114.5,8.0,0.0,1940.0,14.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.33,0.25,1.0,0.0,4.0,39.0,4133.25,1.0,564.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,11.0,0.0,1.0,0.0,3.0,1.0,66.83,44.0,0.0,0.0,7.0,2.0,10.33,0.0,32.0,397.0,53882.34,435.0,11709.0,1
sample_60,1335679.22,108961.92,0.0,270.5,6.0,7.33,3054.84,16310.08,4.0,14.0,811.75,14.0,103.5,2461.5,4.0,492615.48,161667.66,3.0,0.0,1934.5,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.33,0.0,4.0,0.0,7.0,18.0,347.5,0.0,232.0,26.0,0.0,0.67,0.0,0.0,1.0,0.0,11.5,10.0,0.0,0.0,0.0,0.0,17.0,4.0,3.0,0.0,20.0,0.0,0.0,2.0,0.5,1.0,78.33,32.0,1.0,0.0,1.0,2.0,3.67,0.0,16.0,360.0,23178.84,179.5,24445.42,1
sample_61,985183.4,86326.17,3.0,336.5,5.0,3.0,3364.34,16550.75,1.5,115.0,1129.5,9.5,66.0,1619.5,1.5,498263.66,116369.16,5.0,0.0,1514.75,44.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,4.0,10.5,356.17,0.0,184.0,4.5,0.0,0.33,0.0,0.0,1.0,0.0,16.5,11.0,1.0,0.0,0.0,0.0,14.0,13.67,1.0,0.0,9.0,0.0,0.0,1.0,4.5,1.0,117.0,21.0,0.0,0.0,0.0,2.0,3.67,0.0,10.5,408.0,13308.66,182.0,16388.25,1
sample_62,2234116.69,227063.58,4.0,912.17,15.0,13.5,2544.16,21933.58,6.0,39.5,1961.0,12.0,175.5,7077.33,0.0,1301247.14,191776.34,4.0,0.0,7409.5,33.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,2.0,1.0,1.0,13.0,27.0,5341.5,0.0,722.0,17.5,1.0,0.67,0.33,0.0,7.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,14.0,9.33,5.33,0.0,36.5,0.0,0.0,0.0,4.5,2.0,1.0,57.0,0.0,0.0,7.0,3.0,7.67,0.0,21.5,618.0,89474.66,505.5,23711.08,1
sample_63,1790417.32,161597.08,2.0,476.0,15.0,11.0,3657.5,15210.33,3.0,274.0,1635.5,10.0,138.5,3983.5,0.0,825674.48,135393.41,2.0,0.0,2732.5,68.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,4.0,0.0,3.0,16.0,1577.67,0.0,494.0,23.0,0.0,0.0,0.0,0.0,2.0,0.0,22.5,25.0,0.0,0.0,0.0,0.0,17.0,33.33,3.0,0.0,19.0,0.0,0.0,0.0,2.5,0.0,1.0,32.0,0.0,0.0,1.0,6.0,7.0,0.0,24.5,628.0,19473.66,276.0,23234.08,1
sample_64,968845.91,90085.92,4.0,238.0,3.0,5.0,1268.84,10552.25,1.0,74.5,756.5,13.5,73.0,1903.0,1.0,432294.82,103282.5,6.0,0.0,1208.0,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.33,0.0,2.0,0.0,6.0,7.0,385.42,0.0,244.0,11.0,0.0,0.33,0.0,0.0,4.0,0.0,10.5,11.0,0.0,1.0,0.0,0.0,14.0,7.33,2.0,0.0,13.0,0.0,0.0,0.0,0.5,1.0,0.0,17.0,0.0,0.0,3.0,4.0,1.67,0.0,12.75,277.0,13901.0,149.0,11248.42,1
sample_65,1565912.63,138807.33,1.0,305.5,4.0,3.0,5176.84,21874.67,3.0,59.5,1337.0,21.0,149.5,2454.5,5.0,759803.3,225268.34,3.0,0.0,2739.5,56.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.67,1.5,6.0,1.0,8.0,19.0,528.5,0.0,352.0,36.33,1.0,0.67,0.0,0.0,2.0,1.0,31.5,15.0,0.0,0.0,0.0,0.0,20.0,12.33,5.0,0.0,19.0,0.0,0.0,0.0,0.5,0.0,1.0,43.0,0.0,0.0,1.0,3.0,5.33,0.0,24.75,682.0,21177.34,253.0,24123.5,1
sample_66,1288898.64,126066.58,1.0,258.83,15.0,5.5,4301.0,19007.67,2.33,32.5,896.83,12.0,133.5,2941.0,0.0,665104.48,178223.25,1.0,0.0,2582.5,43.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,6.0,10.5,496.25,0.0,296.0,20.5,1.0,0.33,0.0,0.0,3.0,0.0,23.5,15.0,0.0,0.0,0.0,0.0,14.0,11.58,1.0,0.0,15.0,1.0,0.0,0.0,1.0,0.0,2.0,38.0,1.0,0.0,1.0,2.0,2.67,0.0,15.5,467.0,14586.16,180.0,19645.33,1
sample_67,1680546.84,198004.92,3.0,767.5,24.0,8.0,1172.5,10132.67,4.0,53.5,2720.0,14.0,136.0,7154.67,3.0,1244477.32,78987.84,5.0,0.0,1681.5,16.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.25,0.5,0.0,0.0,3.0,33.0,3727.92,0.0,459.0,3.0,1.0,0.33,0.0,0.0,2.0,0.0,8.0,14.0,0.0,0.0,0.0,0.0,9.0,8.67,3.0,0.0,18.0,0.0,0.0,0.0,4.5,2.0,148.5,53.0,0.0,0.0,4.0,4.0,8.67,0.0,22.0,515.0,54735.16,576.0,14373.42,1
sample_68,987628.61,92468.92,4.0,226.5,6.0,2.0,2998.0,10102.08,5.0,99.0,942.5,12.0,66.5,1776.0,5.0,449262.98,131292.66,0.0,0.0,1883.5,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.33,1.0,2.0,0.0,5.0,9.0,388.0,0.0,242.0,20.0,0.0,0.67,0.0,0.5,0.0,0.0,15.5,13.0,0.0,1.0,0.0,0.0,5.0,6.0,3.0,0.0,19.0,0.0,0.0,0.0,3.0,1.0,2.0,16.0,0.0,0.0,3.0,2.0,2.33,0.0,18.5,470.0,10974.0,161.0,14424.67,1
sample_69,1402234.46,133068.5,3.0,278.83,14.0,4.0,4405.84,16381.75,3.0,21.5,1126.0,8.0,90.0,3007.0,2.0,601588.65,155633.16,0.0,0.0,2257.0,36.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.67,0.5,1.0,0.0,5.0,13.0,534.0,0.0,253.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,10.0,8.33,3.5,0.0,15.0,0.0,0.0,0.0,1.5,1.0,147.17,22.0,0.0,0.0,4.0,5.0,6.0,0.0,12.0,465.0,16324.66,183.5,21268.33,1
sample_70,1365902.08,90272.17,2.0,277.33,6.0,7.5,4869.5,17333.58,2.0,11.0,1009.0,12.0,72.0,2565.0,1.0,662197.48,187585.0,0.0,0.0,2351.5,34.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,11.5,482.67,1.0,370.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,24.0,0.0,0.0,0.0,0.0,12.0,16.33,1.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,167.33,17.5,0.0,0.0,1.0,2.0,7.67,0.0,24.5,376.0,17927.0,197.5,22686.33,1
sample_71,1406241.55,102655.67,1.0,241.33,6.0,4.0,1309.16,7386.5,1.0,17.0,971.5,3.0,66.0,1940.5,1.0,468068.66,69475.41,4.0,0.0,1023.5,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,6.5,13.5,607.0,0.0,154.0,5.0,0.0,0.33,0.0,0.0,5.0,0.0,11.5,4.0,0.0,0.0,0.0,0.0,8.0,5.33,5.0,0.0,18.0,0.0,1.0,1.0,1.5,0.0,0.0,23.0,0.0,0.0,3.0,0.0,4.67,0.0,15.0,281.0,19885.66,119.0,13699.0,1
sample_72,1042774.47,98242.42,2.0,396.75,2.0,9.0,1424.66,16306.42,3.0,89.0,1057.33,8.5,58.0,1542.0,4.0,486468.32,96758.34,0.0,0.0,882.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.83,1.0,5.0,0.0,9.0,10.0,740.0,0.0,115.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,5.0,0.0,0.0,1.0,0.0,12.0,3.33,2.0,0.0,9.5,0.0,0.0,0.0,2.0,0.0,141.33,20.5,0.0,0.0,3.0,0.0,12.33,0.0,16.5,335.0,16004.16,216.0,11194.33,1
