,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10b-3p,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-193a-3p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-2115-3p,hsa-miR-212-3p,hsa-miR-217,hsa-miR-23a-5p,hsa-miR-26a-5p,hsa-miR-30c-5p,hsa-miR-3159,hsa-miR-3621,hsa-miR-369-3p,hsa-miR-383-3p,hsa-miR-3927-3p,hsa-miR-3938,hsa-miR-4304,hsa-miR-4314,hsa-miR-4316,hsa-miR-4321,hsa-miR-4455,hsa-miR-4476,hsa-miR-4490,hsa-miR-4500,hsa-miR-4659a-5p,hsa-miR-4679,hsa-miR-4687-3p,hsa-miR-4740-3p,hsa-miR-4742-5p,hsa-miR-484,hsa-miR-489-5p,hsa-miR-495-3p,hsa-miR-518c-3p,hsa-miR-525-3p,hsa-miR-527,hsa-miR-548as-5p,hsa-miR-548b-5p,hsa-miR-5580-3p,hsa-miR-5584-3p,hsa-miR-561-5p,hsa-miR-5680,hsa-miR-5693,hsa-miR-5694,hsa-miR-620,hsa-miR-649,hsa-miR-6513-3p,hsa-miR-665,hsa-miR-6735-5p,hsa-miR-6753-5p,hsa-miR-6764-5p,hsa-miR-6791-5p,hsa-miR-6801-5p,hsa-miR-6829-3p,hsa-miR-6861-3p,hsa-miR-6862-5p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-6891-3p,hsa-miR-711,hsa-miR-7156-5p,hsa-miR-7157-5p,hsa-miR-7704,hsa-miR-8082,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,89385.83,1.0,176.0,10.0,11.0,3000.66,18010.17,1.0,8.5,1347.83,15.0,179.5,3754.0,2.0,480627.32,172346.34,2.0,0.0,3089.5,47.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,2.0,0.0,0.0,9.0,19.5,657.08,0.0,278.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,8.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,23.0,0.0,0.0,0.0,2.08,0.0,172.17,81.5,1.0,0.0,6.0,6.0,2.33,0.0,53.0,412.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,95560.5,0.0,224.5,12.0,3.0,1916.84,16225.0,3.0,13.0,1526.0,12.0,217.0,3708.75,3.0,427882.82,148707.41,1.0,0.0,2135.25,27.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,10.0,664.08,0.0,218.0,6.0,0.0,0.33,0.0,0.0,3.0,0.0,8.5,7.0,0.0,0.0,0.0,0.0,11.0,1.0,1.33,0.0,23.0,0.0,0.0,2.0,0.75,0.0,118.0,58.0,0.0,0.0,3.0,5.0,5.33,0.0,46.25,214.0,45909.0,312.0,18516.17,0
sample_13,907331.1,71403.0,0.0,246.5,9.0,3.5,1852.0,17954.92,2.0,7.5,1201.83,17.0,151.0,7021.0,8.0,406255.16,134614.67,3.0,0.0,1834.58,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.25,2.0,0.0,8.0,8.0,654.67,0.0,161.5,14.0,0.0,1.67,0.0,0.0,0.0,0.0,9.5,2.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,22.0,0.0,0.0,2.0,1.5,0.0,56.0,53.5,0.0,0.0,2.0,2.0,8.33,0.0,25.75,345.0,26757.5,236.0,17101.92,0
sample_14,998615.48,104944.25,0.0,206.5,16.0,4.0,1024.0,12357.17,0.0,30.0,1962.67,8.0,155.5,1906.0,12.0,415483.32,114161.91,3.0,0.0,1551.5,41.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0,894.17,0.0,156.0,10.5,0.0,0.67,0.0,0.0,3.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,6.0,6.33,2.0,0.0,30.0,0.0,0.0,1.0,3.5,0.0,115.17,49.5,1.0,0.0,5.0,6.0,9.33,0.0,48.5,433.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,185912.83,2.0,465.33,39.0,4.5,529.5,6769.67,1.5,27.0,2339.67,18.0,175.5,5549.33,1.0,762730.98,58985.34,0.0,0.0,1301.5,12.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,6.0,17.33,3866.75,0.0,505.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,7.33,4.0,0.0,18.0,0.0,0.0,0.0,4.0,4.0,54.83,74.0,0.0,0.0,10.0,4.0,15.33,0.0,65.08,360.0,59470.0,328.0,9118.58,0
sample_16,975637.65,72512.67,0.0,263.33,11.0,4.5,2591.66,16945.92,0.0,4.0,1653.83,14.0,122.5,3136.5,1.0,510676.98,131022.0,2.0,0.0,1943.5,28.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,3.0,20.0,799.67,0.0,161.0,18.5,0.33,1.33,0.0,0.0,0.0,0.0,13.5,4.0,0.0,0.0,0.0,0.0,16.0,5.0,2.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,82.33,44.0,0.0,0.0,4.0,2.0,3.33,0.0,52.25,492.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,94602.33,0.0,218.0,7.0,6.5,1744.5,14944.0,0.0,61.0,1884.5,8.0,113.0,4469.83,1.0,483656.82,155544.34,5.0,0.0,2210.75,32.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.92,0.0,0.0,0.0,5.0,7.0,875.17,0.0,281.0,8.0,0.0,0.58,0.0,0.0,2.0,0.0,13.0,6.0,1.0,0.0,0.0,0.0,9.0,7.0,5.0,0.0,21.0,2.0,0.0,0.0,2.0,1.0,1.0,65.0,0.0,0.0,1.0,2.0,8.0,0.0,66.33,351.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,126632.92,1.0,215.0,20.0,8.0,3075.66,18997.0,3.0,47.5,1120.0,11.0,174.0,2972.5,0.0,422444.98,169352.59,3.0,0.0,3136.83,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,2.0,0.0,2.0,12.0,410.83,0.0,353.0,15.5,0.0,0.0,0.0,0.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,16.0,7.33,1.5,0.0,22.0,0.0,0.0,1.0,2.5,0.0,154.0,61.0,0.0,0.0,6.0,4.0,3.67,0.0,21.0,301.0,27854.0,244.0,21170.0,0
sample_19,601240.79,43487.83,3.0,128.33,6.0,2.5,1078.0,8139.58,1.0,7.0,1330.0,7.0,107.0,2035.5,3.0,224900.82,83631.34,0.0,0.0,1186.5,18.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.5,8.0,5.0,430.0,0.0,139.0,1.0,0.0,0.25,0.0,0.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,6.33,2.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,54.0,28.33,0.0,0.0,4.0,1.0,5.33,0.0,29.5,257.0,23752.5,152.0,11528.5,0
sample_20,923612.02,84369.75,0.0,161.5,2.0,1.5,1457.5,13040.25,2.0,2.0,1259.17,14.0,130.5,3179.83,8.0,335039.32,119657.33,5.0,0.0,1796.0,39.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.33,1.17,6.0,0.0,3.0,15.0,496.5,0.0,217.0,8.0,0.0,0.67,0.0,0.0,3.0,0.0,10.33,9.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,14.0,0.0,0.0,1.0,2.0,2.0,67.33,50.33,0.0,0.0,9.0,7.0,3.0,0.0,30.33,310.0,30059.0,181.0,14666.5,0
