,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-1184,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-1343-5p,hsa-miR-1469,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-302f,hsa-miR-30c-5p,hsa-miR-3138,hsa-miR-3168,hsa-miR-3682-5p,hsa-miR-3689b-3p,hsa-miR-378f,hsa-miR-4291,hsa-miR-4458,hsa-miR-4537,hsa-miR-4662a-3p,hsa-miR-4666b,hsa-miR-4747-3p,hsa-miR-4773,hsa-miR-4777-3p,hsa-miR-484,hsa-miR-5007-5p,hsa-miR-5089-3p,hsa-miR-5100,hsa-miR-515-3p,hsa-miR-518c-3p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-5692a,hsa-miR-579-5p,hsa-miR-593-3p,hsa-miR-6072,hsa-miR-619-5p,hsa-miR-631,hsa-miR-6500-5p,hsa-miR-6502-3p,hsa-miR-665,hsa-miR-6740-5p,hsa-miR-675-5p,hsa-miR-6778-3p,hsa-miR-6787-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-7702,hsa-miR-7974,hsa-miR-8067,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,89385.83,0.0,176.0,10.0,0.0,0.0,11.0,3000.66,18010.17,1.0,1347.83,3754.0,480627.32,0.0,172346.34,2.0,0.0,6.0,0.0,1.0,0.0,1.25,0.0,4.0,0.0,0.0,0.0,0.0,657.08,0.0,2.0,0.0,0.0,15.0,0.67,13.58,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.08,172.17,0.0,0.0,0.0,53.0,412.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,95560.5,0.0,224.5,12.0,0.0,0.0,3.0,1916.84,16225.0,1.0,1526.0,3708.75,427882.82,0.0,148707.41,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,664.08,0.0,1.0,0.0,1.0,6.0,0.67,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.75,118.0,0.0,0.0,0.0,46.25,214.0,45909.0,312.0,18516.17,0
sample_13,907331.1,71403.0,0.0,246.5,9.0,0.0,0.0,3.5,1852.0,17954.92,3.5,1201.83,7021.0,406255.16,0.0,134614.67,4.0,0.25,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.67,0.0,1.0,0.0,0.0,14.0,0.67,13.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,1.5,56.0,0.0,0.0,0.0,25.75,345.0,26757.5,236.0,17101.92,0
sample_14,998615.48,104944.25,0.0,206.5,16.0,0.0,0.0,4.0,1024.0,12357.17,3.0,1962.67,1906.0,415483.32,0.0,114161.91,1.0,0.0,3.0,0.0,0.0,0.0,0.25,0.0,3.0,0.0,0.0,0.0,1.0,894.17,0.0,1.0,0.0,1.0,10.5,1.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,1.0,1.0,5.0,0.0,3.5,115.17,0.0,0.0,0.0,48.5,433.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,185912.83,0.0,465.33,39.0,0.5,0.0,4.5,529.5,6769.67,0.75,2339.67,5549.33,762730.98,0.0,58985.34,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3866.75,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,2.75,0.0,0.0,0.0,4.0,54.83,0.0,0.0,0.0,65.08,360.0,59470.0,328.0,9118.58,0
sample_16,975637.65,72512.67,0.0,263.33,11.0,0.0,0.0,4.5,2591.66,16945.92,2.25,1653.83,3136.5,510676.98,0.0,131022.0,5.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,799.67,0.0,3.0,0.0,2.0,18.5,1.0,11.33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,1.0,3.0,82.33,0.0,0.0,0.0,52.25,492.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,94602.33,0.0,218.0,7.0,0.0,0.0,6.5,1744.5,14944.0,1.0,1884.5,4469.83,483656.82,0.0,155544.34,3.5,0.33,1.0,0.0,1.67,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,875.17,0.0,1.0,0.0,0.0,8.0,0.67,6.17,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,66.33,351.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,126632.92,0.0,215.0,20.0,0.0,0.0,8.0,3075.66,18997.0,0.0,1120.0,2972.5,422444.98,0.0,169352.59,2.0,0.33,1.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.83,0.0,0.0,0.0,0.0,15.5,1.33,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,1.0,0.0,4.0,0.0,2.5,154.0,1.0,0.0,0.0,21.0,301.0,27854.0,244.0,21170.0,0
sample_19,601240.79,43487.83,0.0,128.33,6.0,0.0,0.0,2.5,1078.0,8139.58,1.0,1330.0,2035.5,224900.82,0.0,83631.34,4.0,0.33,3.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,430.0,0.0,1.0,0.0,0.0,1.0,0.0,1.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,1.0,0.0,1.0,54.0,0.0,0.0,0.0,29.5,257.0,23752.5,152.0,11528.5,0
sample_20,923612.02,84369.75,0.0,161.5,2.0,1.0,0.0,1.5,1457.5,13040.25,2.0,1259.17,3179.83,335039.32,0.0,119657.33,2.0,0.67,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.5,0.0,0.0,0.0,0.0,8.0,0.0,6.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,67.33,2.0,0.0,0.0,30.33,310.0,30059.0,181.0,14666.5,0
