,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-1184,hsa-miR-1271-5p,hsa-miR-1298-5p,hsa-miR-1343-5p,hsa-miR-1469,hsa-miR-152-5p,hsa-miR-153-3p,hsa-miR-186-5p,hsa-miR-18b-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-302f,hsa-miR-30c-5p,hsa-miR-3138,hsa-miR-3168,hsa-miR-3682-5p,hsa-miR-3689b-3p,hsa-miR-378f,hsa-miR-4291,hsa-miR-4458,hsa-miR-4537,hsa-miR-4662a-3p,hsa-miR-4666b,hsa-miR-4747-3p,hsa-miR-4773,hsa-miR-4777-3p,hsa-miR-484,hsa-miR-5007-5p,hsa-miR-5089-3p,hsa-miR-5100,hsa-miR-515-3p,hsa-miR-518c-3p,hsa-miR-520c-3p,hsa-miR-545-3p,hsa-miR-5692a,hsa-miR-579-5p,hsa-miR-593-3p,hsa-miR-6072,hsa-miR-619-5p,hsa-miR-631,hsa-miR-6500-5p,hsa-miR-6502-3p,hsa-miR-665,hsa-miR-6740-5p,hsa-miR-675-5p,hsa-miR-6778-3p,hsa-miR-6787-5p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-7702,hsa-miR-7974,hsa-miR-8067,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_41,1278626.4,98027.42,0.0,248.83,6.0,0.0,0.0,4.5,2256.66,9690.25,0.0,1624.17,1783.5,490505.32,0.0,91859.84,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,575.83,0.0,2.0,0.0,0.0,7.0,0.67,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,4.5,4.0,0.0,0.0,4.5,136.83,0.0,0.0,0.0,41.5,515.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,115119.67,0.0,307.83,6.0,2.0,0.0,8.0,4022.66,13341.0,0.25,1450.67,2015.83,609860.14,0.0,132917.5,6.0,1.0,0.0,0.0,0.33,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,942.42,0.0,1.0,0.0,2.0,5.0,0.92,5.25,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33,1.0,2.0,2.0,0.0,1.0,163.17,0.0,0.0,0.0,26.33,533.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,92052.42,0.0,264.0,6.0,0.0,0.0,8.0,2307.84,9898.83,2.0,1009.67,1589.0,474958.48,0.0,108196.0,3.0,0.83,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,328.17,0.0,0.0,0.0,4.0,13.5,0.67,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,153.33,0.0,0.0,0.0,19.5,319.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,113001.58,0.0,488.33,25.0,0.0,0.0,14.5,839.84,6210.17,2.0,1633.83,4906.08,837761.98,0.0,53443.84,5.5,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2470.83,0.0,2.0,0.0,0.0,2.0,0.33,1.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,2.0,0.0,1.0,0.0,5.0,58.83,0.0,0.0,0.0,34.58,272.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,84586.67,0.0,243.83,5.0,0.0,0.0,5.0,2722.0,10929.0,0.5,1436.0,1836.0,482796.98,0.0,131275.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,382.67,0.0,0.0,0.25,0.0,11.0,1.33,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,0.33,0.0,1.0,0.0,2.25,1.0,0.0,0.0,0.0,27.0,445.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,103398.58,0.0,362.83,12.0,0.0,0.0,2.0,2235.5,12841.75,2.5,1008.08,2199.0,589243.32,0.0,110661.5,2.0,0.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,518.25,0.0,2.0,0.25,3.0,9.0,1.0,1.5,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.25,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,14.0,404.5,16788.0,212.0,15612.33,1
sample_48,1476603.36,97773.33,0.0,487.17,13.0,0.0,0.0,4.0,2228.5,13941.17,1.5,1389.83,2204.0,739304.32,0.0,115364.84,3.5,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.17,0.0,2.0,0.0,1.5,9.0,0.58,5.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.67,0.0,0.0,0.0,0.0,2.33,76.0,0.0,0.0,0.0,27.25,447.0,23338.0,229.0,17069.25,1
sample_49,1496229.11,133960.42,0.0,352.0,11.0,0.0,0.0,8.0,4715.84,23031.92,2.75,1126.0,4428.25,784251.64,0.0,243959.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,398.25,0.0,0.0,0.0,5.0,21.33,2.17,3.83,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.58,0.0,0.0,1.0,0.0,1.5,90.83,0.0,0.0,0.0,22.83,540.0,16050.0,210.5,23485.33,1
sample_50,1028619.51,89313.92,0.0,293.0,6.0,0.0,0.0,7.5,5133.16,21848.42,1.5,993.67,1934.5,569870.48,0.0,250847.16,5.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,241.33,0.0,1.0,0.0,5.0,58.5,1.92,20.58,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.5,0.0,1.0,0.0,1.33,71.67,0.0,0.0,0.0,24.33,394.0,16872.34,193.5,21787.5,1
sample_51,1344007.7,110700.83,0.0,281.5,6.0,0.0,0.0,5.0,3367.5,22149.08,3.5,1288.0,2814.33,614604.82,0.0,227498.5,3.0,0.33,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,379.92,0.0,3.0,0.0,1.0,7.0,1.33,19.83,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,2.5,167.33,0.0,0.0,0.0,36.25,468.0,27620.66,209.5,22545.83,1
sample_52,1121914.44,102896.92,0.0,311.67,6.0,1.0,0.0,3.0,2728.0,20510.25,0.0,1322.5,2301.0,556982.32,0.0,210166.16,3.0,1.5,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,340.42,0.0,3.0,0.0,2.0,4.5,1.0,14.25,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.83,166.0,0.0,0.0,0.0,32.83,365.0,24152.16,182.0,22286.58,1
sample_53,1079424.0,89192.83,0.0,237.83,5.0,0.0,0.0,1.0,2308.84,14456.75,2.0,851.5,1427.5,430519.98,0.0,153877.34,5.0,2.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,0.0,1.0,0.0,2.0,19.0,1.25,6.83,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.5,134.17,0.0,0.0,0.0,11.75,265.0,18400.5,129.0,18084.0,1
sample_54,1176624.79,100762.75,0.0,316.5,6.0,0.0,0.0,5.0,1617.0,13652.58,0.5,1023.5,2444.0,441853.16,0.0,132932.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,547.42,0.0,1.0,0.0,0.0,2.0,0.58,6.75,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.25,61.17,0.0,0.0,0.0,24.25,312.0,23417.34,169.5,13165.58,1
sample_55,1522291.84,128788.17,0.0,322.5,11.0,2.0,0.0,8.0,2305.34,14528.92,1.5,1044.0,2243.0,612820.66,0.0,134380.5,2.0,0.33,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,783.75,0.0,1.5,0.0,1.0,13.0,1.0,7.83,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,0.0,1.0,86.67,0.0,0.0,0.0,24.5,308.0,25982.16,203.0,19514.58,1
sample_56,1310055.5,103765.5,0.0,214.33,4.0,0.0,0.0,5.0,771.0,5185.25,1.0,916.0,1759.0,369774.32,0.0,56956.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.67,0.0,0.0,0.0,1.0,3.0,1.67,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,10.5,211.0,17262.66,130.0,9570.67,1
sample_57,1104968.79,92659.0,0.0,273.0,6.0,0.0,0.0,2.5,2293.0,16353.83,1.0,1116.83,2364.5,490719.82,0.0,159639.91,3.0,0.0,5.0,0.0,1.33,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,372.0,0.0,2.0,0.25,1.0,8.5,0.67,7.33,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.33,367.0,22627.34,211.0,20119.0,1
sample_58,1474627.31,144728.08,0.99,406.67,17.0,1.0,0.0,5.0,915.16,6180.83,1.5,1443.5,2864.33,740705.16,0.0,60244.34,5.0,0.5,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4515.25,0.0,0.0,0.0,3.0,2.0,1.0,1.83,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,3.33,60.33,1.0,0.0,0.0,33.25,203.0,63088.34,256.0,9397.75,1
sample_59,1451569.61,162802.5,0.0,482.17,15.0,0.0,0.0,5.5,1219.16,11291.0,4.0,1617.0,5952.83,984079.48,0.0,105114.5,10.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,4133.25,0.0,1.0,0.0,0.0,2.0,0.33,5.33,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,66.83,0.0,0.0,0.0,32.0,397.0,53882.34,435.0,11709.0,1
sample_60,1335679.22,108961.92,0.0,270.5,6.0,0.0,0.0,7.33,3054.84,16310.08,0.0,811.75,2461.5,492615.48,0.0,161667.66,9.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,347.5,0.0,2.0,0.33,2.0,26.0,2.0,7.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.5,78.33,0.0,0.0,0.0,16.0,360.0,23178.84,179.5,24445.42,1
sample_61,985183.4,86326.17,0.0,336.5,5.0,0.0,0.0,3.0,3364.34,16550.75,2.0,1129.5,1619.5,498263.66,0.0,116369.16,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,356.17,0.0,1.0,0.0,2.0,4.5,0.67,4.83,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,13.67,2.0,0.0,0.0,0.0,4.5,117.0,0.0,0.0,0.0,10.5,408.0,13308.66,182.0,16388.25,1
sample_62,2234116.69,227063.58,0.0,912.17,15.0,0.0,0.0,13.5,2544.16,21933.58,4.75,1961.0,7077.33,1301247.14,0.0,191776.34,7.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5341.5,0.0,1.0,0.25,2.0,17.5,0.67,8.75,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,9.33,3.0,0.0,1.0,0.0,4.5,1.0,0.0,0.0,0.0,21.5,618.0,89474.66,505.5,23711.08,1
sample_63,1790417.32,161597.08,0.0,476.0,15.0,0.0,0.0,11.0,3657.5,15210.33,1.0,1635.5,3983.5,825674.48,0.0,135393.41,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1577.67,0.0,1.0,0.0,4.0,23.0,1.33,5.67,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,1.0,1.0,0.0,2.5,1.0,0.0,0.0,0.0,24.5,628.0,19473.66,276.0,23234.08,1
sample_64,968845.91,90085.92,0.0,238.0,3.0,0.0,0.0,5.0,1268.84,10552.25,2.5,756.5,1903.0,432294.82,0.0,103282.5,5.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,385.42,0.0,3.0,0.0,2.0,11.0,0.67,9.33,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,12.75,277.0,13901.0,149.0,11248.42,1
sample_65,1565912.63,138807.33,0.0,305.5,4.0,0.0,0.0,3.0,5176.84,21874.67,5.75,1337.0,2454.5,759803.3,0.0,225268.34,5.0,0.33,2.0,0.0,1.33,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,528.5,0.0,0.0,0.25,2.0,36.33,2.0,12.17,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.0,3.0,6.0,0.0,0.5,1.0,0.0,0.0,0.0,24.75,682.0,21177.34,253.0,24123.5,1
sample_66,1288898.64,126066.58,0.0,258.83,15.0,0.0,0.0,5.5,4301.0,19007.67,0.0,896.83,2941.0,665104.48,0.0,178223.25,3.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,496.25,0.0,1.0,0.0,3.0,20.5,0.67,8.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,11.58,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,15.5,467.0,14586.16,180.0,19645.33,1
sample_67,1680546.84,198004.92,0.0,767.5,24.0,0.0,0.0,8.0,1172.5,10132.67,2.0,2720.0,7154.67,1244477.32,0.0,78987.84,5.5,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3727.92,0.0,1.0,0.0,1.0,3.0,0.33,0.5,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,2.5,2.0,0.0,0.0,4.5,148.5,0.0,1.0,0.0,22.0,515.0,54735.16,576.0,14373.42,1
sample_68,987628.61,92468.92,0.0,226.5,6.0,1.0,0.0,2.0,2998.0,10102.08,2.0,942.5,1776.0,449262.98,0.0,131292.66,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,388.0,0.0,3.0,0.0,1.0,20.0,1.0,2.83,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.5,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,18.5,470.0,10974.0,161.0,14424.67,1
sample_69,1402234.46,133068.5,0.0,278.83,14.0,0.33,0.0,4.0,4405.84,16381.75,1.5,1126.0,3007.0,601588.65,0.0,155633.16,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,534.0,0.0,1.0,0.0,5.0,17.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,3.0,2.0,0.0,0.0,1.5,147.17,0.0,0.0,0.0,12.0,465.0,16324.66,183.5,21268.33,1
sample_70,1365902.08,90272.17,0.0,277.33,6.0,0.0,0.0,7.5,4869.5,17333.58,2.0,1009.0,2565.0,662197.48,0.0,187585.0,3.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.67,0.0,0.0,0.0,1.0,14.0,1.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33,0.0,1.0,3.0,0.0,1.0,167.33,0.0,0.0,0.0,24.5,376.0,17927.0,197.5,22686.33,1
sample_71,1406241.55,102655.67,0.0,241.33,6.0,1.0,0.0,4.0,1309.16,7386.5,0.0,971.5,1940.5,468068.66,0.0,69475.41,4.0,0.67,1.0,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,607.0,0.0,0.0,0.0,0.0,5.0,0.33,3.67,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,0.5,1.0,1.0,0.0,1.5,0.0,0.0,0.0,0.0,15.0,281.0,19885.66,119.0,13699.0,1
sample_72,1042774.47,98242.42,0.0,396.75,2.0,0.0,0.0,9.0,1424.66,16306.42,1.5,1057.33,1542.0,486468.32,0.0,96758.34,7.0,0.67,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,740.0,0.0,1.0,0.0,0.0,5.0,0.0,2.83,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.0,0.0,1.0,0.0,2.0,141.33,1.0,0.0,0.0,16.5,335.0,16004.16,216.0,11194.33,1
sample_73,1599403.33,173094.58,0.0,289.0,19.0,0.0,0.0,12.0,2959.5,24567.17,3.0,955.5,3875.08,606739.32,0.0,182408.0,3.0,0.5,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,436.08,0.0,6.0,0.0,1.0,30.0,1.33,27.33,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,2.0,2.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,15.25,456.0,16609.0,275.0,21970.0,1
sample_74,1464129.38,145027.83,0.0,312.0,17.0,1.0,0.0,12.5,3486.34,25643.33,3.5,821.0,3211.0,601618.14,0.0,198921.66,3.0,0.33,6.0,0.0,0.33,0.0,0.0,0.0,9.0,0.0,0.0,1.0,1.0,666.33,0.0,0.0,0.0,3.0,24.5,3.67,7.75,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.33,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,5.25,333.0,23991.84,227.0,24052.5,1
sample_75,1841514.27,184399.75,0.99,812.5,28.0,0.0,0.0,12.0,2054.16,15191.5,3.5,2154.42,6199.75,1194868.66,0.0,101286.5,8.0,0.67,1.0,0.0,1.0,0.0,0.25,0.0,4.0,0.0,0.0,1.0,1.0,10429.08,0.0,0.0,0.0,0.0,8.0,0.67,6.5,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.5,2.0,0.0,0.0,0.0,62.33,474.0,107933.5,576.5,14318.0,1
sample_76,2021922.24,207626.25,0.0,606.5,23.0,0.0,0.0,9.0,742.84,7789.25,0.5,2235.67,5581.0,1084734.48,0.0,59971.5,10.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,4262.67,0.0,0.0,0.0,0.0,2.0,0.67,1.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,0.0,3.25,0.0,0.0,0.0,0.0,46.5,460.0,75571.5,430.5,14260.67,1
sample_77,919517.0,81279.67,0.0,149.5,5.0,0.0,0.0,2.0,1461.34,14237.5,1.5,800.0,1774.0,353936.48,0.0,103603.0,4.0,0.83,1.0,0.0,0.33,0.0,0.25,0.0,3.0,0.0,0.0,1.0,0.0,312.5,0.0,0.0,0.25,1.0,9.0,1.0,2.33,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,1.5,57.0,0.0,0.0,0.0,10.5,284.0,16416.66,162.0,14291.67,1
sample_78,1456949.88,274732.58,0.0,213.5,42.0,0.0,0.0,7.0,464.34,2240.0,3.5,1792.75,1684.0,488109.66,0.0,21178.5,3.0,0.67,0.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1548.58,0.0,1.0,0.0,0.0,0.0,0.25,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.5,7.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,23.0,325.0,19266.5,133.0,5457.08,1
sample_79,1760813.07,122454.17,0.0,326.33,5.0,0.0,0.0,7.5,1901.5,11486.08,1.0,1003.0,2740.5,563442.82,0.0,111138.66,3.0,0.5,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1431.67,0.0,2.0,0.0,3.0,17.0,1.33,2.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.5,151.17,0.0,0.0,0.0,13.75,274.33,27037.66,161.0,16970.75,1
sample_80,1536240.56,152380.0,0.0,456.67,22.0,0.0,0.0,5.0,764.34,6754.92,1.0,1332.83,2768.5,728669.66,0.0,48213.84,8.0,0.5,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4402.58,0.0,0.0,0.0,2.0,2.0,0.67,2.83,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92,2.25,1.0,1.0,0.0,2.5,101.0,0.0,0.0,0.0,23.25,332.33,49973.84,246.0,9178.5,1
