,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1181,hsa-miR-1193,hsa-miR-1271-5p,hsa-miR-1273a,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-153-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-1915-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3201,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3685,hsa-miR-369-3p,hsa-miR-371b-3p,hsa-miR-378e,hsa-miR-3938,hsa-miR-3960,hsa-miR-4313,hsa-miR-4469,hsa-miR-4474-5p,hsa-miR-4477b,hsa-miR-4537,hsa-miR-4639-3p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4747-5p,hsa-miR-4752,hsa-miR-4797-3p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-518d-3p,hsa-miR-518f-3p,hsa-miR-545-3p,hsa-miR-548as-5p,hsa-miR-548f-3p,hsa-miR-563,hsa-miR-5680,hsa-miR-5700,hsa-miR-579-5p,hsa-miR-599,hsa-miR-6075,hsa-miR-6084,hsa-miR-6087,hsa-miR-6501-3p,hsa-miR-665,hsa-miR-6727-5p,hsa-miR-676-5p,hsa-miR-6772-5p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6811-3p,hsa-miR-6846-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-7151-5p,hsa-miR-7157-5p,hsa-miR-7162-3p,hsa-miR-8085,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_11,1111278.92,89385.83,14.0,0.0,1.0,176.0,0.0,10.0,19.0,3000.66,0.0,18010.17,1.0,0.0,8.5,1347.83,3754.0,480627.32,11.5,172346.34,4.0,0.0,31.0,2.0,0.0,3089.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.67,0.0,5.0,4.0,9.0,0.0,0.0,0.0,657.08,27.58,0.0,6.0,13.58,0.0,6.0,0.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,2.08,172.17,81.5,1.0,6.0,0.0,0.0,53.0,412.0,32250.5,259.5,19694.33,0
sample_12,1133107.14,95560.5,18.0,0.0,0.0,224.5,0.0,12.0,36.0,1916.84,0.0,16225.0,1.0,0.0,13.0,1526.0,3708.75,427882.82,5.75,148707.41,4.0,0.0,12.0,7.0,0.0,2135.25,0.5,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,8.0,0.0,0.0,3.5,664.08,22.0,0.0,6.0,10.0,0.0,8.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,0.75,118.0,58.0,0.0,5.0,0.0,0.0,46.25,214.0,45909.0,312.0,18516.17,0
sample_13,907331.1,71403.0,7.0,0.0,0.0,246.5,0.0,9.0,30.0,1852.0,0.0,17954.92,1.0,0.0,7.5,1201.83,7021.0,406255.16,6.0,134614.67,4.5,0.0,10.0,2.0,0.0,1834.58,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,2.5,654.67,8.33,0.0,7.0,13.0,0.0,8.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.5,56.0,53.5,0.0,2.0,0.0,0.0,25.75,345.0,26757.5,236.0,17101.92,0
sample_14,998615.48,104944.25,9.0,0.0,0.0,206.5,0.0,16.0,32.5,1024.0,1.0,12357.17,0.0,1.0,30.0,1962.67,1906.0,415483.32,4.5,114161.91,3.5,0.0,3.0,4.0,1.0,1551.5,0.5,0.5,4.0,0.0,0.0,1.0,0.0,1.67,0.0,2.0,3.0,11.0,0.0,0.0,3.0,894.17,12.0,0.0,7.5,6.0,0.0,3.0,0.0,7.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6.33,0.0,2.0,0.0,1.0,7.0,0.0,0.0,3.5,115.17,49.5,2.0,6.0,0.0,0.0,48.5,433.0,38005.34,264.0,14225.67,0
sample_15,1416219.62,185912.83,11.0,0.0,0.0,465.33,0.0,39.0,15.0,529.5,0.0,6769.67,1.0,0.0,27.0,2339.67,5549.33,762730.98,8.75,58985.34,1.5,0.0,2.0,21.0,0.0,1301.5,0.0,0.75,8.0,0.0,0.0,2.0,0.0,2.25,0.0,2.0,2.0,6.0,0.0,0.0,1.0,3866.75,23.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,1.0,3.0,1.0,6.0,0.0,3.0,4.0,54.83,74.0,1.0,4.0,0.0,0.0,65.08,360.0,59470.0,328.0,9118.58,0
sample_16,975637.65,72512.67,8.0,0.0,1.0,263.33,0.0,11.0,19.5,2591.66,0.0,16945.92,2.0,0.0,4.0,1653.83,3136.5,510676.98,4.17,131022.0,1.5,0.0,12.0,8.0,1.0,1943.5,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.33,0.0,4.0,0.0,3.0,0.0,0.0,3.0,799.67,25.0,0.0,7.0,11.33,0.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.67,0.0,5.0,0.0,1.0,0.0,1.0,9.0,0.0,3.0,3.0,82.33,44.0,0.0,2.0,0.0,0.0,52.25,492.0,30789.0,256.0,17816.67,0
sample_17,1218576.91,94602.33,8.0,0.0,3.0,218.0,0.0,7.0,19.5,1744.5,1.0,14944.0,4.0,1.0,61.0,1884.5,4469.83,483656.82,10.0,155544.34,4.5,0.0,9.0,7.0,2.0,2210.75,0.0,0.25,6.0,0.0,0.0,1.0,0.0,1.33,0.0,5.0,1.0,5.0,0.0,0.0,5.0,875.17,17.33,0.0,4.0,6.17,0.0,4.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.67,0.0,7.0,0.0,0.0,0.0,1.0,8.0,0.0,3.0,2.0,1.0,65.0,0.0,2.0,0.0,0.0,66.33,351.0,42293.16,260.0,21462.0,0
sample_18,1272135.61,126632.92,27.0,0.0,1.0,215.0,0.0,20.0,19.0,3075.66,1.0,18997.0,0.0,0.0,47.5,1120.0,2972.5,422444.98,8.5,169352.59,1.0,0.0,9.5,11.0,1.0,3136.83,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.67,0.0,2.0,0.0,2.0,1.0,0.0,5.0,410.83,26.0,0.0,3.5,10.0,0.0,6.0,0.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,1.0,1.0,2.5,0.0,1.0,2.5,154.0,61.0,1.0,4.0,0.0,0.0,21.0,301.0,27854.0,244.0,21170.0,0
sample_19,601240.79,43487.83,4.0,0.0,0.0,128.33,0.0,6.0,2.5,1078.0,0.0,8139.58,2.0,0.0,7.0,1330.0,2035.5,224900.82,6.0,83631.34,2.5,0.0,10.0,0.0,2.0,1186.5,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.67,0.0,3.0,0.0,8.0,0.0,0.0,1.0,430.0,6.0,0.0,6.0,1.5,0.0,3.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,54.0,28.33,0.0,1.0,0.0,0.0,29.5,257.0,23752.5,152.0,11528.5,0
sample_20,923612.02,84369.75,4.0,0.0,2.0,161.5,0.0,2.0,5.5,1457.5,0.0,13040.25,2.0,0.0,2.0,1259.17,3179.83,335039.32,6.25,119657.33,2.0,0.0,11.0,0.0,0.0,1796.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.33,0.0,1.0,0.0,3.0,0.0,0.0,1.0,496.5,12.0,0.0,2.0,6.25,0.0,4.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.33,50.33,0.0,7.0,0.0,0.0,30.33,310.0,30059.0,181.0,14666.5,0
