,hsa-let-7a-5p,hsa-let-7c-5p,hsa-miR-10a-5p,hsa-miR-1181,hsa-miR-1193,hsa-miR-1271-5p,hsa-miR-1273a,hsa-miR-1298-5p,hsa-miR-147b,hsa-miR-153-3p,hsa-miR-155-3p,hsa-miR-186-5p,hsa-miR-18b-3p,hsa-miR-1915-5p,hsa-miR-196a-5p,hsa-miR-197-3p,hsa-miR-217,hsa-miR-26a-5p,hsa-miR-3074-3p,hsa-miR-30c-5p,hsa-miR-3150b-3p,hsa-miR-3201,hsa-miR-3659,hsa-miR-3663-5p,hsa-miR-3685,hsa-miR-369-3p,hsa-miR-371b-3p,hsa-miR-378e,hsa-miR-3938,hsa-miR-3960,hsa-miR-4313,hsa-miR-4469,hsa-miR-4474-5p,hsa-miR-4477b,hsa-miR-4537,hsa-miR-4639-3p,hsa-miR-4662a-3p,hsa-miR-4740-3p,hsa-miR-4747-5p,hsa-miR-4752,hsa-miR-4797-3p,hsa-miR-484,hsa-miR-502-5p,hsa-miR-518d-3p,hsa-miR-518f-3p,hsa-miR-545-3p,hsa-miR-548as-5p,hsa-miR-548f-3p,hsa-miR-563,hsa-miR-5680,hsa-miR-5700,hsa-miR-579-5p,hsa-miR-599,hsa-miR-6075,hsa-miR-6084,hsa-miR-6087,hsa-miR-6501-3p,hsa-miR-665,hsa-miR-6727-5p,hsa-miR-676-5p,hsa-miR-6772-5p,hsa-miR-6799-3p,hsa-miR-6810-3p,hsa-miR-6811-3p,hsa-miR-6846-3p,hsa-miR-6861-3p,hsa-miR-6868-3p,hsa-miR-6883-3p,hsa-miR-7151-5p,hsa-miR-7157-5p,hsa-miR-7162-3p,hsa-miR-8085,hsa-miR-877-3p,hsa-miR-887-3p,hsa-miR-92a-3p,hsa-miR-93-3p,hsa-miR-95-3p,Diagnosis
sample_31,1427316.47,134636.83,9.0,0.0,1.0,302.0,0.0,16.0,20.0,1749.5,0.0,14831.0,0.0,0.0,56.0,1126.67,3832.0,570902.48,7.0,112473.34,4.0,0.0,8.0,30.0,2.0,1488.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.33,0.0,3.0,0.0,9.0,0.0,0.0,5.5,2281.83,16.0,0.0,2.0,11.0,0.0,6.0,0.0,7.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,1.0,2.0,1.0,0.0,3.0,1.5,53.67,36.0,0.0,1.0,0.0,0.0,14.75,368.0,28221.66,225.0,12944.33,0
sample_32,694334.55,64745.75,13.0,0.0,0.0,213.67,0.0,4.0,10.0,1008.84,0.0,8812.83,1.0,0.0,9.0,602.5,2064.0,359765.48,4.0,63475.66,3.0,0.0,3.0,9.0,0.0,833.75,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.67,0.0,2.0,0.0,5.0,0.0,0.0,2.0,429.25,9.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,24.0,0.0,2.0,0.0,0.0,9.0,214.0,15707.5,119.33,7827.33,0
sample_33,1153565.45,84306.08,32.0,0.0,0.0,187.5,0.0,8.0,11.0,990.16,0.0,6194.83,1.0,1.0,13.0,722.5,1761.5,357101.16,3.5,66189.66,1.5,0.0,12.0,8.0,1.0,926.5,0.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,397.5,4.0,0.0,2.0,0.5,0.0,6.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,4.0,1.0,0.0,2.0,0.0,0.0,2.5,68.17,22.0,2.0,4.0,0.0,0.0,20.0,182.0,22580.0,86.0,19614.83,0
sample_34,1156942.33,87267.5,11.0,0.0,1.0,235.0,0.0,17.0,13.0,1039.5,0.0,6658.75,1.0,0.0,12.0,569.0,1858.5,391132.32,4.5,54513.0,2.5,0.0,5.0,8.0,0.0,2216.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.33,0.0,1.0,0.0,10.0,0.0,0.0,2.5,1786.42,12.0,0.0,6.0,3.0,0.0,1.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,118.33,24.5,0.0,3.0,0.0,0.0,4.0,214.0,40640.84,140.0,14850.83,0
sample_35,1061832.11,82160.42,13.0,0.0,0.0,259.0,0.0,11.0,18.0,2416.16,0.0,12640.08,1.0,1.0,6.0,1050.83,2916.58,404816.66,4.5,126423.84,1.0,0.0,9.0,2.0,0.0,1633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,1035.5,11.0,0.0,4.0,8.0,0.0,4.0,0.0,5.5,0.5,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,2.83,140.67,29.83,0.0,2.0,0.0,0.0,18.0,297.0,22246.84,187.0,17941.33,0
sample_36,1252890.32,105970.83,7.0,0.0,2.0,238.5,0.0,6.0,28.0,2212.0,0.0,15167.25,0.0,0.0,9.0,1120.5,1487.0,411492.66,7.5,144325.84,1.5,0.0,10.0,4.0,0.0,1592.33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.67,0.0,4.0,0.0,8.0,0.0,0.0,2.0,402.92,14.0,0.0,2.0,11.0,0.0,4.0,0.0,13.0,0.5,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,1.75,136.17,52.0,2.0,3.0,0.0,0.0,16.25,293.0,24333.84,174.0,19516.92,0
sample_37,1672968.6,244416.25,17.0,0.0,0.0,473.0,0.0,39.0,15.0,1159.84,0.0,11484.92,0.0,0.0,97.0,1538.0,2971.0,957376.32,13.5,89330.34,3.0,0.0,7.0,0.0,0.0,2243.83,1.0,0.25,2.0,0.0,0.0,3.0,0.0,0.67,0.0,3.0,3.0,3.0,0.0,1.0,3.5,2083.0,25.0,0.0,5.5,6.5,0.0,6.0,0.0,7.0,0.0,7.0,3.0,0.0,0.0,0.33,0.0,14.92,2.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,49.67,44.0,3.0,3.0,0.0,0.0,8.0,450.0,32970.66,316.0,12870.83,0
sample_38,1971327.19,245438.83,32.0,0.0,0.0,603.83,0.0,35.0,5.5,849.0,0.0,10304.33,1.0,0.0,337.5,2290.83,3650.33,1073443.82,14.5,74905.5,4.5,0.0,6.0,7.0,1.0,1750.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,2.25,0.0,2.0,2.0,10.0,0.0,0.0,6.5,4606.33,21.0,0.0,2.0,4.0,0.0,6.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.25,1.0,1.0,1.0,1.0,3.0,0.0,3.0,3.5,130.33,83.5,2.0,1.0,0.0,0.0,45.25,324.0,71566.16,443.75,12968.67,0
sample_39,1665552.5,246570.5,29.0,0.0,1.0,442.0,0.0,53.0,11.0,667.5,0.0,7581.5,1.0,2.0,57.0,1520.5,4792.75,842892.98,8.0,62701.16,3.5,0.0,6.0,2.0,1.0,1646.25,0.5,0.33,5.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,2.0,6.0,0.0,0.0,3.0,3614.92,27.0,1.0,6.0,6.83,0.0,3.0,0.0,12.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,15.33,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,40.33,52.0,3.0,3.0,0.0,0.0,20.83,386.0,53491.0,359.0,12428.67,0
sample_40,994403.21,83164.17,221.0,0.0,1.0,205.0,0.0,22.0,20.0,1646.66,0.0,9979.0,0.0,1.0,3.0,724.0,1692.5,362781.0,4.5,98775.0,1.5,0.0,10.0,3.0,1.0,1441.5,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.33,0.0,2.0,3.0,2.0,0.0,0.0,2.0,454.67,6.0,0.0,2.0,3.5,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,53.67,14.0,1.0,2.0,0.0,0.0,12.0,211.0,17461.16,137.5,12546.17,0
sample_41,1278626.4,98027.42,31.0,0.0,3.0,248.83,0.0,6.0,13.0,2256.66,0.0,9690.25,0.0,1.0,75.0,1624.17,1783.5,490505.32,6.0,91859.84,1.0,0.0,7.0,16.0,0.0,1642.83,0.0,0.5,2.0,0.0,0.0,2.0,0.0,0.67,0.0,3.0,0.0,9.0,0.0,0.0,7.33,575.83,19.0,0.0,2.0,3.0,0.0,1.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,2.0,2.0,3.0,3.0,0.0,1.0,4.5,136.83,39.0,1.0,7.5,0.0,0.0,41.5,515.0,23051.66,161.0,17329.67,1
sample_42,1473476.69,115119.67,16.5,0.0,2.0,307.83,0.0,6.0,23.0,4022.66,0.0,13341.0,0.0,1.0,17.0,1450.67,2015.83,609860.14,9.5,132917.5,2.5,0.0,9.0,13.0,1.0,1855.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.33,0.0,5.0,3.0,10.5,0.0,0.0,2.5,942.42,14.33,1.0,3.0,5.25,0.0,2.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,163.17,30.5,0.0,3.0,0.0,0.0,26.33,533.0,22959.5,250.0,23785.0,1
sample_43,1288680.22,92052.42,12.0,0.0,0.0,264.0,0.0,6.0,14.0,2307.84,0.0,9898.83,0.0,0.0,271.0,1009.67,1589.0,474958.48,9.5,108196.0,2.0,0.0,2.0,5.0,1.0,1175.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.33,0.0,3.0,1.0,5.0,0.0,0.0,0.0,328.17,15.0,0.0,11.5,2.0,0.0,6.0,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,153.33,28.0,0.0,1.0,0.0,0.0,19.5,319.0,16219.66,122.0,19936.08,1
sample_44,1134429.83,113001.58,26.0,1.0,1.0,488.33,0.0,25.0,9.0,839.84,0.0,6210.17,0.0,0.0,7.0,1633.83,4906.08,837761.98,11.75,53443.84,2.0,0.0,1.0,4.0,1.0,1754.5,0.5,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,0.5,2.5,2470.83,36.0,0.0,0.0,1.5,0.0,6.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,58.83,56.0,0.0,3.0,0.0,0.0,34.58,272.0,52934.66,398.0,10093.33,1
sample_46,1104152.52,84586.67,162.0,0.0,1.0,243.83,0.0,5.0,18.5,2722.0,0.0,10929.0,2.0,2.0,18.0,1436.0,1836.0,482796.98,7.0,131275.0,3.0,0.0,9.0,6.0,1.0,1707.5,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.33,0.0,2.0,1.0,4.0,0.0,0.0,0.5,382.67,12.33,2.0,8.0,4.0,0.0,7.0,0.0,13.0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.25,1.0,33.0,2.0,2.0,0.0,0.0,27.0,445.0,17707.16,175.0,17242.25,1
sample_47,1268156.49,103398.58,6.0,0.0,2.0,362.83,0.0,12.0,23.0,2235.5,0.0,12841.75,1.0,0.0,13.5,1008.08,2199.0,589243.32,8.5,110661.5,2.0,0.0,1.0,5.0,1.0,1681.0,0.0,0.25,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.5,518.25,17.0,0.0,2.0,1.5,0.0,2.0,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.5,0.0,20.0,0.0,2.0,0.0,0.0,14.0,404.5,16788.0,212.0,15612.33,1
sample_48,1476603.36,97773.33,37.0,0.0,0.0,487.17,0.0,13.0,14.0,2228.5,0.0,13941.17,0.0,0.0,46.5,1389.83,2204.0,739304.32,4.5,115364.84,2.0,0.0,6.0,9.0,0.0,1241.75,0.0,0.33,2.0,0.0,0.0,3.0,1.0,1.58,0.0,1.0,0.0,12.0,0.0,0.0,2.5,584.17,21.0,0.0,8.0,5.5,0.0,5.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.67,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.33,76.0,38.0,0.0,2.0,0.0,0.0,27.25,447.0,23338.0,229.0,17069.25,1
sample_49,1496229.11,133960.42,8.0,0.0,1.0,352.0,0.0,11.0,19.0,4715.84,0.0,23031.92,0.0,0.0,50.0,1126.0,4428.25,784251.64,16.0,243959.0,3.5,0.0,7.0,8.0,0.0,2368.5,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,4.0,6.0,0.0,0.0,1.5,398.25,27.67,0.33,12.0,3.83,0.0,4.0,0.0,20.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,12.58,0.0,2.0,0.0,1.0,4.0,0.0,0.0,1.5,90.83,41.0,0.0,4.0,0.0,0.0,22.83,540.0,16050.0,210.5,23485.33,1
sample_50,1028619.51,89313.92,12.0,0.0,2.0,293.0,0.0,6.0,28.0,5133.16,0.0,21848.42,0.0,0.0,15.0,993.67,1934.5,569870.48,7.08,250847.16,2.0,0.0,9.0,6.0,1.0,2413.75,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.58,0.0,3.0,1.0,4.0,0.0,0.0,3.0,241.33,21.0,2.0,22.0,20.58,0.0,3.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1.33,71.67,57.0,2.0,3.0,0.0,0.0,24.33,394.0,16872.34,193.5,21787.5,1
sample_51,1344007.7,110700.83,19.0,0.0,0.0,281.5,0.0,6.0,39.0,3367.5,0.0,22149.08,0.0,0.0,60.5,1288.0,2814.33,614604.82,9.0,227498.5,2.0,0.0,15.0,24.0,0.0,2734.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,2.67,0.0,2.0,3.0,6.0,0.0,0.0,6.5,379.92,15.0,0.0,2.0,19.83,0.0,12.0,0.0,23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.5,167.33,55.0,0.0,4.0,0.0,0.0,36.25,468.0,27620.66,209.5,22545.83,1
sample_52,1121914.44,102896.92,6.0,0.0,1.0,311.67,0.0,6.0,30.0,2728.0,0.0,20510.25,0.5,0.0,10.0,1322.5,2301.0,556982.32,7.5,210166.16,3.0,0.0,21.0,11.0,0.0,2546.5,0.0,0.25,0.0,0.0,0.0,4.0,0.0,0.67,0.0,4.0,1.0,11.0,0.0,0.0,1.5,340.42,13.25,0.0,5.0,14.25,0.0,4.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,6.0,0.0,1.0,0.83,166.0,45.5,0.0,4.0,0.0,0.0,32.83,365.0,24152.16,182.0,22286.58,1
sample_53,1079424.0,89192.83,6.0,0.0,0.0,237.83,0.0,5.0,25.0,2308.84,0.0,14456.75,0.0,1.0,32.0,851.5,1427.5,430519.98,5.5,153877.34,2.0,0.0,15.0,15.0,0.0,1518.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,1.5,238.0,14.25,0.0,7.0,6.83,0.0,7.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.5,134.17,33.0,0.0,4.0,0.0,0.0,11.75,265.0,18400.5,129.0,18084.0,1
sample_54,1176624.79,100762.75,10.0,0.0,0.0,316.5,0.0,6.0,13.0,1617.0,0.0,13652.58,0.0,0.0,6.0,1023.5,2444.0,441853.16,7.5,132932.0,2.0,0.0,7.0,1.0,2.0,1612.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.33,0.0,0.0,1.0,6.0,0.0,0.0,0.5,547.42,13.0,0.0,3.0,6.75,0.0,3.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.33,0.0,0.0,1.25,61.17,32.0,0.0,0.0,0.0,0.0,24.25,312.0,23417.34,169.5,13165.58,1
sample_55,1522291.84,128788.17,17.0,0.0,1.0,322.5,0.0,11.0,27.0,2305.34,0.0,14528.92,0.0,1.0,12.0,1044.0,2243.0,612820.66,6.5,134380.5,4.0,0.0,8.0,7.0,0.0,2350.5,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,783.75,21.0,0.0,5.0,7.83,0.0,5.0,0.0,13.0,0.5,17.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,86.67,64.0,1.0,2.0,0.0,0.0,24.5,308.0,25982.16,203.0,19514.58,1
sample_56,1310055.5,103765.5,140.0,0.0,0.0,214.33,0.0,4.0,1.0,771.0,0.0,5185.25,1.0,0.0,14.0,916.0,1759.0,369774.32,5.75,56956.0,3.5,0.0,9.0,4.0,1.0,755.5,0.0,0.25,2.0,0.0,0.0,3.0,0.0,0.33,0.0,2.0,0.0,3.0,0.0,0.0,2.0,903.67,5.33,1.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.33,0.0,3.0,0.0,0.0,1.5,1.0,25.0,1.0,1.0,0.0,0.0,10.5,211.0,17262.66,130.0,9570.67,1
sample_57,1104968.79,92659.0,6.0,0.0,1.0,273.0,0.0,6.0,20.0,2293.0,0.0,16353.83,1.0,1.0,8.0,1116.83,2364.5,490719.82,6.92,159639.91,5.0,0.0,5.0,0.0,0.0,1946.83,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0,5.0,9.0,0.0,0.0,1.0,372.0,10.0,0.0,2.5,7.33,0.0,10.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.5,0.0,0.0,0.0,1.0,39.0,2.0,4.0,0.0,0.0,20.33,367.0,22627.34,211.0,20119.0,1
sample_58,1474627.31,144728.08,23.0,0.0,1.0,406.67,0.0,17.0,14.5,915.16,0.0,6180.83,0.0,1.0,35.16,1443.5,2864.33,740705.16,11.5,60244.34,1.0,0.0,9.0,1.0,1.0,1489.83,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,6.0,4515.25,23.0,0.0,3.0,1.83,0.0,1.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.33,60.33,68.5,0.0,1.0,0.0,0.0,33.25,203.0,63088.34,256.0,9397.75,1
sample_59,1451569.61,162802.5,26.0,0.0,0.0,482.17,0.0,15.0,16.5,1219.16,0.0,11291.0,1.0,0.0,22.0,1617.0,5952.83,984079.48,19.17,105114.5,4.0,0.0,13.0,20.0,0.0,1940.0,0.0,0.5,12.0,0.0,0.0,0.0,0.0,1.67,0.0,2.0,3.0,4.0,0.0,0.0,2.0,4133.25,22.33,0.0,1.0,5.33,0.0,5.66,0.0,3.0,0.5,18.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,3.0,66.83,44.0,0.0,2.0,0.0,0.0,32.0,397.0,53882.34,435.0,11709.0,1
sample_60,1335679.22,108961.92,16.0,0.0,0.0,270.5,0.0,6.0,30.0,3054.84,0.0,16310.08,0.0,1.0,14.0,811.75,2461.5,492615.48,3.5,161667.66,3.5,0.0,21.0,19.5,0.0,1934.5,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,3.5,347.5,16.0,0.0,2.5,7.5,0.0,1.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.5,78.33,32.0,1.0,2.0,0.0,0.0,16.0,360.0,23178.84,179.5,24445.42,1
sample_61,985183.4,86326.17,24.0,0.0,0.0,336.5,0.0,5.0,7.0,3364.34,0.0,16550.75,0.0,0.0,115.0,1129.5,1619.5,498263.66,9.5,116369.16,3.0,0.0,8.0,23.0,0.0,1514.75,1.5,0.0,3.0,0.0,0.0,2.0,0.0,0.33,0.0,4.0,3.0,4.0,0.0,0.0,2.0,356.17,18.33,0.0,4.5,4.83,0.0,4.0,0.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,13.67,1.0,2.0,0.0,0.0,1.0,0.0,2.0,4.5,117.0,21.0,0.0,2.0,0.0,0.0,10.5,408.0,13308.66,182.0,16388.25,1
sample_62,2234116.69,227063.58,379.0,0.0,4.0,912.17,0.0,15.0,21.0,2544.16,0.0,21933.58,1.0,0.0,39.5,1961.0,7077.33,1301247.14,25.0,191776.34,4.5,0.0,17.0,9.0,0.0,7409.5,0.0,0.0,16.0,0.0,0.0,4.0,0.0,1.67,0.0,6.0,3.0,13.0,0.0,0.0,2.5,5341.5,50.58,1.0,11.0,8.75,0.33,7.0,0.0,11.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,9.33,0.0,1.0,5.0,4.0,2.0,0.0,2.0,4.5,1.0,57.0,0.0,3.0,0.0,0.0,21.5,618.0,89474.66,505.5,23711.08,1
sample_63,1790417.32,161597.08,65.0,0.0,4.0,476.0,0.0,15.0,33.5,3657.5,0.0,15210.33,3.0,0.0,274.0,1635.5,3983.5,825674.48,14.5,135393.41,3.0,0.0,2.0,11.0,0.0,2732.5,1.5,0.0,1.25,0.33,0.0,1.0,0.0,0.67,0.0,7.0,5.0,3.0,0.0,0.0,2.5,1577.67,21.0,0.0,8.0,5.67,0.0,2.0,0.0,25.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,3.0,1.0,0.0,4.0,0.0,2.0,2.5,1.0,32.0,1.0,6.0,0.0,0.0,24.5,628.0,19473.66,276.0,23234.08,1
sample_64,968845.91,90085.92,39.0,0.0,0.0,238.0,0.0,3.0,28.5,1268.84,0.0,10552.25,0.0,0.0,74.5,756.5,1903.0,432294.82,9.67,103282.5,1.5,0.0,7.0,18.0,1.0,1208.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.33,0.0,1.0,1.0,6.0,0.0,0.0,2.5,385.42,22.0,0.0,3.0,9.33,0.0,2.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.5,0.0,17.0,0.0,4.0,0.0,0.0,12.75,277.0,13901.0,149.0,11248.42,1
sample_65,1565912.63,138807.33,104.0,0.0,0.0,305.5,0.0,4.0,28.0,5176.84,0.0,21874.67,0.0,0.0,59.5,1337.0,2454.5,759803.3,16.5,225268.34,3.5,0.0,7.0,22.0,1.0,2739.5,0.0,0.0,9.0,0.0,0.0,3.0,0.0,2.33,0.0,4.0,3.0,8.0,0.0,0.0,0.5,528.5,23.33,1.0,15.33,12.17,0.0,10.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,12.33,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.5,1.0,43.0,0.0,3.0,0.0,0.0,24.75,682.0,21177.34,253.0,24123.5,1
sample_66,1288898.64,126066.58,11.0,0.0,0.0,258.83,0.0,15.0,26.5,4301.0,0.0,19007.67,1.0,0.0,32.5,896.83,2941.0,665104.48,12.5,178223.25,3.5,0.0,3.0,11.0,2.0,2582.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.67,0.0,4.0,3.0,6.0,0.0,0.0,2.5,496.25,20.0,0.0,8.5,8.5,0.0,6.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,11.58,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,38.0,0.0,2.0,0.0,0.0,15.5,467.0,14586.16,180.0,19645.33,1
sample_67,1680546.84,198004.92,18.0,0.0,2.0,767.5,0.0,24.0,7.0,1172.5,0.0,10132.67,3.0,1.0,53.5,2720.0,7154.67,1244477.32,14.75,78987.84,4.0,0.0,2.0,8.0,0.0,1681.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,3727.92,38.0,1.0,4.0,0.5,0.0,2.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.67,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.5,148.5,53.0,0.0,4.0,0.0,0.0,22.0,515.0,54735.16,576.0,14373.42,1
sample_68,987628.61,92468.92,7.0,0.0,0.0,226.5,0.0,6.0,22.0,2998.0,0.0,10102.08,0.0,0.0,99.0,942.5,1776.0,449262.98,9.5,131292.66,2.0,0.0,10.0,11.0,0.0,1883.5,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,5.0,0.0,0.0,1.5,388.0,19.0,0.0,4.0,2.83,0.0,1.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,3.0,2.0,16.0,1.0,2.0,0.0,0.0,18.5,470.0,10974.0,161.0,14424.67,1
sample_69,1402234.46,133068.5,55.0,0.0,0.0,278.83,0.0,14.0,16.5,4405.84,0.0,16381.75,0.0,0.0,21.5,1126.0,3007.0,601588.65,11.0,155633.16,2.0,0.0,5.0,19.0,0.0,2257.0,0.0,0.25,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,534.0,6.0,0.0,3.5,9.0,0.0,0.66,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.33,1.0,8.33,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.5,147.17,22.0,0.0,5.0,0.0,0.0,12.0,465.0,16324.66,183.5,21268.33,1
sample_70,1365902.08,90272.17,9.0,0.0,2.0,277.33,0.0,6.0,14.5,4869.5,0.0,17333.58,0.0,0.0,11.0,1009.0,2565.0,662197.48,10.17,187585.0,3.0,0.0,9.0,0.0,0.0,2351.5,0.0,0.25,5.0,0.0,0.0,4.0,0.0,2.33,0.0,5.0,0.0,4.0,0.0,0.0,2.5,482.67,22.0,1.0,9.0,4.0,0.0,9.0,0.0,24.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,16.33,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,167.33,17.5,0.0,2.0,0.0,0.0,24.5,376.0,17927.0,197.5,22686.33,1
sample_71,1406241.55,102655.67,100.0,0.0,1.0,241.33,0.0,6.0,7.5,1309.16,0.0,7386.5,0.0,0.0,17.0,971.5,1940.5,468068.66,5.5,69475.41,2.0,0.0,9.0,5.0,2.0,1023.5,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,6.5,0.0,0.0,0.5,607.0,12.0,0.0,2.0,3.67,0.0,2.0,0.0,4.0,0.5,8.0,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,1.0,1.0,2.0,0.0,2.0,1.5,0.0,23.0,0.0,0.0,0.0,0.0,15.0,281.0,19885.66,119.0,13699.0,1
