,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,Diagnosis
RNA379_FPKM,1.963950098,1.196343604,1.097270116,3.90409416,7.598897268,1.240124027,1.60978718,0.676399506,1
RNA38_FPKM,0.923475389,0.533463577,0.779661814,3.62635429,3.145871585,0.967583328,0.312546835,0.626335966,0
RNA383_FPKM,2.188381541,0.725519389,0.648755709,3.156645763,5.134684511,1.604374784,0.765199586,0.719392779,0
RNA385_FPKM,2.164774263,0.570296237,1.01334697,3.6185128,5.576782878,1.313602248,0.940571563,0.632420738,1
RNA386_FPKM,1.167155766,0.158069989,1.059668579,2.921730578,4.826635543,0.87351767,0.246890276,0.103072869,0
RNA39_FPKM,1.638333108,0.591415329,0.686525725,2.734244714,8.362696371,2.196841517,1.068543361,0.983848155,1
RNA392_FPKM,1.995682383,0.656558075,0.846828616,2.678322474,5.163311673,1.92842479,0.726720838,0.449755976,0
RNA409_FPKM,1.740852785,0.955944013,0.958934957,2.946210437,5.734331534,0.990921351,0.549770379,0.914629197,0
RNA41_FPKM,0.103499182,0.0,0.323812643,2.340933199,1.342456416,0.418256341,0.061294748,0.105289376,0
RNA418_FPKM,0.803846516,1.129459675,0.704008927,1.996313379,5.123640501,0.926791603,0.47793236,0.497294867,0
RNA431_FPKM,1.733410714,0.197572593,1.325273253,6.663429714,3.705517012,1.024145459,0.656139319,0.5672017,1
RNA44_FPKM,1.131106079,0.144094805,1.040857299,3.605539804,3.269071796,1.792613146,0.797532502,0.582876649,1
RNA442_FPKM,0.394588283,0.284872106,0.514419034,0.464791331,4.006719903,0.689077302,0.556444049,0.1672641,0
RNA454_FPKM,1.330928619,0.352935244,0.607010162,2.687801265,5.178033374,1.28065825,0.574549325,0.253305842,0
RNA457_FPKM,2.190709853,0.618935347,0.886933191,3.253982558,5.397357215,1.390032771,0.920070998,0.915173247,0
RNA466_FPKM,0.963172052,1.455569167,0.976146139,1.583250673,5.370670168,1.659600163,0.615954891,0.379802476,0
RNA471_FPKM,2.693676637,0.972470023,0.886266233,2.644383049,5.411553346,2.553531289,1.411803423,1.471697865,0
RNA476_FPKM,1.116079356,1.128198143,0.942256433,1.577704718,6.531572731,1.225060123,1.385010353,1.42981889,0
RNA483_FPKM,0.605580325,0.596266169,0.6561796,2.853547284,4.544189597,1.112437324,0.636599031,0.606752919,0
RNA488_FPKM,1.275322216,0.517933205,0.979727112,4.507064445,6.579319489,0.80530365,0.665983696,0.473022523,0
RNA499_FPKM,0.632368454,0.684944856,0.565292577,2.979815482,5.095546091,1.183185493,0.552896552,0.160843652,0
RNA50_FPKM,0.348278187,0.665667449,0.847034346,1.013744896,5.717527546,1.103967701,0.884071652,0.38211343,1
RNA504_FPKM,2.21764844,0.851868162,1.037592029,2.548112931,7.814996449,1.22636964,0.864241786,0.694622393,0
RNA519_FPKM,1.274926714,0.602531456,0.725265906,1.63846273,4.601262122,0.832724587,0.392267591,0.117914152,0
RNA52_FPKM,0.0,0.0,1.23583757,0.0,4.788767801,1.668360556,0.760326089,0.542072613,0
RNA521_FPKM,1.528058811,0.607971728,0.923422126,1.102048912,6.527167039,1.295297514,1.299501093,0.515545529,0
RNA528_FPKM,2.039799126,0.623791441,0.482681333,4.410084609,5.800993572,2.31680231,1.086292079,0.671378549,0
RNA53_FPKM,1.270541991,0.791694821,0.700134957,3.936647931,6.259597124,1.524003776,1.060283584,0.604976589,0
RNA535_FPKM,0.637339897,0.0,0.687620051,2.174782716,5.355900815,0.937511155,0.260334508,0.33537833,1
RNA58_FPKM,1.15396108,0.612174857,0.552624615,3.995091474,3.887841462,2.326495843,0.607752139,0.399319232,0
RNA6_FPKM,0.855904531,0.878219796,0.956397482,1.751245845,4.736562093,1.567707868,0.867125921,0.439205614,0
RNA60_FPKM,1.081580609,0.897247715,0.97716569,3.741212671,4.47748494,1.91170288,1.41166214,0.624325097,0
RNA62_FPKM,0.82009147,0.152300334,0.680721138,4.802769012,3.776018769,1.525585451,0.416325484,0.35755961,0
RNA63_FPKM,0.654302351,0.53144568,0.47978973,3.468505929,3.696959828,0.872245221,0.527660108,0.34669087,0
RNA64_FPKM,0.456226025,0.404321628,0.926875123,3.078061746,5.175882897,1.862358993,0.552693621,0.12307099,0
RNA66_FPKM,0.539936671,0.519818437,0.558648793,1.130833091,2.515302517,1.257177829,0.253802033,0.220397304,0
RNA67_FPKM,1.511776857,0.893061266,1.86844891,1.942799947,6.167339373,2.057101457,1.220986767,0.912703456,0
RNA69_FPKM,0.837669831,0.697817948,0.599997554,1.669928476,5.571988978,1.205567841,0.481590195,0.45522377,0
RNA7_FPKM,0.864714233,0.739375735,0.432259817,3.860231122,3.443572728,1.481653391,1.010824623,0.385833755,0
RNA72_FPKM,1.284946187,0.273777075,0.706143375,0.893377825,5.17486211,2.364725984,0.917892402,0.517889178,0
RNA74_FPKM,0.590426908,0.255837878,0.81368893,0.0,6.575360508,0.397702876,0.782641538,0.317025828,0
RNA75_FPKM,0.394830794,0.116605329,0.521414289,0.634305422,5.079136745,1.168536649,0.250556481,0.228226848,0
RNA78_FPKM,1.305299568,0.287519981,0.766363701,4.222179166,2.478363188,1.241821525,0.355665231,0.300105009,1
RNA86_FPKM,1.279462748,0.831466977,1.072271215,3.31597823,6.034912486,1.244831299,0.72170994,1.012397991,1
RNA87_FPKM,1.299621001,1.251180817,0.833665144,2.891840655,6.338113269,0.918584679,1.445803043,1.122216525,0
RNA89_FPKM,0.892298195,0.134863846,0.486946609,1.320120794,3.548076172,0.652277295,0.184359088,0.21111054,0
RNA94_FPKM,0.0,0.0,0.0,0.0,7.696812204,1.441482213,0.226344045,0.0,1
RNA95_FPKM,1.253228682,0.872549194,0.625179007,3.638116422,5.497753594,2.663012989,0.871018773,1.612682576,0
RNA97_FPKM,1.134185597,1.028481525,1.061027251,2.610018551,5.598428343,2.072695094,0.513294777,1.811281766,0
RNA98_FPKM,0.989263673,1.071376983,0.368461237,2.913393551,5.130523318,2.406182202,0.871888274,0.722183737,1
R_JS001_FPKM,1.745114483,3.502067433,2.12205907,3.990724369,12.00395974,5.473901516,3.137693789,2.93724524,1
R_JS002_FPKM,1.243202409,1.038699731,1.547929388,4.142556016,9.982523378,3.588730191,1.900901225,2.710217095,1
R_JS003_FPKM,2.008017421,2.150776288,1.084909191,7.174484349,9.237094332,2.675289313,1.783009436,2.319716767,1
R_JS004_FPKM,1.696003447,3.532299719,1.093342976,3.842150571,8.290176731,2.880298574,2.575636254,1.659059134,1
R_JS005_FPKM,2.229679853,3.252596789,1.11861264,6.593404567,7.064833796,3.320342538,2.338925786,2.71969569,1
R_JS006_FPKM,1.194522516,1.492772286,1.283434593,4.870977357,6.771943504,3.352415447,1.273088706,1.363263766,1
R_JS007_FPKM,0.459885676,0.679161179,0.934317926,3.250575948,7.887863609,1.642656181,0.972783492,0.40761616,1
R_JS008_FPKM,2.318563978,1.537349541,1.797688629,7.859626284,9.299432325,2.709055543,2.362124682,2.707799912,1
R_JS009_FPKM,1.363560942,1.804995544,1.072210632,5.711300093,7.096560528,3.685114235,0.961434289,1.327272904,1
R_JS010_FPKM,1.266279842,1.08906913,1.019592222,5.923007548,4.135519555,3.177509897,1.378655169,1.689250116,1
R_JS011_FPKM,2.811527738,2.062709896,2.499798458,6.41049616,8.020937878,5.769459406,2.545124345,4.139240145,1
R_JS012_FPKM,2.249936462,2.110234275,1.373694511,4.754424183,8.433350383,4.270376652,3.689612235,3.519973791,1
R_JS013_FPKM,1.545916823,2.363678059,1.178710813,5.913391675,12.97488722,2.531688886,1.400335047,1.973621659,1
R_JS014_FPKM,1.71057904,1.552887823,0.660557464,6.489848777,8.231505121,4.151216444,1.835773144,4.265320794,1
R_JS015_FPKM,2.505708028,2.13544008,1.032758887,8.565124918,5.247433382,2.628445829,0.990542413,1.514875397,1
R_JS016_FPKM,3.28171939,2.63428496,1.272663626,6.822341383,7.549798353,2.513804072,2.51535401,1.83297972,1
R_JS017_FPKM,3.740924481,2.197504871,1.535083825,10.90536232,7.435177748,2.277742124,1.967091166,2.078512295,1
R_JS018_FPKM,2.883921436,2.918643024,2.060310463,6.85038807,9.012748723,2.972112726,2.250098641,1.202443743,1
R_JS019_FPKM,1.447375759,0.447866103,1.129551882,5.683563355,8.94003841,1.547481339,1.331555562,1.090746436,1
R_JS020_FPKM,1.887172657,2.388963523,1.588409344,4.850497136,12.86064247,3.906905082,3.058708481,2.140148427,1
R_JS021_FPKM,1.649037113,0.846005663,1.285007093,10.42890042,4.733393737,1.607630366,0.789426095,0.772604578,1
R_JS022_FPKM,3.062224394,1.723499252,1.185497268,12.61172556,7.487268794,4.114338075,2.386963822,2.657464373,1
R_JS023_FPKM,1.276853626,2.329100486,1.001249034,4.433340217,11.97471136,3.822373759,2.018554075,2.297932028,1
R_JS024_FPKM,2.099073259,2.40703582,1.020982457,4.36368576,9.027176964,2.439581531,1.35814958,1.402717441,1
R_JS025_FPKM,1.714913619,1.04009782,0.485448417,4.363696911,15.50354577,1.899514897,1.644470365,1.977286252,1
R_JS026_FPKM,2.298544765,2.133833795,0.953996848,4.641873983,9.335873532,2.3591833,1.222457619,0.40830472,1
R_JS027_FPKM,1.253082491,0.892403243,1.054954351,2.547985645,12.07737817,2.851983439,2.27300048,0.494788458,1
R_JS028_FPKM,1.981137937,1.355089659,0.932116414,4.127172273,8.647784041,2.809286577,2.320298551,1.909421576,1
R_JS029_FPKM,1.698917897,2.862161789,1.546834758,3.558101822,9.851849084,2.307467392,1.330996971,1.671487573,1
R_JS030_FPKM,1.569177154,2.585148452,1.185407608,4.061587093,7.688153412,2.778829006,1.402500745,2.154786812,1
R_JS031_FPKM,1.624759433,1.599766536,1.320384224,7.83016349,9.04726598,3.039907325,1.416379184,1.544409369,1
R_JS032_FPKM,1.534098593,1.107642896,0.571400372,3.078919468,8.337717322,1.318206025,0.705092985,0.867067405,1
R_JS033_FPKM,0.588155739,0.611581361,1.445860926,1.662819823,10.63426293,2.376907646,0.45782791,0.538517832,1
R_JS034_FPKM,3.307213021,2.149125909,1.921680521,5.766181863,9.966246663,2.871165102,2.182647975,2.542132535,1
R_JS035_FPKM,0.57860306,1.671143952,0.981783295,1.666216032,10.02375375,2.117021713,1.296444319,1.398947052,1
R_JS036_FPKM,2.737297713,3.583073034,2.068467146,5.011002062,11.53334817,2.3875951,2.05778728,1.61945508,1
R_JS037_FPKM,1.648624458,1.947786208,1.311848254,1.942209499,11.43832816,1.738594059,1.637958053,2.456535449,1
R_JS038_FPKM,1.655710347,1.383357331,1.29508691,3.009408931,7.623656991,2.018023111,0.70045569,1.383642171,1
R_JS039_FPKM,1.41129709,1.111611502,0.931855513,2.116001035,12.90154165,1.968372164,1.664508414,1.450285662,1
R_JS040_FPKM,1.465270469,1.731245144,0.992323316,2.040021419,10.51537688,2.492291728,1.587299266,1.976306684,1
R_JS041_FPKM,2.340852836,2.386180191,1.359134326,7.461713373,6.67527498,3.709889151,1.281576688,2.120753872,1
