,AC093525.7,Diagnosis
RNA1_FPKM,0.920158445,0
RNA102_FPKM,1.392504711,1
RNA104_FPKM,0.939106131,0
RNA108_FPKM,0.975753435,0
RNA110_FPKM,0.662916166,0
RNA114_FPKM,0.540319405,0
RNA115_FPKM,0.322597989,0
RNA116_FPKM,0.372564945,0
RNA126_FPKM,0.53089589,0
RNA132_FPKM,0.953559668,0
RNA140_FPKM,0.820786228,1
RNA145_FPKM,0.846089826,0
RNA150_FPKM,2.074759377,1
RNA151_FPKM,0.780087803,0
RNA152_FPKM,1.275376612,0
RNA155_FPKM,0.603599943,0
RNA165_FPKM,2.979643138,0
RNA174_FPKM,1.659768632,1
RNA179_FPKM,1.359037623,0
RNA18_FPKM,0.408288862,1
RNA185_FPKM,2.051531924,1
RNA2_FPKM,1.521339626,0
RNA201_FPKM,1.112375393,1
RNA205_FPKM,0.707846696,0
RNA209_FPKM,1.505432765,0
RNA213_FPKM,0.778931477,0
RNA219_FPKM,0.89975464,0
RNA23_FPKM,1.498426415,1
RNA246_FPKM,1.498025751,1
RNA253_FPKM,1.610656574,1
RNA26_FPKM,3.095335098,0
RNA277_FPKM,0.803824779,0
RNA288_FPKM,0.501086586,0
RNA29_FPKM,0.324732505,0
RNA295_FPKM,0.701680647,0
RNA3_FPKM,1.250308806,0
RNA302_FPKM,0.599973695,0
RNA303_FPKM,0.601820485,1
RNA31_FPKM,0.412823265,1
RNA314_FPKM,0.495580591,1
RNA319_FPKM,0.592975124,0
RNA32_FPKM,1.31637927,1
RNA328_FPKM,0.680262059,0
RNA331_FPKM,0.923788162,0
RNA334_FPKM,0.53294543,0
RNA335_FPKM,0.820218017,1
RNA336_FPKM,0.54123934,0
RNA35_FPKM,0.775889573,0
RNA358_FPKM,1.859312264,0
RNA365_FPKM,1.641083005,0
RNA368_FPKM,0.883634084,0
RNA37_FPKM,1.301807945,0
RNA379_FPKM,1.963950098,1
RNA38_FPKM,0.923475389,0
RNA383_FPKM,2.188381541,0
RNA385_FPKM,2.164774263,1
RNA386_FPKM,1.167155766,0
RNA39_FPKM,1.638333108,1
RNA392_FPKM,1.995682383,0
RNA409_FPKM,1.740852785,0
RNA41_FPKM,0.103499182,0
RNA418_FPKM,0.803846516,0
RNA431_FPKM,1.733410714,1
RNA44_FPKM,1.131106079,1
RNA442_FPKM,0.394588283,0
RNA454_FPKM,1.330928619,0
RNA457_FPKM,2.190709853,0
RNA466_FPKM,0.963172052,0
RNA471_FPKM,2.693676637,0
RNA476_FPKM,1.116079356,0
RNA483_FPKM,0.605580325,0
RNA488_FPKM,1.275322216,0
RNA499_FPKM,0.632368454,0
RNA50_FPKM,0.348278187,1
RNA504_FPKM,2.21764844,0
RNA519_FPKM,1.274926714,0
RNA52_FPKM,0.0,0
RNA521_FPKM,1.528058811,0
RNA528_FPKM,2.039799126,0
RNA53_FPKM,1.270541991,0
RNA535_FPKM,0.637339897,1
RNA58_FPKM,1.15396108,0
RNA6_FPKM,0.855904531,0
RNA60_FPKM,1.081580609,0
RNA62_FPKM,0.82009147,0
RNA63_FPKM,0.654302351,0
RNA64_FPKM,0.456226025,0
RNA66_FPKM,0.539936671,0
RNA67_FPKM,1.511776857,0
RNA69_FPKM,0.837669831,0
RNA7_FPKM,0.864714233,0
RNA72_FPKM,1.284946187,0
RNA74_FPKM,0.590426908,0
RNA75_FPKM,0.394830794,0
RNA78_FPKM,1.305299568,1
RNA86_FPKM,1.279462748,1
RNA87_FPKM,1.299621001,0
RNA89_FPKM,0.892298195,0
RNA94_FPKM,0.0,1
RNA95_FPKM,1.253228682,0
RNA97_FPKM,1.134185597,0
RNA98_FPKM,0.989263673,1
R_JS001_FPKM,1.745114483,1
R_JS002_FPKM,1.243202409,1
R_JS003_FPKM,2.008017421,1
R_JS004_FPKM,1.696003447,1
R_JS005_FPKM,2.229679853,1
R_JS006_FPKM,1.194522516,1
R_JS007_FPKM,0.459885676,1
R_JS008_FPKM,2.318563978,1
R_JS009_FPKM,1.363560942,1
R_JS010_FPKM,1.266279842,1
R_JS011_FPKM,2.811527738,1
R_JS012_FPKM,2.249936462,1
R_JS013_FPKM,1.545916823,1
R_JS014_FPKM,1.71057904,1
R_JS015_FPKM,2.505708028,1
R_JS016_FPKM,3.28171939,1
R_JS017_FPKM,3.740924481,1
R_JS018_FPKM,2.883921436,1
R_JS019_FPKM,1.447375759,1
R_JS020_FPKM,1.887172657,1
R_JS021_FPKM,1.649037113,1
R_JS022_FPKM,3.062224394,1
R_JS023_FPKM,1.276853626,1
R_JS024_FPKM,2.099073259,1
R_JS025_FPKM,1.714913619,1
R_JS026_FPKM,2.298544765,1
R_JS027_FPKM,1.253082491,1
R_JS028_FPKM,1.981137937,1
R_JS029_FPKM,1.698917897,1
R_JS030_FPKM,1.569177154,1
R_JS031_FPKM,1.624759433,1
R_JS032_FPKM,1.534098593,1
R_JS033_FPKM,0.588155739,1
R_JS034_FPKM,3.307213021,1
R_JS035_FPKM,0.57860306,1
R_JS036_FPKM,2.737297713,1
R_JS037_FPKM,1.648624458,1
R_JS038_FPKM,1.655710347,1
R_JS039_FPKM,1.41129709,1
R_JS040_FPKM,1.465270469,1
R_JS041_FPKM,2.340852836,1
