,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,AC022395.1,AP005131.4,AL034550.1,ILF3-DT,AC138207.7,ACTA2-AS1,STARD4-AS1,WAC-AS1,AC008507.2,AP001350.1,AC131971.1,AC009951.5,AP005131.1,AL450326.1,AC006441.1,Diagnosis
RNA442_FPKM,0.394588283,0.284872106,0.514419034,0.464791331,4.006719903,0.689077302,0.556444049,0.1672641,0.087371914,0.0,0.403114895,24.65223536,0.0,0.100495281,0.08334386,4.071137479,0.0,0.365111497,0.482718324,0.246830179,0.10051646,0.941300733,0.363749737,0
RNA454_FPKM,1.330928619,0.352935244,0.607010162,2.687801265,5.178033374,1.28065825,0.574549325,0.253305842,0.144363525,0.086833274,0.799123856,13.01266929,0.589772546,0.083010548,0.055602954,4.988551171,0.0,0.387733548,0.265835399,0.0,0.0,1.943890982,0.450658732,0
RNA457_FPKM,2.190709853,0.618935347,0.886933191,3.253982558,5.397357215,1.390032771,0.920070998,0.915173247,0.126554021,0.203036992,0.875699017,11.64002808,0.947897128,0.109159989,0.102132569,4.88638006,0.0,0.90647224,0.233040434,0.17876083,0.157706482,1.211810258,0.790311038,0
RNA466_FPKM,0.963172052,1.455569167,0.976146139,1.583250673,5.370670168,1.659600163,0.615954891,0.379802476,0.11904274,0.107421287,1.235609932,11.79600148,0.364717782,0.171135187,0.117908127,4.90678284,0.069078367,0.692807791,0.657678755,0.0,0.136930511,0.854914836,0.0,0
RNA471_FPKM,2.693676637,0.972470023,0.886266233,2.644383049,5.411553346,2.553531289,1.411803423,1.471697865,0.07953259,0.143559892,1.816082535,12.69685397,0.649833646,0.137196231,0.179429491,4.291573781,0.046128844,1.103781062,0.402756946,0.252790245,0.297326876,1.356545617,0.745065984,0
RNA476_FPKM,1.116079356,1.128198143,0.942256433,1.577704718,6.531572731,1.225060123,1.385010353,1.42981889,0.098859475,0.079289222,0.820854483,15.78218857,0.403873513,0.265290587,0.15956707,4.720489593,0.076496216,0.826160845,0.424787155,0.0,0.09475563,1.538302076,0.617362716,0
RNA483_FPKM,0.605580325,0.596266169,0.6561796,2.853547284,4.544189597,1.112437324,0.636599031,0.606752919,0.024379427,0.0,0.539869056,9.227665569,0.298793962,0.140196755,0.053663505,3.662138465,0.113148734,0.523947478,0.224505076,0.0,0.210345695,0.262624167,0.456737682,0
RNA488_FPKM,1.275322216,0.517933205,0.979727112,4.507064445,6.579319489,0.80530365,0.665983696,0.473022523,0.211804125,0.1911575,0.952626192,14.82993015,0.432644803,0.060894802,0.1107214,4.651382667,0.0,0.900810128,0.146246618,0.0,0.12181527,1.42608935,0.495966792,0
RNA499_FPKM,0.632368454,0.684944856,0.565292577,2.979815482,5.095546091,1.183185493,0.552896552,0.160843652,0.224059413,0.067400588,0.852731067,11.91015421,0.0,0.128836523,0.067811342,4.704071483,0.129986849,0.40121925,0.206294918,0.0,0.177195539,1.407962815,0.174988927,0
RNA50_FPKM,0.348278187,0.665667449,0.847034346,1.013744896,5.717527546,1.103967701,0.884071652,0.38211343,0.027227683,0.163775325,0.376716467,17.34504323,0.667285605,0.18782433,0.077886815,4.782250218,0.0,1.023670666,0.350911695,0.230758843,0.031319008,1.172913511,0.0,1
RNA504_FPKM,2.21764844,0.851868162,1.037592029,2.548112931,7.814996449,1.22636964,0.864241786,0.694622393,0.101604922,0.087329189,1.486426367,14.56226174,0.652266912,0.108506231,0.159737638,4.220097609,0.067361592,0.987693264,0.347483517,0.061534375,0.083482656,1.667885314,0.271957367,0
RNA519_FPKM,1.274926714,0.602531456,0.725265906,1.63846273,4.601262122,0.832724587,0.392267591,0.117914152,0.092385887,0.1111645,1.704931806,15.55584133,0.0,0.053122858,0.020333985,4.816249662,0.0,0.49635165,0.113432035,0.0,0.017705966,0.884769874,0.19225357,0
RNA52_FPKM,0.0,0.0,1.23583757,0.0,4.788767801,1.668360556,0.760326089,0.542072613,0.0,0.0,0.0,31.31484784,0.0,0.303668323,0.21225754,5.248372759,0.0,0.0,0.211428252,0.0,0.211286396,0.0,0.0,0
RNA521_FPKM,1.528058811,0.607971728,0.923422126,1.102048912,6.527167039,1.295297514,1.299501093,0.515545529,0.082874856,0.024930058,0.974787714,14.14168153,0.507856623,0.17868899,0.237112947,3.079679599,0.048079397,0.630669742,0.572238829,0.0,0.059579948,1.487848419,0.258770575,0
RNA528_FPKM,2.039799126,0.623791441,0.482681333,4.410084609,5.800993572,2.31680231,1.086292079,0.671378549,0.095652996,0.038376807,0.970779183,10.04865493,0.521071293,0.1833438,0.112285162,3.7672104,0.0,1.027756512,0.234868842,0.135153102,0.128369368,0.915988484,0.0,0
RNA53_FPKM,1.270541991,0.791694821,0.700134957,3.936647931,6.259597124,1.524003776,1.060283584,0.604976589,0.046250925,0.083478025,0.768065564,11.80709043,0.377900522,0.132973846,0.091617789,2.634004938,0.160993335,0.372693231,0.468423251,0.195991886,0.026600374,1.245580009,0.577660294,0
RNA535_FPKM,0.637339897,0.0,0.687620051,2.174782716,5.355900815,0.937511155,0.260334508,0.33537833,0.087607982,0.0,0.404074018,18.52612667,0.477170034,0.201485198,0.012857068,5.434465831,0.067744387,0.313756147,0.21508069,0.0,0.016789757,1.572803858,0.182305261,1
RNA58_FPKM,1.15396108,0.612174857,0.552624615,3.995091474,3.887841462,2.326495843,0.607752139,0.399319232,0.031285643,0.037644849,0.433034573,12.70357754,0.383555467,0.089964621,0.08264386,3.467459976,0.0,0.280165413,0.51860031,0.132575339,0.05399685,0.786485692,0.390748369,0
RNA6_FPKM,0.855904531,0.878219796,0.956397482,1.751245845,4.736562093,1.567707868,0.867125921,0.439205614,0.209476593,0.108034975,0.745507068,14.57990385,0.733602763,0.172078581,0.079046156,3.87099525,0.0,0.750270631,0.881735217,0.0,0.172114846,0.644798218,0.0,0
RNA60_FPKM,1.081580609,0.897247715,0.97716569,3.741212671,4.47748494,1.91170288,1.41166214,0.624325097,0.366921382,0.073596699,0.677060383,12.53969048,0.624624888,0.369221405,0.100948509,3.435501868,0.14193649,1.25934521,0.900860569,0.38871446,0.123093577,0.87839676,0.381961814,0
RNA62_FPKM,0.82009147,0.152300334,0.680721138,4.802769012,3.776018769,1.525585451,0.416325484,0.35755961,0.155653071,0.0,0.344689651,9.682846501,0.0,0.125314877,0.047967127,3.978773242,0.0,0.111480855,0.114640231,0.0,0.0,0.55891741,0.19447045,0
RNA63_FPKM,0.654302351,0.53144568,0.47978973,3.468505929,3.696959828,0.872245221,0.527660108,0.34669087,0.108664965,0.0,0.827098628,12.63709947,0.0,0.078114394,0.041856001,4.458054361,0.063027909,0.778379372,0.150084931,0.0,0.093751683,1.365717257,0.678596543,0
RNA64_FPKM,0.456226025,0.404321628,0.926875123,3.078061746,5.175882897,1.862358993,0.552693621,0.12307099,0.027566834,0.0,0.0,21.53788176,0.787985967,0.158429813,0.090967089,3.840505949,0.0,0.197351153,0.0,0.0,0.269395684,0.989352491,0.860395989,0
RNA66_FPKM,0.539936671,0.519818437,0.558648793,1.130833091,2.515302517,1.257177829,0.253802033,0.220397304,0.079709366,0.0,0.0,16.05282768,0.325639013,0.030550997,0.052631711,3.672786866,0.18497182,0.047593062,0.391442224,0.450401689,0.030557436,0.572439107,0.331796416,0
RNA67_FPKM,1.511776857,0.893061266,1.86844891,1.942799947,6.167339373,2.057101457,1.220986767,0.912703456,0.182604685,0.07322683,0.673840403,16.4185882,0.497379843,0.227505692,0.140668494,4.888436046,0.211874229,0.653973998,0.784634047,0.129014972,0.245063784,1.530036391,0.760296877,0
RNA69_FPKM,0.837669831,0.697817948,0.599997554,1.669928476,5.571988978,1.205567841,0.481590195,0.45522377,0.028548361,0.0,0.552940539,9.897154586,0.0,0.082044335,0.094219472,3.856600001,0.066248706,0.715432254,0.21022532,0.120975898,0.082061626,2.049486379,0.178280271,0
RNA7_FPKM,0.864714233,0.739375735,0.432259817,3.860231122,3.443572728,1.481653391,1.010824623,0.385833755,0.120927785,0.072770634,0.502084912,10.15275941,0.0,0.173860792,0.139750843,4.01586419,0.070139509,0.595556026,0.055657262,0.384360033,0.156498121,0.434226216,0.377674597,0
RNA72_FPKM,1.284946187,0.273777075,0.706143375,0.893377825,5.17486211,2.364725984,0.917892402,0.517889178,0.195913226,0.101019391,0.774683611,10.90054887,0.686082072,0.128754832,0.104724997,4.355043938,0.129904429,0.501206063,0.515410283,0.118547158,0.19317295,0.603030032,0.174701075,0
