,AC093525.7,AC253536.3,LINC01772,AC010531.3,AC138028.4,AC007878.1,AL355916.2,AC006059.1,AC022395.1,AP005131.4,AL034550.1,ILF3-DT,AC138207.7,ACTA2-AS1,STARD4-AS1,WAC-AS1,AC008507.2,AP001350.1,AC131971.1,AC009951.5,AP005131.1,AL450326.1,AC006441.1,TBL1XR1-AS1,AC004893.2,LINC02328,AL158212.5,AC016747.3,AL049840.6,AC073569.1,FAM198B-AS1,AL022098.1,AC215522.2,AC093330.3,PLCB2-AS1,AC008937.2,AC009120.3,AC073957.3,AL031600.1,LINC00265,AL357140.4,ITPRIP-AS1,PSMG3-AS1,AC005546.1,AC011466.1,AC073655.3,BIRC6-AS1,AC100774.1,AL390236.1,Z83843.1,RPS6KA2-AS1,AL136984.1,AC069549.2,AC245060.2,AC012020.1,AC067945.3,AC087521.2,Z82243.1,ANKRD10-IT1,AL034397.1,AC022893.1,AL357093.2,AC093690.1,AL137060.3,LCMT1-AS2,AC093677.2,AC006017.1,AL158163.1,AC068205.2,AC137932.3,AC124944.3,AC016931.1,AC055811.1,AC015802.1,AC034102.6,AC012358.2,AC016910.1,AC016831.1,AL161725.1,NDUFA6-DT,AL390195.1,AC093525.5,AL391097.2,AC009021.2,AC092119.2,LINC00894,AC116158.3,AC067751.1,AL359962.3,AC122129.1,AC006364.1,AL358472.3,AP001363.1,MIR4432HG,FAM157C,AC092120.3,AC004847.1,NRIR,AC016957.2,AC103739.2,AC084125.4,AC131009.3,AC004494.1,RNF157-AS1,AC008667.3,AC234775.2,LINC00707,LINC01311,AC009093.10,VIPR1-AS1,AL117336.2,AP000759.1,AC010542.5,ATP1B3-AS1,LINC00653,LINC02422,AL356481.3,AC009090.1,AC114752.1,AL096870.10,HPN-AS1,AC090519.1,AC108673.2,AL356753.1,AC021078.1,AC018797.3,Diagnosis
R_JS011_FPKM,2.811527738,2.062709896,2.499798458,6.41049616,8.020937878,5.769459406,2.545124345,4.139240145,0.502097025,0.676665315,1.222952277,10.58603864,0.984568831,0.415747631,0.265229819,3.528360704,0.745735507,1.510488349,0.88761557,0.425573732,1.004936279,1.586619665,1.254179976,0.091194118,0.328866762,0.439160071,0.707816752,0.831469,11.61723715,0.821704122,0.678854534,2.105583815,10.55176675,3.642837553,0.675501431,3.099130449,1.923197438,4.420143571,5.577138948,0.603985115,0.503523377,3.447153595,0.481677696,1.121384449,2.192378226,0.947980303,0.078678369,0.034210121,0.054453716,7.243517247,1.223775613,0.897586418,0.428943099,0.732222926,2.698665774,1.471808744,0.406386015,2.43338715,22.26643179,0.0,1.281823607,0.252715237,0.340475286,0.289768621,0.258569301,0.235352292,0.651502704,4.753048218,0.089467295,5.241374462,5.084391667,0.764778819,1.602874293,1.929112759,1.179133302,0.136342034,0.471606255,0.900304639,2.035712866,0.091662562,0.481613927,0.0,0.565091718,0.032916461,0.330851873,0.730987769,2.668666454,0.0,5.172876608,2.506441863,0.032468996,0.396275068,4.775028227,0.09659371,20.69531775,0.501289618,17.43815103,6.793425738,16.02924462,0.611276509,0.486550749,2.673544631,3.148829002,0.512858415,0.0,1.253271543,0.049643336,0.113809103,1.900490902,0.18057611,0.931383326,6.903042521,6.743596145,1.311968465,2.421732196,1.558705526,0.762541425,0.612376145,0.588538684,0.99082247,0.0,0.083723394,10.47695059,0.027174838,9.031295421,5.720444339,1
R_JS012_FPKM,2.249936462,2.110234275,1.373694511,4.754424183,8.433350383,4.270376652,3.689612235,3.519973791,0.339028563,0.333732508,1.535408817,10.22161973,0.755394539,0.425309028,0.203493846,4.188617688,0.429084653,2.097130821,0.737793612,0.391772944,0.354502482,1.881332239,1.539598939,0.139934429,0.476604167,0.492732624,0.543022386,1.169669974,5.942260802,0.882614909,0.189403506,1.466852123,10.06286219,3.282161708,1.480644226,3.532662083,1.147571431,4.903459538,3.688802171,1.053196644,0.551841155,2.380312811,0.531657284,2.150910282,0.966720569,0.528934541,0.361982462,0.104928998,0.167114937,4.815807133,0.268263451,1.110732825,0.310828805,0.641989252,1.69579248,1.62611503,0.231334137,2.48945185,22.39306309,0.0,1.58778444,0.193879439,0.202587942,0.666999573,0.274684701,0.090285123,0.874746128,4.182327649,0.05491387,6.664099946,3.432867275,0.838279945,0.683189212,1.799324217,0.700422999,0.166141237,0.402010478,0.969288814,2.040208548,0.02009332,0.591216816,0.147029007,0.0,0.100961095,0.676934635,0.485946104,4.042908991,0.0,5.248471509,2.687681349,0.0,0.810608116,2.548502789,0.156025812,28.35026534,0.576909549,22.7098202,0.382060586,12.794329,1.146479491,0.24881832,2.051233952,5.529508775,0.165018131,0.0,1.025616976,0.216813682,0.349206611,1.049870384,0.11875691,0.389755576,7.838606496,4.623599135,1.789374299,3.66149901,0.941033401,2.04784474,0.939671419,0.225773401,0.345524207,0.029481395,0.385193551,12.35532546,0.0,9.982413876,4.695184596,1
R_JS013_FPKM,1.545916823,2.363678059,1.178710813,5.913391675,12.97488722,2.531688886,1.400335047,1.973621659,0.314139575,0.494317299,1.605165638,6.152373265,1.777023766,0.111164285,0.212748182,2.379233083,0.336484027,0.519256338,0.533972105,0.204783356,0.180671633,1.041245605,0.603571997,0.219435077,0.219822059,0.369308352,0.425815736,1.667423965,6.809739761,0.692122124,0.529060711,0.808204424,5.097803118,1.326962962,2.205972035,0.639265292,1.4140476,3.112899891,6.363326082,0.96737664,0.432762435,2.626817853,0.726977121,0.843388683,0.667040385,1.244255754,0.0,0.287988432,0.0,2.577011522,0.420671392,0.209036036,0.100357708,0.629322472,0.99173725,0.849996412,0.347001396,2.509623415,9.479866171,0.0,0.445954725,0.202701501,0.384580366,0.249043119,0.095723559,0.141578617,1.763821509,1.799654147,0.021527992,2.27030037,2.365440067,0.0,0.74998143,0.455118136,0.732249406,0.062722191,0.315262883,0.288279144,1.095241452,0.070902633,0.347719873,0.0,0.0,0.0,0.221170339,0.211999835,1.809981468,0.0,1.938615961,2.361742174,0.0,0.158892146,2.747751587,0.012232676,7.866607672,0.552901234,17.28898438,0.235368728,6.065859606,0.326841341,1.170725491,2.527548498,3.160583069,0.2687259,0.0,0.904765149,0.0,0.410744594,1.05183986,0.07759893,0.237716507,6.312302852,3.970557797,1.227780469,1.585473679,2.059879966,2.064438044,0.552571849,0.17702078,0.59606115,0.0,0.0,8.520502602,0.0,6.689354184,2.240919968,1
R_JS014_FPKM,1.71057904,1.552887823,0.660557464,6.489848777,8.231505121,4.151216444,1.835773144,4.265320794,0.401088069,0.34184184,1.202620135,5.956734652,1.024076619,0.259453825,0.375185071,2.748805955,0.271451305,1.077332028,1.015526442,0.495693688,0.538249764,0.720111408,0.834911778,0.0,0.577689374,0.157170865,0.220857413,2.017982679,5.205112072,1.43587034,0.763858831,2.128257616,13.13641542,3.059009845,1.043783574,2.799786952,2.133663433,3.549758224,3.600517295,0.90398081,0.119703559,3.202987513,0.414865294,0.69985252,1.803313474,0.860510488,0.261733463,0.028436931,0.113270056,5.618875998,0.436431157,1.060068916,0.406492747,0.957356791,1.09737374,0.759288977,0.250887894,4.821041847,14.08115018,0.0,0.475468699,0.245319036,0.248615713,0.516696252,0.154469283,0.073429153,0.338800331,3.844365136,0.059558676,4.311474322,3.892253377,0.606073832,0.59278058,1.007195161,0.253196702,0.076744193,0.174405567,0.495400527,1.64800306,0.054482207,0.761433572,0.239158237,0.376140667,0.0,0.214102438,0.418048835,2.100367954,0.0,3.904472034,2.010228358,0.067539284,0.109841927,3.45507999,0.22420474,16.74657406,0.834275412,14.79661399,1.183830133,12.80009351,0.847686718,0.269864236,2.860372842,2.38193533,0.172072705,0.0,1.668550825,0.085791671,0.031546297,1.486483335,0.221810281,0.281814969,6.08854233,6.08884082,1.212953614,1.481710717,1.382021434,1.348343119,1.019152087,1.346785543,0.337256242,0.0,0.069594503,10.33221797,0.0,9.563943908,6.143641439,1
R_JS015_FPKM,2.505708028,2.13544008,1.032758887,8.565124918,5.247433382,2.628445829,0.990542413,1.514875397,0.191023542,0.295534531,1.284006694,7.285808296,1.226320942,0.172604802,0.066068424,1.422446062,0.25329859,0.586414976,0.653273589,0.231318431,0.423763531,1.665829738,1.704181586,0.0,0.248242451,0.102660081,0.180326155,1.129831129,5.1268104,0.781564089,0.335418878,2.000928358,18.29740552,4.949723079,1.180056896,1.443774512,1.306573718,6.005887577,4.442212634,0.484941697,0.390917509,6.167047997,0.482250768,1.333256387,0.684806762,2.458977582,0.854746461,0.0,0.147977716,3.193141813,2.019187561,0.432742942,0.259038166,0.994853526,1.061885432,0.319956114,0.249374789,1.41706621,7.912765001,0.0,0.440662086,0.133530545,0.321001674,0.590600356,0.189175002,0.079961927,0.774596207,2.754929141,0.060788961,4.537564173,3.914787879,0.494835451,0.72599222,4.728443926,0.930246799,0.059934328,0.284779294,0.986524511,1.641631176,0.097859561,0.130904279,0.0,0.0,0.0,0.249760681,0.19088184,0.773711795,0.0,1.689937367,2.79018259,0.0,0.897332953,5.923900539,0.034541617,42.65752897,0.567627556,9.430918129,0.362466103,10.45079387,0.73823827,0.881299236,1.297537197,3.592096019,0.359666636,0.0,0.908168115,0.036320159,0.618475033,1.600996599,0.116838305,0.191757557,9.94221882,6.043552606,0.594213047,1.500089081,1.978993013,1.295178006,0.207974961,0.399837774,0.244765112,0.026107047,0.0,21.22150741,0.036895459,5.510453053,3.615181326,1
R_JS016_FPKM,3.28171939,2.63428496,1.272663626,6.822341383,7.549798353,2.513804072,2.51535401,1.83297972,0.307780141,0.401204539,1.916765054,5.930163756,0.62874152,0.383466172,0.242750375,1.564730594,0.535713438,0.964521659,0.519567329,0.21739096,0.708084584,1.657804395,1.601828129,0.0,0.396643817,0.253283537,0.451976686,1.327347247,8.876435232,1.259268372,0.5615567,1.864165485,9.201954914,4.908325568,1.109153175,1.470003059,1.773746381,6.29745477,7.122444872,0.716249314,0.55118023,6.016482445,0.264404968,0.895139249,1.737866982,1.540773244,0.502151286,0.043668053,0.139095657,3.723033458,0.781497966,0.480682458,0.319550219,0.801525449,1.933746152,0.864624482,0.108817495,3.699641786,12.16198076,0.0,1.084773338,0.161372696,0.283966758,0.581544901,0.287883098,0.150294985,2.600194004,3.820329513,0.057133439,5.718333394,4.848271035,0.883675235,0.852909563,1.64246347,0.874345135,0.081938218,0.334607501,0.788147294,1.937510775,0.050173138,0.553601936,0.122377429,0.0,0.0,0.422534543,0.343614151,2.214200249,0.0,3.176752753,4.049396715,0.0,0.0,7.423978153,0.045450257,25.11608793,0.906959947,9.669930628,1.339971923,10.81319044,0.260222637,0.414200528,2.195118478,4.816991867,0.158456334,0.126582078,1.067071482,0.03413915,0.24221415,2.475631774,0.08785155,0.216271542,9.873703942,3.298249581,2.420031632,1.637337674,1.63163689,0.852172565,1.173182501,1.409304258,0.345110383,0.0,0.5343503,14.12328149,0.0,7.067782549,4.247404283,1
R_JS017_FPKM,3.740924481,2.197504871,1.535083825,10.90536232,7.435177748,2.277742124,1.967091166,2.078512295,0.196573276,0.642021278,2.254005346,10.08675917,1.261976647,0.226063409,0.142161157,1.886629262,0.456163666,0.955448989,0.310251743,0.83299452,0.56527763,1.411706502,1.753649913,0.0,0.281000133,0.217885862,0.309287585,0.678190228,3.054349276,0.804270571,0.604033412,1.896487552,15.31968971,8.084170877,1.349198965,1.114312193,2.09141704,7.110222487,5.646826008,0.509992193,0.40229912,7.069185746,0.513979942,0.980069866,1.937931955,1.445999667,0.0,0.047819955,0.152286105,1.996501238,1.344498246,0.809661925,0.333193483,0.877467715,1.084192657,0.78201088,0.201626501,1.13414053,9.579486708,0.0,0.798972423,0.255184824,0.320613742,0.376224152,0.203943486,0.082255047,0.911001276,1.858974937,0.062554247,4.397156658,6.066451993,0.560133156,0.435782673,4.284026729,0.957285823,0.067285323,0.146502058,0.822301594,1.658460059,0.02746345,0.269377794,0.267904114,0.0,0.0,0.154189498,0.402841322,1.758744441,0.0,2.292366448,3.67346987,0.045391337,0.553967569,9.579550002,0.099517386,39.69545736,0.642530793,7.980425415,0.522175669,8.223938376,0.189889905,0.453376192,2.670191679,3.154914272,0.138795018,0.0,1.051462267,0.064074116,0.58339128,1.647496827,0.156303164,0.236762658,7.914622316,4.413614661,1.019168398,1.643275634,1.607765496,0.932953862,1.070411502,1.543023261,0.251891479,0.080598183,0.233955959,22.24486835,0.0,5.537400072,5.022265307,1
R_JS018_FPKM,2.883921436,2.918643024,2.060310463,6.85038807,9.012748723,2.972112726,2.250098641,1.202443743,0.157031128,0.264564564,1.217003783,9.077096559,0.898252141,0.325085454,0.214305443,3.456203641,0.510231658,1.181101155,1.15671452,0.931727376,0.469659875,2.932284353,1.569063025,0.142591808,0.542867603,0.317544892,0.622621294,1.733830864,6.677071672,0.514077715,0.965109473,1.696910828,6.246004548,2.979091032,0.754468217,1.800190014,2.673411722,4.41379725,8.120292454,1.459743332,0.449986661,3.863462854,0.892030277,1.972961082,2.522134526,1.617249021,0.491950984,0.160413346,0.298078703,3.256432753,0.410115781,0.769734984,0.111801128,0.654369916,1.823702662,1.012752633,0.23575622,3.261851092,17.03569688,0.072231066,2.149487346,0.417162604,0.434660366,0.388432922,0.238465406,0.091999653,1.783010001,4.054401124,0.055972876,4.894599553,4.346628423,0.740410378,0.974789383,2.602754779,1.24913127,0.050166853,0.32781055,0.806156448,1.432158108,0.071679898,0.828491332,0.0,0.0,0.0,0.344926351,0.625569542,2.751238934,0.0,3.182786109,2.927959912,0.0,0.206619859,8.116999986,0.08745229,12.57852685,1.045320285,16.81984572,1.251505164,11.52289928,1.168306241,0.507086843,1.791934456,5.977600593,0.478638451,0.0,1.43723039,0.047772629,0.237294004,1.723771638,0.174814568,0.441387757,14.03372754,8.526456769,1.367779757,2.450546897,0.879135386,1.788818048,1.436550807,0.460254813,0.49304226,0.080121587,0.392584114,10.16422157,0.0424912,5.091626275,5.617192596,1
R_JS019_FPKM,1.447375759,0.447866103,1.129551882,5.683563355,8.94003841,1.547481339,1.331555562,1.090746436,0.213686882,0.110189279,0.422399228,7.057628852,0.498865594,0.245744417,0.1209336,3.194072674,0.212507896,0.710610284,0.449719591,0.388057896,0.298464128,2.959569838,0.953056382,0.069328562,0.249909285,0.387564112,0.672365446,0.842584619,3.923804611,0.749353179,0.773834453,0.922768122,4.593872726,1.930230053,0.733249365,1.345817104,1.299189929,3.27894799,4.38453046,0.983568424,0.327964941,1.397148174,0.507328389,0.852281884,0.957520558,0.916904877,0.238990465,0.311801978,0.0,3.413586356,0.797158805,0.572091956,0.090540356,0.635958429,1.243494868,0.98426312,0.189283502,1.409057999,10.933755,0.28079695,0.657232037,0.277400121,0.242904521,0.503353232,0.130999162,0.0,0.495159312,4.041477738,0.067986556,3.254803631,1.545567323,0.498158044,0.203013229,1.264801883,0.578112968,0.097518244,0.159250816,0.485547206,1.090055433,0.019899218,0.073227532,0.0,0.171820477,0.050019767,0.502835584,0.303994049,2.170147002,0.0,2.362965227,1.101577847,0.0,0.200802244,1.893252161,0.208633065,15.71410211,0.634954868,14.42908471,3.919288499,10.70783752,0.51609125,0.0,2.322245413,2.892008736,0.377178141,0.0,1.777900921,0.063846842,0.634182504,1.502038936,0.05228149,0.300283987,5.665675256,7.850787782,0.886282491,1.677989464,1.359285781,1.014176525,0.930844181,0.0,0.273822692,0.0,0.254315044,9.878631358,0.0,9.655898281,2.224147972,1
R_JS020_FPKM,1.887172657,2.388963523,1.588409344,4.850497136,12.86064247,3.906905082,3.058708481,2.140148427,0.195396243,0.274305766,1.892776868,8.111544128,1.197313323,0.355773226,0.293859861,2.72842553,0.377846272,1.282853468,1.019380209,0.551953548,0.898987122,1.286294159,1.626810456,0.073951024,0.148115738,0.306261542,0.645524859,0.674129388,5.473806841,1.598762,0.525328296,1.068174133,6.432127341,2.330089437,1.095291332,1.292092569,2.944876159,4.931303024,6.548171133,1.259106398,0.466480426,4.005604483,0.534364569,1.136437891,1.716072435,1.537081071,0.0,0.166293795,0.0,3.882714558,0.425149847,0.37555001,0.057949773,1.017626614,1.55423249,1.336361456,0.212555473,2.254491024,9.220155498,0.024968857,1.226988736,0.204868161,0.247853535,0.771887392,0.17200082,0.095425798,1.848666442,3.071861244,0.043514358,3.88497608,3.132652561,0.295247319,1.082893295,1.901292217,0.925080948,0.091026669,0.254846036,0.40025717,1.359637428,0.063700436,0.859036521,0.0,0.0,0.0,0.83444166,0.478721613,3.486390579,0.0,3.804086848,2.399219296,0.0,0.214190676,5.049400174,0.07418656,13.41838485,0.33867928,20.55465173,0.115333577,8.80296591,0.66076375,0.525971187,2.167684587,5.92458115,0.442597683,0.0,0.948362007,0.198130225,1.106996955,1.417446474,0.125479338,0.366074238,6.715575042,4.187462304,0.708959984,2.771730924,1.242929274,1.85456392,1.241193339,0.238628538,0.657194166,0.0,0.678392695,8.179030047,0.0,4.260251967,3.019787658,1
