,AC093525.7,AC253536.3,Diagnosis
RNA1_FPKM,0.920158445,0.711848367,0
RNA102_FPKM,1.392504711,1.21549882,1
RNA104_FPKM,0.939106131,0.928716632,0
RNA108_FPKM,0.975753435,0.576385329,0
RNA110_FPKM,0.662916166,0.403883694,0
RNA114_FPKM,0.540319405,0.626950207,0
RNA115_FPKM,0.322597989,0.419316751,0
RNA116_FPKM,0.372564945,1.139252513,0
RNA126_FPKM,0.53089589,1.149902206,0
RNA132_FPKM,0.953559668,0.422465985,0
RNA140_FPKM,0.820786228,0.273576395,1
RNA145_FPKM,0.846089826,0.523604182,0
RNA150_FPKM,2.074759377,1.304688323,1
RNA151_FPKM,0.780087803,0.0,0
RNA152_FPKM,1.275376612,0.452132685,0
RNA155_FPKM,0.603599943,0.140091537,0
RNA165_FPKM,2.979643138,1.101888146,0
RNA174_FPKM,1.659768632,1.581857242,1
RNA179_FPKM,1.359037623,1.177516732,0
RNA18_FPKM,0.408288862,0.0,1
RNA185_FPKM,2.051531924,1.122570239,1
RNA2_FPKM,1.521339626,1.002982149,0
RNA201_FPKM,1.112375393,0.582974952,1
RNA205_FPKM,0.707846696,0.148391615,0
RNA209_FPKM,1.505432765,0.931690556,0
RNA213_FPKM,0.778931477,0.140593949,0
RNA219_FPKM,0.89975464,1.169383148,0
RNA23_FPKM,1.498426415,1.14553957,1
RNA246_FPKM,1.498025751,0.632147454,1
RNA253_FPKM,1.610656574,1.162964958,1
RNA26_FPKM,3.095335098,2.610205286,0
RNA277_FPKM,0.803824779,1.218779644,0
RNA288_FPKM,0.501086586,0.814041202,0
RNA29_FPKM,0.324732505,0.527544831,0
RNA295_FPKM,0.701680647,0.360011157,0
RNA3_FPKM,1.250308806,0.677015172,0
RNA302_FPKM,0.599973695,0.0,0
RNA303_FPKM,0.601820485,0.404510783,1
RNA31_FPKM,0.412823265,0.149092238,1
RNA314_FPKM,0.495580591,0.338921445,1
RNA319_FPKM,0.592975124,0.688124129,0
RNA32_FPKM,1.31637927,1.247470411,1
RNA328_FPKM,0.680262059,0.57041567,0
RNA331_FPKM,0.923788162,0.625278583,0
RNA334_FPKM,0.53294543,0.371033792,0
RNA335_FPKM,0.820218017,0.161590061,1
RNA336_FPKM,0.54123934,0.140652432,0
RNA35_FPKM,0.775889573,0.530755259,0
RNA358_FPKM,1.859312264,1.066087334,0
RNA365_FPKM,1.641083005,1.066500203,0
RNA368_FPKM,0.883634084,0.546866466,0
RNA37_FPKM,1.301807945,1.720605604,0
RNA379_FPKM,1.963950098,1.196343604,1
RNA38_FPKM,0.923475389,0.533463577,0
RNA383_FPKM,2.188381541,0.725519389,0
RNA385_FPKM,2.164774263,0.570296237,1
RNA386_FPKM,1.167155766,0.158069989,0
RNA39_FPKM,1.638333108,0.591415329,1
RNA392_FPKM,1.995682383,0.656558075,0
RNA409_FPKM,1.740852785,0.955944013,0
RNA41_FPKM,0.103499182,0.0,0
RNA418_FPKM,0.803846516,1.129459675,0
RNA431_FPKM,1.733410714,0.197572593,1
RNA44_FPKM,1.131106079,0.144094805,1
RNA442_FPKM,0.394588283,0.284872106,0
RNA454_FPKM,1.330928619,0.352935244,0
RNA457_FPKM,2.190709853,0.618935347,0
RNA466_FPKM,0.963172052,1.455569167,0
RNA471_FPKM,2.693676637,0.972470023,0
RNA476_FPKM,1.116079356,1.128198143,0
RNA483_FPKM,0.605580325,0.596266169,0
RNA488_FPKM,1.275322216,0.517933205,0
RNA499_FPKM,0.632368454,0.684944856,0
RNA50_FPKM,0.348278187,0.665667449,1
RNA504_FPKM,2.21764844,0.851868162,0
RNA519_FPKM,1.274926714,0.602531456,0
RNA52_FPKM,0.0,0.0,0
RNA521_FPKM,1.528058811,0.607971728,0
RNA528_FPKM,2.039799126,0.623791441,0
RNA53_FPKM,1.270541991,0.791694821,0
RNA535_FPKM,0.637339897,0.0,1
RNA58_FPKM,1.15396108,0.612174857,0
RNA6_FPKM,0.855904531,0.878219796,0
RNA60_FPKM,1.081580609,0.897247715,0
RNA62_FPKM,0.82009147,0.152300334,0
RNA63_FPKM,0.654302351,0.53144568,0
RNA64_FPKM,0.456226025,0.404321628,0
RNA66_FPKM,0.539936671,0.519818437,0
RNA67_FPKM,1.511776857,0.893061266,0
RNA69_FPKM,0.837669831,0.697817948,0
RNA7_FPKM,0.864714233,0.739375735,0
RNA72_FPKM,1.284946187,0.273777075,0
RNA74_FPKM,0.590426908,0.255837878,0
RNA75_FPKM,0.394830794,0.116605329,0
RNA78_FPKM,1.305299568,0.287519981,1
RNA86_FPKM,1.279462748,0.831466977,1
RNA87_FPKM,1.299621001,1.251180817,0
RNA89_FPKM,0.892298195,0.134863846,0
RNA94_FPKM,0.0,0.0,1
RNA95_FPKM,1.253228682,0.872549194,0
RNA97_FPKM,1.134185597,1.028481525,0
RNA98_FPKM,0.989263673,1.071376983,1
R_JS001_FPKM,1.745114483,3.502067433,1
R_JS002_FPKM,1.243202409,1.038699731,1
R_JS003_FPKM,2.008017421,2.150776288,1
R_JS004_FPKM,1.696003447,3.532299719,1
R_JS005_FPKM,2.229679853,3.252596789,1
R_JS006_FPKM,1.194522516,1.492772286,1
R_JS007_FPKM,0.459885676,0.679161179,1
R_JS008_FPKM,2.318563978,1.537349541,1
R_JS009_FPKM,1.363560942,1.804995544,1
R_JS010_FPKM,1.266279842,1.08906913,1
R_JS011_FPKM,2.811527738,2.062709896,1
R_JS012_FPKM,2.249936462,2.110234275,1
R_JS013_FPKM,1.545916823,2.363678059,1
R_JS014_FPKM,1.71057904,1.552887823,1
R_JS015_FPKM,2.505708028,2.13544008,1
R_JS016_FPKM,3.28171939,2.63428496,1
R_JS017_FPKM,3.740924481,2.197504871,1
R_JS018_FPKM,2.883921436,2.918643024,1
R_JS019_FPKM,1.447375759,0.447866103,1
R_JS020_FPKM,1.887172657,2.388963523,1
R_JS021_FPKM,1.649037113,0.846005663,1
R_JS022_FPKM,3.062224394,1.723499252,1
R_JS023_FPKM,1.276853626,2.329100486,1
R_JS024_FPKM,2.099073259,2.40703582,1
R_JS025_FPKM,1.714913619,1.04009782,1
R_JS026_FPKM,2.298544765,2.133833795,1
R_JS027_FPKM,1.253082491,0.892403243,1
R_JS028_FPKM,1.981137937,1.355089659,1
R_JS029_FPKM,1.698917897,2.862161789,1
R_JS030_FPKM,1.569177154,2.585148452,1
R_JS031_FPKM,1.624759433,1.599766536,1
R_JS032_FPKM,1.534098593,1.107642896,1
R_JS033_FPKM,0.588155739,0.611581361,1
R_JS034_FPKM,3.307213021,2.149125909,1
R_JS035_FPKM,0.57860306,1.671143952,1
R_JS036_FPKM,2.737297713,3.583073034,1
R_JS037_FPKM,1.648624458,1.947786208,1
R_JS038_FPKM,1.655710347,1.383357331,1
R_JS039_FPKM,1.41129709,1.111611502,1
R_JS040_FPKM,1.465270469,1.731245144,1
R_JS041_FPKM,2.340852836,2.386180191,1
