,ENSG00000170412,Diagnosis
0,0.0651629072681704,0.0
1,0.2681704260651629,0.0
2,0.1353383458646616,0.0
3,0.0852130325814536,0.0
4,0.2556390977443609,0.0
5,0.2155388471177944,0.0
6,0.2581453634085213,0.0
7,0.0676691729323308,0.0
8,0.0,0.0
9,0.0300751879699248,0.0
10,0.0977443609022556,0.0
11,0.1278195488721804,0.0
12,0.0050125313283208,0.0
13,0.2355889724310776,0.0
14,0.0300751879699248,0.0
15,0.1453634085213032,0.0
16,0.0852130325814536,0.0
17,0.3007518796992481,0.0
18,0.1929824561403508,0.0
19,0.0827067669172932,0.0
20,0.075187969924812,0.0
21,0.1904761904761904,0.0
22,0.0551378446115288,0.0
23,0.0401002506265664,0.0
24,0.0827067669172932,0.0
25,0.137844611528822,0.0
26,0.06265664160401,0.0
27,0.0902255639097744,0.0
28,0.0701754385964912,0.0
29,0.075187969924812,0.0
30,0.1679197994987468,0.0
31,0.2280701754385964,0.0
32,0.0776942355889724,0.0
33,0.5488721804511277,0.0
34,0.200501253132832,0.0
35,0.2205513784461152,0.0
36,0.3784461152882205,0.0
37,0.1077694235588972,0.0
38,1.0,0.0
39,0.06265664160401,0.0
40,0.2280701754385964,1.0
41,0.1052631578947368,1.0
42,0.1278195488721804,1.0
43,0.0651629072681704,1.0
44,0.100250626566416,1.0
45,0.1403508771929824,1.0
46,0.1679197994987468,1.0
47,0.2832080200501253,1.0
48,0.1353383458646616,1.0
49,0.3734335839598998,1.0
50,0.1453634085213032,1.0
51,0.2556390977443609,1.0
52,0.2155388471177944,1.0
53,0.0726817042606516,1.0
54,0.2857142857142857,1.0
55,0.2731829573934837,1.0
56,0.2731829573934837,1.0
57,0.3583959899749372,1.0
58,0.3032581453634085,1.0
59,0.213032581453634,1.0
60,0.1052631578947368,1.0
61,0.2080200501253132,1.0
62,0.1453634085213032,1.0
63,0.3283208020050125,1.0
64,0.3082706766917293,1.0
65,0.1303258145363408,1.0
66,0.1303258145363408,1.0
67,0.4260651629072681,1.0
68,0.2055137844611528,1.0
69,0.100250626566416,1.0
70,0.2105263157894736,1.0
71,0.7794486215538846,1.0
72,0.2230576441102756,1.0
73,0.3784461152882205,1.0
74,0.4160401002506265,1.0
75,0.238095238095238,1.0
76,0.5789473684210525,1.0
77,0.1779448621553884,1.0
78,0.2832080200501253,1.0
