Model Name,Feature Count,CV Score (Mean +/- Std)
ANN,46,0.7793 +/- 0.0169
SVM(linear),15,0.7724 +/- 0.0710
Random Forest,20,0.7724 +/- 0.0676
Logistic Regression,50,0.7724 +/- 0.0640
Logistic Regression,52,0.7724 +/- 0.0640
Logistic Regression,55,0.7724 +/- 0.0640
Logistic Regression,56,0.7724 +/- 0.0640
Logistic Regression,53,0.7724 +/- 0.0640
Logistic Regression,54,0.7724 +/- 0.0640
Logistic Regression,51,0.7724 +/- 0.0640
Random Forest,141,0.7724 +/- 0.0601
Naive Bayes,58,0.7724 +/- 0.0560
Naive Bayes,59,0.7724 +/- 0.0560
Logistic Regression,12,0.7724 +/- 0.0560
Naive Bayes,56,0.7724 +/- 0.0560
SVM(linear),16,0.7724 +/- 0.0560
Naive Bayes,57,0.7724 +/- 0.0560
Naive Bayes,63,0.7724 +/- 0.0560
Logistic Regression,35,0.7724 +/- 0.0560
Logistic Regression,36,0.7724 +/- 0.0560
Naive Bayes,64,0.7724 +/- 0.0560
Logistic Regression,37,0.7724 +/- 0.0560
Random Forest,139,0.7724 +/- 0.0516
Random Forest,76,0.7724 +/- 0.0516
Logistic Regression,47,0.7724 +/- 0.0468
Logistic Regression,44,0.7724 +/- 0.0468
Logistic Regression,43,0.7724 +/- 0.0468
Random Forest,75,0.7724 +/- 0.0468
Random Forest,83,0.7724 +/- 0.0468
Random Forest,38,0.7724 +/- 0.0468
Logistic Regression,46,0.7724 +/- 0.0468
Random Forest,142,0.7724 +/- 0.0468
Random Forest,108,0.7724 +/- 0.0468
Logistic Regression,45,0.7724 +/- 0.0468
Random Forest,66,0.7724 +/- 0.0414
ANN,45,0.7724 +/- 0.0414
Random Forest,124,0.7724 +/- 0.0414
Logistic Regression,39,0.7724 +/- 0.0414
Random Forest,35,0.7724 +/- 0.0414
Naive Bayes,28,0.7724 +/- 0.0352
Random Forest,55,0.7724 +/- 0.0352
ANN,30,0.7724 +/- 0.0352
Naive Bayes,30,0.7724 +/- 0.0352
Naive Bayes,31,0.7724 +/- 0.0352
Random Forest,29,0.7724 +/- 0.0352
Naive Bayes,29,0.7724 +/- 0.0352
Random Forest,87,0.7724 +/- 0.0352
Random Forest,70,0.7724 +/- 0.0352
Random Forest,115,0.7724 +/- 0.0352
Random Forest,63,0.7724 +/- 0.0352
Random Forest,40,0.7724 +/- 0.0352
Naive Bayes,71,0.7724 +/- 0.0352
Random Forest,111,0.7724 +/- 0.0352
Random Forest,120,0.7724 +/- 0.0352
Random Forest,81,0.7724 +/- 0.0352
Random Forest,91,0.7724 +/- 0.0352
Random Forest,107,0.7724 +/- 0.0276
ANN,44,0.7724 +/- 0.0276
Random Forest,84,0.7724 +/- 0.0276
SVM(linear),36,0.7724 +/- 0.0276
SVM(linear),37,0.7724 +/- 0.0276
Logistic Regression,16,0.7724 +/- 0.0169
ANN,48,0.7724 +/- 0.0169
Random Forest,15,0.7655 +/- 0.0768
SVM(linear),18,0.7655 +/- 0.0669
SVM(linear),17,0.7655 +/- 0.0669
Random Forest,13,0.7655 +/- 0.0669
Logistic Regression,34,0.7655 +/- 0.0632
Naive Bayes,6,0.7655 +/- 0.0593
ANN,62,0.7655 +/- 0.0593
ANN,56,0.7655 +/- 0.0593
Logistic Regression,38,0.7655 +/- 0.0552
Random Forest,50,0.7655 +/- 0.0552
Random Forest,56,0.7655 +/- 0.0552
Random Forest,113,0.7655 +/- 0.0507
SVM(linear),11,0.7655 +/- 0.0507
Random Forest,26,0.7655 +/- 0.0507
Logistic Regression,13,0.7655 +/- 0.0507
Random Forest,12,0.7655 +/- 0.0507
Logistic Regression,41,0.7655 +/- 0.0507
Random Forest,101,0.7655 +/- 0.0507
Random Forest,96,0.7655 +/- 0.0457
Random Forest,109,0.7655 +/- 0.0457
Logistic Regression,48,0.7655 +/- 0.0457
Random Forest,31,0.7655 +/- 0.0457
Logistic Regression,49,0.7655 +/- 0.0457
Random Forest,90,0.7655 +/- 0.0457
Random Forest,52,0.7655 +/- 0.0402
Random Forest,18,0.7655 +/- 0.0402
Random Forest,22,0.7655 +/- 0.0402
Random Forest,130,0.7655 +/- 0.0402
Naive Bayes,73,0.7655 +/- 0.0402
Random Forest,51,0.7655 +/- 0.0402
Random Forest,65,0.7655 +/- 0.0402
Naive Bayes,74,0.7655 +/- 0.0402
Random Forest,48,0.7655 +/- 0.0402
ANN,23,0.7655 +/- 0.0338
SVM(linear),26,0.7655 +/- 0.0338
Random Forest,54,0.7655 +/- 0.0338
Random Forest,132,0.7655 +/- 0.0338
Random Forest,123,0.7655 +/- 0.0338
Random Forest,98,0.7655 +/- 0.0338
Random Forest,102,0.7655 +/- 0.0338
Random Forest,103,0.7655 +/- 0.0338
SVM(linear),31,0.7655 +/- 0.0338
SVM(linear),32,0.7655 +/- 0.0338
ANN,47,0.7655 +/- 0.0338
SVM(linear),33,0.7655 +/- 0.0338
ANN,51,0.7655 +/- 0.0258
Random Forest,100,0.7655 +/- 0.0258
ANN,34,0.7655 +/- 0.0258
SVM(linear),35,0.7655 +/- 0.0258
ANN,29,0.7655 +/- 0.0258
ANN,50,0.7655 +/- 0.0138
ANN,142,0.7586 +/- 0.0723
Random Forest,45,0.7586 +/- 0.0654
SVM(linear),14,0.7586 +/- 0.0577
Random Forest,104,0.7586 +/- 0.0577
Random Forest,121,0.7586 +/- 0.0577
Random Forest,82,0.7586 +/- 0.0577
Random Forest,99,0.7586 +/- 0.0534
SVM(linear),12,0.7586 +/- 0.0534
Random Forest,134,0.7586 +/- 0.0534
Logistic Regression,11,0.7586 +/- 0.0488
Random Forest,53,0.7586 +/- 0.0488
Random Forest,119,0.7586 +/- 0.0488
Naive Bayes,7,0.7586 +/- 0.0488
Logistic Regression,40,0.7586 +/- 0.0488
Random Forest,43,0.7586 +/- 0.0488
Logistic Regression,42,0.7586 +/- 0.0488
Random Forest,28,0.7586 +/- 0.0488
Random Forest,44,0.7586 +/- 0.0436
Random Forest,60,0.7586 +/- 0.0436
SVM(linear),13,0.7586 +/- 0.0436
Random Forest,67,0.7586 +/- 0.0436
ANN,65,0.7586 +/- 0.0378
Random Forest,114,0.7586 +/- 0.0378
ANN,68,0.7586 +/- 0.0378
Random Forest,131,0.7586 +/- 0.0378
Random Forest,88,0.7586 +/- 0.0378
Random Forest,126,0.7586 +/- 0.0378
SVM(linear),34,0.7586 +/- 0.0378
Random Forest,11,0.7586 +/- 0.0378
ANN,106,0.7586 +/- 0.0378
Random Forest,74,0.7586 +/- 0.0308
ANN,26,0.7586 +/- 0.0308
Naive Bayes,125,0.7586 +/- 0.0218
Naive Bayes,101,0.7586 +/- 0.0218
Naive Bayes,100,0.7586 +/- 0.0218
Naive Bayes,124,0.7586 +/- 0.0218
Naive Bayes,99,0.7586 +/- 0.0218
Naive Bayes,98,0.7586 +/- 0.0218
