Model Name,Feature Count,CV Score (Mean +/- Std)
XGBoost,128,0.7034 +/- 0.0169
XGBoost,127,0.7034 +/- 0.0169
Logistic Regression,133,0.6966 +/- 0.1202
Logistic Regression,126,0.6966 +/- 0.1077
Logistic Regression,137,0.6966 +/- 0.1077
Logistic Regression,129,0.6966 +/- 0.0935
XGBoost,3,0.6966 +/- 0.0883
ANN,119,0.6966 +/- 0.0856
ANN,73,0.6966 +/- 0.0856
XGBoost,93,0.6966 +/- 0.0768
ANN,143,0.6966 +/- 0.0736
Logistic Regression,98,0.6966 +/- 0.0736
ANN,110,0.6966 +/- 0.0703
SVM(linear),63,0.6966 +/- 0.0669
ANN,112,0.6966 +/- 0.0669
SVM(poly),34,0.6966 +/- 0.0669
SVM(poly),45,0.6966 +/- 0.0669
SVM(linear),64,0.6966 +/- 0.0669
ANN,128,0.6966 +/- 0.0632
XGBoost,108,0.6966 +/- 0.0593
XGBoost,109,0.6966 +/- 0.0593
XGBoost,81,0.6966 +/- 0.0593
ANN,85,0.6966 +/- 0.0593
XGBoost,85,0.6966 +/- 0.0593
XGBoost,17,0.6966 +/- 0.0552
XGBoost,15,0.6966 +/- 0.0552
XGBoost,44,0.6966 +/- 0.0507
ANN,104,0.6966 +/- 0.0507
XGBoost,55,0.6966 +/- 0.0457
XGBoost,68,0.6966 +/- 0.0402
XGBoost,54,0.6966 +/- 0.0402
XGBoost,142,0.6966 +/- 0.0402
XGBoost,6,0.6966 +/- 0.0402
XGBoost,63,0.6966 +/- 0.0402
XGBoost,45,0.6966 +/- 0.0402
XGBoost,122,0.6966 +/- 0.0338
XGBoost,51,0.6966 +/- 0.0338
XGBoost,50,0.6966 +/- 0.0338
XGBoost,24,0.6966 +/- 0.0338
XGBoost,47,0.6966 +/- 0.0258
Logistic Regression,135,0.6897 +/- 0.1154
Logistic Regression,128,0.6897 +/- 0.1154
Logistic Regression,125,0.6897 +/- 0.1133
Random Forest,2,0.6897 +/- 0.1046
Logistic Regression,118,0.6897 +/- 0.0999
Logistic Regression,127,0.6897 +/- 0.0999
ANN,121,0.6897 +/- 0.0999
XGBoost,80,0.6897 +/- 0.0899
SVM(linear),100,0.6897 +/- 0.0786
SVM(linear),101,0.6897 +/- 0.0786
SVM(poly),53,0.6897 +/- 0.0786
XGBoost,118,0.6897 +/- 0.0755
XGBoost,119,0.6897 +/- 0.0755
SVM(linear),104,0.6897 +/- 0.0723
SVM(poly),50,0.6897 +/- 0.0723
SVM(linear),103,0.6897 +/- 0.0723
XGBoost,117,0.6897 +/- 0.0723
SVM(poly),47,0.6897 +/- 0.0723
SVM(poly),46,0.6897 +/- 0.0723
SVM(poly),49,0.6897 +/- 0.0723
SVM(poly),54,0.6897 +/- 0.0723
SVM(linear),89,0.6897 +/- 0.0723
SVM(poly),58,0.6897 +/- 0.0723
SVM(poly),48,0.6897 +/- 0.0723
SVM(poly),57,0.6897 +/- 0.0723
SVM(poly),55,0.6897 +/- 0.0723
SVM(poly),44,0.6897 +/- 0.0723
SVM(poly),51,0.6897 +/- 0.0723
SVM(linear),88,0.6897 +/- 0.0690
SVM(poly),36,0.6897 +/- 0.0690
XGBoost,97,0.6897 +/- 0.0690
SVM(poly),35,0.6897 +/- 0.0690
SVM(poly),37,0.6897 +/- 0.0690
ANN,140,0.6897 +/- 0.0654
XGBoost,70,0.6897 +/- 0.0654
XGBoost,58,0.6897 +/- 0.0654
Logistic Regression,106,0.6897 +/- 0.0654
SVM(linear),66,0.6897 +/- 0.0617
SVM(linear),68,0.6897 +/- 0.0617
ANN,117,0.6897 +/- 0.0617
XGBoost,132,0.6897 +/- 0.0577
XGBoost,74,0.6897 +/- 0.0577
ANN,98,0.6897 +/- 0.0577
XGBoost,86,0.6897 +/- 0.0577
XGBoost,115,0.6897 +/- 0.0577
XGBoost,133,0.6897 +/- 0.0577
XGBoost,69,0.6897 +/- 0.0488
XGBoost,20,0.6897 +/- 0.0488
XGBoost,143,0.6897 +/- 0.0436
XGBoost,72,0.6897 +/- 0.0378
XGBoost,62,0.6897 +/- 0.0378
XGBoost,73,0.6897 +/- 0.0378
XGBoost,71,0.6897 +/- 0.0378
ANN,123,0.6897 +/- 0.0378
XGBoost,66,0.6897 +/- 0.0378
XGBoost,67,0.6897 +/- 0.0308
XGBoost,48,0.6897 +/- 0.0308
Logistic Regression,112,0.6897 +/- 0.0308
Logistic Regression,111,0.6897 +/- 0.0218
Logistic Regression,134,0.6828 +/- 0.1142
Logistic Regression,124,0.6828 +/- 0.1121
Logistic Regression,139,0.6828 +/- 0.1099
SVM(linear),102,0.6828 +/- 0.0856
ANN,1,0.6828 +/- 0.0828
SVM(poly),56,0.6828 +/- 0.0768
SVM(poly),52,0.6828 +/- 0.0768
SVM(linear),91,0.6828 +/- 0.0736
SVM(poly),38,0.6828 +/- 0.0736
SVM(linear),65,0.6828 +/- 0.0669
SVM(poly),23,0.6828 +/- 0.0669
XGBoost,116,0.6828 +/- 0.0669
SVM(poly),22,0.6828 +/- 0.0669
SVM(linear),80,0.6828 +/- 0.0669
SVM(linear),67,0.6828 +/- 0.0669
SVM(linear),99,0.6828 +/- 0.0669
SVM(poly),40,0.6828 +/- 0.0632
SVM(poly),39,0.6828 +/- 0.0632
SVM(poly),42,0.6828 +/- 0.0593
SVM(poly),41,0.6828 +/- 0.0593
Logistic Regression,108,0.6828 +/- 0.0593
XGBoost,65,0.6828 +/- 0.0593
XGBoost,64,0.6828 +/- 0.0593
SVM(poly),43,0.6828 +/- 0.0593
SVM(linear),61,0.6828 +/- 0.0593
XGBoost,102,0.6828 +/- 0.0593
XGBoost,99,0.6828 +/- 0.0593
XGBoost,98,0.6828 +/- 0.0593
XGBoost,137,0.6828 +/- 0.0593
XGBoost,136,0.6828 +/- 0.0593
XGBoost,135,0.6828 +/- 0.0593
XGBoost,12,0.6828 +/- 0.0552
XGBoost,131,0.6828 +/- 0.0552
ANN,130,0.6828 +/- 0.0552
XGBoost,53,0.6828 +/- 0.0507
XGBoost,76,0.6828 +/- 0.0507
XGBoost,114,0.6828 +/- 0.0507
XGBoost,75,0.6828 +/- 0.0507
ANN,81,0.6828 +/- 0.0507
SVM(linear),60,0.6828 +/- 0.0457
Logistic Regression,110,0.6828 +/- 0.0457
XGBoost,141,0.6828 +/- 0.0402
SVM(linear),2,0.6828 +/- 0.0338
SVM(linear),4,0.6828 +/- 0.0338
Logistic Regression,113,0.6828 +/- 0.0338
Logistic Regression,141,0.6759 +/- 0.1166
ANN,76,0.6759 +/- 0.1037
XGBoost,2,0.6759 +/- 0.1037
Logistic Regression,122,0.6759 +/- 0.1014
Logistic Regression,123,0.6759 +/- 0.1014
Logistic Regression,143,0.6759 +/- 0.0889
SVM(linear),92,0.6759 +/- 0.0804
Logistic Regression,1,0.6759 +/- 0.0804
ANN,124,0.6759 +/- 0.0804
SVM(linear),98,0.6759 +/- 0.0774
SVM(poly),32,0.6759 +/- 0.0710
SVM(poly),31,0.6759 +/- 0.0710
SVM(poly),30,0.6759 +/- 0.0710
SVM(linear),79,0.6759 +/- 0.0710
SVM(poly),33,0.6759 +/- 0.0710
Naive Bayes,1,0.6759 +/- 0.0676
ANN,135,0.6759 +/- 0.0676
SVM(linear),62,0.6759 +/- 0.0676
XGBoost,100,0.6759 +/- 0.0601
XGBoost,134,0.6759 +/- 0.0601
XGBoost,101,0.6759 +/- 0.0601
ANN,107,0.6759 +/- 0.0601
XGBoost,140,0.6759 +/- 0.0516
XGBoost,138,0.6759 +/- 0.0516
SVM(linear),69,0.6759 +/- 0.0516
XGBoost,139,0.6759 +/- 0.0516
XGBoost,52,0.6759 +/- 0.0468
XGBoost,49,0.6759 +/- 0.0352
SVM(linear),3,0.6759 +/- 0.0352
XGBoost,129,0.6759 +/- 0.0352
Logistic Regression,131,0.6690 +/- 0.1187
Logistic Regression,130,0.6690 +/- 0.1103
SVM(linear),93,0.6690 +/- 0.0861
SVM(linear),95,0.6690 +/- 0.0833
SVM(linear),97,0.6690 +/- 0.0833
SVM(linear),96,0.6690 +/- 0.0833
SVM(poly),29,0.6690 +/- 0.0774
SVM(poly),27,0.6690 +/- 0.0774
SVM(poly),26,0.6690 +/- 0.0774
SVM(poly),28,0.6690 +/- 0.0774
ANN,15,0.6690 +/- 0.0743
SVM(poly),25,0.6690 +/- 0.0710
SVM(poly),24,0.6690 +/- 0.0710
SVM(poly),1,0.6690 +/- 0.0710
SVM(linear),1,0.6690 +/- 0.0710
SVM(linear),82,0.6690 +/- 0.0676
SVM(linear),94,0.6690 +/- 0.0640
XGBoost,111,0.6690 +/- 0.0640
XGBoost,110,0.6690 +/- 0.0640
XGBoost,112,0.6690 +/- 0.0640
ANN,90,0.6690 +/- 0.0640
ANN,2,0.6690 +/- 0.0560
XGBoost,113,0.6690 +/- 0.0560
SVM(linear),70,0.6690 +/- 0.0516
XGBoost,130,0.6690 +/- 0.0468
ANN,3,0.6690 +/- 0.0414
Random Forest,3,0.6690 +/- 0.0352
Logistic Regression,105,0.6690 +/- 0.0276
ANN,126,0.6621 +/- 0.1162
Logistic Regression,138,0.6621 +/- 0.1099
Logistic Regression,140,0.6621 +/- 0.1055
Logistic Regression,142,0.6621 +/- 0.1055
SVM(linear),109,0.6621 +/- 0.0985
Logistic Regression,132,0.6621 +/- 0.0935
SVM(linear),105,0.6621 +/- 0.0935
SVM(linear),107,0.6621 +/- 0.0856
SVM(linear),106,0.6621 +/- 0.0856
SVM(linear),86,0.6621 +/- 0.0703
SVM(linear),85,0.6621 +/- 0.0703
SVM(linear),77,0.6621 +/- 0.0669
SVM(linear),87,0.6621 +/- 0.0507
ANN,109,0.6621 +/- 0.0507
ANN,129,0.6552 +/- 0.1133
SVM(linear),112,0.6552 +/- 0.0975
SVM(linear),108,0.6552 +/- 0.0975
SVM(poly),19,0.6552 +/- 0.0816
SVM(linear),120,0.6552 +/- 0.0755
SVM(linear),81,0.6552 +/- 0.0690
SVM(linear),117,0.6552 +/- 0.0654
SVM(linear),83,0.6552 +/- 0.0617
SVM(linear),116,0.6552 +/- 0.0577
SVM(linear),113,0.6483 +/- 0.1009
SVM(linear),111,0.6483 +/- 0.0883
SVM(linear),110,0.6483 +/- 0.0883
SVM(poly),20,0.6483 +/- 0.0736
SVM(poly),21,0.6483 +/- 0.0736
SVM(linear),84,0.6483 +/- 0.0669
Logistic Regression,2,0.6483 +/- 0.0632
SVM(linear),78,0.6483 +/- 0.0593
SVM(linear),76,0.6483 +/- 0.0507
Logistic Regression,4,0.6483 +/- 0.0402
Logistic Regression,136,0.6414 +/- 0.1082
SVM(linear),124,0.6414 +/- 0.0889
SVM(linear),115,0.6414 +/- 0.0889
SVM(linear),114,0.6414 +/- 0.0889
SVM(linear),125,0.6414 +/- 0.0889
SVM(linear),119,0.6414 +/- 0.0861
SVM(linear),126,0.6414 +/- 0.0833
SVM(linear),127,0.6414 +/- 0.0833
SVM(linear),75,0.6414 +/- 0.0414
SVM(linear),71,0.6414 +/- 0.0414
SVM(linear),74,0.6414 +/- 0.0414
ANN,14,0.6345 +/- 0.1264
SVM(linear),118,0.6345 +/- 0.0804
SVM(linear),73,0.6345 +/- 0.0468
SVM(linear),72,0.6345 +/- 0.0468
SVM(linear),140,0.6276 +/- 0.1009
SVM(linear),137,0.6276 +/- 0.0736
SVM(linear),135,0.6276 +/- 0.0736
SVM(linear),121,0.6276 +/- 0.0552
SVM(linear),128,0.6207 +/- 0.1133
SVM(linear),133,0.6207 +/- 0.0925
SVM(linear),138,0.6207 +/- 0.0899
SVM(linear),142,0.6207 +/- 0.0899
SVM(linear),143,0.6207 +/- 0.0899
SVM(linear),123,0.6207 +/- 0.0577
SVM(linear),141,0.6138 +/- 0.1032
SVM(linear),139,0.6138 +/- 0.1032
SVM(linear),130,0.6138 +/- 0.0798
SVM(linear),132,0.6138 +/- 0.0798
SVM(linear),131,0.6138 +/- 0.0798
SVM(linear),134,0.6138 +/- 0.0736
SVM(poly),4,0.6138 +/- 0.0669
SVM(linear),136,0.6138 +/- 0.0669
SVM(linear),122,0.6138 +/- 0.0632
SVM(linear),129,0.6069 +/- 0.1014
XGBoost,1,0.6069 +/- 0.0889
SVM(poly),18,0.6069 +/- 0.0743
SVM(poly),17,0.6069 +/- 0.0743
SVM(poly),16,0.6069 +/- 0.0743
SVM(poly),15,0.6069 +/- 0.0743
SVM(poly),14,0.6069 +/- 0.0743
SVM(poly),13,0.6069 +/- 0.0743
ANN,8,0.6069 +/- 0.0601
Logistic Regression,3,0.6069 +/- 0.0352
ANN,141,0.6000 +/- 0.0833
SVM(poly),3,0.6000 +/- 0.0516
SVM(poly),2,0.6000 +/- 0.0516
Random Forest,1,0.5931 +/- 0.0798
SVM(poly),5,0.5931 +/- 0.0768
SVM(poly),6,0.5931 +/- 0.0768
SVM(poly),7,0.5931 +/- 0.0768
SVM(poly),9,0.5862 +/- 0.0845
SVM(poly),10,0.5862 +/- 0.0845
SVM(poly),12,0.5862 +/- 0.0845
SVM(poly),11,0.5862 +/- 0.0845
SVM(poly),8,0.5862 +/- 0.0845
ANN,70,0.5862 +/- 0.0723
ANN,33,0.5862 +/- 0.0723
ANN,127,0.5793 +/- 0.1695
SVM(poly),65,0.5655 +/- 0.0516
SVM(poly),61,0.5655 +/- 0.0516
ANN,67,0.5655 +/- 0.0516
SVM(poly),63,0.5655 +/- 0.0516
SVM(poly),62,0.5655 +/- 0.0516
SVM(poly),64,0.5655 +/- 0.0516
SVM(poly),67,0.5586 +/- 0.0593
SVM(poly),59,0.5586 +/- 0.0593
SVM(poly),60,0.5586 +/- 0.0593
SVM(poly),70,0.5586 +/- 0.0593
SVM(poly),69,0.5586 +/- 0.0593
SVM(poly),68,0.5586 +/- 0.0593
SVM(poly),66,0.5586 +/- 0.0593
ANN,9,0.5586 +/- 0.0402
SVM(poly),118,0.5586 +/- 0.0402
SVM(poly),116,0.5586 +/- 0.0402
SVM(poly),117,0.5586 +/- 0.0402
SVM(poly),121,0.5586 +/- 0.0402
SVM(poly),119,0.5586 +/- 0.0402
SVM(poly),120,0.5586 +/- 0.0402
ANN,10,0.5517 +/- 0.0534
SVM(poly),84,0.5448 +/- 0.0768
SVM(poly),83,0.5448 +/- 0.0768
SVM(poly),85,0.5448 +/- 0.0768
SVM(poly),71,0.5379 +/- 0.0743
SVM(poly),99,0.5379 +/- 0.0710
SVM(poly),98,0.5379 +/- 0.0710
SVM(poly),102,0.5379 +/- 0.0710
SVM(poly),100,0.5379 +/- 0.0710
SVM(poly),92,0.5379 +/- 0.0710
SVM(poly),103,0.5379 +/- 0.0710
SVM(poly),105,0.5379 +/- 0.0710
SVM(poly),97,0.5379 +/- 0.0710
SVM(poly),96,0.5379 +/- 0.0710
SVM(poly),95,0.5379 +/- 0.0710
SVM(poly),104,0.5379 +/- 0.0710
SVM(poly),93,0.5379 +/- 0.0710
SVM(poly),94,0.5379 +/- 0.0710
SVM(poly),86,0.5379 +/- 0.0710
SVM(poly),109,0.5379 +/- 0.0710
SVM(poly),88,0.5379 +/- 0.0710
SVM(poly),115,0.5379 +/- 0.0710
SVM(poly),114,0.5379 +/- 0.0710
SVM(poly),113,0.5379 +/- 0.0710
SVM(poly),112,0.5379 +/- 0.0710
SVM(poly),111,0.5379 +/- 0.0710
SVM(poly),110,0.5379 +/- 0.0710
SVM(poly),82,0.5379 +/- 0.0710
SVM(poly),91,0.5379 +/- 0.0710
SVM(poly),108,0.5379 +/- 0.0710
SVM(poly),107,0.5379 +/- 0.0710
SVM(poly),87,0.5379 +/- 0.0710
SVM(poly),101,0.5379 +/- 0.0710
SVM(poly),106,0.5379 +/- 0.0710
SVM(poly),89,0.5379 +/- 0.0710
SVM(poly),90,0.5379 +/- 0.0710
SVM(poly),76,0.5310 +/- 0.0774
SVM(poly),78,0.5310 +/- 0.0774
SVM(poly),81,0.5310 +/- 0.0774
SVM(poly),77,0.5310 +/- 0.0774
SVM(poly),80,0.5310 +/- 0.0774
SVM(poly),75,0.5310 +/- 0.0774
SVM(poly),74,0.5310 +/- 0.0774
SVM(poly),72,0.5310 +/- 0.0774
SVM(poly),73,0.5310 +/- 0.0774
SVM(poly),79,0.5310 +/- 0.0774
ANN,28,0.5310 +/- 0.0169
ANN,114,0.5241 +/- 0.0402
ANN,11,0.5034 +/- 0.0468
ANN,5,0.4966 +/- 0.0468
SVM(poly),143,0.4897 +/- 0.0338
SVM(poly),124,0.4897 +/- 0.0338
SVM(poly),122,0.4897 +/- 0.0338
SVM(poly),135,0.4897 +/- 0.0338
SVM(poly),142,0.4897 +/- 0.0338
SVM(poly),123,0.4897 +/- 0.0338
SVM(poly),134,0.4897 +/- 0.0338
SVM(poly),138,0.4897 +/- 0.0338
SVM(poly),141,0.4897 +/- 0.0338
SVM(poly),132,0.4897 +/- 0.0338
SVM(poly),125,0.4897 +/- 0.0338
SVM(poly),137,0.4897 +/- 0.0338
SVM(poly),126,0.4897 +/- 0.0338
SVM(poly),140,0.4897 +/- 0.0338
SVM(poly),127,0.4897 +/- 0.0338
SVM(poly),128,0.4897 +/- 0.0338
SVM(poly),133,0.4897 +/- 0.0338
SVM(poly),129,0.4897 +/- 0.0338
SVM(poly),139,0.4897 +/- 0.0338
SVM(poly),130,0.4897 +/- 0.0338
SVM(poly),131,0.4897 +/- 0.0338
SVM(poly),136,0.4897 +/- 0.0338
ANN,4,0.4828 +/- 0.0436
ANN,7,0.4483 +/- 0.0378
