,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,AC016629.1,TUBBP1,CCDC144CP,CBX3P2,AC091167.1,AL356235.1,CHP1P2,CSNK1A1P1,AP001992.1,AC135983.2,CICP18,RPL13AP7,CAP2P1,GLDCP1,AC007161.1,DENND10P1,RTEL1P1,PLEKHA8P1,AC079416.2,TMEM14EP,UPF3AP2,AL590396.1,ANP32BP1,RPS4XP16,AL391825.1,AC021148.1,AC006122.1,SMPD4BP,RPSAP36,RPL6P27,VN1R105P,AL049840.7,CYP2F2P,TSPY26P,Diagnosis
RNA26_FPKM,0.327186607,26.96159622,0.075819602,18.22423714,0.505890384,0.484959339,0.0180257,2.227097274,0.336777319,1.292781412,0.867259909,0.573838584,6.760671805,0.798225,0.253930498,3.607416841,0.708848455,0.153633264,36.41499782,3.219608734,2.121280192,7.122205601,0.375361008,0.136535697,0.531261602,14.27935833,0.53116026,0.165637796,0.657782341,0.861066834,4.943444218,0.183419363,2.530151068,5.828309522,0.920225314,0.150045797,0.0,1.248559457,1.60751397,0.121045705,6.388187313,0.123275036,0.0,0.175326364,6.827457993,0.053181968,0.954955876,0.600661345,0.204721983,0.368103759,0.0,2.021856046,0.844694436,1.546647838,0.196555022,0.141379785,17.44259824,0.080447089,17.77196847,0.470748077,0.0,0.582265097,0.180890144,0
RNA277_FPKM,0.106029725,42.03860805,0.128972202,47.31005325,0.040963598,0.061084711,0.020434397,0.886409908,0.534653334,0.0,0.879933542,0.127817355,37.63516289,0.90520862,0.057592803,0.0,0.107199385,0.0,27.49355504,2.312215875,1.915451141,10.13212276,0.0,0.129011037,0.67193915,0.736053473,1.566067442,0.0,0.994568501,2.440836965,3.910959911,0.043786126,1.731362121,0.991418964,0.503762253,0.340372128,0.0,0.849509953,1.576556584,0.329416671,0.473467942,0.069873878,0.0,0.0,3.78101765,0.120619564,0.753311856,0.12387029,0.0,1.774044316,0.125322181,1.576276217,1.185946847,1.892327581,0.049541801,0.080135883,13.86611959,0.0,284.0040271,0.320304588,0.155648542,0.188641682,0.876449886,0
RNA288_FPKM,0.041293698,40.4354451,0.334994374,18.7872094,0.063847615,0.333287005,0.047793172,0.677695338,0.446395805,0.0,1.512514873,0.271639152,2.932712924,0.470132597,0.194459856,1.062639629,0.208794066,0.0,42.02214238,3.635138274,2.776908561,6.078781971,0.082903996,0.040207887,0.884705765,0.191139768,1.314192347,0.073167084,0.339044363,3.804458717,6.272836618,0.0255956,1.426222653,2.446252244,1.486082802,0.265118557,0.0,1.963810408,1.919526405,0.064187891,0.221362081,1.034817496,0.056528266,0.025815603,10.32609489,0.18797227,1.412494191,0.096483554,0.497478275,0.284600611,0.0,3.01485537,3.056653785,3.272786796,0.328068729,0.062451607,9.036850388,0.142184176,310.1833507,0.415982025,0.0,0.18375905,0.741082701,0
RNA29_FPKM,0.0,29.89909622,0.195378329,7.384021727,0.496617488,0.0,0.185800557,0.39274343,0.752155686,0.0,0.941001373,0.510518382,6.018438578,0.0,0.058164398,1.807535185,0.487098758,0.0,56.17881864,2.673363578,1.585936107,3.851425916,0.0,0.078185927,0.456352031,1.300877596,1.186288943,0.0,0.75334617,0.369811578,7.134755928,0.049752679,2.023459357,1.001258558,0.926749666,0.257767089,0.0,1.179733804,1.306195031,0.020794717,0.071727587,0.0,0.054960795,0.225897864,12.73850592,0.152270854,1.12343269,0.422136734,0.043962069,0.118570092,0.0,2.641303203,2.453157609,2.307450938,0.0,0.0,8.35075796,0.241853299,290.1390752,0.24261265,0.0,0.464418714,0.070626203,0
RNA295_FPKM,0.0,40.1234621,0.029638251,26.87146811,0.169426966,0.042127325,0.028172476,0.622410978,0.315834822,0.122454301,0.980955434,0.280278412,11.71950816,0.208020022,0.039692991,0.46983782,0.295430289,0.240114367,36.25194545,2.376252399,0.859566261,5.894752495,0.073365221,0.142261651,0.718575676,0.67628171,1.369810304,0.0,1.199433152,2.691533239,5.210838843,0.007547318,1.738645185,3.64384811,0.892737128,0.234507493,0.0,0.858643358,0.373479381,0.075673229,3.556575083,0.096333654,0.075013527,0.091339549,7.817172464,0.374051869,0.908526568,0.0,0.120003719,0.791086294,0.086428964,1.086285162,0.62868493,1.52675198,0.187739317,0.0,9.777075345,0.062865624,219.7691725,0.147147009,0.0,0.227521254,1.683511468,0
RNA3_FPKM,0.0,39.24318875,0.083602473,25.9660431,0.119486998,0.237594004,0.099357303,0.585330972,0.371261997,0.0,1.132209925,0.429270327,5.284935441,0.0,0.149309947,0.662952944,0.0,0.0,34.76237585,1.932396878,1.169265425,9.582457106,0.10347294,0.100338504,0.315350581,0.238562612,0.936891864,0.0,0.966862813,1.42363654,4.372406284,0.042566137,1.779357644,5.30082304,0.839579341,0.165447976,0.027631119,1.37643874,1.293188586,0.213522929,4.92504911,0.203815591,0.105789272,0.064441197,9.207002251,0.234519369,1.167199446,0.120421663,0.056434166,0.557981373,0.0,1.485945503,0.44342278,2.378083131,0.072216077,0.0,12.92317054,0.088704971,257.092887,0.20762812,0.151395504,0.229245272,0.271926254,0
RNA302_FPKM,0.122785642,34.12017265,0.132765387,17.16138346,0.189849078,0.0,0.031564251,0.503647195,0.294882837,0.0,1.278955488,0.260196701,9.148560216,0.0,0.029643329,0.78970555,0.496528861,0.0,38.85899623,2.380545189,1.066293906,4.634610876,0.082191889,0.01993126,0.268369403,0.189497967,1.162712241,0.0,0.959925704,3.769758481,3.01985349,0.016904213,2.330006528,0.765530891,0.583483359,0.262740608,0.0,0.89646428,0.418455569,0.148379728,1.974179808,0.323836089,0.112042485,0.025593859,10.70498966,0.372525067,0.654392531,0.0,0.044827476,0.60433561,0.0,0.995811077,0.528297139,3.136157982,0.038242388,0.0,9.3972025,0.176099046,155.7036387,0.247325365,0.0,0.25491061,0.83513757,0
RNA303_FPKM,0.0,40.65313068,0.13319624,31.76005242,0.126960566,0.047320129,0.0,0.621772619,0.118326848,0.034402838,2.224953205,0.098994922,43.07575994,0.467323016,0.029732861,0.0,0.124499182,0.0,35.01845503,2.576314511,1.552572273,7.904341233,0.164817099,0.0,0.26919152,1.140155335,1.632755805,0.10909474,0.67401218,0.378085456,2.776663981,0.0,0.957829724,0.127957493,0.055732597,0.131767085,0.022006144,0.965001784,1.068422076,0.021259962,11.66119417,0.433078794,0.028095222,0.025661325,2.28698045,0.06228502,1.057507798,0.0,0.089891285,0.404112532,0.0,1.146843211,0.176649064,2.967021253,0.095911931,0.0,13.56197529,0.353266449,310.9147844,0.082680226,0.0,0.255699281,1.487618965,1
RNA31_FPKM,0.0,46.46215961,0.257567897,24.25315916,0.105228509,0.052322936,0.122470744,0.186107254,0.130741609,0.038039995,0.797494491,0.169093087,3.698700429,0.0,0.246473101,1.750854704,0.18345651,0.0,42.91849412,3.05564346,0.533833337,6.410348677,0.364300824,0.198802227,0.932169815,0.210084518,0.876495538,0.080378601,1.915415432,1.25375274,3.515049894,0.009373912,1.482018566,4.667172663,0.431218707,0.145697844,0.048640926,1.745168246,1.960970134,0.046991615,1.296875082,0.059851417,0.0,0.0,8.137403503,0.344134179,1.712810587,0.0,0.0,1.071906956,0.0,0.695077337,0.819903266,1.8173293,0.127196939,0.343069407,9.044009712,0.70276862,207.2605492,0.731095513,0.133322867,0.322959668,1.053489187,1
RNA314_FPKM,0.206403212,45.1662295,0.125543198,34.35097023,0.039902767,0.297387291,0.0,0.341899361,0.371773719,0.0,1.058121145,0.124423041,13.29756418,1.1749599,0.168184723,0.995535533,0.208680137,0.113041343,29.16175447,1.855963495,1.084103841,7.200852349,0.310764104,0.025128675,0.496232495,0.0,0.996749102,0.0,0.665579685,0.950342544,4.060945489,0.0,1.685398199,1.930119912,0.560462073,0.331205195,0.055313883,0.716682944,1.318891163,0.053438306,5.069840516,0.47630555,0.035328402,0.0,4.59207047,0.117412633,1.810401687,0.0,0.056517002,0.761889439,0.0,0.650948217,0.843650339,2.650804313,0.265179976,0.0,9.727557297,0.133205459,320.9723682,0.207822161,0.606309436,0.229536793,0.816874166,1
RNA319_FPKM,0.041887257,37.75833643,0.101919482,32.05189444,0.259093755,0.048288895,0.032307739,0.383354647,0.181113446,0.210677918,1.4932696,0.110214713,12.78017456,0.0,0.060698265,0.269401203,0.169439559,0.045893212,26.62979778,1.955836686,1.091491232,8.385640763,0.168191332,0.12237785,0.366281065,0.581661689,1.856697874,0.0,0.687820793,3.85902778,4.173152395,0.008651194,1.212088787,1.828339966,0.14221232,0.268929397,0.0,0.895258821,0.584118417,0.043390417,3.368037308,0.331476696,0.0,0.026186679,4.952407692,0.063561747,1.116416167,0.0,0.045865796,1.072271275,0.0,1.019345357,0.721040614,1.56866869,0.137020635,0.0,11.86556371,0.252362418,392.8465349,0.253118713,0.0,0.223666314,0.117910037,0
RNA32_FPKM,0.325510254,30.07088142,0.087989552,14.50051004,0.503298436,0.375258048,0.12553341,0.650510959,0.390869918,0.181894792,0.715217306,0.868228754,2.42547015,1.544199076,0.432265098,2.442415753,0.658202202,0.118862156,49.09732109,1.785369157,1.003069079,4.133234466,0.108902731,0.15847551,0.166012041,2.008880513,1.048079786,0.240324844,1.145221298,3.497932109,5.604231763,0.100838859,1.265819439,1.522015096,1.141751731,0.348259872,0.0,1.304257258,1.865793308,0.112405739,1.405351926,0.500783086,0.0,0.101734168,16.84391461,0.637850129,0.867426858,0.253539776,0.059395576,0.267041946,0.0,1.026679188,0.793686711,3.354111271,0.0,0.0,4.175651794,0.280122205,112.6801132,0.109261751,0.0,0.531015727,1.278810041,1
RNA328_FPKM,0.086802052,37.90118398,0.140837143,27.83548081,0.503390162,0.0,0.0,0.780743469,0.281500774,0.0,1.907605972,0.38065932,6.621188682,0.0,0.047172073,1.954225213,0.131681116,0.0,38.63430245,1.694337663,1.678171792,6.118303876,0.174269618,0.147929399,0.322596288,0.200894143,0.887910921,0.0,0.152743355,3.998452508,0.293608229,0.053791561,1.377440157,1.35321777,0.559909035,0.139324134,0.023268231,1.78569598,0.685926082,0.112417639,3.412265612,0.572440323,0.0,0.081424919,8.375571241,0.559754287,0.906160015,0.0,0.047523346,0.854663855,0.102650427,0.782391395,0.933910856,4.422561094,0.0,0.0,10.54899323,0.373564342,234.6147221,0.0,0.127490514,0.193129138,1.175954493,0
RNA331_FPKM,0.0,43.83531076,0.154382942,39.49027043,0.08829951,0.175577967,0.0,1.021120679,0.438886469,0.063807641,1.561521987,0.025039844,8.410263328,0.216803814,0.110306973,0.244950274,0.269457863,0.083411423,18.85407108,1.835677064,0.831917662,7.646927668,0.611460666,0.09267077,0.765587542,0.17628997,1.124868209,0.0,0.267892692,0.350808182,4.541511289,0.031455658,1.563422227,1.898855742,0.697860463,0.244391087,0.0,0.772907309,1.256265253,0.138041002,2.346570587,0.401628481,0.0,0.0,3.284916221,0.028873849,1.132933253,0.0,0.0,1.124332461,0.0,0.583253689,0.655256405,1.226619547,0.19567212,0.057599693,14.70106141,0.131065243,318.3742228,0.843540359,0.0,0.508150822,0.964399421,0
RNA334_FPKM,0.11294973,51.11459782,0.091609228,36.33111345,0.116446899,0.130211859,0.0,0.392059752,0.081382412,0.0,1.176604179,0.115559768,13.86249825,0.0,0.068185073,0.242066865,0.190339026,0.082515122,22.01415697,2.362949022,1.044234342,6.688992147,0.075563041,0.0,0.526707857,0.0,1.454763697,0.0,0.529889385,1.734093744,4.977622186,0.007773415,1.581309679,1.17375733,0.408978897,0.120821465,0.0,0.925293286,1.312406302,0.039007573,5.885811005,0.049632415,0.0,0.0,2.916141197,0.085676332,1.75590947,0.0,0.0,1.074892152,0.0,1.085784682,0.259211977,2.13109793,0.140739615,0.056921664,9.866302597,0.194400804,441.0569612,0.227513028,0.0,0.234530318,0.105973419,0
RNA335_FPKM,0.0,47.74941252,0.039897015,33.03600788,0.0,0.226717716,0.0,0.589560846,0.177141676,0.04122874,1.320443475,0.097013466,7.370423802,0.0,0.089043356,0.316376331,0.198831312,0.107734958,19.41092078,2.52124773,0.74381439,7.236619182,0.39483151,0.047872665,0.322406712,0.227695087,1.396868067,0.0,0.4036398,0.45310178,3.537297784,0.020308798,1.835539479,0.766408883,0.534080963,0.315657766,0.05271734,0.446543844,1.553893399,0.101859613,2.679174736,0.324207499,0.0,0.061473596,3.206861229,0.037293727,1.637859117,0.057467976,0.053863354,0.677646625,0.0,0.398785443,0.253859978,2.055133396,0.229746838,0.0,14.71266789,0.042332044,302.2977005,0.297151471,0.433345895,0.174990859,0.155687062,1
RNA336_FPKM,0.12849113,38.11613108,0.069454918,21.63343805,0.099335403,0.049361042,0.0,0.635130209,0.339413824,0.0,1.547408989,0.262885542,12.27617202,0.0,0.046537096,0.550765313,0.303106751,0.0,26.73020898,2.917128384,1.2957371,5.190812273,0.515855873,0.166803877,0.35570841,0.594758185,0.584020394,0.0,0.602703068,4.339039034,3.44968182,0.035381217,1.798626919,2.002512017,0.610565018,0.274900375,0.0,0.938063238,0.855847638,0.088727974,0.076495182,0.621200552,0.058613934,0.026768096,7.62305523,0.341097775,1.65482973,0.200132759,0.093768288,0.885352067,0.101269751,0.926242733,0.663380895,2.573150113,0.060036768,0.064755823,7.611112485,0.442265209,237.6871396,0.086246217,0.0,0.342961482,0.934169005,0
RNA35_FPKM,0.121178983,40.90886698,0.131044883,19.41286971,0.093682444,0.093132527,0.046732816,0.599025446,0.378319828,0.033854759,1.242489488,0.478165568,5.417247108,0.0,0.058518363,0.259790732,0.285870111,0.088512084,35.88787486,3.802292276,1.086260174,5.175422324,0.0,0.019665434,0.723943875,0.74788241,0.963898644,0.0,1.373698901,1.488248415,5.265242142,0.025027727,2.035612174,3.399678001,0.35646135,0.259335757,0.0,1.143661309,1.032449967,0.251032858,3.175066026,0.31959867,0.0,0.05050502,10.20812159,0.260419424,1.471042727,0.0,0.132688815,0.357874988,0.0,1.346772484,1.147029952,2.954429478,0.018873403,0.12217881,11.56218679,0.278085854,230.1775895,0.325452126,0.0,0.21565153,1.250525045,0
RNA358_FPKM,0.0,47.34801707,0.087755425,28.84808047,0.0,0.249402184,0.0,0.716824252,0.311794022,0.045342309,0.897957681,0.118577467,2.844838466,0.0,0.058760293,1.043459099,0.273421458,0.0,30.30016346,1.86284884,0.409107096,6.649586354,0.108612957,0.052676563,0.425621321,1.001387558,1.106404338,0.239590673,0.634309792,3.985949709,7.150648642,0.0,1.009598987,2.529148483,0.734389782,0.520815837,0.029003694,0.66462935,1.608826509,0.252122796,0.144924875,0.142681482,0.296192678,0.0,8.268165236,0.266690895,1.561515721,0.063201804,0.118475065,0.745421954,0.0,0.487426846,0.37239624,1.177465802,0.025277499,0.081818176,8.302963097,0.232729156,159.3064597,0.435768652,0.158916073,0.336912797,0.323506059,0
RNA365_FPKM,0.0,43.34003926,0.043901827,26.9997574,0.125497072,0.124739262,0.0,0.648764953,0.38984983,0.136055581,1.294531622,0.367713336,4.126421484,0.615948532,0.058793431,1.39182756,0.05472594,0.17785628,37.25864368,1.697799236,1.136838569,5.452536377,0.0,0.184388954,0.44940086,1.252244909,0.799337585,0.04795463,0.380746714,3.488564881,5.289844916,0.044695308,1.211928101,2.530045837,0.771360457,0.521109556,0.0,1.127337144,1.48360772,0.252206792,0.869990501,0.214067307,0.0,0.067645098,8.123769495,0.307814391,1.177531309,0.0,0.0,1.491352119,0.0,0.341309937,0.372508235,1.554767995,0.050557081,0.081863143,10.01354361,0.186230448,142.9609899,0.109030911,0.0,0.192558667,0.304565115,0
RNA368_FPKM,0.374581324,36.94774049,0.0,24.79955677,0.611325538,0.0,0.0,0.302049292,0.239898969,0.069749569,1.138000522,0.091238522,9.5221826,0.0,0.045217723,0.535236163,0.378713495,0.0,36.79150929,3.344513374,1.084322473,4.900335393,0.083575675,0.060782708,0.254709461,0.385207845,1.229665986,0.0,1.513056503,4.60027369,3.582746841,0.0,1.398317983,1.167699944,0.367318169,0.267149398,0.0,1.15619425,0.444879396,0.064664283,3.866376676,0.109742667,0.0,0.104076224,8.82189833,0.347258379,1.404848897,0.09722263,0.045582193,0.286787532,0.0,1.537734807,0.46561458,4.530103074,0.038884095,0.0,7.50450371,0.179087361,234.4813908,0.083851199,0.0,0.185172854,1.010328793,0
RNA37_FPKM,0.043625862,36.33977503,0.035383277,15.46615177,0.269955835,0.150932407,0.016824365,0.495818535,0.69189447,0.036564337,1.278744199,0.468886247,2.640094316,0.0,0.110653066,0.842043954,0.706084153,0.095646337,38.23645766,2.338408071,0.770348197,6.439206729,0.087586205,0.021239364,0.591512288,1.212244857,1.041617742,0.0,0.614266108,2.010044462,5.716659044,0.099160317,1.710926087,3.129499555,0.029617113,0.420284635,0.0,1.04935158,1.886570251,0.248671323,2.846232874,0.057529644,0.119504347,0.054575826,12.51396908,0.248309632,1.667199901,0.203972366,0.0955892,0.300760026,0.206472672,0.550695304,0.26291792,2.280477779,0.10196249,0.0,9.927664415,0.03754282,134.5000513,0.615401285,0.128150971,0.271852024,0.75246793,0
RNA379_FPKM,0.0,42.8802511,0.196938138,30.66430673,0.187718343,0.209924444,0.0,0.632112559,0.568608844,0.101728185,1.363442099,0.346006541,3.352512597,0.345653184,0.065951366,0.780629966,0.613701005,0.0,26.1186748,1.765428501,0.153039828,6.033340907,0.0,0.059091511,0.636890328,0.281061428,0.896801549,0.107529986,0.427101556,1.677285757,4.964423558,0.025068117,1.246374997,3.027756401,0.08239983,0.194921761,0.032553473,1.070224964,1.749158825,0.220079134,0.162660753,0.400273753,0.083076751,0.037960548,8.990663399,0.299304965,0.781890395,0.0,0.398781201,0.657325589,0.0,0.601740535,0.783577671,1.110071867,0.056711583,0.183563977,9.370916775,0.104450488,142.0671297,0.244483011,0.178365906,0.486145974,1.195992836,1
RNA38_FPKM,0.162396441,23.46236412,0.032916493,8.660623293,0.282447422,0.0,0.015651436,0.320247848,0.467996511,0.102070239,0.832523748,0.622992646,2.135230704,0.231028802,0.132322236,0.261022014,0.246252192,0.0,31.18074235,1.739891832,0.477646395,8.533531574,0.0,0.118580405,0.408176345,0.563706091,0.784237073,0.071936364,1.190223769,2.24349359,2.396361133,0.067075106,2.045956409,0.63276182,0.082676893,0.260659086,0.0,2.10374346,0.622619501,0.084112087,1.813150932,0.053518902,0.083356091,0.076134929,9.432491554,0.985378129,0.52288312,0.047413177,0.0,0.319705458,0.0,0.512166562,0.489082998,3.6057044,0.056902272,0.061378939,4.792265151,0.034925481,94.36250576,0.245305068,0.119216785,0.252864218,0.59986452,0
RNA383_FPKM,0.0,36.72753456,0.322452132,29.08409096,0.307356313,0.101855975,0.017028786,0.975711515,0.286455117,0.0,1.035301692,0.242109132,3.717453767,0.0,0.095999407,1.136498245,0.580608835,0.096802749,30.90448099,1.690385617,0.556863575,4.405684118,0.0,0.064512303,0.502077814,0.613355604,1.204749706,0.156550024,0.362630083,1.22054683,4.128605051,0.045615754,1.15436012,2.47871367,0.449822021,0.425374465,0.0,0.943979573,1.888747076,0.20591744,1.302145758,0.0,0.030223234,0.027604986,6.512394377,0.251297219,1.000602552,0.103219248,0.241839796,1.000173715,0.0,0.398072585,0.456164619,1.346296482,0.06191405,0.133622937,9.588779723,0.0,151.8120157,0.177968132,0.259536859,0.393048368,0.761523173,0
RNA385_FPKM,0.0,51.96121228,0.140807655,41.36524707,0.246054772,0.033367759,0.0,0.684758942,0.625442807,0.048494702,1.003089321,0.183957872,3.119831229,0.0,0.178150793,1.116580002,0.321784812,0.126818522,33.29990963,1.993038809,0.997029971,6.49308898,0.058110336,0.098613556,0.31621855,0.535776229,0.887795321,0.0,1.289449595,1.599122113,6.369407016,0.077690742,1.80930829,1.803969073,0.825028557,0.185740654,0.031020156,0.757448435,1.801968297,0.269758661,1.24061932,0.076300657,0.0,0.018095067,8.629797002,0.208499706,0.835334036,0.067595866,0.031693391,0.826032098,0.0,0.417190968,0.497997096,1.738498525,0.040558922,0.087506529,9.884209991,0.074700775,138.7170486,0.641094356,0.169964605,0.514919328,1.109598277,1
RNA386_FPKM,0.0,39.07211,0.078017612,36.21146132,0.223131892,0.332733154,0.018557344,0.500874302,0.207958221,0.040330615,0.845525221,0.200365255,11.13190014,0.0,0.069677852,0.618665977,0.389059856,0.0,26.6816464,1.877507166,0.970241428,5.330488479,0.096607945,0.046831289,0.462602062,0.890504058,1.585207202,0.085219818,0.620529991,0.443231427,5.205591679,0.029805392,1.43658965,3.14893486,0.685768036,0.154471198,0.051570577,0.848026471,1.341328153,0.274057184,2.492143485,0.063455434,0.065840106,0.060136359,7.549008291,0.054732642,1.345946473,0.112377185,0.368675307,0.615579044,0.0,0.346787374,0.455346655,0.879607457,0.112373862,0.145478386,11.43979638,0.206968385,291.5876904,0.096926433,0.282563788,0.256818308,1.150779991,0
RNA39_FPKM,0.13505147,29.71734936,0.146022015,14.40453213,0.591593226,0.0,0.0,0.539739168,0.551363026,0.264087379,1.142904375,0.493416834,3.432971099,1.281224287,0.130429473,1.736893439,0.2730362,0.049339191,42.04169886,2.170368215,0.87009728,5.549430872,0.09041015,0.065750158,0.334526005,1.250036945,0.664955814,0.119646855,0.95017783,1.658340469,5.563332103,0.08366918,1.512393051,3.227350626,0.611191438,0.288975266,0.0,1.154314564,1.150611655,0.116573671,0.080411733,0.237417089,0.0,0.028152956,10.85640961,0.443871614,1.379484023,0.105165632,0.492896321,0.620364229,0.0,0.649028059,1.045904216,2.430200221,0.06310205,0.136142638,9.070318066,0.116220349,188.0587527,0.090708206,0.1322828,0.320438623,0.791834577,1
RNA392_FPKM,0.099934371,44.87074606,0.040545901,31.79939264,0.424976813,0.0,0.0,0.741126831,0.180028751,0.167516875,0.85400959,0.164331949,2.49702526,0.284576824,0.018105856,1.606993484,0.707354365,0.218983506,32.96378278,1.721059828,0.545987953,5.676295305,0.0,0.097306615,0.458766112,0.462575007,1.135754849,0.044288902,0.937692365,4.602946161,5.868990588,0.0,1.165970323,2.336699709,0.33925418,0.320805084,0.0,0.800920681,1.579291151,0.310586603,0.178537722,0.263567918,0.0,0.03125298,9.506223703,0.398014962,1.065362667,0.0,0.164165735,1.180676557,0.0,0.540396258,0.387019976,1.697101747,0.116745639,0.0,9.31335394,0.344040649,139.7528353,0.201296377,0.146848938,0.266809165,1.582334807,0
RNA409_FPKM,0.0,43.5516158,0.0,27.95052687,0.18750419,0.335482239,0.0,0.811169206,0.209676399,0.162615641,0.663131366,0.319001495,5.48497095,0.276186422,0.122969529,0.935818876,0.392322568,0.159419235,27.77723515,3.340961256,0.692987599,5.307850378,0.097406383,0.094459604,0.360459326,1.122657666,1.98430004,0.042983097,0.739453325,3.574275454,6.024520329,0.050092669,1.539109933,1.66324693,0.724436441,0.467089982,0.0,0.803294529,1.397618422,0.376837978,1.689758452,0.063979876,0.19918475,0.060633135,9.688125042,0.275942397,1.507993185,0.113305514,0.371773469,0.668473456,0.0,0.437097919,0.417397731,1.520511147,0.045316429,0.073376261,7.676297615,0.292182529,173.4090642,0.293086132,0.142519276,0.302111062,1.331032818,0
RNA41_FPKM,0.122837605,37.91952448,0.033201162,20.03134389,0.094964711,0.0,0.015786793,0.12920917,0.05901207,0.0,0.519823481,0.080789857,4.737999038,0.0,0.059315542,0.0,0.082805684,0.0,39.36900647,3.133809367,1.548591201,4.707768329,0.0,0.119607612,0.393804291,0.947697059,1.721654088,0.0,0.432171459,3.017333495,3.776665172,0.008454606,1.490404658,0.765854865,1.000738303,0.525737226,0.0,0.721898014,0.342537521,0.0,1.243599763,0.0,0.0,0.0,5.95319455,0.077651156,0.927501834,0.0,0.269009953,0.443399944,0.0,0.369014784,0.422838179,2.388930547,0.076522038,0.061909757,6.728203941,0.21141909,200.5800099,0.494860067,0.0,0.437206467,1.03722253,0
RNA418_FPKM,0.214877395,36.50711714,0.20914145,23.9226262,0.332239784,0.049553089,0.0,0.556004187,0.216764578,0.036026251,0.860369824,0.414558039,9.154759295,0.978511966,0.217920999,0.276454075,0.260705833,0.047094687,40.01082766,3.354963548,1.228051001,5.789506734,0.0,0.020926803,0.356968385,0.79565872,0.439523321,0.038080914,0.856807176,2.375174251,5.338065537,0.026624388,0.802218865,1.071834182,0.671055293,0.413820388,0.0,0.872474522,0.918787674,0.133557411,0.115151775,0.169993843,0.0,0.026872241,8.175415997,0.277092824,1.317069997,0.20081635,0.235286896,0.846164259,0.0,0.580929594,0.51779257,2.320236954,0.040167939,0.0,8.009548685,0.110934949,227.1090675,0.173163542,0.126265082,0.458892889,1.058414067,0
RNA431_FPKM,0.180491339,37.95372163,0.097562396,22.79140396,0.232531269,0.208075865,0.0,0.892181782,0.173382913,0.0,1.145581169,0.184636934,8.226708191,0.0,0.130720637,1.547670638,0.304099084,0.0,26.75559711,1.795620754,0.75836539,3.874936078,0.0,0.175717701,0.157781337,0.55679549,1.367284971,0.0,0.705478744,1.662515702,4.549853159,0.0,1.403646791,0.937638841,0.408393807,0.386148886,0.0,0.932045593,0.810813496,0.12463581,0.107451761,0.317328152,0.123540188,0.0,6.661923454,0.456327469,0.748121836,0.140529646,0.329349844,0.829081315,0.0,0.704770847,0.569440744,2.566828971,0.056204694,0.272970812,11.15957079,0.414165382,185.784679,0.0,0.0,0.642358444,1.439204613,1
RNA44_FPKM,0.0,38.45495124,0.0,16.94452861,0.746198658,0.05056912,0.0,0.539915172,0.189666551,0.0,1.328185709,0.298165701,4.384450978,0.499409325,0.015887157,0.846656146,0.133092665,0.192290438,37.09636124,2.014662652,0.995572592,6.122980549,0.0,0.064089509,0.728824787,0.609335862,0.498582522,0.11662494,0.771798088,0.80808946,5.071733398,0.036248102,1.515007705,3.145649523,0.268077299,0.281628376,0.070575315,1.007889576,1.549655772,0.113621589,0.07836735,0.28928547,0.0,0.054846454,4.20279782,0.366074285,1.500423375,0.205036267,0.0,0.691044744,0.0,1.423338364,0.415313854,1.680985291,0.14349136,0.0,9.732276749,0.0,228.3110791,0.353518574,0.0,0.234228983,0.16979242,1
RNA442_FPKM,0.0,43.57940592,0.21104009,24.29848245,0.067042866,0.099973984,0.0,0.574712486,0.218722454,0.0,0.889319348,0.066550642,8.781319572,0.0,0.031408543,0.0,0.043838565,0.0,17.29327732,1.85860738,0.911144904,6.8480544,0.087052922,0.021110045,0.398113467,0.0,1.478411855,0.0,0.508552703,1.597574223,5.652988089,0.008955416,1.861760082,0.946309391,0.058873569,0.278386401,0.023246364,0.671873799,1.269724796,0.157228008,3.06024029,0.057179365,0.02967861,0.0,2.209644591,0.016445131,1.752711312,0.0,0.142436053,0.81109368,0.0,0.937919232,0.074628467,1.095106415,0.121578028,0.0,12.33860978,0.149256934,336.6076481,0.262019728,0.0,0.231529419,0.961188982,0
RNA454_FPKM,0.0,38.13649469,0.0,22.79409732,0.166161139,0.061959181,0.0,0.61036671,0.193586147,0.045045769,0.787084255,0.294490029,3.815163559,0.0,0.097309456,0.345667009,0.325927152,0.0,30.34149597,2.426230129,0.5419093,5.042600055,0.215704125,0.052307534,0.469770564,0.497317843,1.221170475,0.095185049,0.819147122,5.444166259,5.021913677,0.05549106,1.404116139,1.340027418,0.802510434,0.34489994,0.0,1.320458819,0.724188437,0.11132186,1.487883558,0.141681918,0.073539158,0.0,8.578559747,0.305681181,0.644334626,0.251095004,0.0,0.528933398,0.0,0.33894839,0.277420623,2.058696599,0.075313016,0.0,7.667231795,0.046251219,162.034226,0.0,0.0,0.3346704,0.15123534,0
