,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,AC016629.1,TUBBP1,CCDC144CP,CBX3P2,AC091167.1,AL356235.1,CHP1P2,CSNK1A1P1,AP001992.1,AC135983.2,CICP18,RPL13AP7,CAP2P1,GLDCP1,AC007161.1,DENND10P1,RTEL1P1,PLEKHA8P1,AC079416.2,TMEM14EP,UPF3AP2,AL590396.1,ANP32BP1,RPS4XP16,AL391825.1,AC021148.1,AC006122.1,SMPD4BP,RPSAP36,RPL6P27,VN1R105P,AL049840.7,CYP2F2P,TSPY26P,Diagnosis
RNA140_FPKM,0.333038085,45.87127182,0.135057259,32.10691694,0.096559476,0.096009829,0.01605026,0.578014659,0.089993128,0.0,0.914750677,0.173417293,13.6856378,1.184833206,0.165856812,0.267673291,0.084200567,0.0,31.99751524,2.485285959,0.839733278,6.833857542,0.083556285,0.060808105,0.400401742,0.192643656,2.223576982,0.073782324,1.025281998,4.218097113,6.015816289,0.085984725,2.098167817,1.816911296,0.678317881,0.133602256,0.044649204,0.733980131,1.160924601,0.150938661,0.111570427,0.274472153,0.057003595,0.0,7.749932995,0.252638003,1.571706274,0.340453742,0.136763749,0.696716627,0.0,1.500716691,0.752354818,1.885143856,0.058359041,0.062942977,8.713074406,0.214969499,286.5811381,0.083831745,0.122254628,0.185202084,0.878826608,1
RNA145_FPKM,0.159395054,39.28374358,0.0,24.52757548,0.308067412,0.0,0.0,0.440108629,0.200994766,0.0,0.875604384,0.174730065,7.440736917,0.226937841,0.173189765,0.512580936,0.120882268,0.0,35.28796152,2.317928497,0.870781647,5.575341574,0.0,0.038800947,0.296150374,0.553433212,1.267985331,0.035318504,0.934688466,2.202294978,4.312635594,0.008233688,1.52487155,0.869610009,0.730462503,0.255841623,0.0,0.553533889,1.037150273,0.04127877,2.776571304,0.367863803,0.0,0.024922914,6.985048983,0.166253221,1.238958577,0.093107436,0.0,0.62768364,0.094289013,1.149179682,0.445815674,2.741376865,0.242056433,0.180824713,8.943261114,0.068584773,234.1972213,0.240834672,0.234111485,0.319134103,0.21030191,0
RNA150_FPKM,0.441302106,38.73143104,0.0,21.75196881,0.580018151,0.050874639,0.085094336,0.473466092,0.317966494,0.036987049,1.874729208,0.280577819,7.079618831,0.0,0.255746366,0.8514808,0.624638425,0.241753365,42.27721042,1.857682784,0.890168624,6.036833297,0.531592614,0.107424537,0.540190907,1.02134692,1.153482388,0.0,0.879861187,0.406485809,4.83026823,0.091144424,2.100604666,2.613953041,0.838896471,0.283329864,0.023659162,1.202444641,1.579317111,0.274283163,0.118261222,0.349168386,0.0,0.055177814,10.16416519,0.552343028,1.234862049,0.103111123,0.04832179,0.955787549,0.0,1.073810126,0.797551991,2.728456573,0.226815559,0.133482964,7.957667731,0.11393053,168.0981844,0.355563411,0.388897481,0.274871229,1.242130271,1
RNA151_FPKM,0.356129199,27.81682948,0.032099374,24.83928742,0.244723845,0.045625525,0.030513559,0.524398714,0.14255688,0.0,2.318441364,0.121443763,6.347532159,0.0,0.300945851,1.017965327,0.440052824,0.08668915,23.11509367,3.119190833,0.66510802,9.194562663,0.158850984,0.115577972,0.380546515,0.0,1.124120938,0.070097123,1.1600813,2.915780083,4.452448161,0.0,2.658882731,0.740052834,0.8327468,0.253994655,0.0,1.162657782,0.82753744,0.0,1.343134509,0.156529161,0.0,0.049464853,11.29061839,0.405192684,1.019300795,0.092435276,0.129973437,0.506362362,0.0,0.427905779,0.510768023,2.825356338,0.036969398,0.359035533,5.748922477,0.204296275,102.9324922,0.239093993,0.116257348,0.140835009,2.213452107,0
RNA152_FPKM,0.229347688,44.75435861,0.03721092,29.47102128,0.177306753,0.317289931,0.035386779,0.607925105,0.132192465,0.192224194,1.545469083,0.32180939,10.97770666,0.0,0.11629869,0.590152136,0.139156116,0.050266993,30.94634286,3.054348187,1.079482201,5.464643492,0.092110273,0.133994951,0.381008741,0.212365352,1.094707384,0.0,1.237279132,2.112534228,4.56938807,0.037892691,1.669672089,4.432910941,0.74739406,0.441838946,0.0,0.710684429,1.449694284,0.213840359,4.9171096,0.544446783,0.062805586,0.0,9.318247231,0.052201539,1.609517703,0.053598903,0.401842503,1.21925564,0.0,1.364181412,0.473700461,3.79470226,0.085724607,0.277473294,8.76725813,0.197368221,240.0122958,0.554385704,0.0,0.448973448,1.097426921,0
RNA155_FPKM,0.085293047,45.49713503,0.069177945,26.87470034,0.197817995,0.147492599,0.0,0.309496711,0.06145525,0.0,1.374272126,0.149583644,9.981084025,0.0,0.077228885,0.274284483,0.129350928,0.0,32.43450007,2.415164005,1.003509121,7.251063482,0.085620019,0.124575423,0.316918657,0.592205134,1.696125813,0.0,1.300263108,1.571277943,3.435043289,0.008808009,1.31339551,0.664720048,0.781660117,0.273804125,0.068591177,1.412513335,0.634213414,0.0,3.009343655,0.562332651,0.0,0.0,6.489756828,0.226428036,1.136416548,0.0,0.093394358,0.881591966,0.100865907,1.191330691,0.220200219,3.936178382,0.079705407,0.0,7.468154821,0.33026822,262.7659322,0.085902283,0.0,0.22768275,1.005218549,0
RNA165_FPKM,0.191700041,47.07771702,0.116621109,24.85340341,0.407524151,0.220997595,0.036954542,0.997993161,0.345289816,0.040156593,1.754911319,0.273145485,9.451846618,0.545481179,0.156213164,1.541082967,0.242255182,0.210033578,29.98204665,1.173611907,0.966586182,5.642400329,0.288678758,0.046652042,0.607520417,0.887338828,0.816879068,0.25472746,1.123952838,4.414157243,4.685130061,0.118767575,1.162815378,3.883961568,0.910929866,0.307609351,0.025686595,1.049663462,1.737171527,0.248210594,3.638527333,0.505522342,0.032794051,0.119845217,7.748554367,0.636119227,1.021625618,0.111947062,0.104925293,1.509559891,0.226638632,0.734154807,0.371171278,3.29654488,0.134343899,0.289922587,7.812039185,0.288663655,170.7281502,0.289630446,0.140741138,0.554312962,1.230747765,0
RNA174_FPKM,0.306421471,42.61266175,0.213017305,23.56325812,0.778407477,0.100945215,0.0,0.787378998,0.220782451,0.073389525,1.517665231,0.393498456,8.97989359,0.0,0.23783484,2.815525946,0.177057796,0.0,36.44669016,2.546376829,1.361318114,5.669991364,0.527293659,0.170497212,0.688953818,0.607965501,0.447720675,0.0,0.872799115,2.419191509,5.033742825,0.027127249,1.797711489,4.63993277,1.040197005,0.28109088,0.0,1.052450251,1.200402507,0.49882811,4.45797719,0.577284097,0.029966933,0.082112667,10.02306504,0.381875466,1.322161603,0.204592597,0.095879864,1.034294078,0.103550253,1.025741625,1.092541223,2.782811481,0.163630386,0.463424552,10.12750488,0.150706941,195.7157764,0.176376805,0.0,0.311612623,1.740423669,1
RNA179_FPKM,0.0,34.52851018,0.145349587,15.87688881,1.073840691,0.258258575,0.0,0.692798603,0.677963761,0.225318794,1.443964471,0.363455147,4.595596291,0.765289446,0.178517593,2.881882354,0.407719473,0.0,44.22286364,1.886112438,1.205051511,0.698262387,0.269904931,0.109065374,0.195882774,1.03694731,1.018350118,0.0,1.418753685,2.889011403,4.242952139,0.120302588,2.216373296,3.352318043,0.973413832,0.287709517,0.0,0.981466846,1.186998332,0.092820025,2.041264629,0.0,0.092017626,0.056030742,12.78545855,0.934665692,0.716430195,0.0,0.147206214,0.308761154,0.105988474,1.130606232,0.578388547,2.84824508,0.146549393,0.338804567,5.463797006,0.231348452,120.7814441,0.180529818,0.263272651,0.518293918,1.497602873,0
RNA18_FPKM,0.0,43.12069023,0.0,5.336472981,0.346874937,0.568997091,0.0,0.665452953,0.905226371,0.0,0.876362857,0.845989921,2.595998207,0.0,0.438793767,0.0,1.497087915,0.0,70.25142768,1.33933425,2.300374268,6.184517885,0.0,0.087371935,0.078453455,0.207739648,3.263364362,0.039760706,0.315729455,7.43947444,3.145326273,0.166811878,1.842630227,0.839260439,2.162798798,1.008318806,0.0,1.797906254,2.794422625,0.023245239,5.050286499,0.532575424,0.0,0.0,22.49773183,0.15317191,3.148811094,0.052431422,0.196508565,0.044180935,0.0,5.175869074,0.501988346,3.164893821,0.230615696,0.0,4.404405427,0.154439125,287.4852691,0.361489381,0.0,0.439177367,0.031579616,1
