,UNC93B6,HMGB1P5,Diagnosis
RNA335_FPKM,0.0,47.74941252,1
RNA336_FPKM,0.12849113,38.11613108,0
RNA35_FPKM,0.121178983,40.90886698,0
RNA358_FPKM,0.0,47.34801707,0
RNA365_FPKM,0.0,43.34003926,0
RNA368_FPKM,0.374581324,36.94774049,0
RNA37_FPKM,0.043625862,36.33977503,0
RNA379_FPKM,0.0,42.8802511,1
RNA38_FPKM,0.162396441,23.46236412,0
RNA383_FPKM,0.0,36.72753456,0
RNA385_FPKM,0.0,51.96121228,1
RNA386_FPKM,0.0,39.07211,0
RNA39_FPKM,0.13505147,29.71734936,1
RNA392_FPKM,0.099934371,44.87074606,0
RNA409_FPKM,0.0,43.5516158,0
RNA41_FPKM,0.122837605,37.91952448,0
RNA418_FPKM,0.214877395,36.50711714,0
RNA431_FPKM,0.180491339,37.95372163,1
RNA44_FPKM,0.0,38.45495124,1
RNA442_FPKM,0.0,43.57940592,0
RNA454_FPKM,0.0,38.13649469,0
RNA457_FPKM,0.0,39.05833808,0
RNA466_FPKM,0.0,36.39194056,0
RNA471_FPKM,0.059219529,46.95874047,0
RNA476_FPKM,0.0,47.25947829,0
RNA483_FPKM,0.145218258,35.49882639,0
RNA488_FPKM,0.078853508,40.14652746,0
RNA499_FPKM,0.1251144,41.43450626,0
RNA50_FPKM,0.0,39.40404288,1
RNA504_FPKM,0.0,50.08077667,0
RNA519_FPKM,0.229256608,40.81214862,0
RNA52_FPKM,0.0,56.76874638,0
RNA521_FPKM,0.0,56.22540915,0
RNA528_FPKM,0.047484232,41.876331,0
RNA53_FPKM,0.137718248,33.82365078,0
RNA535_FPKM,0.0,42.41669591,1
RNA58_FPKM,0.139779079,32.48848373,0
RNA6_FPKM,0.0,35.99199057,0
RNA60_FPKM,0.0,41.38849117,0
RNA62_FPKM,0.13905096,33.26357796,0
RNA63_FPKM,0.080908373,34.08532916,0
RNA64_FPKM,0.287165644,22.83057451,0
RNA66_FPKM,0.0,31.19751014,0
RNA67_FPKM,0.045327683,34.96841603,0
RNA69_FPKM,0.127466147,31.2577744,0
RNA7_FPKM,0.0,30.32705449,0
RNA72_FPKM,0.0,32.81511309,0
RNA74_FPKM,0.0,44.82615656,0
RNA75_FPKM,0.106490628,44.23753796,0
RNA78_FPKM,0.087526541,36.09187984,1
RNA86_FPKM,0.3796715,40.15813096,1
RNA87_FPKM,0.0,37.54593712,0
RNA89_FPKM,0.205240515,36.16513789,0
RNA94_FPKM,0.0,69.25242582,1
RNA95_FPKM,0.13281027,31.47115695,0
RNA97_FPKM,0.0,26.15846183,0
RNA98_FPKM,0.434863325,30.9881116,1
R_JS001_FPKM,0.203074882,28.76900877,1
R_JS002_FPKM,0.0,22.24436012,1
R_JS003_FPKM,0.174599501,29.70307249,1
R_JS004_FPKM,0.0,40.02671004,1
R_JS005_FPKM,0.225024071,26.9753143,1
R_JS006_FPKM,0.681617944,36.04150641,1
R_JS007_FPKM,0.330808693,29.34989164,1
R_JS008_FPKM,0.421223167,19.08723344,1
R_JS009_FPKM,0.399604057,25.43657907,1
R_JS010_FPKM,0.07366991,27.88880802,1
R_JS011_FPKM,0.179403159,17.95548614,1
R_JS012_FPKM,0.0,25.79511611,1
R_JS013_FPKM,0.0,29.46724665,1
R_JS014_FPKM,0.149286599,28.08738744,1
R_JS015_FPKM,0.203160489,19.08742638,1
R_JS016_FPKM,0.305509609,26.84580879,1
R_JS017_FPKM,0.292661468,24.54052335,1
R_JS018_FPKM,0.187064831,23.91768945,1
R_JS019_FPKM,0.0,32.76906197,1
R_JS020_FPKM,0.0,27.91137855,1
R_JS021_FPKM,0.085859156,22.4859413,1
R_JS022_FPKM,0.333895814,18.4855374,1
R_JS023_FPKM,0.310200171,20.81807793,1
R_JS024_FPKM,0.586206917,21.24397984,1
R_JS025_FPKM,0.361863832,20.536498,1
R_JS026_FPKM,0.779487003,17.51457193,1
R_JS027_FPKM,0.033941141,26.09054408,1
R_JS028_FPKM,0.536273825,40.29498083,1
R_JS029_FPKM,0.33192047,31.45889066,1
R_JS030_FPKM,0.0,28.22353165,1
R_JS031_FPKM,0.146084527,23.70106622,1
R_JS032_FPKM,0.449572662,36.72206965,1
R_JS033_FPKM,0.418862894,23.22698358,1
R_JS034_FPKM,0.392550011,23.92987986,1
R_JS035_FPKM,0.211981602,30.27965087,1
R_JS036_FPKM,0.934920949,21.46134766,1
R_JS037_FPKM,0.592943101,25.05114227,1
R_JS038_FPKM,0.046791137,29.73089491,1
R_JS039_FPKM,0.0,35.88455406,1
R_JS040_FPKM,0.131745005,35.87191359,1
R_JS041_FPKM,0.317802469,21.83952097,1
