,UNC93B6,HMGB1P5,AC024568.1,PTMAP5,AP003086.3,AC103705.1,GAPDHP72,AL590627.1,FAM91A3P,PHACTR2P1,SH3GL1P1,AL669831.3,RPL37P6,CYCSP38,AIDAP2,AC005230.1,AP001885.1,ZNRF2P2,GTF2IP4,KRT8P12,RPS18P9,PDIA3P1,NANOGP4,CCNYL6,RPS10P7,RPS12P26,RPL26P30,AC112694.1,PRELID1P1,Diagnosis
RNA165_FPKM,0.191700041,47.07771702,0.116621109,24.85340341,0.407524151,0.220997595,0.036954542,0.997993161,0.345289816,0.040156593,1.754911319,0.273145485,9.451846618,0.545481179,0.156213164,1.541082967,0.242255182,0.210033578,29.98204665,1.173611907,0.966586182,5.642400329,0.288678758,0.046652042,0.607520417,0.887338828,0.816879068,0.25472746,1.123952838,0
RNA174_FPKM,0.306421471,42.61266175,0.213017305,23.56325812,0.778407477,0.100945215,0.0,0.787378998,0.220782451,0.073389525,1.517665231,0.393498456,8.97989359,0.0,0.23783484,2.815525946,0.177057796,0.0,36.44669016,2.546376829,1.361318114,5.669991364,0.527293659,0.170497212,0.688953818,0.607965501,0.447720675,0.0,0.872799115,1
RNA179_FPKM,0.0,34.52851018,0.145349587,15.87688881,1.073840691,0.258258575,0.0,0.692798603,0.677963761,0.225318794,1.443964471,0.363455147,4.595596291,0.765289446,0.178517593,2.881882354,0.407719473,0.0,44.22286364,1.886112438,1.205051511,0.698262387,0.269904931,0.109065374,0.195882774,1.03694731,1.018350118,0.0,1.418753685,0
RNA18_FPKM,0.0,43.12069023,0.0,5.336472981,0.346874937,0.568997091,0.0,0.665452953,0.905226371,0.0,0.876362857,0.845989921,2.595998207,0.0,0.438793767,0.0,1.497087915,0.0,70.25142768,1.33933425,2.300374268,6.184517885,0.0,0.087371935,0.078453455,0.207739648,3.263364362,0.039760706,0.315729455,1
RNA185_FPKM,0.213611944,45.14376941,0.207903023,30.01207957,0.462359774,0.295509957,0.065903756,0.781828262,0.246224133,0.14322842,1.585255472,0.243498358,7.751743164,0.243199188,0.092839524,2.197874363,0.215968391,0.140424636,30.69813693,1.27508754,1.472010516,8.506441021,0.171544663,0.083198022,0.205419654,0.39550575,1.262175928,0.0,1.102142814,1
RNA2_FPKM,0.218083793,43.33962966,0.106119975,24.49224376,0.269750627,0.150837198,0.033645371,0.63307901,0.377127213,0.073121375,1.895386467,0.162548998,4.12933693,0.0,0.189569577,1.122220683,0.264568279,0.0,32.36693045,2.103012607,0.989714513,6.419360434,0.087529789,0.148649147,0.438545555,0.605634203,1.387829575,0.038624793,0.971841726,0
RNA201_FPKM,0.106466207,54.65958854,0.0,48.69386388,0.027445691,0.163664333,0.041058817,0.571159931,0.153421821,0.029754793,0.77983332,0.070030656,6.813598726,0.20209234,0.154253877,0.0,0.035892848,0.0,22.71984413,1.847089056,0.86501106,9.586895927,0.213748693,0.155518277,0.108604543,0.328481877,1.250301666,0.094322164,1.415156202,1
RNA205_FPKM,0.225866124,42.84781428,0.0,30.6812393,0.244429483,0.0,0.0,0.399078078,0.358000152,0.0,0.793976927,0.168340171,10.33449245,0.257150686,0.065443605,0.290535161,0.182686202,0.049493438,34.69355159,1.797642745,1.366615948,5.584316576,0.090692794,0.065978104,0.473911237,0.836389101,1.026596239,0.0,1.536178553,0
RNA209_FPKM,0.0,42.28478087,0.076667783,17.73499837,0.877070148,0.163485324,0.01823532,0.49222901,0.44278268,0.118857643,1.223302477,0.217628472,7.334520558,0.538103072,0.068487283,3.344190123,0.430129617,0.569691683,43.44139274,2.062136065,0.516478284,4.2725814,0.0,0.023020578,0.413288619,0.218869889,0.752037105,0.0,0.831547234,0
RNA213_FPKM,0.128398402,42.62715157,0.0,25.81936578,0.330879054,0.148021554,0.033011329,0.391662666,0.185026943,0.035871707,1.400233567,0.178286591,13.50736541,0.0,0.155011705,0.550536307,0.649116655,0.046892662,33.66643423,2.849930031,1.187093656,5.276798672,0.08592708,0.020837032,0.430350557,0.396219312,0.875513185,0.037917556,1.254870591,0
