,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,UBE2Q2P1,USP32P3,HERC2P9,CSPG4P11,FRG1CP,H3P37,PKD1P3,PKD1P6,GUSBP2,AC009053.1,SMG1P3,AC242842.2,ANAPC1P1,ADAMTS7P3,HERC2P3,AC138409.2,BMS1P1,AC110079.1,RPL23AP82,AC004381.4,LINC00888,NMRAL2P,SMG1P4,AL390719.1,EP400P1,LINC01347,ZNF658B,C9orf129,CROCCP3,UBE2Q2P2,AC005622.1,GPAT2P1,FAM238A,AP000769.1,ZNF252P,PDPK2P,CASP4LP,NSUN5P2,A2MP1,SHLD2P1,EEF1DP3,H2BC19P,CEP170P1,AC127502.1,LSP1P5,ULK4P2,AC068620.3,AP000347.1,LRRC37A17P,FAAHP1,LRRC37A4P,POLR2J4,AOC4P,Diagnosis
RNA140_FPKM,0.103319041,0.973986491,0.232394265,1.611108096,8.24335153,2.126445158,1.429053254,0.335532228,0.314949678,0.528113958,0.341008625,0.359187757,0.592710243,0.0,4.144054316,0.059031566,5.027597113,4.192484805,0.415775783,1.819075592,0.997087615,0.533474741,0.460621478,0.058418606,0.380367292,0.746947925,0.227258847,2.457861716,1.024250129,0.05922895,1.268516801,0.03335277,0.457244986,0.502782039,0.246256733,0.417632961,0.202502321,1.856726126,1.116794889,0.367058412,0.0,0.449061961,2.296291299,0.406883822,0.724838147,1.055664881,1.044403111,8.961829666,0.068494846,1.093846359,0.097553565,3.848102478,1.314285723,2.276556696,0.675788116,0.160909444,0.014216714,0.715598256,0.105276295,0.491360552,0.250569876,5.115063829,0.054108111,1
RNA145_FPKM,0.049451004,1.043129219,0.319765212,1.667530624,11.38601165,1.587265872,1.595874547,0.164703278,0.027915402,0.252743195,0.07096272,0.195353358,0.205663527,0.0,2.767009602,0.254221289,2.92885029,1.21074952,0.079607538,1.198863036,0.255059686,0.511006888,0.048989124,0.223657413,0.102401285,0.394839531,0.186452542,4.302466006,0.554147634,0.0,0.894698661,0.0,0.093119306,0.320847366,0.165000461,0.963040679,0.010773107,1.303328174,0.962983092,0.035148622,0.772068411,0.214910727,7.258537204,1.239258858,0.522734747,0.719793357,1.580492553,8.374034007,0.091800841,0.666299459,0.560430563,3.843557332,0.525508057,1.867817661,0.796127886,0.184840447,0.013617962,0.969729504,0.057582013,0.9406512,0.216635985,7.145715781,0.341867176,0
RNA150_FPKM,0.120470815,2.960221241,0.384915958,0.777555947,23.88094368,5.300991184,2.474286025,0.902866016,0.080371353,0.524845019,0.235757079,0.268259788,0.534051365,0.0,2.485733667,0.250241844,5.581630131,3.535910713,0.293827374,1.37509446,1.220968496,0.565669063,0.244136849,0.10320321,0.604809153,0.449076294,0.481816735,4.532752174,0.726987241,0.06280332,0.495417247,0.0,0.649703681,0.532974572,0.156624098,1.589703492,0.119255014,4.658070629,1.917651585,0.311267633,1.092523248,0.952035004,4.415477509,0.980294932,0.657840133,1.916175986,1.202015542,13.26290798,0.116180504,1.096293521,0.103440762,5.754176087,1.675356192,3.373646981,0.551054177,0.170583459,0.060298678,1.380758485,0.111595335,0.020032362,0.299889334,6.545747769,0.34417839,1
RNA151_FPKM,0.019635926,1.346484582,0.269185228,1.356953847,10.00397812,0.877636167,1.856234423,0.212598834,0.01662913,0.596044985,0.056366839,0.372420111,0.232373525,0.0,2.190272269,0.028052817,2.682063324,1.279747258,0.052681056,1.105364395,0.596371961,0.507304791,0.24321636,0.037007131,0.299380678,0.286091489,0.185143662,4.00004129,0.389396854,0.168925103,0.21151099,0.110923236,0.323627802,0.19468418,0.106993487,0.523215719,0.128314957,1.882321755,0.833360161,0.03489398,0.76659508,0.053339812,4.720217537,1.160178046,0.5190396,1.07205893,1.030450093,4.848777862,0.052086197,0.850614455,0.463765605,3.957718761,0.758967342,1.523430792,0.321133078,0.397657831,0.0,0.626633136,0.042880476,0.197576961,0.061459616,4.554955695,0.164583814,0
RNA152_FPKM,0.079689639,1.275797053,0.56012444,1.861757783,11.53838584,1.554824153,1.889479366,0.417094734,0.096398045,0.254579442,0.130694453,0.332803019,0.579600417,0.0513829,4.120586257,0.032519984,6.028011312,4.1698333,0.091641859,1.462164374,0.483016216,0.588088667,0.338357472,0.107270812,0.373263937,0.589616936,0.214631351,3.672687355,1.000984585,0.0,0.760149208,0.073475559,0.289425548,0.512947936,0.23644692,1.045801315,0.297503164,2.318606384,2.003410148,0.242660409,0.444381109,0.55662853,6.001704638,1.018933903,0.601719549,1.210968089,0.898692596,12.03315018,0.196243925,1.073761951,0.215081021,3.64595017,1.044846077,3.276256975,0.544131353,0.248244483,0.047016407,1.19598481,0.116000723,0.749615142,0.133595172,7.413083467,0.190792741,0
RNA155_FPKM,0.042334729,0.97673468,0.215723684,1.355109595,8.031194668,0.626133017,1.951709072,0.370121769,0.047791213,0.135244079,0.12148829,0.175601652,0.182132921,0.0,2.505471065,0.0,2.347876309,1.368782789,0.113579481,1.48147405,0.572296292,0.546650893,0.078642935,0.119680139,0.091316026,0.354005351,0.199528726,2.465883209,0.583879016,0.0,0.387529871,0.0,0.139511308,0.133527951,0.248641471,1.186109993,0.057622791,0.570536341,1.323577087,0.037600326,1.055705458,0.287474213,8.806759687,0.985124206,0.457679178,0.785079011,1.385642732,11.80249651,0.224536598,0.753764162,0.299889045,3.122851263,0.408975165,1.570477188,0.399352103,0.131878663,0.0,0.889473991,0.123236151,1.084028426,0.107632202,6.37227051,0.487777938,0
RNA165_FPKM,0.083245814,3.135981444,0.710530842,1.764015603,22.84054971,2.649759873,1.699736609,0.851654662,0.751906623,0.987789534,0.750896201,0.357063718,0.383765196,0.0357729,3.746229841,0.16984093,5.139900935,5.131071416,0.12763755,2.419945167,1.375268577,1.228286291,0.41237665,0.156890428,0.444666651,0.590300071,0.467123364,4.863794547,0.738138817,0.068185147,0.486706275,0.05758438,0.604701688,0.214352682,0.267257158,1.092510911,0.142450208,2.279643566,1.891060538,0.42251914,1.083180888,1.162996209,6.88449703,0.89416241,0.605745569,1.831021663,1.053337848,7.971147895,0.488865,1.03017501,0.561647885,5.542084467,1.397906226,3.021542991,0.598344103,0.111161411,0.130949693,1.471538585,0.588597113,0.978895868,0.195387888,7.479033432,0.199326111,0
RNA174_FPKM,0.076045296,3.903330782,0.412364889,1.845641701,20.58333591,2.256537653,1.352440644,0.551847845,0.410907176,0.45120209,0.701565341,0.283272253,0.685582553,0.098048699,2.869658277,0.527527076,6.594154089,4.429984283,0.320623444,1.72466842,1.898084196,0.561198924,0.51126705,0.061432595,0.512460406,0.609600721,0.51207715,5.292950194,0.721151255,0.18692107,0.842456507,0.070134539,0.849087591,0.117476601,0.270045093,0.85832187,0.165624455,3.319112316,1.824605564,0.501769713,1.837661597,0.177057415,5.053823386,0.855721125,0.678661295,2.204924178,1.098226765,8.526174289,0.28812384,1.652133771,0.205246665,3.987764282,1.71439398,2.857998031,0.273305482,0.236891842,0.059822174,1.056847024,0.885619462,0.536555204,0.339984021,6.202415382,0.2958954,1
RNA179_FPKM,0.100080612,4.735531642,0.234481843,1.973637794,35.71933092,1.616732892,0.922840704,0.629642025,0.376633325,0.426273531,0.271274478,0.36022815,0.263141593,0.033458683,2.719588392,0.28584509,3.816814875,2.766622149,0.02983693,1.845468877,1.443176668,0.574413058,0.330497788,0.062879102,0.339015355,0.275971065,0.227118798,8.678777082,0.421774247,0.0,0.23952653,0.071769733,0.691055918,0.180379552,0.109800578,1.205405312,0.193735614,2.997488092,1.241708537,0.237023666,1.157465067,0.18123288,3.678400764,0.915667446,0.539671015,1.758731775,0.578088923,5.094063538,0.412864107,1.070246013,0.210079456,6.982659975,2.954358767,3.200242064,0.503539103,0.277121188,0.0,0.683637372,0.809328725,0.833930844,0.260982439,2.975767163,0.267908374,0
RNA18_FPKM,0.066813585,3.751214377,0.109583182,2.879933863,14.47005648,0.658827156,1.283524002,1.947235606,0.842342008,0.249026833,0.798991821,0.686275866,0.814490033,0.0,3.573146629,0.286264439,0.675874409,0.516724529,0.507878864,1.976650539,2.492078235,0.0,0.19307513,0.0,0.826322632,0.961261738,0.97976942,1.941422365,0.902350218,0.0,0.863491055,0.053920625,1.813986278,0.501758285,0.151662648,0.306906711,0.291012907,0.26679265,1.551840056,0.395594264,0.289774009,0.0,5.180039936,1.514997881,1.364463632,1.449511421,2.01545478,5.519433231,1.077932954,2.572244659,0.0,5.610079402,2.958555357,3.880807595,0.168080769,0.069392577,0.536460292,0.805928961,0.907744588,0.081464918,0.191654565,4.023008148,0.093322215,1
RNA185_FPKM,0.084808312,0.859636273,0.327882123,2.002618362,11.48931506,3.856797847,1.906263832,0.776852738,0.418929618,0.812832827,0.273847985,0.393700874,0.684204278,0.127575192,2.696542745,0.060564686,7.666176406,4.55315185,0.426649169,2.187845594,1.173054661,0.547623346,0.393885031,0.139853038,0.59764682,0.617735547,1.349202241,5.700476453,0.767685592,0.060799797,1.164616333,0.034218981,0.648868489,0.343947189,0.256296573,0.564880644,0.161618019,3.746918503,1.524781002,0.338963123,0.137950919,0.345581003,4.876832699,0.303632668,0.677534271,1.958701751,0.92878183,6.369384437,0.78725675,1.204052779,1.101438119,2.479768298,1.468094708,3.885391051,0.346711473,0.198169899,0.0,1.617065678,0.200619804,0.271484652,0.315170482,5.485020433,0.111050131,1
RNA2_FPKM,0.140715723,1.7196784,0.456498292,1.399692263,7.876585424,2.622904226,2.145895647,0.666981406,0.164977633,0.242069221,0.497049727,0.487480301,0.496760184,0.048845447,1.990735997,0.185484257,5.187858377,4.370875191,0.0,1.577704656,0.972556484,0.558844036,0.402160555,0.102002448,0.386036873,0.712461468,0.578224078,9.947130916,0.718482285,0.186204305,0.909296875,0.017460061,0.601336346,0.526736787,0.316957849,0.556857986,0.08250981,2.463890701,1.489104069,0.269198672,0.563365608,0.147020078,7.105209997,0.581310119,0.759373736,1.515023258,1.146270316,7.763056152,0.631548757,1.729376729,0.102192707,5.472657131,2.318074422,3.966942427,0.353993981,0.438349358,0.029801798,1.221402587,0.236350567,1.187935624,0.423407358,4.489802954,0.136067456,0
RNA201_FPKM,0.070464741,0.452907741,0.229067539,1.753134528,3.090271459,2.566745979,2.558350977,0.403392822,0.3033017,0.337663871,0.214878355,0.29925283,0.511604941,0.0,7.237991324,0.226421622,5.797683782,4.339366485,0.212686638,1.1058687,0.791399098,0.455061072,0.610859836,0.116197715,0.329332222,0.532227819,0.179909084,3.961043037,0.728917171,0.0,0.891700714,0.0,0.422981647,0.825493687,0.245921814,0.388397448,0.143864282,3.323988861,1.258939806,0.344206415,0.0,0.622080384,5.645120859,0.28382274,0.812616267,1.220487943,1.619610389,8.566054497,0.25694978,1.915890688,0.665540384,2.139476611,0.964416457,4.238031937,0.35453173,0.41156956,0.0,2.344224941,0.307717332,0.789430553,0.206722048,6.442717759,0.0,1
RNA205_FPKM,0.100886454,1.167582366,0.323049295,1.406916606,8.506738625,1.545129488,1.860542686,0.33603037,0.050622503,0.358109804,0.128685608,0.088569733,0.233111367,0.0,4.320686031,0.384205301,3.542660958,2.069594961,0.030077196,0.905918155,0.736742105,0.579038608,0.333184074,0.042256964,0.096726049,0.471730744,0.246577313,3.579922181,0.695757949,0.0,0.941673067,0.108529557,0.369436793,0.525290267,0.190842215,0.041195284,0.183099288,0.40287087,0.951325763,0.079656105,0.875099642,0.609010568,8.343252776,0.361195999,0.511714358,1.019843056,1.5000646,9.007686635,0.23782579,1.143642662,0.31765673,3.327944085,0.649790578,1.688657992,0.789592833,0.104769111,0.015430958,1.927900072,0.163174984,0.984186303,0.105238313,5.299660899,0.15265316,0
RNA209_FPKM,0.105581505,2.51340102,0.296850017,1.323648727,23.71957545,1.882819772,1.352141096,0.478654268,0.331117077,0.149919611,0.269357063,0.12050055,0.403792878,0.035289041,3.488815017,0.06700278,4.81233471,3.24301832,0.125904156,1.591400613,0.829574605,0.606101231,0.348680973,0.110541172,0.269925106,0.316454351,0.184321947,4.243444011,0.657334752,0.201818063,0.353757903,0.0,0.298250253,0.486300841,0.203716039,1.40100601,0.166067984,2.248731421,1.215647884,0.208374629,0.610550006,0.063725336,5.638989405,0.252003553,0.524241485,1.362837626,0.880918604,8.105217351,0.451121037,0.745206755,0.0,5.593498594,1.057819743,2.16286809,0.619751927,0.146189009,0.032290196,1.433303924,0.59767984,0.472062499,0.156019226,4.395103179,0.405525219,0
