,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,Diagnosis
RNA331_FPKM,0.047238756,0.24291159,0.385186631,1.820684098,2.185383177,2.027835131,2.35229223,0.708071643,0.021336668,0.664032636,0
RNA334_FPKM,0.037380937,0.351110285,0.348097994,2.073066286,3.958292425,4.199142049,3.446451378,0.241205974,0.00527278,0.477613764,0
RNA335_FPKM,0.097612014,0.249363615,0.626113817,1.283969604,2.251570516,2.849309568,1.68776318,0.42674635,0.172206374,0.623710467,1
RNA336_FPKM,0.106280085,1.527399482,0.418345264,1.576469018,10.10943088,0.842864009,2.94006263,0.300897681,0.305982855,0.305579867,0
RNA35_FPKM,0.160380005,2.279773332,0.521380897,1.906196475,17.37590134,3.299621055,1.663729634,0.333873315,0.186729884,0.320243766,0
RNA358_FPKM,0.067115232,1.875990067,0.254748075,1.463506938,17.37295159,2.813385675,2.104202956,0.815961598,0.227329843,0.38592672,0
RNA365_FPKM,0.12084482,2.841441281,0.188766267,1.412903474,23.48542163,5.129944114,1.485784513,0.961570371,0.560915301,0.085785219,0
RNA368_FPKM,0.072298725,1.300496806,0.283137637,1.505828152,13.58236974,2.151762637,1.809554119,0.31821884,0.052476885,0.23096816,0
RNA37_FPKM,0.108324073,4.220265792,0.36546515,1.675390967,31.33258084,2.733920678,1.747967332,1.181607583,0.825503814,0.657488363,0
RNA379_FPKM,0.075329071,2.453023162,0.561224097,1.432410454,25.64452142,2.436839492,1.666967007,0.727576349,0.33166475,0.385017466,1
RNA38_FPKM,0.080597287,5.213610061,0.141630739,1.647633035,49.2762325,1.147723231,0.928998627,0.42784408,0.062558787,0.257479049,0
RNA383_FPKM,0.08769681,2.435453568,0.300519232,1.250818309,28.86078147,1.780159502,1.920626039,0.337757057,0.123766377,0.420255466,0
RNA385_FPKM,0.043084931,3.337295638,0.272551974,1.51118218,24.29771879,2.101589385,1.986392912,0.448451488,0.093231922,0.367027002,1
RNA386_FPKM,0.035814088,1.628983204,0.27689178,1.422584983,13.836605,2.036128305,4.347918743,0.288268232,0.033693264,0.343239002,0
RNA39_FPKM,0.044680443,3.159253652,0.384746258,1.387886605,20.11914243,2.67178221,1.442095124,0.632535073,0.813483116,0.214106674,1
RNA392_FPKM,0.074414687,2.648891813,0.348681494,1.336417989,19.08051001,1.568934574,2.001218477,0.629938157,0.567068483,0.475417815,0
RNA409_FPKM,0.036109989,2.340896616,0.287667673,1.266607178,14.85946872,2.295584704,2.330894335,0.481117191,0.04076863,0.192289116,0
RNA41_FPKM,0.020325847,0.542616104,0.292845832,1.597463359,6.945619182,0.466895736,2.155126114,0.135388808,0.063100787,0.097388119,0
RNA418_FPKM,0.085328798,2.671805429,0.337353366,1.48736289,17.51810726,2.10113866,1.130992068,0.426299595,0.325125121,0.034078465,0
RNA431_FPKM,0.104512152,2.578584876,0.209881106,1.589873079,28.55667786,1.484664494,1.720825404,0.472408816,0.09270168,0.333878355,1
RNA44_FPKM,0.087100123,2.863916141,0.397963032,1.725441676,19.10028834,1.761206904,1.756969619,0.498657559,0.086046562,0.417397669,1
RNA442_FPKM,0.064574953,0.227029361,0.363100061,1.050562949,3.300353714,1.659537603,4.664093344,0.403262997,0.042527509,0.275047249,0
RNA454_FPKM,0.013338085,1.872382723,0.346796281,1.758134672,17.0501739,1.653370582,1.352545675,0.277590883,0.0,0.255582148,0
RNA457_FPKM,0.062346046,3.421631508,0.334149662,1.501779566,24.993277,1.476440402,1.904342539,0.668416567,0.017597367,0.423253116,0
RNA466_FPKM,0.153950072,2.78370245,0.486950614,1.226810168,23.66307181,2.581613592,1.520988006,0.622658495,0.099323414,0.210787179,0
RNA471_FPKM,0.06612385,4.465385878,0.294345105,1.648553822,34.21489609,2.265763256,1.219384705,0.593402153,0.398137387,0.539800652,0
RNA476_FPKM,0.024347137,1.645472562,0.325215948,1.265759248,20.25192629,2.636244813,1.964782569,0.466388196,0.412399976,0.272290036,0
RNA483_FPKM,0.081078032,3.771225126,0.348277885,1.496180283,21.75071869,1.905190696,1.702962014,0.285061052,0.035599162,0.287791436,0
RNA488_FPKM,0.058698241,2.27005675,0.254415686,1.637082636,17.05947866,6.126422379,1.759012803,0.236232984,0.027612043,0.156261232,0
RNA499_FPKM,0.04139305,1.719132335,0.45824807,1.653028054,11.7258169,2.084239697,1.669892162,0.361911524,0.029211192,0.36366472,0
RNA50_FPKM,0.070410389,0.285110071,0.311065625,1.338862319,1.228540227,1.835826453,2.689575872,0.527637315,0.31227964,0.674772532,1
RNA504_FPKM,0.080447848,1.969276645,0.309114942,1.692987599,13.93799381,2.710544258,3.09081582,0.348332165,0.193759296,0.513986403,0
RNA519_FPKM,0.068280372,1.770473694,0.191975192,1.788965407,20.46595177,1.776312307,1.783899309,0.284283443,0.102785861,0.290841308,0
RNA52_FPKM,0.02545592,0.173374405,0.274307168,3.474019265,0.154347612,0.336401521,1.095222553,0.734696156,0.0,0.0,0
RNA521_FPKM,0.061241669,1.211101176,0.199077416,1.795329564,12.75191847,3.367717423,2.046948598,0.446183257,0.017285653,0.244529019,0
RNA528_FPKM,0.058910672,2.749314021,0.248424917,1.613053211,27.92321481,2.335726816,1.412218105,0.519930711,0.219465458,0.489267605,0
RNA53_FPKM,0.102533529,2.934648986,0.360350517,1.527353662,18.34205108,2.495324527,1.733341469,0.576308947,0.448576353,0.436743164,0
RNA535_FPKM,0.053942185,0.960212277,0.333689131,1.518304303,7.683035288,2.478653537,2.338007222,0.296485235,0.0,0.241276716,1
RNA58_FPKM,0.092497582,4.237679615,0.30880664,1.465733313,33.74284589,1.99385832,2.132195201,0.625767493,0.078317121,0.369353018,0
RNA6_FPKM,0.044236054,1.939025026,0.380843067,1.373822021,12.67327492,5.372894269,1.886326375,0.515631315,0.049936242,0.105978946,0
RNA60_FPKM,0.124277505,3.798311648,0.539982497,1.374978991,29.24345901,2.645164596,0.989642619,0.818447719,0.535715313,0.757925946,0
RNA62_FPKM,0.06901717,3.723278699,0.291070128,2.05620487,26.99484689,0.984627353,1.484960841,0.478923756,0.025975542,0.183727176,0
RNA63_FPKM,0.050193734,4.53946224,0.155224772,1.196223126,22.72203994,1.288843512,1.897449766,0.417924705,0.0,0.160350742,0
RNA64_FPKM,0.040720709,2.697925519,0.078715054,3.136263321,9.127925833,0.378046346,0.844840329,0.779908367,0.0,0.130087871,0
RNA66_FPKM,0.039271417,1.410890326,0.179413641,1.966507404,12.55307748,0.685882995,1.674733319,0.204376024,0.060963332,0.345001832,0
RNA67_FPKM,0.1799223,4.440445748,0.545381326,2.309498718,22.35684146,2.307316362,1.244265134,0.683553181,0.228528122,0.395183202,0
RNA69_FPKM,0.063267113,2.446821294,0.585516759,1.363519601,20.03205509,1.917991597,2.09042743,0.368775226,0.041669166,0.101057719,0
RNA7_FPKM,0.067026228,4.521806203,0.180599432,1.274641755,23.89419868,1.856253334,1.854188522,0.660466286,0.176575244,0.214124448,0
RNA72_FPKM,0.082733608,4.035826312,0.472473362,1.284809015,23.94625208,1.757378645,1.859456962,0.886951046,0.058379551,0.26430382,0
RNA74_FPKM,0.154592845,0.363055982,0.482179715,1.641355633,1.255505495,2.864218207,2.895475038,0.611445266,0.109084274,0.061746339,0
RNA75_FPKM,0.140968319,1.144238826,0.309654281,0.882429433,6.503054779,1.76901004,2.031115598,0.315481055,0.104447469,0.112600739,0
RNA78_FPKM,0.141194819,2.828197818,0.343538566,1.266787263,23.82343861,0.649423671,1.952930592,0.307494303,0.018395306,0.173494956,1
RNA86_FPKM,0.104693242,2.884743896,0.640184707,1.181207305,16.16095892,2.563133649,1.303201608,0.706099473,0.059099991,0.334456872,1
RNA87_FPKM,0.094524627,2.040705795,0.382020066,1.318151755,21.18739972,3.197700305,1.089511385,0.560790403,0.613622101,0.301971841,0
RNA89_FPKM,0.050934994,0.496967755,0.329390496,1.898534793,6.168828366,1.359324113,2.91205178,0.288423399,0.028753123,0.455634875,0
RNA94_FPKM,0.021007813,2.860441932,0.236311142,2.55733515,5.815838244,0.330633969,1.64689213,0.708621822,0.0,0.402751572,1
RNA95_FPKM,0.175789629,3.90379065,0.586897573,1.601760321,21.01475307,2.115970853,0.962436597,0.951439324,0.372120491,0.245700055,0
RNA97_FPKM,0.077700066,2.842573518,0.154723266,1.346117914,18.84533471,1.915245159,1.791041393,0.862595407,0.504369788,0.496400437,0
RNA98_FPKM,0.080940747,2.739112995,0.436186779,1.316895042,19.3880177,3.345376655,0.870744589,0.786331916,0.190381495,0.129288139,1
R_JS001_FPKM,0.088191788,5.298969969,0.637611474,1.629202796,31.79356657,2.918157595,1.800678186,1.353346752,1.991410347,1.006223999,1
R_JS002_FPKM,0.104626102,3.862488441,0.386095216,1.459067103,30.06891893,2.27189528,1.326548837,1.001902236,0.339608408,0.445656513,1
R_JS003_FPKM,0.151663064,4.848965242,0.647218266,1.057481595,43.55303528,2.706822456,1.398430832,0.667517166,0.348569501,0.692129941,1
R_JS004_FPKM,0.192144312,3.483290253,0.712784968,1.163817759,21.33338208,2.196964049,1.328789056,0.968863835,1.560689025,0.647935252,1
R_JS005_FPKM,0.134038825,6.472291268,0.620227599,0.991215641,45.34182422,3.036985902,0.772467064,1.255600397,0.315259933,0.606608947,1
R_JS006_FPKM,0.157887044,4.505233292,0.539026051,1.200951496,31.41871878,5.997788814,1.143899662,0.816987396,0.261014959,0.504391743,1
R_JS007_FPKM,0.112885558,2.624898233,0.497719526,1.535204195,11.68162046,4.424468458,0.993580903,0.581083193,0.115864714,0.426186969,1
R_JS008_FPKM,0.185842936,6.569562555,0.808235841,1.281057795,54.15277573,4.130360365,0.696153859,1.208953684,1.61949258,0.371038514,1
R_JS009_FPKM,0.099170625,6.202644272,0.627366067,1.492999357,29.63957469,4.299089285,1.200252144,0.990956634,0.377886883,0.396027864,1
R_JS010_FPKM,0.118843009,6.617244501,0.494787903,2.10935755,39.20197073,2.002369094,1.559522532,0.837366836,0.701854281,0.4964742,1
R_JS011_FPKM,0.066788538,5.571968008,0.380768494,1.7686603,31.91771431,3.003209916,1.368519922,2.212163681,2.429656809,0.450422488,1
