,AL133216.2,AL732372.2,GTF2IP13,AMZ2P1,FAM157B,PKD1P5,RP9P,SMG1P1,CCDC144B,AC009093.3,UBE2Q2P1,USP32P3,HERC2P9,CSPG4P11,FRG1CP,H3P37,PKD1P3,PKD1P6,GUSBP2,AC009053.1,SMG1P3,AC242842.2,ANAPC1P1,ADAMTS7P3,HERC2P3,AC138409.2,BMS1P1,AC110079.1,RPL23AP82,AC004381.4,LINC00888,NMRAL2P,SMG1P4,AL390719.1,EP400P1,LINC01347,ZNF658B,C9orf129,CROCCP3,UBE2Q2P2,AC005622.1,GPAT2P1,FAM238A,AP000769.1,ZNF252P,PDPK2P,CASP4LP,NSUN5P2,A2MP1,SHLD2P1,EEF1DP3,H2BC19P,CEP170P1,AC127502.1,LSP1P5,ULK4P2,AC068620.3,AP000347.1,LRRC37A17P,FAAHP1,LRRC37A4P,POLR2J4,AOC4P,AC211429.1,MRPS31P4,DNM1P47,SIGLEC17P,AC007342.3,STAG3L1,FGF7P6,AL353743.1,PARGP1,PMS2P10,AC010203.1,CD99P1,ANKRD20A5P,MFSD14C,AC027559.1,WASH3P,PVRIG2P,TBC1D29P,PLEKHM1P1,GTF2IP9,AP000356.3,AC073264.3,FAM86C2P,EFL1P1,PRSS40A,AC009093.9,NBPF8,ADAMTS7P1,AL158066.2,AGAP12P,RHOXF1P1,MT1L,CCT6P3,HTR5BP,HERC2P7,NPEPPSP1,ZSCAN12P1,CELP,ZNF56,SUGT1P3,LINC00674,Diagnosis
RNA140_FPKM,0.103319041,0.973986491,0.232394265,1.611108096,8.24335153,2.126445158,1.429053254,0.335532228,0.314949678,0.528113958,0.341008625,0.359187757,0.592710243,0.0,4.144054316,0.059031566,5.027597113,4.192484805,0.415775783,1.819075592,0.997087615,0.533474741,0.460621478,0.058418606,0.380367292,0.746947925,0.227258847,2.457861716,1.024250129,0.05922895,1.268516801,0.03335277,0.457244986,0.502782039,0.246256733,0.417632961,0.202502321,1.856726126,1.116794889,0.367058412,0.0,0.449061961,2.296291299,0.406883822,0.724838147,1.055664881,1.044403111,8.961829666,0.068494846,1.093846359,0.097553565,3.848102478,1.314285723,2.276556696,0.675788116,0.160909444,0.014216714,0.715598256,0.105276295,0.491360552,0.250569876,5.115063829,0.054108111,1.167225256,0.209654319,0.0653066,1.271568952,3.38145537,7.616323441,0.235658792,3.027368713,1.006405615,4.364149682,0.85785503,1.2489598,0.150350877,2.651308953,1.127524851,2.200747038,13.81095845,0.026347192,11.8307992,0.25344481,1.240222926,1.147413797,0.190035037,0.381366536,0.010697923,1.042138115,11.45163275,0.130228963,0.473831602,0.073762543,0.848349926,0.574819971,1.929031196,0.097546875,0.563170663,4.827655728,0.183774707,0.054549087,1.071227734,0.361393081,2.276545546,1
RNA145_FPKM,0.049451004,1.043129219,0.319765212,1.667530624,11.38601165,1.587265872,1.595874547,0.164703278,0.027915402,0.252743195,0.07096272,0.195353358,0.205663527,0.0,2.767009602,0.254221289,2.92885029,1.21074952,0.079607538,1.198863036,0.255059686,0.511006888,0.048989124,0.223657413,0.102401285,0.394839531,0.186452542,4.302466006,0.554147634,0.0,0.894698661,0.0,0.093119306,0.320847366,0.165000461,0.963040679,0.010773107,1.303328174,0.962983092,0.035148622,0.772068411,0.214910727,7.258537204,1.239258858,0.522734747,0.719793357,1.580492553,8.374034007,0.091800841,0.666299459,0.560430563,3.843557332,0.525508057,1.867817661,0.796127886,0.184840447,0.013617962,0.969729504,0.057582013,0.9406512,0.216635985,7.145715781,0.341867176,0.279322308,0.334473552,0.02865147,2.417609407,6.065241269,4.481993864,0.244361139,2.190990507,0.43977341,1.790315283,0.392718387,1.336786665,0.080952623,1.626184293,1.569799512,2.664704552,12.69704499,0.063038509,15.86318347,0.0,0.593573864,1.222066561,0.070743039,0.182531294,0.010247369,0.544080323,12.46856218,0.152351502,0.453875683,0.105910271,0.258378315,0.0,1.298793795,0.03113506,0.479191036,5.248173604,0.07036877,0.0,0.341798587,0.259438142,1.394686083,0
RNA150_FPKM,0.120470815,2.960221241,0.384915958,0.777555947,23.88094368,5.300991184,2.474286025,0.902866016,0.080371353,0.524845019,0.235757079,0.268259788,0.534051365,0.0,2.485733667,0.250241844,5.581630131,3.535910713,0.293827374,1.37509446,1.220968496,0.565669063,0.244136849,0.10320321,0.604809153,0.449076294,0.481816735,4.532752174,0.726987241,0.06280332,0.495417247,0.0,0.649703681,0.532974572,0.156624098,1.589703492,0.119255014,4.658070629,1.917651585,0.311267633,1.092523248,0.952035004,4.415477509,0.980294932,0.657840133,1.916175986,1.202015542,13.26290798,0.116180504,1.096293521,0.103440762,5.754176087,1.675356192,3.373646981,0.551054177,0.170583459,0.060298678,1.380758485,0.111595335,0.020032362,0.299889334,6.545747769,0.34417839,1.082666792,0.370378553,0.09518877,1.717205547,7.330473376,8.199301101,0.14571146,2.191601812,1.298750271,3.965362458,0.513968127,1.215623108,0.26894838,3.394435196,1.412517878,2.791496762,17.038906,0.069805554,21.96566461,0.0,0.698437296,0.942217338,0.067147767,0.121275376,0.034030575,1.556606146,11.10915873,0.398793917,0.502426559,0.117289525,0.654033532,0.0,1.455668684,0.034465563,0.92866768,6.90867988,0.07792936,0.057820355,0.865168174,0.287299165,1.930662367,1
RNA151_FPKM,0.019635926,1.346484582,0.269185228,1.356953847,10.00397812,0.877636167,1.856234423,0.212598834,0.01662913,0.596044985,0.056366839,0.372420111,0.232373525,0.0,2.190272269,0.028052817,2.682063324,1.279747258,0.052681056,1.105364395,0.596371961,0.507304791,0.24321636,0.037007131,0.299380678,0.286091489,0.185143662,4.00004129,0.389396854,0.168925103,0.21151099,0.110923236,0.323627802,0.19468418,0.106993487,0.523215719,0.128314957,1.882321755,0.833360161,0.03489398,0.76659508,0.053339812,4.720217537,1.160178046,0.5190396,1.07205893,1.030450093,4.848777862,0.052086197,0.850614455,0.463765605,3.957718761,0.758967342,1.523430792,0.321133078,0.397657831,0.0,0.626633136,0.042880476,0.197576961,0.061459616,4.554955695,0.164583814,0.0,0.664167751,0.031035528,0.744991478,6.905440407,2.563146288,0.037321397,1.052671396,0.561438143,2.725777981,0.0,1.046765508,0.062516396,2.123556616,1.022892515,2.377701213,9.195857873,0.050072509,13.72746917,0.24101191,0.331531144,0.660465585,0.050174973,0.2174668,0.0,1.75580284,9.551257368,0.041254367,0.450587485,0.070111193,0.586397409,0.819493534,2.097550293,0.216316852,0.178413721,4.391720925,0.0,0.086410461,0.29089584,0.200353454,1.644458241,0
RNA152_FPKM,0.079689639,1.275797053,0.56012444,1.861757783,11.53838584,1.554824153,1.889479366,0.417094734,0.096398045,0.254579442,0.130694453,0.332803019,0.579600417,0.0513829,4.120586257,0.032519984,6.028011312,4.1698333,0.091641859,1.462164374,0.483016216,0.588088667,0.338357472,0.107270812,0.373263937,0.589616936,0.214631351,3.672687355,1.000984585,0.0,0.760149208,0.073475559,0.289425548,0.512947936,0.23644692,1.045801315,0.297503164,2.318606384,2.003410148,0.242660409,0.444381109,0.55662853,6.001704638,1.018933903,0.601719549,1.210968089,0.898692596,12.03315018,0.196243925,1.073761951,0.215081021,3.64595017,1.044846077,3.276256975,0.544131353,0.248244483,0.047016407,1.19598481,0.116000723,0.749615142,0.133595172,7.413083467,0.190792741,0.964609925,1.155011007,0.095943814,2.475827629,4.262855101,6.824534789,0.129822694,2.684760957,0.699070606,3.297326737,0.246574287,1.125941667,0.041410865,2.416456021,2.823452844,2.694280878,19.17213949,0.058042394,20.42553554,0.0,0.640564764,2.154596692,0.162863218,0.294146762,0.023586223,0.260952397,18.58106844,0.542063267,0.522339623,0.060969076,0.807261067,0.0,2.053431429,0.0,0.275803341,5.813178855,0.0,0.020037331,0.730667554,0.265463437,1.404743843,0
RNA155_FPKM,0.042334729,0.97673468,0.215723684,1.355109595,8.031194668,0.626133017,1.951709072,0.370121769,0.047791213,0.135244079,0.12148829,0.175601652,0.182132921,0.0,2.505471065,0.0,2.347876309,1.368782789,0.113579481,1.48147405,0.572296292,0.546650893,0.078642935,0.119680139,0.091316026,0.354005351,0.199528726,2.465883209,0.583879016,0.0,0.387529871,0.0,0.139511308,0.133527951,0.248641471,1.186109993,0.057622791,0.570536341,1.323577087,0.037600326,1.055705458,0.287474213,8.806759687,0.985124206,0.457679178,0.785079011,1.385642732,11.80249651,0.224536598,0.753764162,0.299889045,3.122851263,0.408975165,1.570477188,0.399352103,0.131878663,0.0,0.889473991,0.123236151,1.084028426,0.107632202,6.37227051,0.487777938,0.0,0.286340944,0.011149776,2.248118844,4.352993938,3.065968349,0.0,1.928650115,0.336151885,1.915846036,0.152827131,1.128133341,0.009625795,1.803481344,1.88987375,2.986402053,16.0649259,0.080950374,13.4764662,0.259704577,1.111555811,1.125658559,0.054075178,0.078132012,0.010962148,0.194093303,11.57884998,0.385345324,0.485534644,0.094455145,0.197501459,0.0,1.607543511,0.033306808,0.448678432,5.227611376,0.0,0.037250931,0.470257689,0.215942204,1.679010748,0
RNA165_FPKM,0.083245814,3.135981444,0.710530842,1.764015603,22.84054971,2.649759873,1.699736609,0.851654662,0.751906623,0.987789534,0.750896201,0.357063718,0.383765196,0.0357729,3.746229841,0.16984093,5.139900935,5.131071416,0.12763755,2.419945167,1.375268577,1.228286291,0.41237665,0.156890428,0.444666651,0.590300071,0.467123364,4.863794547,0.738138817,0.068185147,0.486706275,0.05758438,0.604701688,0.214352682,0.267257158,1.092510911,0.142450208,2.279643566,1.891060538,0.42251914,1.083180888,1.162996209,6.88449703,0.89416241,0.605745569,1.831021663,1.053337848,7.971147895,0.488865,1.03017501,0.561647885,5.542084467,1.397906226,3.021542991,0.598344103,0.111161411,0.130949693,1.471538585,0.588597113,0.978895868,0.195387888,7.479033432,0.199326111,0.0,1.367464173,0.119021239,3.428540274,4.540969408,7.743440746,0.158222745,2.847201133,1.485805242,3.588148582,0.257590966,1.254649286,0.811222398,3.342178874,1.179810803,3.767315417,18.95092823,0.045489076,23.19626366,0.0,0.713787916,0.576657782,0.024300628,0.131715995,0.036960273,0.708804904,10.13741784,0.149904213,0.545481179,0.212280641,0.577000859,0.0,1.712358441,0.261974259,1.404571709,5.120296942,0.084607389,0.062798119,0.49908786,0.589293953,2.306061483,0
RNA174_FPKM,0.076045296,3.903330782,0.412364889,1.845641701,20.58333591,2.256537653,1.352440644,0.551847845,0.410907176,0.45120209,0.701565341,0.283272253,0.685582553,0.098048699,2.869658277,0.527527076,6.594154089,4.429984283,0.320623444,1.72466842,1.898084196,0.561198924,0.51126705,0.061432595,0.512460406,0.609600721,0.51207715,5.292950194,0.721151255,0.18692107,0.842456507,0.070134539,0.849087591,0.117476601,0.270045093,0.85832187,0.165624455,3.319112316,1.824605564,0.501769713,1.837661597,0.177057415,5.053823386,0.855721125,0.678661295,2.204924178,1.098226765,8.526174289,0.28812384,1.652133771,0.205246665,3.987764282,1.71439398,2.857998031,0.273305482,0.236891842,0.059822174,1.056847024,0.885619462,0.536555204,0.339984021,6.202415382,0.2958954,0.920495431,1.69011367,0.163096726,2.289553778,3.860041354,7.728340871,0.041302854,2.872796136,1.150290723,2.097930672,0.627533515,1.110350834,0.296425894,3.258914676,1.993979051,1.740571923,10.74841944,0.166193957,18.91903933,0.2666161,0.570559004,0.662756819,0.133221885,0.160422681,0.022507768,1.444514466,13.56800212,0.380376758,0.498456187,0.077575105,1.216409643,0.302265334,1.443979115,0.239314255,0.394804341,6.70816721,0.038656766,0.133826675,0.616846299,0.2533236,2.298157009,1
RNA179_FPKM,0.100080612,4.735531642,0.234481843,1.973637794,35.71933092,1.616732892,0.922840704,0.629642025,0.376633325,0.426273531,0.271274478,0.36022815,0.263141593,0.033458683,2.719588392,0.28584509,3.816814875,2.766622149,0.02983693,1.845468877,1.443176668,0.574413058,0.330497788,0.062879102,0.339015355,0.275971065,0.227118798,8.678777082,0.421774247,0.0,0.23952653,0.071769733,0.691055918,0.180379552,0.109800578,1.205405312,0.193735614,2.997488092,1.241708537,0.237023666,1.157465067,0.18123288,3.678400764,0.915667446,0.539671015,1.758731775,0.578088923,5.094063538,0.412864107,1.070246013,0.210079456,6.982659975,2.954358767,3.200242064,0.503539103,0.277121188,0.0,0.683637372,0.809328725,0.833930844,0.260982439,2.975767163,0.267908374,0.47117247,1.052954705,0.032216429,2.305903686,7.655758904,5.741208259,0.021137691,1.867530214,1.389257269,2.013018963,0.561987555,1.539739213,0.414654938,1.933739405,0.937709698,1.153936757,12.59680578,0.0,21.09311844,0.272893911,0.0,0.156542864,0.0,0.123150026,0.023037741,0.764722288,12.49710521,0.093434244,0.510192964,0.039700854,0.705532966,0.0,1.266814273,0.104994973,0.808184916,8.64737579,0.237366186,0.0,0.52156814,0.06483115,2.450243528,0
RNA18_FPKM,0.066813585,3.751214377,0.109583182,2.879933863,14.47005648,0.658827156,1.283524002,1.947235606,0.842342008,0.249026833,0.798991821,0.686275866,0.814490033,0.0,3.573146629,0.286264439,0.675874409,0.516724529,0.507878864,1.976650539,2.492078235,0.0,0.19307513,0.0,0.826322632,0.961261738,0.97976942,1.941422365,0.902350218,0.0,0.863491055,0.053920625,1.813986278,0.501758285,0.151662648,0.306906711,0.291012907,0.26679265,1.551840056,0.395594264,0.289774009,0.0,5.180039936,1.514997881,1.364463632,1.449511421,2.01545478,5.519433231,1.077932954,2.572244659,0.0,5.610079402,2.958555357,3.880807595,0.168080769,0.069392577,0.536460292,0.805928961,0.907744588,0.081464918,0.191654565,4.023008148,0.093322215,0.0,0.979153092,0.11438117,1.088865916,5.023522215,4.950855514,0.105820957,6.048213956,1.509118898,2.15020525,0.76379292,0.513970535,0.931758019,3.823027355,3.093281425,0.831188332,0.0,0.0,5.631682593,0.0,0.334187374,0.209015306,0.0,0.041111894,0.0,0.0,3.977169755,0.015598199,0.510962115,0.17889798,1.122150204,0.0,3.312461241,0.245313182,1.146527686,8.139294923,0.039626638,0.156782211,0.632244536,0.194745516,2.45370579,1
