,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,Diagnosis
RNA379_FPKM,9.601830121,7.108835612,8.081008536,4.546452966,8.559159311,7.586656721,2.628505793,7.285358616,1
RNA38_FPKM,4.34386653,3.307175346,0.831387755,0.480059381,1.661744011,1.076240265,0.390646557,0.442965292,0
RNA383_FPKM,4.726709281,15.06928892,13.26874575,1.04484516,1.20559057,31.11650399,0.425068241,4.337748922,0
RNA385_FPKM,2.423035283,6.924299075,4.938287369,1.140629435,1.184461416,13.25920997,0.695985732,0.631450556,1
RNA386_FPKM,8.727473447,7.347377682,3.612086494,0.56886636,3.500573292,4.55415972,2.545638782,3.936095187,0
RNA39_FPKM,6.073047857,15.35590468,6.45317427,1.774426755,2.252031887,2.727527006,1.515903142,2.946765826,1
RNA392_FPKM,2.324838289,11.95890489,2.558620911,1.181993291,0.681919206,5.677600946,0.480786622,1.36307483,0
RNA409_FPKM,10.60552654,12.34801621,2.814536228,1.147132816,2.426772196,7.347579893,0.700021994,6.085781886,0
RNA41_FPKM,4.38136045,4.795155604,2.37603977,0.0,1.489948798,4.497063384,0.0,2.903980359,0
RNA418_FPKM,8.997231403,8.53402638,3.227299592,0.847032827,1.759183914,5.208265309,1.447372933,3.282435044,0
RNA431_FPKM,6.436972538,4.900957019,3.285557778,0.474174224,2.736137165,1.594889992,2.894129338,1.312756344,1
RNA44_FPKM,5.715098283,11.39275179,5.091732642,1.210573347,1.596331285,5.150750883,1.266434922,2.15419258,1
RNA442_FPKM,5.850758895,13.02722952,3.996584117,0.0,3.550315419,5.748088657,1.669053122,0.709636764,0
RNA454_FPKM,5.749240963,4.650819479,3.301322365,0.423522292,0.733133904,1.627967194,0.516897286,1.465723686,0
RNA457_FPKM,2.921877526,5.916058195,2.036653965,1.114136144,1.713974807,1.783965352,0.755457632,0.514010069,0
RNA466_FPKM,5.565772351,9.250184834,0.907523198,0.349402838,1.410858851,3.691757249,2.98444943,2.417284509,0
RNA471_FPKM,4.682499746,6.17985071,5.759736244,1.750387594,1.750459529,2.578551874,0.427288497,1.291931178,0
RNA476_FPKM,8.445202111,11.49128694,12.8951544,1.353837772,2.231568414,15.79378518,1.180093079,1.873614774,0
RNA483_FPKM,4.559863652,11.09005704,2.230435632,0.429235197,1.816289083,3.574493437,2.270413154,3.56471409,0
RNA488_FPKM,5.134815564,5.017721788,4.574790579,0.0,1.972260987,1.492875904,0.568864799,1.93536517,0
RNA499_FPKM,7.565726679,7.43102012,1.423319686,0.493192893,2.844967496,4.105865589,0.0,2.047405649,0
RNA50_FPKM,7.541978411,16.71473343,5.671814788,0.319588591,4.79284499,4.758179686,1.75480453,7.296096317,1
RNA504_FPKM,5.529567437,12.76375232,8.114151099,1.192601433,2.653921185,4.828686021,0.519849347,2.947360136,0
RNA519_FPKM,3.199895286,6.070504414,3.59996992,0.0,0.834274323,8.856759736,0.0,3.001897787,0
RNA52_FPKM,8.429125976,5.221849371,3.85066309,0.0,6.68586178,13.20544558,0.0,19.20873168,0
RNA521_FPKM,7.461836116,7.067323472,8.949285003,1.337403145,1.683458643,4.205297756,0.296805095,1.514501,0
RNA528_FPKM,4.858623808,7.734576268,3.078697866,1.497099458,2.159180338,4.134992517,0.913584315,1.294982804,0
RNA53_FPKM,2.082289423,2.629557797,2.46796486,1.357191121,0.939593853,1.564695549,0.993848616,1.690430013,0
RNA535_FPKM,6.270074241,9.518494442,10.83314684,0.856810713,2.175139825,9.549729171,3.555763038,2.845978418,1
RNA58_FPKM,4.334742019,9.250885269,3.498408553,0.0,1.271341458,3.52869495,0.0,1.524852999,0
RNA6_FPKM,7.047897283,9.755393051,5.018933624,0.878155855,2.837251716,7.762324011,1.929317504,4.86148538,0
RNA60_FPKM,8.259688992,6.721962015,3.418509474,1.435659221,0.82815611,2.413730915,1.533015814,1.986849815,0
RNA62_FPKM,1.725019392,3.776071199,0.949275266,0.182760401,1.054037795,3.159674492,0.668977451,1.770072632,0
RNA63_FPKM,6.209698343,5.354579414,5.936721738,0.478335201,1.103850463,0.612699772,0.778337767,1.323963502,0
RNA64_FPKM,1.526716534,4.386237988,1.680241101,0.0,3.17191692,0.310705741,0.789404612,1.119026926,0
RNA66_FPKM,2.760667321,36.65876568,4.455985268,0.935599401,0.719748605,4.494498405,3.045055462,3.021342551,0
RNA67_FPKM,2.951339231,15.91907493,3.402670939,1.071673519,1.442714215,3.603612918,1.089875444,6.921316907,0
RNA69_FPKM,9.488139966,5.408311287,1.16020086,0.502463326,2.125740219,4.022710875,0.408758447,4.40411059,0
RNA7_FPKM,5.026138492,5.271496749,2.612072824,1.064635964,4.094816298,1.875263189,0.866173029,6.630435795,0
RNA72_FPKM,4.071117893,5.940743455,1.564585493,0.985597471,1.137227851,4.260835549,0.601343774,3.637089273,0
RNA74_FPKM,12.49742869,17.44418437,9.302283211,1.074263674,5.135160329,15.77633608,1.123867269,7.433520959,0
RNA75_FPKM,16.02138894,34.34589326,7.271088896,0.839708505,1.937788859,5.647068951,1.366393707,2.517841321,0
RNA78_FPKM,2.850540549,2.451191074,1.643256586,0.172576431,0.398104589,2.320481356,0.631717033,0.47748854,1
RNA86_FPKM,9.81256913,18.04189337,5.039582504,1.662933953,1.726892952,3.195132179,1.014782531,3.221682742,1
RNA87_FPKM,4.651253055,8.969198598,15.43839235,0.938438227,3.24819718,3.065112099,0.0,5.454147928,0
RNA89_FPKM,4.01051205,5.852376843,3.643105422,0.647208255,0.746778755,3.731073471,0.789899838,0.895689995,0
RNA94_FPKM,2.56026266,0.0,0.0,0.0,0.0,0.0,0.0,2.078619256,1
RNA95_FPKM,7.620263385,8.790933132,9.822217649,2.094118066,2.416290076,4.694518809,1.916860041,5.554624181,0
RNA97_FPKM,6.31121149,17.53411595,21.55010979,1.645493327,2.373240952,1.97606633,0.0,5.977568633,0
RNA98_FPKM,4.046215611,5.535447746,8.535289892,0.857101587,1.236204211,3.293820147,0.0,0.889625531,1
R_JS001_FPKM,2.598022337,40.84114397,63.25033724,4.602859302,1.847326343,1.153505307,0.488347272,1.107846006,1
R_JS002_FPKM,3.10541066,3.219969168,11.63233271,2.354351352,1.757699433,2.395018389,0.507018223,2.491618793,1
R_JS003_FPKM,3.046023271,6.667630368,5.363963793,1.720736578,1.389705706,1.983724492,1.680004644,1.190688257,1
R_JS004_FPKM,2.401237095,2.628020598,5.725898479,3.22156194,0.978268144,2.280545951,0.827804854,0.704003682,1
R_JS005_FPKM,1.884376701,4.81237551,4.30151202,0.88703037,0.409398632,1.875034998,1.082596121,1.964138677,1
R_JS006_FPKM,4.439558003,8.329420959,5.583969358,0.716530697,1.033346791,3.097810917,1.093015109,2.726842018,1
R_JS007_FPKM,3.65519052,1.684367595,4.093275494,0.489033111,1.128537948,5.794341476,1.591528436,3.835040249,1
R_JS008_FPKM,3.048166146,5.242612634,3.35476968,1.844819449,1.064430888,1.063439311,1.125894089,3.82978182,1
R_JS009_FPKM,2.323899547,4.069301317,1.534535064,0.59078124,0.0,1.13498358,1.682160485,0.817599038,1
R_JS010_FPKM,4.798615536,5.064171454,3.269306475,0.580804061,2.680804478,2.232157448,0.886159281,0.60294566,1
R_JS011_FPKM,4.868938447,2.588226284,5.40949668,1.768056199,0.952071496,2.491386251,0.863112834,1.141919086,1
R_JS012_FPKM,2.348246064,22.42824727,6.421469547,1.266030418,5.426098833,2.606634953,1.545155234,2.002395048,1
R_JS013_FPKM,4.01698812,6.045053492,4.666637304,0.283613938,0.163623426,8.311440725,0.0,1.570195527,1
R_JS014_FPKM,3.935634263,6.080940783,4.076608346,1.765434421,1.018463639,1.036477187,1.316679681,1.085882283,1
R_JS015_FPKM,0.945160344,2.896129153,3.467128272,0.800845539,1.293556445,1.538692879,0.0,1.55149776,1
R_JS016_FPKM,1.776646935,3.888697551,5.083542547,1.505373962,0.521090987,2.603163926,2.939452917,0.833332015,1
R_JS017_FPKM,2.528531861,4.044734053,5.993837662,1.648053789,0.760674763,2.691722072,1.206805991,0.684215897,1
R_JS018_FPKM,2.175571128,3.095326719,3.671123862,1.290392323,1.063369596,2.30230913,0.44985657,2.806021239,1
R_JS019_FPKM,4.440012683,3.470962296,4.498788511,1.074878646,0.826903764,1.377033954,2.405232858,2.479347581,1
R_JS020_FPKM,2.70653364,2.715509892,13.90114542,4.204448784,1.102598549,2.203252591,1.632875266,0.529101968,1
R_JS021_FPKM,0.599075076,3.715248318,3.516231475,0.169152146,0.390520675,0.81284176,0.413070426,1.40497369,1
R_JS022_FPKM,3.106756479,7.042933865,2.767827225,1.128194919,1.084839326,1.264526914,1.835830487,0.780539188,1
R_JS023_FPKM,3.092319511,2.256170047,4.991538552,1.397369835,0.604735552,1.006885806,1.066017508,0.24185769,1
R_JS024_FPKM,1.818203896,3.482193755,3.501724116,1.348034621,0.66652285,1.665100353,0.0,0.79943068,1
R_JS025_FPKM,2.104416353,2.072828398,4.477504944,0.534979482,0.0,1.88426386,0.0,1.727305309,1
R_JS026_FPKM,4.230761664,3.52778136,4.286558957,0.682837877,1.575779716,2.952065448,0.0,2.834766895,1
R_JS027_FPKM,2.053694483,2.247654518,1.854487879,1.472398654,2.007830338,1.41459788,0.490037702,1.667187862,1
R_JS028_FPKM,0.767614841,1.890415759,4.646832034,3.740233919,2.251611822,2.030970911,2.778632806,0.675148485,1
R_JS029_FPKM,5.211803608,9.295261123,6.089890251,0.98126618,2.453290463,2.357019637,2.594950279,3.16897192,1
R_JS030_FPKM,3.864588843,6.678152361,4.924804785,0.861668471,1.391925992,1.1589797,1.682628195,1.907980186,1
R_JS031_FPKM,4.757623939,1.983503242,2.825834727,0.959759633,1.993578366,1.659942317,0.937088146,1.328238778,1
R_JS032_FPKM,2.265921974,3.624544555,7.289477179,0.590771014,1.022488293,3.972935488,2.523414569,0.817584885,1
R_JS033_FPKM,1.299112833,6.397891017,3.653751682,2.201507338,1.693395813,1.586313397,1.791177199,4.316113681,1
R_JS034_FPKM,5.072667622,2.664822706,7.592746478,0.859590092,1.190243392,2.477711275,1.888567375,0.475944609,1
R_JS035_FPKM,3.944362046,7.77058263,8.826751284,2.172349671,1.735260104,2.247669624,3.6711414,2.312617033,1
R_JS036_FPKM,4.349518021,7.933916119,11.96746971,1.075006757,1.948992275,2.508080301,1.499239889,2.125097392,1
R_JS037_FPKM,5.517079716,2.767648536,6.746651516,2.33734345,2.247488749,2.245588232,2.139429027,3.234716381,1
R_JS038_FPKM,3.918342085,4.764897474,3.513779143,0.184447644,0.851296819,2.480897032,1.350679599,2.042098917,1
R_JS039_FPKM,3.542153154,9.90729279,11.11772314,2.834587935,0.384739221,3.204003808,0.0,1.153882022,1
R_JS040_FPKM,3.473390303,10.50989596,7.195640121,1.038660618,2.596851087,4.989766048,2.746800493,2.395959507,1
R_JS041_FPKM,3.168098231,4.62316093,3.719157027,2.14741541,1.238893506,1.719263371,1.528955186,3.962763531,1
