,TRAV9-2,TRAV13-1,TRGV3,TRGV1,TRAV25,TRAV17,TRBV25-1,TRAV41,TRGV5,TRAV12-1,TRDV2,TRAV4,TRAV13-2,Diagnosis
RNA277_FPKM,7.644145534,36.16313772,3.799324253,0.208870302,2.651813665,7.627835499,0.765031957,7.518055906,3.168043384,6.857983233,42.59852748,6.395105783,25.1180815,0
RNA288_FPKM,8.64671543,14.29990998,6.344145027,0.651295256,4.508535885,5.787399361,1.589547734,5.40755941,3.428679909,10.2426389,10.62790622,8.624825011,7.016567412,0
RNA29_FPKM,15.87695625,3.679625199,6.715291726,0.633053798,1.826116724,3.193063189,0.0,2.847329023,1.199877782,10.17331367,29.43776084,2.049411503,2.51291477,0
RNA295_FPKM,3.398728177,9.113320458,1.994955949,0.287965115,2.326023736,3.043393968,1.581620896,1.992615753,1.69816588,7.877052363,6.566729122,5.76325688,5.715628778,0
RNA3_FPKM,4.794368128,8.395592091,5.628329894,0.406325998,1.171824468,8.781644747,0.74357919,0.843165689,7.870793732,5.000435781,11.80634058,18.41197268,3.455453127,0
RNA302_FPKM,2.284788895,7.918619067,1.396986849,0.322634166,1.489223451,2.169900231,0.393766108,0.669839529,1.223081056,2.647667132,2.741005155,2.65881446,2.195626402,0
RNA303_FPKM,4.010714608,9.823994831,1.82167976,0.161804313,1.493745718,2.332066204,1.974954161,1.343754503,0.0,3.098473638,4.051850142,2.857519095,3.303505023,1
RNA31_FPKM,4.010382308,4.389140637,2.322905708,0.715283124,0.412663341,3.436364642,0.0,1.485099972,3.76630545,0.978254861,0.479801529,18.31663954,1.217057538,1
RNA314_FPKM,4.80072063,16.02545,4.226854779,0.0,1.642840484,4.689712843,1.737702664,3.940561531,3.426601319,6.119714265,2.72815026,5.74638232,1.845301025,1
RNA319_FPKM,5.457177156,9.385630374,2.717015203,0.495350599,2.096093973,9.360888796,1.209324428,0.914267623,2.225765554,4.517107373,6.940701853,4.276899222,5.431480835,0
