Model Name,Feature Count,CV Score (Mean +/- Std)
Random Forest,13,0.8138 +/- 0.0560
Random Forest,14,0.8069 +/- 0.0516
XGBoost,15,0.8069 +/- 0.0516
XGBoost,14,0.8069 +/- 0.0169
XGBoost,17,0.8000 +/- 0.0402
Random Forest,16,0.7931 +/- 0.0617
Random Forest,12,0.7931 +/- 0.0577
Random Forest,5,0.7931 +/- 0.0577
Random Forest,8,0.7931 +/- 0.0436
XGBoost,21,0.7931 +/- 0.0436
Random Forest,11,0.7931 +/- 0.0378
XGBoost,16,0.7931 +/- 0.0308
XGBoost,32,0.7862 +/- 0.0856
Random Forest,18,0.7862 +/- 0.0798
Random Forest,17,0.7862 +/- 0.0703
XGBoost,33,0.7862 +/- 0.0669
XGBoost,10,0.7862 +/- 0.0507
XGBoost,22,0.7862 +/- 0.0457
XGBoost,7,0.7793 +/- 0.0710
XGBoost,34,0.7793 +/- 0.0710
Random Forest,9,0.7793 +/- 0.0516
XGBoost,20,0.7793 +/- 0.0352
XGBoost,9,0.7793 +/- 0.0276
Random Forest,23,0.7724 +/- 0.0640
XGBoost,8,0.7724 +/- 0.0640
XGBoost,12,0.7724 +/- 0.0601
XGBoost,13,0.7724 +/- 0.0601
SVM(linear),9,0.7724 +/- 0.0516
Random Forest,10,0.7724 +/- 0.0516
XGBoost,18,0.7724 +/- 0.0414
Random Forest,19,0.7724 +/- 0.0352
XGBoost,19,0.7724 +/- 0.0276
XGBoost,37,0.7655 +/- 0.0935
Random Forest,31,0.7655 +/- 0.0856
Random Forest,20,0.7655 +/- 0.0768
Random Forest,15,0.7655 +/- 0.0669
SVM(linear),8,0.7655 +/- 0.0593
Logistic Regression,8,0.7655 +/- 0.0593
XGBoost,27,0.7655 +/- 0.0593
Random Forest,39,0.7655 +/- 0.0593
Random Forest,6,0.7655 +/- 0.0507
XGBoost,28,0.7655 +/- 0.0507
Random Forest,24,0.7655 +/- 0.0402
Random Forest,21,0.7586 +/- 0.0872
XGBoost,26,0.7586 +/- 0.0816
XGBoost,24,0.7586 +/- 0.0723
Logistic Regression,9,0.7586 +/- 0.0690
Random Forest,26,0.7586 +/- 0.0617
Random Forest,7,0.7586 +/- 0.0617
XGBoost,29,0.7586 +/- 0.0617
SVM(linear),14,0.7586 +/- 0.0577
Random Forest,29,0.7586 +/- 0.0577
Random Forest,32,0.7586 +/- 0.0488
Random Forest,42,0.7586 +/- 0.0488
Random Forest,50,0.7586 +/- 0.0436
Random Forest,27,0.7517 +/- 0.0961
Random Forest,33,0.7517 +/- 0.0935
SVM(linear),11,0.7517 +/- 0.0935
Logistic Regression,11,0.7517 +/- 0.0736
XGBoost,31,0.7517 +/- 0.0669
XGBoost,23,0.7517 +/- 0.0593
Random Forest,36,0.7517 +/- 0.0593
XGBoost,30,0.7517 +/- 0.0552
Logistic Regression,14,0.7517 +/- 0.0552
XGBoost,46,0.7517 +/- 0.0507
Logistic Regression,15,0.7517 +/- 0.0457
SVM(linear),13,0.7448 +/- 0.0915
Logistic Regression,7,0.7448 +/- 0.0833
SVM(linear),7,0.7448 +/- 0.0804
Logistic Regression,10,0.7448 +/- 0.0710
XGBoost,39,0.7448 +/- 0.0676
SVM(linear),15,0.7448 +/- 0.0560
Random Forest,41,0.7448 +/- 0.0468
XGBoost,11,0.7448 +/- 0.0414
Random Forest,72,0.7448 +/- 0.0169
