,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Diagnosis
RNA23_FPKM,4.699615333,14.98101442,9.898865877,1.603213257,25.85021503,1
RNA246_FPKM,8.299080831,17.63554677,1.872946616,1.651617362,78.1505893,1
RNA253_FPKM,3.180636307,5.91421605,2.153449889,0.81384561,23.06189518,1
RNA26_FPKM,2.519886764,11.60197864,6.065568139,1.432711538,53.7575843,0
RNA277_FPKM,5.715238735,12.1438083,0.0,0.32483174,63.81679644,0
RNA288_FPKM,8.1644964,0.788451543,1.339669878,0.759735606,17.07106484,0
RNA29_FPKM,15.15139788,2.299765749,3.907566583,0.0,85.13874858,0
RNA295_FPKM,10.50285632,4.882226905,1.184989191,0.224021562,45.29308104,0
RNA3_FPKM,1.85236852,10.82251371,1.672049461,0.947503918,51.85566052,0
RNA302_FPKM,10.29638933,4.688876706,0.0,0.250973896,119.1469941,0
RNA303_FPKM,11.06588277,6.270620043,0.0,0.0,16.96764281,1
RNA31_FPKM,24.45965041,6.063577584,0.0,0.834437443,32.61259397,1
RNA314_FPKM,4.635743071,6.896507447,0.837251866,1.265341431,27.81643402,1
RNA319_FPKM,6.775398389,0.799784822,0.0,0.2567871,17.31524054,0
RNA32_FPKM,21.44797708,4.143790719,4.400284093,1.662983621,79.94319106,1
RNA328_FPKM,8.580844408,7.459770505,3.520761279,0.798454393,39.78371278,0
RNA331_FPKM,67.04836671,13.08488367,1.234931952,0.700194444,22.57710961,0
RNA334_FPKM,31.80137263,5.032629731,0.0,0.230732631,47.3631941,0
RNA335_FPKM,18.55555904,11.2660149,1.59504942,0.301562723,44.1793763,1
RNA336_FPKM,18.4703698,5.724297285,0.694549178,0.524976971,37.71089771,0
RNA35_FPKM,5.807086951,6.170029886,0.0,0.495253235,30.48565711,0
RNA358_FPKM,16.52418204,13.42621974,3.509287371,0.994601482,49.57254611,0
RNA365_FPKM,17.50216185,14.46300857,2.633217316,1.658491585,35.97606191,0
RNA368_FPKM,6.731446735,3.178661334,0.675261866,0.2551993,59.08488525,0
RNA37_FPKM,1.568787462,12.50083806,4.248220916,1.872960432,43.9252263,0
RNA379_FPKM,14.18177351,22.02188156,3.938762752,0.74407873,31.63589865,1
RNA38_FPKM,7.295371572,14.72719518,1.975465594,0.99556079,48.87856765,0
RNA383_FPKM,21.43284407,17.71221309,2.149458578,0.812337188,50.80446265,0
RNA385_FPKM,14.55899048,14.36415745,4.224229652,1.773888586,23.91855814,1
RNA386_FPKM,12.96596062,11.02088672,0.780557999,0.589698339,60.50866233,0
RNA39_FPKM,2.426954351,6.016240596,6.571362601,1.10371155,14.56007792,1
RNA392_FPKM,20.65476482,13.35868191,4.053036664,1.531749642,35.92103082,0
RNA409_FPKM,20.91916413,7.409175159,3.147260245,2.973435341,16.56061084,0
RNA41_FPKM,52.24406624,3.909250366,0.664023235,0.753047928,37.52745166,0
RNA418_FPKM,4.633918391,4.923538291,2.091074704,0.79027238,16.99078314,0
RNA431_FPKM,37.83750564,20.67537022,2.927793138,0.0,59.45835422,1
RNA44_FPKM,6.307073605,13.40338868,2.135371695,0.537825426,52.0363829,1
RNA442_FPKM,31.17202153,10.76438048,2.110070378,0.0,25.71682622,0
RNA454_FPKM,32.82931397,9.232905109,1.742812973,1.317618933,100.4205157,0
RNA457_FPKM,7.336443685,17.98780852,3.565940993,1.155069979,59.81875974,0
RNA466_FPKM,1.592865877,11.84453368,2.15603078,1.629899523,19.9070489,0
RNA471_FPKM,12.23548144,13.00019903,4.322042057,0.907330964,45.75089515,0
RNA476_FPKM,15.86985334,14.9885113,2.38750006,1.203167415,66.12617606,0
RNA483_FPKM,10.43746842,9.703738201,2.944394004,0.667539688,63.9305105,0
RNA488_FPKM,9.20871986,6.773778096,2.557581668,0.724874543,56.6707402,0
RNA499_FPKM,7.493359521,8.75825867,1.352783489,1.278258293,20.98140666,0
RNA50_FPKM,7.283185034,3.869192049,0.0,1.242282397,28.40426614,1
RNA504_FPKM,10.09707942,13.20409207,2.453803833,0.927357301,41.94197949,0
RNA519_FPKM,9.064178339,3.502214085,0.743493895,1.124456696,45.32239475,0
RNA52_FPKM,3.071928125,3.916226363,5.545099274,0.0,29.48763692,0
RNA521_FPKM,9.422947905,8.244964316,5.003107006,0.945507871,36.029424,0
RNA528_FPKM,7.67755959,9.970711189,3.080315257,2.037166054,77.63123219,0
RNA53_FPKM,9.280792226,17.09212568,5.026411365,0.422136369,33.41085201,0
RNA535_FPKM,53.12728303,5.81074757,1.41075031,0.0,53.90833596,1
RNA58_FPKM,5.023045172,6.226345064,3.022951949,1.142453412,70.32419115,0
RNA6_FPKM,4.003357576,10.20930512,0.723045781,0.819475997,49.64408248,0
RNA60_FPKM,2.454236397,14.77685287,2.21532843,1.674462291,13.90762623,0
RNA62_FPKM,4.997655078,4.424762827,1.503511703,0.284226042,20.82379273,0
RNA63_FPKM,5.087966253,7.722900273,1.968370517,1.735694173,75.59406232,0
RNA64_FPKM,10.32030441,5.483069018,3.992431289,0.502948423,68.55822458,0
RNA66_FPKM,14.21789038,6.04288933,0.0,0.727514585,35.54472595,0
RNA67_FPKM,4.071005336,12.97729652,2.204991975,0.555446325,15.47127648,0
RNA69_FPKM,6.108116291,3.245353385,2.06765882,0.520859426,48.86649873,0
RNA7_FPKM,9.706974962,7.735245673,4.381024098,0.82785238,57.43466628,0
RNA72_FPKM,8.237082451,9.5479755,1.351925735,0.766260796,50.17174214,0
RNA74_FPKM,9.794757028,3.716407007,0.631320168,0.238592572,13.99273183,0
RNA75_FPKM,12.76004816,5.422875024,0.575803307,0.217611283,30.6239787,0
RNA78_FPKM,11.01091153,7.52075664,1.419788932,0.53657575,95.95004669,1
RNA86_FPKM,3.032408974,11.2758896,2.73721872,1.810317732,30.32243087,1
RNA87_FPKM,5.988868313,11.81702925,7.72256361,1.459444066,33.36668909,0
RNA89_FPKM,7.376585573,3.134914984,0.0,0.50337141,69.34229857,0
RNA94_FPKM,49.44996882,0.0,0.0,0.0,58.57988376,1
RNA95_FPKM,7.160036035,9.297800249,7.899016141,1.899861295,23.86678678,0
RNA97_FPKM,3.750229539,6.974203583,3.385162947,0.959506889,82.51348682,0
RNA98_FPKM,6.837906039,12.45475743,4.408763692,1.332950628,39.07472858,1
R_JS001_FPKM,9.122870851,20.35576695,8.234803777,2.17854362,29.19386694,1
R_JS002_FPKM,32.19921702,12.07488438,10.25830885,5.169019351,20.83461996,1
R_JS003_FPKM,19.61054586,20.00255529,6.372673798,2.408401803,13.3352344,1
R_JS004_FPKM,13.14048507,20.53149212,6.279134321,1.845949454,44.83170378,1
R_JS005_FPKM,19.4111437,21.48365085,11.68129258,3.311072788,27.4996056,1
R_JS006_FPKM,11.43287951,14.74999041,5.159576493,0.835603243,36.74810292,1
R_JS007_FPKM,12.63307376,10.26400283,4.024785778,0.760536443,32.69696983,1
R_JS008_FPKM,10.09224758,18.7657429,6.83276164,2.295226873,9.251669354,1
R_JS009_FPKM,26.92989475,10.4915366,6.482072894,1.530973112,27.82765055,1
R_JS010_FPKM,14.56348076,11.2537938,7.170710764,2.258372482,16.5496547,1
R_JS011_FPKM,17.1951725,16.55680668,14.55125898,6.049319125,32.2410248,1
R_JS012_FPKM,12.3687384,16.64597589,8.931942842,2.531455947,35.45617971,1
R_JS013_FPKM,22.62905402,10.30449118,7.586609737,0.882143687,53.01578341,1
R_JS014_FPKM,42.47693776,16.15249895,11.70426517,0.610127838,36.21714578,1
R_JS015_FPKM,20.44384302,15.51515319,6.59050755,1.99250262,35.04634014,1
R_JS016_FPKM,17.15618201,21.14510543,8.671962681,0.936453368,11.66599461,1
R_JS017_FPKM,16.52941961,28.73851814,7.460180533,2.819399332,69.87393035,1
R_JS018_FPKM,12.60502914,26.78568691,6.067969396,1.720017354,22.68905245,1
R_JS019_FPKM,9.800364129,22.56187651,6.634759787,2.507451023,22.05169683,1
R_JS020_FPKM,7.841228431,21.29122724,11.79682872,1.78339915,27.88003054,1
R_JS021_FPKM,27.76822178,24.58632773,6.962499887,0.526353954,64.79274081,1
R_JS022_FPKM,12.00060836,31.87569613,9.284362579,2.631678276,22.28622573,1
R_JS023_FPKM,41.40900565,10.15276521,8.625358055,2.988245487,22.29709345,1
R_JS024_FPKM,15.80212884,10.2602192,10.30135854,2.096441802,37.74890134,1
R_JS025_FPKM,35.76559944,12.09113716,6.603701091,1.386391118,22.7597876,1
R_JS026_FPKM,17.89844433,8.268338032,6.32178104,2.92026637,10.11647912,1
R_JS027_FPKM,39.66449149,12.31902483,6.609552975,2.497924703,43.32536138,1
R_JS028_FPKM,28.91224102,24.41759653,10.0376058,1.517390576,18.53323025,1
R_JS029_FPKM,18.6404821,13.46790575,4.711391881,2.289326857,28.33338461,1
R_JS030_FPKM,23.56994951,7.512671982,7.09160777,2.680105947,32.21275992,1
R_JS031_FPKM,12.25196383,30.68425887,6.319125374,2.985517482,0.87507496,1
R_JS032_FPKM,40.39658038,7.153867748,1.82302614,0.459378799,30.97088479,1
R_JS033_FPKM,36.79857807,7.997663377,6.039278874,1.711874435,52.68879624,1
R_JS034_FPKM,16.45961122,23.31778256,7.075246587,1.871661476,27.43268536,1
R_JS035_FPKM,31.99623818,18.61647833,11.00217585,2.079148998,26.66353182,1
R_JS036_FPKM,16.80107941,17.85114688,6.950830858,3.582235918,9.800758592,1
R_JS037_FPKM,26.63935194,15.09606725,9.618271718,1.817673879,31.96763125,1
R_JS038_FPKM,29.4294398,14.29469242,5.31307152,0.286850015,34.47462536,1
R_JS039_FPKM,55.49134816,17.76862239,5.489196623,0.518561559,16.72340931,1
R_JS040_FPKM,26.04446432,15.09387476,7.124268977,1.884526371,29.20117797,1
R_JS041_FPKM,15.50078521,21.67035598,6.627934693,0.556604329,23.65885846,1
