,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Y_RNA.172,Y_RNA.31,RN7SKP173,Y_RNA.465,RN7SKP97,RN7SL145P,RN7SL382P,RN7SL473P,Y_RNA.528,AC004079.5,RN7SL2,RN7SL395P,RN7SL748P,RN7SL285P,Y_RNA.396,AC093416.2,RN7SL1,Y_RNA.69,RN7SL833P,Y_RNA.462,RN7SL333P,Metazoa_SRP.48,AC005837.3,RN7SL5P,RNY1P12,Y_RNA.298,Diagnosis
RNA140_FPKM,12.71849371,6.358945926,1.350934767,2.041668257,31.42268019,1.677534381,4.125090389,0.747910666,0.962868784,0.755585863,0.681132928,0.229779783,0.0,0.0,3.179472963,0.760606367,0.250120944,0.847632088,2.426952472,3.260823012,0.263058234,0.811562637,0.0,1.350934767,0.968982236,0.0,0.458425311,2.320363344,0.0,0.510553942,1.304748963,38.41892124,1316.116887,0.0,0.0,0.867206502,0.0,2.951226083,602.8344455,1.350934767,1.074751424,0.0,0.770850224,0.270520879,6.323926685,60.85902172,1.45386313,3.083125298,1
RNA145_FPKM,11.45830331,7.608623274,0.646672433,0.244394599,68.03218467,1.6053359,6.580430939,0.0,1.843351001,0.482130584,0.652446294,0.220102364,0.250253373,0.0,1.521724655,0.242770714,0.239586836,0.811933166,0.516203416,1.873158563,0.755722592,0.777382819,1.292792627,0.0,0.0,0.0,0.0,0.49353232,0.259127606,1.954321965,0.624563974,86.14290749,532.2567201,0.25111335,0.0,0.276795398,0.0,0.807102579,226.9534646,1.292792627,0.257302764,0.0,0.246040353,0.0,6.860544308,23.89337406,0.0,0.73812106,0
RNA150_FPKM,11.10264181,17.69568479,2.863386763,1.623224268,19.03389969,1.777817056,15.30437604,1.586091687,2.041405074,2.13572742,2.888952716,0.487293229,1.108091453,0.793045844,2.527833626,0.537479575,0.530430663,1.797570579,2.28666222,7.605106295,0.557866731,0.860539107,2.147540072,0.715846691,0.513591594,0.715846691,0.0,1.639675866,0.0,7.845856683,1.382746599,32.35739515,924.6125008,0.0,0.260098637,0.306404076,0.748987741,3.128368687,415.2893295,0.715846691,0.0,1.570692739,1.089436714,0.0,8.49173695,34.02071334,0.770387391,3.268310143,1
RNA151_FPKM,11.37725954,4.532823608,0.641987478,0.0,17.06531851,1.593746683,26.13642307,2.133093463,0.228847271,0.239421073,2.590358199,0.0,0.24844036,0.0,1.510739043,0.24101191,0.475511305,0.0,0.512476849,8.058518956,0.250153742,0.771750905,1.925447196,0.0,0.0,0.0,0.65337998,0.980135535,0.514294142,11.40079803,0.0,24.00953929,378.3584376,0.0,0.233262331,0.274790095,0.671709121,2.003672394,213.705232,1.283459718,0.0,0.70431636,0.488319691,0.0,5.609896701,35.24769454,1.381247125,3.663279831,0
RNA152_FPKM,14.01349307,12.26224313,0.744218401,0.0,41.21687534,0.924139334,4.544963881,0.824477249,0.265289209,1.387439972,0.750863209,0.0,0.0,0.0,0.0,0.558781923,1.102615187,0.0,1.782653678,5.030663847,1.449635556,0.894645525,0.744218401,0.0,0.800920756,0.0,0.757627742,1.988471858,0.0,1.968520636,0.718775037,51.60936046,907.8094001,0.0,0.540814658,0.637096056,0.0,2.322620505,361.076203,1.488436803,0.0,0.816472615,0.0,0.0,3.251865581,30.90877116,1.601841512,2.548384223,0
RNA155_FPKM,31.41969619,4.885692354,2.075338345,1.045766925,26.822068,0.859022832,12.67577484,0.766383114,0.493192919,0.515980711,0.0,0.235455053,0.80312751,0.0,1.628564118,0.0,0.0,0.86856753,0.828668668,2.004386607,0.808666321,0.831607209,0.691779448,0.0,0.496324303,0.691779448,0.0,1.84864035,0.277202403,3.659955506,0.668128869,36.65765322,415.0651694,0.268629133,0.502707895,0.0,0.723806275,0.431884407,183.2603607,0.691779448,0.0,0.0,0.526404563,0.0,5.182235032,23.13346427,0.0,0.789606845,0
RNA165_FPKM,15.50091516,22.87444721,3.109612176,1.468925237,39.61376456,1.930164172,13.45289078,0.861004606,0.277042492,1.739376619,0.784129195,1.851968631,0.0,0.0,6.404724848,0.0,0.575885048,1.951610441,2.482954259,9.009078898,0.908840366,1.868563188,2.332422178,0.777189999,0.557602983,0.0,0.527462281,1.187115459,0.311427198,7.344304121,3.003300649,50.88576288,1205.733819,0.301795429,0.847471724,0.332660871,0.0,2.911774119,603.4142617,2.332422178,0.0,0.852645338,1.183118437,0.0,10.19147543,50.34990543,3.346535008,6.210642277,0
RNA174_FPKM,16.52060035,13.37430804,3.550948943,2.14689633,45.62878473,2.64565207,7.229053106,1.573557767,1.771831408,2.118554464,1.433061538,0.966884893,0.549667439,0.786778883,2.507857691,0.5332322,0.526238991,0.0,1.417870073,4.800603046,0.830187374,2.561216365,1.420379577,0.710189789,0.764299487,0.710189789,0.240995334,0.813359251,0.284579596,8.319485386,0.685909796,57.00064036,542.1818152,0.827334496,1.03217294,0.607965501,0.743068945,1.773512621,265.1538286,2.130569366,0.282575514,1.558280507,1.620939765,0.0,12.85697682,34.99728243,1.528598974,4.862819296,1
RNA179_FPKM,22.5456184,10.26608754,4.360815947,3.29613513,17.71451838,1.805298181,11.83881687,4.025795438,1.813606527,3.252621795,1.466804772,0.989427914,1.687576034,0.0,6.844316005,0.272893911,0.538629949,0.912678525,1.160742288,7.019969837,0.283245059,0.873841141,1.453824199,0.7269121,0.521530586,0.0,0.986456659,0.555007211,1.164858395,7.965866702,2.106181211,32.28635464,64.06236496,0.0,2.640953283,0.0,0.0,1.361454153,44.49931325,0.7269121,0.0,0.0,2.212304163,0.0,27.22580344,15.35162125,0.782295879,3.31808149,0
RNA18_FPKM,20.15887698,0.0,2.911109177,0.0,58.05707504,1.80801979,22.22906026,2.419555895,3.632492355,2.985826321,2.937101223,1.981972707,0.0,0.0,5.997396232,0.0,0.269720985,0.0,0.290688694,8.435643382,0.0,0.875158515,2.184023905,0.0,2.872080557,0.0,0.987853865,3.890202962,3.7916141,1.650451966,0.0,124.7898246,4.112549924,0.282697252,0.0,0.0,0.761712041,2.271935013,2.200718859,0.0,0.0,0.0,1.107593727,0.58343901,3.180939438,0.768830845,0.0,4.153739772,1
RNA185_FPKM,16.88871783,22.83864635,6.929331598,1.047627271,38.38391439,2.581652919,9.17067465,1.535492912,0.494070275,1.29224651,0.699197665,0.707621734,0.536370812,0.0,4.078653048,0.0,0.770263658,0.87011265,1.106857082,3.346587117,2.700049899,2.49925974,6.929331598,0.0,2.23715661,0.0,0.0,0.793683836,0.277695527,2.880684311,1.338634847,47.52195716,576.0543621,0.269107005,0.0,0.0,0.0,3.028088702,249.8384656,1.386020151,0.0,0.0,0.7910115,0.277695527,15.14140389,36.10263066,0.745810843,3.164046001,1
RNA2_FPKM,3.919094038,23.31842817,3.537589309,1.604221702,31.35189884,0.878183485,17.28591179,2.351285731,0.0,1.847076037,0.713524082,0.722382965,0.547659066,0.0,4.996482178,0.796781211,0.0,0.0,1.130151571,6.833292169,0.551436025,1.701238802,2.830379599,0.707209709,1.015342523,0.707209709,0.0,0.269982085,0.0,5.347793871,2.049838842,30.32507902,91.67295222,0.274620952,0.514200795,1.514195424,0.0,4.417100463,56.95249076,2.830379599,0.281389779,0.775870846,2.422536813,0.0,9.275718589,13.44901778,1.523013784,5.653172114,0
RNA201_FPKM,10.84293033,11.52061348,2.878761269,0.435046232,22.32316547,2.144533591,12.89378625,0.637977778,0.0,1.502900485,0.581015476,0.196005221,0.222855251,0.0,2.710690522,0.43215556,0.0,0.0,1.609112533,1.111784816,1.79466407,1.383817271,0.0,0.0,0.826115207,0.0,0.0,0.879142872,0.0,0.217637904,0.0,23.77894387,291.6664676,0.0,0.2092403,0.0,0.602534568,1.43771431,139.902374,0.575873746,0.229132864,0.0,1.095286274,0.23075792,6.110380629,14.79463649,0.619749841,0.657310438,1
RNA205_FPKM,18.66967937,6.036898995,0.732765673,0.553863017,82.79513439,0.909917813,9.69691378,0.811789422,0.783620073,0.546551294,1.478616447,0.0,0.283570277,0.0,1.725052521,0.550182864,0.0,0.920028011,0.292588413,2.123141564,0.571051869,1.761755766,1.465531345,0.0,0.0,0.732765673,0.0,0.559476493,0.0,3.045994607,0.707713855,97.06998436,338.3556628,0.0,0.266246048,0.627291826,0.0,1.372417475,158.6673912,0.732765673,0.583116345,0.803907971,0.557592734,0.0,8.691144819,23.987403,0.0,0.836389101,0
RNA209_FPKM,11.04352095,14.44146669,1.533355657,0.869370118,20.38758159,0.952444791,10.9282509,0.849730156,0.820005253,0.857893285,0.773861393,0.521895148,0.296823548,0.0,1.804887388,0.0,0.568095703,0.0,0.612258619,9.627684931,0.89635057,0.922047617,1.533355657,0.0,0.550060918,0.0,0.520327896,0.292812419,0.307349206,4.346850589,0.740790393,20.31693125,432.6550092,0.0,0.278689633,1.312932353,0.0,1.914995255,217.9205048,2.300368719,0.610102779,0.841480349,0.291826518,0.0,11.96756926,31.85146934,0.0,4.375867217,0
RNA213_FPKM,13.07599356,8.990029178,1.388520774,0.524758687,41.53537551,0.0,11.30900829,0.769131605,0.247480832,1.294577949,0.70045914,0.0,0.806007778,0.0,0.817202331,0.521271918,0.0,0.0,0.277213511,3.352624946,0.270522151,0.834589614,2.082781161,0.694260387,0.747156417,1.388520774,0.0,1.325192968,0.556393076,5.772603552,1.341049978,51.40186865,836.3325469,0.0,0.252255382,0.594328968,1.452804143,0.866866561,362.363417,1.388520774,0.0,0.0,0.264146208,0.0,9.969391635,35.92803511,1.494312833,1.584877247,0
RNA219_FPKM,29.58644021,12.74444915,1.443619019,0.54558177,65.57076722,1.792625814,11.02222629,1.599303423,0.514602363,1.884327795,0.728254237,0.737028385,0.837991177,0.0,0.0,1.083913283,0.0,0.906271939,1.729282146,2.091396783,1.125027235,0.867707176,1.443619019,0.0,0.77680452,0.0,0.0,0.551111315,0.0,9.547451346,0.697132261,82.12604118,1116.602552,0.0,0.262265191,0.308956343,1.510453232,1.351897368,710.065029,1.443619019,0.287198854,0.791888102,0.0,0.0,14.41985927,58.69507475,0.0,1.647767163,0
RNA23_FPKM,4.699615333,14.98101442,9.898865877,1.603213257,25.85021503,2.634372837,14.39664595,3.133387648,1.260199218,1.582048726,2.853620894,0.0,0.547106931,1.566227685,6.658448752,0.7964383,0.785993207,2.663643646,2.258696396,6.82877183,0.550880082,0.849761829,3.535249133,1.413763043,1.268200483,0.0,0.479745417,2.42935369,1.416606922,4.542808603,0.682714632,28.10340972,1.0653518,0.274493512,0.0,1.210627046,0.739607518,7.063105859,28.59355174,1.413763043,0.0,0.775510795,1.614009306,0.0,10.59465879,15.6816543,0.760739161,4.842027919,1
RNA246_FPKM,8.299080831,17.63554677,1.872946616,1.651617362,78.1505893,0.775248966,9.532875788,2.074931055,0.890191241,1.629813832,2.519559138,0.0,0.966406245,0.0,4.409228492,0.234377594,0.46260758,0.783862843,3.739043153,8.441038945,2.432451493,0.750506977,0.624315539,0.624315539,1.119804062,1.248631077,0.423709645,0.953346701,0.750506977,4.246796589,0.602971418,90.97671821,257.9532927,0.0,0.453682674,0.801677908,0.0,2.728362382,146.9847269,0.624315539,0.248407239,0.684928698,1.425205169,0.0,15.58955446,16.70184959,0.671882437,5.700157791,1
RNA253_FPKM,3.180636307,5.91421605,2.153449889,0.81384561,23.06189518,1.783019468,10.96125394,1.590733055,0.0,2.409305321,2.17267712,0.244232126,0.555667026,0.0,4.224943845,0.0,0.265852675,0.0,2.293054581,2.772862421,0.559499212,0.862607083,0.717566954,0.717566954,1.029920328,0.717566954,0.0,1.644188091,0.287535694,5.696919272,1.38679292,26.85187613,107.0712213,0.278642838,0.0,0.307140401,0.750787647,2.688837983,72.43339162,1.435882935,0.571319618,1.575289045,1.365638414,0.0,11.65178713,13.64548821,0.772238722,3.277019225,1
RNA26_FPKM,2.519886764,11.60197864,6.065568139,1.432711538,53.7575843,1.882992307,17.75271576,2.519886764,0.810815299,3.110355279,0.764965625,0.0,0.586822945,0.839962255,10.70951875,0.284638372,0.28090541,4.759786109,3.027425794,7.322747861,0.886305,2.734345212,1.516392035,0.758196017,2.175902221,0.0,0.257285736,1.15778581,0.607632269,10.31552307,0.732274786,56.7242746,19.99110166,0.0,0.550972026,0.324530871,0.793297685,2.840093369,12.89440384,0.0,0.301676584,0.831807281,0.865415656,0.0,3.786791159,10.14234797,2.447889999,6.92332525,0
RNA277_FPKM,5.715238735,12.1438083,0.0,0.32483174,63.81679644,1.067304288,13.12867363,1.905416522,0.306387035,0.320543532,1.735290047,0.292544248,0.998209505,0.0,4.047936101,0.0,0.0,0.0,0.686757898,0.830125558,1.674919159,1.033241386,0.859510533,0.0,0.30833235,0.0,0.0,1.312844141,0.0,1.949680104,0.0,109.2149685,624.3797842,0.0,0.0,0.0,0.0,1.073770637,404.8648323,1.719933498,0.0,0.942958158,0.327019159,0.0,3.757342769,72.63875354,0.0,1.963156417,0
RNA288_FPKM,8.1644964,0.788451543,1.339669878,0.759735606,17.07106484,4.991593302,19.77913157,0.742072041,0.238773969,0.499612859,0.675815608,0.0,0.259216946,0.0,6.30851757,0.0,0.248168355,2.524010512,2.139991826,6.470831493,1.305322905,1.610454216,2.680108798,0.0,0.480579988,0.669834939,0.909466349,4.348018997,0.268409036,1.51918057,0.646934599,46.4678173,25.4876783,0.0,0.243380541,0.286709652,0.0,0.418184244,27.34525026,1.339669878,0.0,0.734867458,0.509706048,0.0,10.03834233,7.546908562,0.720869982,3.059114083,0
RNA29_FPKM,15.15139788,2.299765749,3.907566583,0.0,85.13874858,0.0,11.93391956,3.607475685,0.232153009,0.728638653,1.314151857,0.0,2.268262109,0.0,1.533177166,1.222466843,0.0,0.0,0.520088367,3.144978802,1.776370786,0.782898978,0.651261097,2.605044389,0.0,0.0,0.0,0.745869973,0.0,5.168704293,0.0,107.600039,6.623588564,0.505790405,0.0,0.0,1.362824148,0.40658842,5.168704293,0.0,0.0,2.14347099,0.743358626,0.0,4.065884198,5.043723014,0.70088099,1.486717252,0
RNA295_FPKM,10.50285632,4.882226905,1.184989191,0.224021562,45.29308104,2.207540941,11.4605086,1.312782143,0.633710491,0.883853324,1.793627015,0.201754358,0.0,0.0,4.184493082,0.222533047,0.0,0.0,1.183003549,3.433430221,0.461737168,0.712579223,0.592765018,0.592765018,0.212642689,0.0,0.402113449,0.904755261,0.0,1.567537735,0.0,54.4875147,200.641153,0.0,0.215377643,0.0,0.0,0.370068768,101.8877044,0.592765018,0.0,0.650315019,1.127239072,0.0,13.6868043,10.42902398,0.0,1.35256342,0
RNA3_FPKM,1.85236852,10.82251371,1.672049461,0.947503918,51.85566052,1.038140599,18.72002371,3.703671236,0.893702434,0.934995616,0.843489237,0.284550586,0.323530118,0.0,2.951079912,0.627712921,0.0,0.0,2.00253023,3.22884159,2.605716015,2.010016905,5.015186329,0.83602473,1.199284019,0.0,0.0,1.595423178,0.335002818,3.158831175,0.807442688,65.78954979,42.18789556,0.324641906,0.303764613,0.357843919,0.0,4.174904112,30.95712725,0.83602473,0.332643643,0.0,0.0,0.0,7.827269513,10.59248479,1.799443706,5.724404598,0
RNA302_FPKM,10.29638933,4.688876706,0.0,0.250973896,119.1469941,0.0,11.48916931,0.735697989,0.946529255,1.73305563,0.670010669,0.226027696,1.798341972,0.0,1.562759239,0.498421551,0.0,0.0,0.0,3.847283451,0.776089938,0.798310584,0.664081371,0.664081371,0.0,0.0,0.225348934,0.506840834,0.532003145,3.512480641,0.0,179.00909,336.5820894,0.0,0.0,0.28424695,0.0,1.657733558,190.6818889,0.664081371,0.0,0.0,0.5051343,0.0,14.50628056,24.77243471,0.0,1.515402899,0
RNA303_FPKM,11.06588277,6.270620043,0.0,0.0,16.96764281,0.82680226,8.135162394,0.0,0.474694042,0.4966271,2.687709835,0.0,0.0,0.0,0.0,0.249963474,0.0,0.0,1.063687285,0.0,1.038012074,0.800414954,0.665831908,0.0,0.0,0.0,0.0,0.50837166,0.266804985,1.258403034,0.643068424,36.32646694,600.4760936,0.517106568,0.0,0.0,0.0,0.0,347.5483047,0.0,0.0,0.0,0.253329985,0.0,7.898762792,67.27754313,0.0,0.0,1
RNA31_FPKM,24.45965041,6.063577584,0.0,0.834437443,32.61259397,0.914213945,12.73682255,0.0,1.311672308,1.646843534,0.0,0.250582738,0.0,0.0,1.732326316,0.276390262,0.272765472,0.0,0.881614118,1.421395952,0.286874031,1.769184323,1.471710853,0.0,0.792053319,0.736225389,0.0,0.281059017,0.0,2.225073301,0.0,28.67644709,618.168444,0.0,0.0,0.0,1.539845615,0.0,303.4427286,0.736225389,0.0,0.0,0.55994386,0.0,4.594476483,14.76694167,0.0,2.52016965,1
RNA314_FPKM,4.635743071,6.896507447,0.837251866,1.265341431,27.81643402,4.157550416,6.815976759,0.927543734,0.0,0.312242445,0.844727329,0.284968256,0.324005003,0.0,0.985515217,0.314317146,0.0,0.0,1.336880169,0.808627871,0.0,1.006483626,0.837251866,0.0,0.300347495,0.837251866,0.0,0.0,0.670631795,0.632502228,0.0,50.87529864,330.385171,0.0,0.0,0.0,0.0,1.56755595,232.1694286,0.837251866,0.0,0.918538455,0.318550373,1.006126337,7.837779752,36.53408775,0.0,0.95565112,1
RNA319_FPKM,6.775398389,0.799784822,0.0,0.2567871,17.31524054,0.843729043,7.610142983,0.752738656,0.484412258,1.013841324,0.0,0.231263081,0.0,0.0,0.0,0.0,0.0,0.0,1.085490888,0.6562337,0.794269064,0.81680152,2.038389634,0.679463211,0.0,0.0,0.0,0.259389672,0.81680152,1.540978619,0.0,37.6012096,325.8498471,0.0,0.0,0.872492533,0.0,0.424195265,281.2246296,0.679463211,0.540699598,0.745430513,0.517032612,0.0,6.363774821,37.55823684,1.462463674,0.775548918,0
RNA32_FPKM,21.44797708,4.143790719,4.400284093,1.662983621,79.94319106,1.092617511,10.75063597,3.900038324,2.195862743,1.969175895,4.439572344,1.198204545,1.362342154,1.949572422,5.179501068,0.660652449,0.977982231,0.0,2.108340269,11.04913492,0.34285584,1.05774674,1.759791036,0.0,0.315645059,0.879895518,0.298583164,1.007718178,1.05774674,14.30086666,0.0,99.44202089,30.49556564,0.0,0.639409605,0.376621945,0.920631422,3.296465724,18.95697696,0.879895518,0.0,0.0,2.008957226,0.0,4.395119796,11.7720192,0.946935176,2.008650374,1
RNA328_FPKM,8.580844408,7.459770505,3.520761279,0.798454393,39.78371278,2.623493004,14.33679368,3.900451221,1.004075533,2.363491645,0.710304291,0.479241449,0.0,1.559883932,4.144229422,1.057448319,0.260833051,0.0,0.84359669,6.120837337,0.274324416,0.846320006,0.704018412,0.0,0.252552637,0.0,0.716930521,0.806546836,0.282106669,3.991766132,0.679949406,58.16668518,71.61127612,0.0,0.255800902,0.0,0.736611857,0.439525307,80.3664453,1.408036824,0.0,0.0,1.071690047,0.0,15.38589254,15.12034502,0.75765791,4.822223283,0
RNA331_FPKM,67.04836671,13.08488367,1.234931952,0.700194444,22.57710961,0.767151959,9.430546791,1.368110888,0.220223433,0.690950953,1.869269096,0.210273579,0.0,0.0,1.453617818,0.463612327,0.0,0.775675869,0.493100037,2.386059547,2.406244478,0.742668385,0.0,0.61779494,0.443007335,0.0,0.0,0.471443617,0.247556128,0.933675475,0.596673746,26.47022745,830.4390812,0.239899753,0.0,0.793023253,0.646396558,1.1566748,404.4716968,1.234931952,0.245812775,0.677775031,0.0,0.0,4.241004015,15.21775492,0.664865031,2.114728674,0
RNA334_FPKM,31.80137263,5.032629731,0.0,0.230732631,47.3631941,1.517008782,13.67852913,1.353409796,0.0,0.0,0.61597372,0.0,0.236263893,0.6763633,1.437997908,0.0,0.0,0.766545074,0.975602821,1.17989572,0.476026894,0.733926134,0.0,0.610522625,0.219012878,0.0,0.0,0.233071137,0.0,0.92339665,1.17989572,49.97681644,901.3399343,0.0,0.221829764,0.0,0.0,1.143850032,421.0164332,1.22166194,0.242919214,0.669796666,0.0,0.0,7.244640207,21.93000574,0.657038635,2.091281372,0
RNA335_FPKM,18.55555904,11.2660149,1.59504942,0.301562723,44.1793763,1.980665763,15.42726521,2.651057242,0.0,0.297581697,2.414355703,1.900268095,0.0,0.0,0.0,0.299558984,0.0,1.001858381,2.229289779,1.540517815,1.86455777,0.95922611,1.59504942,0.797940304,0.572192331,0.0,0.0,0.608920893,0.319742037,0.904374043,1.540517815,41.64405733,830.358072,0.0,0.0,0.34154263,0.0,0.995804334,386.425301,0.797940304,0.317490332,0.875410236,1.213741309,0.0,4.979540587,17.96907912,0.858735755,3.641223927,1
RNA336_FPKM,18.4703698,5.724297285,0.694549178,0.524976971,37.71089771,0.862462166,10.6079015,0.76945154,0.990562455,0.518046582,2.10289501,0.0,0.268781017,0.76945154,2.453377512,0.521488752,0.0,0.872045079,0.277328824,1.341607814,0.541269359,0.834936778,0.694549178,0.0,0.0,0.0,0.0,1.060838845,0.0,1.312683463,0.670803907,53.05533195,111.99317,0.269704664,0.0,0.297288095,0.726704232,0.433613575,65.8978668,0.0,0.0,0.761981137,1.057266997,0.0,13.44480806,11.00468308,0.74746721,1.585536507,0
