,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Diagnosis
RNA2_FPKM,3.919094038,23.31842817,3.537589309,1.604221702,31.35189884,0.878183485,17.28591179,2.351285731,0.0,1.847076037,0.713524082,0.722382965,0.547659066,0.0,4.996482178,0.796781211,0.0,0.0,1.130151571,6.833292169,0.551436025,1.701238802,0
RNA201_FPKM,10.84293033,11.52061348,2.878761269,0.435046232,22.32316547,2.144533591,12.89378625,0.637977778,0.0,1.502900485,0.581015476,0.196005221,0.222855251,0.0,2.710690522,0.43215556,0.0,0.0,1.609112533,1.111784816,1.79466407,1.383817271,1
RNA205_FPKM,18.66967937,6.036898995,0.732765673,0.553863017,82.79513439,0.909917813,9.69691378,0.811789422,0.783620073,0.546551294,1.478616447,0.0,0.283570277,0.0,1.725052521,0.550182864,0.0,0.920028011,0.292588413,2.123141564,0.571051869,1.761755766,0
RNA209_FPKM,11.04352095,14.44146669,1.533355657,0.869370118,20.38758159,0.952444791,10.9282509,0.849730156,0.820005253,0.857893285,0.773861393,0.521895148,0.296823548,0.0,1.804887388,0.0,0.568095703,0.0,0.612258619,9.627684931,0.89635057,0.922047617,0
RNA213_FPKM,13.07599356,8.990029178,1.388520774,0.524758687,41.53537551,0.0,11.30900829,0.769131605,0.247480832,1.294577949,0.70045914,0.0,0.806007778,0.0,0.817202331,0.521271918,0.0,0.0,0.277213511,3.352624946,0.270522151,0.834589614,0
RNA219_FPKM,29.58644021,12.74444915,1.443619019,0.54558177,65.57076722,1.792625814,11.02222629,1.599303423,0.514602363,1.884327795,0.728254237,0.737028385,0.837991177,0.0,0.0,1.083913283,0.0,0.906271939,1.729282146,2.091396783,1.125027235,0.867707176,0
RNA23_FPKM,4.699615333,14.98101442,9.898865877,1.603213257,25.85021503,2.634372837,14.39664595,3.133387648,1.260199218,1.582048726,2.853620894,0.0,0.547106931,1.566227685,6.658448752,0.7964383,0.785993207,2.663643646,2.258696396,6.82877183,0.550880082,0.849761829,1
RNA246_FPKM,8.299080831,17.63554677,1.872946616,1.651617362,78.1505893,0.775248966,9.532875788,2.074931055,0.890191241,1.629813832,2.519559138,0.0,0.966406245,0.0,4.409228492,0.234377594,0.46260758,0.783862843,3.739043153,8.441038945,2.432451493,0.750506977,1
RNA253_FPKM,3.180636307,5.91421605,2.153449889,0.81384561,23.06189518,1.783019468,10.96125394,1.590733055,0.0,2.409305321,2.17267712,0.244232126,0.555667026,0.0,4.224943845,0.0,0.265852675,0.0,2.293054581,2.772862421,0.559499212,0.862607083,1
RNA26_FPKM,2.519886764,11.60197864,6.065568139,1.432711538,53.7575843,1.882992307,17.75271576,2.519886764,0.810815299,3.110355279,0.764965625,0.0,0.586822945,0.839962255,10.70951875,0.284638372,0.28090541,4.759786109,3.027425794,7.322747861,0.886305,2.734345212,0
