,Y_RNA.226,Y_RNA.418,Y_RNA.322,RN7SL481P,AC004079.1,Y_RNA.387,Y_RNA.213,Y_RNA.398,RN7SKP292,RN7SL172P,Y_RNA.510,Metazoa_SRP.55,Metazoa_SRP.24,Y_RNA.464,Y_RNA.680,RN7SL648P,RN7SL128P,Y_RNA.655,RN7SKP80,Y_RNA.206,RN7SL263P,Y_RNA.237,Diagnosis
RNA64_FPKM,10.32030441,5.483069018,3.992431289,0.502948423,68.55822458,0.0,38.61254317,5.160535547,1.897559351,1.48892652,0.0,0.226596054,0.0,0.0,1.566474777,1.74875291,0.0,2.506794096,0.26583,1.928303151,0.259413414,0.800317979,0
RNA66_FPKM,14.21789038,6.04288933,0.0,0.727514585,35.54472595,0.797053045,12.41164857,0.0,0.0,0.478531464,0.0,0.0,0.0,0.0,0.755539865,0.240969525,0.0,0.80590919,0.768646151,0.619930146,0.0,0.0,0
RNA67_FPKM,4.071005336,12.97729652,2.204991975,0.555446325,15.47127648,0.0,20.20249404,1.628220109,1.309913389,1.64464748,2.224679403,0.500236298,1.137841559,0.0,3.460934742,0.0,0.272411941,0.923173801,4.989370142,6.388822902,2.29105737,0.88388981,0
RNA69_FPKM,6.108116291,3.245353385,2.06765882,0.520859426,48.86649873,0.856137124,12.6294836,0.763808611,0.24576807,0.771107085,0.0,0.0,0.800155639,0.0,0.811546649,0.258832154,0.0,0.865649759,1.926499546,1.99696963,1.611347908,1.656776259,0
RNA7_FPKM,9.706974962,7.735245673,4.381024098,0.82785238,57.43466628,0.906418271,9.663704345,1.618076459,0.260202091,2.450770906,2.210070192,0.99401182,0.847698156,2.42674374,3.437624211,0.0,1.352693968,0.916489585,0.874656755,3.526253507,1.137972152,0.877490029,0
RNA72_FPKM,8.237082451,9.5479755,1.351925735,0.766260796,50.17174214,0.83894912,12.38585229,2.995443294,2.409583722,1.764512191,0.68164616,0.229952921,0.261453322,0.0,3.977912354,0.25363578,1.252064216,0.848270777,1.079629739,8.48675229,0.790041303,0.812174148,0
RNA74_FPKM,9.794757028,3.716407007,0.631320168,0.238592572,13.99273183,1.568764129,8.357892233,3.49779483,0.0,0.471146983,0.0,0.0,0.0,0.0,0.743116448,0.237007239,0.0,0.792657544,2.269576481,0.609736572,0.0,0.758927436,0
RNA75_FPKM,12.76004816,5.422875024,0.575803307,0.217611283,30.6239787,0.715008502,12.3116278,0.637899742,0.0,0.0,0.0,0.391962492,0.0,0.0,0.677768476,0.0,0.0,0.722953041,0.229914395,1.668353171,0.448729474,0.692189081,0
RNA78_FPKM,11.01091153,7.52075664,1.419788932,0.53657575,95.95004669,0.881846597,8.672764207,1.572903424,0.506107726,0.529492242,1.432465619,0.0,1.098877735,0.0,1.671209888,0.533010463,0.526020162,0.0,0.850474168,2.057129825,0.27671738,0.853702556,1
RNA86_FPKM,3.032408974,11.2758896,2.73721872,1.810317732,30.32243087,0.849740976,14.62856219,3.790511217,0.243931952,1.531216413,0.690414543,0.23291093,0.0,0.758102243,4.027418168,0.513796869,0.253529275,1.718365085,1.912667851,5.287277185,1.33321429,0.822621583,1
RNA87_FPKM,5.988868313,11.81702925,7.72256361,1.459444066,33.36668909,0.959278328,12.57943956,0.855826744,0.275376429,2.304154772,1.557953501,0.0,0.896524384,0.0,4.545560164,0.0,0.286210911,2.908723556,1.233496282,5.221064683,0.601692387,0.928663062,0
RNA89_FPKM,7.376585573,3.134914984,0.0,0.50337141,69.34229857,1.653934633,12.87958285,0.737784567,0.237394403,0.496726243,0.671910945,0.226668752,1.288376247,0.0,0.0,0.0,0.740203532,0.0,0.797745857,1.929590405,0.518993281,0.800574743,0
RNA94_FPKM,49.44996882,0.0,0.0,0.0,58.57988376,0.0,19.57423761,0.0,0.0,0.0,6.235857769,0.0,0.0,0.0,1.616288635,0.0,1.780861217,0.0,2.467901308,0.0,6.957160917,0.0,1
RNA95_FPKM,7.160036035,9.297800249,7.899016141,1.899861295,23.86678678,0.0,13.89030115,2.386678678,0.511877439,4.285089778,0.724786401,0.0,0.278000263,0.795843891,1.690261962,0.0,1.330184831,2.704902502,3.154024113,9.709658539,0.839452501,0.863575286,0
RNA97_FPKM,3.750229539,6.974203583,3.385162947,0.959506889,82.51348682,2.101776994,12.92405739,3.750229539,0.603349232,4.734555676,0.853846904,0.0,0.327502922,0.0,5.978048862,0.635420952,0.0,2.125130072,3.041643995,1.63471544,0.659523126,1.017349503,0
RNA98_FPKM,6.837906039,12.45475743,4.408763692,1.332950628,39.07472858,1.09492373,15.25988298,2.93053116,1.571578224,1.31535392,1.779251061,0.0,0.682452462,0.0,3.113689357,0.0,0.0,2.214179098,1.408311794,6.812858765,1.717897576,3.179938067,1
R_JS001_FPKM,9.122870851,20.35576695,8.234803777,2.17854362,29.19386694,3.067563564,23.47331685,1.824120691,1.467899786,7.063793978,2.492395396,0.840808085,0.955987275,0.0,5.815589257,0.618140566,0.305206472,2.067336783,1.315322467,9.544519441,2.246153595,1.979365005,1
R_JS002_FPKM,32.19921702,12.07488438,10.25830885,5.169019351,20.83461996,0.707862874,15.08439486,1.263049442,0.609381523,4.250651226,1.724767346,0.581849225,1.764311399,0.0,4.695452158,0.855778951,0.211198431,2.146377142,1.592803559,2.752179366,1.776479064,0.685271506,1
R_JS003_FPKM,19.61054586,20.00255529,6.372673798,2.408401803,13.3352344,1.758909226,12.25399918,1.569222937,2.019185392,3.432848264,2.857507899,0.0,0.0,0.0,2.50010953,1.32914038,0.262394655,1.778452662,1.413679345,4.786764099,0.827622465,0.851386913,1
R_JS004_FPKM,13.14048507,20.53149212,6.279134321,1.845949454,44.83170378,1.73293214,21.30869644,2.319070952,0.994932648,3.903078061,2.112011046,1.424971308,1.890201666,0.773023651,4.928025773,0.785864575,0.258519385,1.752186942,2.507216177,2.695672218,0.815673231,1.677625795,1
R_JS005_FPKM,19.4111437,21.48365085,11.68129258,3.311072788,27.4996056,0.906525543,15.60770436,4.043814924,2.342095962,4.084132795,1.473104008,1.490852249,0.847539292,2.426288954,7.733796042,0.822197586,0.540943111,1.833196099,0.874492839,11.28193215,0.284461464,1.755187754,1
R_JS006_FPKM,11.43287951,14.74999041,5.159576493,0.835603243,36.74810292,1.830696561,9.00504795,3.266537002,1.31368693,1.924198494,2.230762228,0.50178731,1.141050596,0.816195907,4.337903715,0.276584659,0.546207826,0.925022028,1.766007637,8.54325062,0.574459955,0.885659388,1
R_JS007_FPKM,12.63307376,10.26400283,4.024785778,0.760536443,32.69696983,0.833284123,23.8999075,1.485995502,0.239207745,0.50023611,3.383678015,0.228400166,0.778768481,0.743420149,1.578870221,0.755483045,0.248619197,0.0,2.410604909,1.295483259,1.045618109,1.612463205,1
R_JS008_FPKM,10.09224758,18.7657429,6.83276164,2.295226873,9.251669354,1.885364932,10.81961677,5.046123788,1.6236739,5.945581908,2.298191419,2.067086853,1.175124718,0.841463041,4.468392164,0.855140993,0.562518717,2.859971544,1.212496175,9.531952845,3.549687078,0.913076917,1
R_JS009_FPKM,26.92989475,10.4915366,6.482072894,1.530973112,27.82765055,1.006275738,9.898726178,1.795511612,2.888379878,1.510762246,1.635198075,1.103266171,1.567674522,0.0,3.815462175,0.0,1.500855608,1.01745658,1.617529895,4.695145749,0.947287161,0.974160555,1
R_JS010_FPKM,14.56348076,11.2537938,7.170710764,2.258372482,16.5496547,2.2262609,16.42433985,1.98617394,0.851968102,3.342611904,1.205687002,0.203472282,1.387365865,0.66228233,9.143483988,0.224427899,0.221484583,2.250997132,2.147351853,12.11958026,1.862578541,2.15521002,1
R_JS011_FPKM,17.1951725,16.55680668,14.55125898,6.049319125,32.2410248,1.807188497,37.52765303,2.149320194,1.037369052,3.979640084,2.447048956,0.165177179,0.563199155,0.537635523,10.84767492,2.7313825,1.078183573,1.827268369,2.711333248,22.48626112,0.377983896,2.332241061,1
R_JS012_FPKM,12.3687384,16.64597589,8.931942842,2.531455947,35.45617971,1.84836466,23.48847558,6.596124865,2.387713969,5.273972559,3.003592573,0.0,2.304125809,0.0,7.008382669,0.27940396,0.551479292,0.934451023,3.269289573,10.78300271,2.610018373,2.684061448,1
R_JS013_FPKM,22.62905402,10.30449118,7.586609737,0.882143687,53.01578341,0.724618029,11.88227348,3.232989953,1.664308193,1.305957808,2.355008594,0.0,0.225822742,0.0,8.243194371,0.0,0.0,1.465338681,0.233004384,2.254367201,0.45476028,2.104475765,1
R_JS014_FPKM,42.47693776,16.15249895,11.70426517,0.610127838,36.21714578,2.004705753,15.20214785,4.918185866,4.603866839,3.160810287,1.628823424,0.686785009,1.24950838,1.341161876,9.026160472,0.454480104,2.54195834,2.53347359,0.966934047,13.64294273,0.157187585,1.940725782,1
R_JS015_FPKM,20.44384302,15.51515319,6.59050755,1.99250262,35.04634014,0.818187209,7.380021525,3.650913485,2.584171575,3.686866431,1.330080979,0.897226331,1.530302094,0.0,5.430242161,0.9896317,0.732538052,0.827278178,0.526392472,3.819215482,1.540855902,2.376852189,1
R_JS016_FPKM,17.15618201,21.14510543,8.671962681,0.936453368,11.66599461,0.769229552,17.65702912,4.117640544,1.987378559,4.851257451,1.874997034,1.686744319,1.198628241,0.0,7.29165513,0.697673315,0.688523501,1.555553094,1.23674716,13.76009219,1.689652499,1.489359346,1
R_JS017_FPKM,16.52941961,28.73851814,7.460180533,2.819399332,69.87393035,2.526335618,8.285187283,2.253887659,4.109758621,5.564359077,3.421493908,0.692459462,1.312353828,0.0,4.789511276,1.273114012,1.507518303,1.702679478,1.354089462,8.51488507,0.792746694,1.630225032,1
R_JS018_FPKM,12.60502914,26.78568691,6.067969396,1.720017354,22.68905245,0.942277378,24.71010177,2.521005827,1.351854724,4.808938366,2.295916021,1.549051773,2.348221033,0.840659229,5.357137383,1.708588667,1.40504245,2.857139938,1.211624861,6.593399856,0.886698601,3.64776421,1
R_JS019_FPKM,9.800364129,22.56187651,6.634759787,2.507451023,22.05169683,1.830509383,19.51297428,2.450091032,2.365072101,1.924592416,0.744044031,0.251002806,2.56756115,0.816989524,6.942546182,1.107116999,0.273222726,0.925921461,1.471680704,7.12017767,1.723512312,2.658609418,1
R_JS020_FPKM,7.841228431,21.29122724,11.79682872,1.78339915,27.88003054,3.906132799,19.21483735,2.613421119,0.560814704,3.812750445,1.587305903,0.802918537,0.608829661,1.742924129,4.628616826,1.180923869,0.873996571,2.961877268,1.256035635,3.797839447,1.532231777,0.945629049,1
R_JS021_FPKM,27.76822178,24.58632773,6.962499887,0.526353954,64.79274081,2.593797581,18.428794,4.628148625,1.985434243,3.375571179,2.107460534,0.236914903,1.616682054,0.771134781,4.098077209,0.261314776,0.51599945,0.0,1.390160467,6.724465703,0.271226716,0.836763273,1
R_JS022_FPKM,12.00060836,31.87569613,9.284362579,2.631678276,22.28622573,1.921327231,21.26680553,2.571187912,1.930697244,5.482389432,1.561078375,0.789943274,2.095996666,0.0,5.46469414,1.161732744,0.573248452,2.914012967,3.398277677,6.725400038,0.301449617,1.860008277,1
R_JS023_FPKM,41.40900565,10.15276521,8.625358055,2.988245487,22.29709345,0.89301301,15.36672628,3.185181243,2.049769632,2.412677087,2.175968101,1.712641307,0.556315902,0.796707685,3.38425507,0.809662549,0.266439947,1.804936037,1.435168447,6.942061682,0.840373887,0.864512595,1
R_JS024_FPKM,15.80212884,10.2602192,10.30135854,2.096441802,37.74890134,1.967829365,13.7142424,1.755612473,0.564897389,2.364265132,2.398292039,0.809062375,1.840068023,0.877806237,6.529542695,0.892387735,0.58712286,1.989694136,1.581912299,10.71444232,1.543728209,1.905026301,1
R_JS025_FPKM,35.76559944,12.09113716,6.603701091,1.386391118,22.7597876,1.822457577,24.64891243,1.625918034,1.046085567,3.283516595,1.480746781,0.0,0.56795767,0.812959017,2.591306867,0.0,0.0,1.842707106,1.464773655,8.503466053,0.285937309,0.882147019,1
R_JS026_FPKM,17.89844433,8.268338032,6.32178104,2.92026637,10.11647912,0.872518611,15.73260621,5.447451293,0.751168515,1.309963057,2.126075171,0.956384376,0.543565841,0.0,1.6533461,0.263784696,0.260325225,0.882213262,1.963392339,8.819494618,0.821104894,0.844672272,1
R_JS027_FPKM,39.66449149,12.31902483,6.609552975,2.497924703,43.32536138,0.683671562,13.45784685,3.661478011,0.39271373,2.464948799,3.334560331,0.37497064,0.852672961,0.0,5.835157517,0.827177757,0.408164762,0.0,0.879789769,5.851840804,1.502361618,0.661852257,1
R_JS028_FPKM,28.91224102,24.41759653,10.0376058,1.517390576,18.53323025,0.0,9.537469361,2.22401854,0.477159416,4.991283437,0.674913896,0.0,0.258871083,0.741081925,3.938639853,0.251130752,0.247837234,0.839892848,1.603179442,5.170592452,1.042897405,0.804152727,1
R_JS029_FPKM,18.6404821,13.46790575,4.711391881,2.289326857,28.33338461,0.835416914,9.59256365,1.491386743,1.199576766,3.012056493,2.037003455,0.0,1.041927725,0.745322933,4.753008061,0.252567904,0.498758845,1.690238309,0.537531618,7.15003939,1.835818216,1.618313275,1
R_JS030_FPKM,23.56994951,7.512671982,7.09160777,2.680105947,32.21275992,2.641818719,12.99561114,3.1425556,1.769546292,3.173933431,2.861970279,0.724112962,1.097742025,0.7856389,5.843189319,0.266229793,0.262738255,0.0,2.831631371,6.164243677,0.828984495,0.852501785,1
R_JS031_FPKM,12.25196383,30.68425887,6.319125374,2.985517482,0.87507496,1.961706503,18.49566778,3.500299839,1.126279444,2.356637516,2.390829801,2.150786648,2.139738087,1.75014992,3.719068579,2.075759207,0.585296039,0.991751621,0.946194126,7.629655788,1.846709915,1.899098849,1
R_JS032_FPKM,40.39658038,7.153867748,1.82302614,0.459378799,30.97088479,1.509387481,4.94970309,1.3466104,1.083142633,2.493132003,1.83930316,0.20677016,0.0,0.0,1.43077355,0.228065426,0.450341839,0.762752146,2.183974333,3.521904122,0.710351565,1.46121554,1
R_JS033_FPKM,36.79857807,7.997663377,6.039278874,1.711874435,52.68879624,0.0,14.6018221,1.672431927,0.269202434,1.407634603,1.523107648,0.0,1.168706848,0.0,1.776958923,0.283512198,0.0,0.948190794,1.808658856,3.645412689,0.882500786,0.90784225,1
R_JS034_FPKM,16.45961122,23.31778256,7.075246587,1.871661476,27.43268536,0.87866697,20.16673086,2.351726302,1.51314854,4.221686308,2.854916952,0.722518322,0.821493434,0.0,7.495251771,1.06229468,0.524319307,0.888429936,2.82509846,10.24967741,1.654027887,2.551873222,1
R_JS035_FPKM,31.99623818,18.61647833,11.00217585,2.079148998,26.66353182,0.854170343,23.10186011,1.523272282,0.980545032,1.538635472,0.0,0.0,1.064495805,0.0,2.428159103,2.065334054,0.0,0.863661125,2.196698058,8.63369741,0.53577163,0.826909587,1
R_JS036_FPKM,16.80107941,17.85114688,6.950830858,3.582235918,9.800758592,2.354214169,19.2988926,2.100328327,0.675815424,3.299265269,3.187998354,1.075469324,0.978235111,0.0,5.950108309,1.423478335,0.936539844,1.586914736,2.270747564,5.492491972,0.73873617,1.519386449,1
R_JS037_FPKM,26.63935194,15.09606725,9.618271718,1.817673879,31.96763125,0.0,26.1111769,4.43989199,1.999986502,2.989234211,0.0,0.272938274,1.550921175,0.888387322,4.71738524,1.203499921,1.187716315,1.006838965,1.600243756,9.289441916,0.937042224,0.963994754,1
R_JS038_FPKM,29.4294398,14.29469242,5.31307152,0.286850015,34.47462536,0.942507193,6.954174692,2.52259278,0.541124003,4.245948244,2.297361282,0.0,2.937265566,0.84086426,4.467091382,1.70966421,0.843621192,0.952979495,1.818406103,2.932244599,0.887256771,0.912427176,1
R_JS039_FPKM,55.49134816,17.76862239,5.489196623,0.518561559,16.72340931,0.85192256,15.3674572,1.520097118,1.467600355,0.767573792,2.769458986,0.467017789,0.265496414,1.520097118,3.231035483,2.318286284,0.762540521,0.861388367,2.191799358,6.626744653,1.871566432,1.649467085,1
R_JS040_FPKM,26.04446432,15.09387476,7.124268977,1.884526371,29.20117797,0.884573603,10.15339807,2.367535231,1.015724894,3.71956167,2.156148157,0.0,0.27567191,0.78917841,4.192510305,1.337146144,1.319609801,0.0,2.844672772,4.128010147,0.555146192,0.85634253,1
R_JS041_FPKM,15.50078521,21.67035598,6.627934693,0.556604329,23.65885846,0.914921354,11.24532165,0.816253365,1.574997107,2.746282084,1.48593477,1.002558399,0.569947583,0.0,2.600859766,1.382416052,1.091309471,1.84916327,2.646489824,7.82377192,1.147756512,0.885721736,1
