,ENSG00000005513,ENSG00000006118,ENSG00000007062,ENSG00000018625,ENSG00000019582,ENSG00000020181,ENSG00000021300,ENSG00000034971,ENSG00000041982,ENSG00000047457,ENSG00000048545,ENSG00000054654,ENSG00000058668,ENSG00000059804,ENSG00000064300,ENSG00000070729,ENSG00000078674,ENSG00000079215,ENSG00000079819,ENSG00000080166,ENSG00000080644,ENSG00000080823,ENSG00000080824,ENSG00000081148,ENSG00000081479,ENSG00000083067,ENSG00000085552,ENSG00000087086,ENSG00000087274,ENSG00000089057,ENSG00000089280,ENSG00000092200,ENSG00000096384,ENSG00000099814,ENSG00000100285,ENSG00000100503,ENSG00000101265,ENSG00000104237,ENSG00000104419,ENSG00000104722,ENSG00000104852,ENSG00000105392,ENSG00000106078,ENSG00000106772,ENSG00000107165,ENSG00000107317,ENSG00000107736,ENSG00000109047,ENSG00000110092,ENSG00000111664,ENSG00000112041,ENSG00000112619,ENSG00000112706,ENSG00000112902,ENSG00000113070,ENSG00000113262,ENSG00000113319,ENSG00000113657,ENSG00000114349,ENSG00000115306,ENSG00000115380,ENSG00000115461,ENSG00000116133,ENSG00000116560,ENSG00000118271,ENSG00000118785,ENSG00000120500,ENSG00000120549,ENSG00000120738,ENSG00000120885,ENSG00000121769,ENSG00000122641,ENSG00000123384,ENSG00000123416,ENSG00000124942,ENSG00000125462,ENSG00000125730,ENSG00000127603,ENSG00000127663,ENSG00000127914,ENSG00000128578,ENSG00000129244,ENSG00000130561,ENSG00000130723,ENSG00000131016,ENSG00000131095,ENSG00000131389,ENSG00000131480,ENSG00000131711,ENSG00000132386,ENSG00000132470,ENSG00000132475,ENSG00000132915,ENSG00000133256,ENSG00000135094,ENSG00000135406,ENSG00000135931,ENSG00000136235,ENSG00000137497,ENSG00000137573,ENSG00000137766,ENSG00000137877,ENSG00000140443,ENSG00000140522,ENSG00000140545,ENSG00000142798,ENSG00000142949,ENSG00000143248,ENSG00000143878,ENSG00000144406,ENSG00000145555,ENSG00000145675,ENSG00000148400,ENSG00000148600,ENSG00000148604,ENSG00000149294,ENSG00000150275,ENSG00000151062,ENSG00000151914,ENSG00000154277,ENSG00000156194,ENSG00000157890,ENSG00000159399,ENSG00000160111,ENSG00000162998,ENSG00000163629,ENSG00000163914,ENSG00000164236,ENSG00000164318,ENSG00000164742,ENSG00000165238,ENSG00000166963,ENSG00000166987,ENSG00000167615,ENSG00000167978,ENSG00000167986,ENSG00000167996,ENSG00000168066,ENSG00000168263,ENSG00000169710,ENSG00000169762,ENSG00000170345,ENSG00000171603,ENSG00000172493,ENSG00000173706,ENSG00000175899,ENSG00000176406,ENSG00000177359,ENSG00000179270,ENSG00000179604,ENSG00000181222,ENSG00000182253,ENSG00000182985,ENSG00000183638,ENSG00000183914,ENSG00000185567,ENSG00000185664,ENSG00000187033,ENSG00000187775,ENSG00000188770,ENSG00000189223,ENSG00000196576,ENSG00000197406,ENSG00000198408,ENSG00000198691,ENSG00000198712,ENSG00000198727,ENSG00000198744,ENSG00000198763,ENSG00000198786,ENSG00000198804,ENSG00000198840,ENSG00000198886,ENSG00000198888,ENSG00000198899,ENSG00000203485,ENSG00000204469,ENSG00000204525,ENSG00000204580,ENSG00000205581,ENSG00000212907,ENSG00000213626,ENSG00000229807,ENSG00000237412,ENSG00000244731,ENSG00000245532,ENSG00000248527,ENSG00000248905,ENSG00000249364,ENSG00000251562,ENSG00000253406,ENSG00000260037,ENSG00000260254,ENSG00000265203,ENSG00000274012,ENSG00000275023,ENSG00000275395,ENSG00000277586,ENSG00000278570,ENSG00000281508,Disese Group
sample_01,1157,2167,8109,1062,945,384,9874,0,539,1304,9872,26900,6182,4025,1418,19979,10198,4906,22752,34,601,5462,29159,12437,4658,3128,4958,2811,22429,11838,3885,7959,17513,9101,10205,6413,9805,26539,3653,20583,3068,14037,2287,24191,541,4789,2582,14052,217,6513,6208,23068,5024,1523,112,7264,4072,9848,26696,35498,768,4255,8966,5299,1618,4479,5180,2406,580,16371,1641,33,10276,19964,3377,2823,468,43625,5879,12317,1995,8993,37629,14397,14485,8726,33571,155,148683,1089,1049,7425,75095,13794,0,2981,6842,73,7657,2036,9419,11375,9009,2507,9754,409,5114,1103,4084,10760,2065,6362,1470,16765,5445,12282,5269,10989,49905,12608,9740,1198,12046,123,5086,12228,52047,8516,2071,12680,15369,43426,1663,37709,20830,13152,11787,4061,6667,19286,3305,3473,15296,9492,4826,821,21068,15196,5176,4153,7362,3488,16152,6237,3567,60798,49,2464,3883,1,361,2122,0,10390,36696,20109,23634,1445,9138,25319,130643,964,39156,19889,19305,556,5812,903,1525,6915,9544,3130,49998,140,73,95459,2840,17122,228,668383,779,1675,8453,16527,436022,12060,264,70306,5786,114210,0
sample_02,517,6026,12419,1897,802,428,11059,0,499,3218,10318,26690,6483,3770,2085,30268,10678,8137,12812,11,2221,3372,130147,30438,4522,3669,4137,5412,24034,12424,3491,7256,56524,10038,19764,9007,6898,18777,4604,28713,5638,14108,2673,39941,636,3066,3821,20250,498,17439,7577,25222,13352,2308,88,7318,5224,13869,20835,34474,1516,3439,21803,7205,1883,3038,6223,3454,136,24503,6845,35,14588,27824,4400,1449,883,57415,8730,14666,1529,15035,28624,20602,36423,10751,15044,260,210256,2012,1069,5319,36311,13469,0,18466,10989,229,8551,5119,16815,12060,12409,2985,16038,464,5709,677,1467,7643,3030,4381,2263,19118,4404,16563,6461,9023,55707,19688,7579,2014,17310,149,7318,10617,68737,14954,3647,20545,17646,53904,1571,23468,23439,15145,11944,5442,13129,35943,4856,682,21755,10547,6939,6336,22665,13728,3806,3320,7881,7714,10532,15146,1519,53665,1,1428,1232,0,15,2340,0,12132,48563,18455,28192,2,13651,36890,142117,2045,42968,24348,17560,961,7545,405,1725,4466,9907,3862,15,36,298,51769,2594,19116,720,797315,543,3753,3674,52756,730083,14023,495,82175,12590,125836,0
sample_03,677,3457,14393,1067,723,535,11915,0,585,2199,11342,27737,6642,4995,1956,30934,10700,6473,14696,29,1647,2717,57647,24971,5021,3542,4629,3427,22617,12623,3616,6440,30339,11912,19323,7994,8182,19958,4550,31324,5369,15348,2466,40512,622,4146,4873,18671,200,13572,7928,25641,11581,2660,118,7709,4388,11509,28084,42561,1074,6229,17994,5313,1012,3546,10791,2785,126,16179,5055,25,12746,26412,3414,2091,455,52392,9710,14305,1325,13261,24768,18350,31641,6796,21569,168,217258,1471,1126,4888,52309,14423,3,15768,9904,138,8232,3069,10216,14096,11824,3128,10424,295,5334,1016,1985,9314,2225,3918,2080,20542,5579,16096,7355,12892,60935,18718,4955,1502,22523,106,6626,10591,68615,14257,3303,23152,19715,51711,1803,30119,24494,14307,11721,4258,11737,32729,3187,1787,22329,9936,6539,5081,21353,13680,3347,3249,7791,8048,14538,15790,2535,74557,96,1640,2583,0,312,2591,2,9480,48030,20586,33825,3,10187,35931,158276,1430,55750,22670,21428,934,7130,803,1844,5906,12404,3877,41398,163,237,90025,3250,19641,113,628200,806,1562,5223,48519,629099,14439,231,89135,5094,129854,0
sample_04,769,2689,15736,1045,663,474,16678,2,1074,5253,13735,27176,9015,13945,1742,20679,13043,8345,21770,69,2639,3994,40438,21509,4625,2653,3600,4510,21381,17426,5340,6528,20644,8516,10791,4759,16426,32852,9808,20570,3345,17900,2155,23706,525,6909,5623,19544,223,16301,6181,27525,9811,2632,561,8401,5245,13208,39715,48796,1319,15153,9310,5825,1281,5355,5199,1758,2953,22038,1746,378,11556,25382,3396,2097,461,43701,8939,15432,1492,12287,50469,17817,25292,11444,45573,122,174997,2164,2301,14670,69984,17793,1926,5033,7364,125,9558,4701,9111,10173,11736,4618,7232,274,4725,1085,2705,10915,1713,3741,2235,16843,6086,13661,7742,11755,53548,13440,7325,960,30725,109,8153,11799,73543,16190,3162,21468,19522,39440,2113,37370,23208,14216,16716,5515,8435,18926,2553,4117,22003,10871,4588,3677,22319,15796,4445,3241,12485,6065,20619,10591,3359,63918,24,1910,8655,0,348,3311,1,11707,40954,16084,28990,5,8197,28139,164294,1277,46619,20515,19880,1233,6382,330,2231,12964,9037,5065,36,6243,232,70153,2601,17919,96,760601,445,1161,2502,48727,508048,13397,201,75128,4879,129878,0
sample_05,1991,4840,24831,3666,1759,849,25950,0,2157,12463,17957,47931,9892,12544,3209,46015,15915,8876,36881,59,1884,7886,38346,60868,13831,4547,8506,6354,35288,22245,6538,12903,17741,9426,5393,6714,23326,48134,5535,9530,4451,32395,3013,13896,1846,10958,6381,29799,518,22225,13739,55847,29014,2924,357,11545,7757,17945,74111,38447,987,11111,5041,8822,4061,7592,7238,4020,2755,34845,584,291,16924,21071,6573,4196,1904,63239,11753,21660,2885,18561,90349,20997,13429,29668,66750,136,136940,3786,3884,15854,145152,26926,185,945,13104,356,11954,6186,13921,20420,14400,7320,21390,459,8492,1247,3185,16412,2583,9430,2989,40439,9576,17403,10861,18023,47051,8224,16085,1645,27519,146,14333,27604,226840,18269,5695,24946,23268,28337,3227,63353,29264,22423,24692,8000,14611,11433,2808,8779,29789,16931,9145,5915,33475,32163,8531,6265,13975,5301,30452,18881,8468,33656,45,3936,8608,1,475,3975,10,14847,92291,20530,40766,5,11022,39989,197218,1720,53195,28112,22046,1422,9136,1615,3186,21015,10504,5541,62011,2532,527,60693,2758,25672,194,844653,1875,3333,9463,173981,642750,18433,898,41417,12678,154258,0
sample_06,490,3814,15853,2220,1218,477,14900,5,1399,3003,18195,35806,9058,3907,2019,19295,12510,6342,20444,29,1448,3901,45795,46097,9338,5595,6507,4486,28986,20184,6371,9251,27583,16014,13057,8423,10906,29646,5530,27352,4361,19654,3199,32685,916,5742,4322,20328,429,13245,7677,35591,27570,3167,140,7264,5922,17590,42695,41306,2151,4418,11643,7657,2171,4470,12771,3647,134,25860,1983,34,15417,35801,4359,2039,1800,55869,5308,18410,2491,13927,60391,18921,17064,13530,42678,137,225401,2963,1488,9789,64668,12474,0,3229,5938,167,10355,3296,11576,13858,12651,4980,13059,516,7426,1238,2614,13491,3007,5440,1964,32379,5795,18380,7357,11757,67307,19767,15668,1449,5430,207,8625,19206,136004,15122,3986,19666,13568,62761,1954,25939,22551,19048,18025,6527,12491,21982,2305,191,31742,10987,11033,4888,24547,14069,5532,4737,10610,5596,18394,8561,4320,81951,21,4244,3750,0,6,2955,1,12601,50423,14114,30136,5,6778,22408,175266,1100,33975,16215,14800,787,8509,481,2623,9851,6428,8012,47681,36,260,35290,1741,25347,193,741734,780,1505,2876,108179,595619,14484,421,110276,5978,127037,0
sample_07,874,4026,16328,2102,1127,633,15349,0,715,5767,13220,29929,11253,4132,2911,21085,14022,8282,23374,87,2551,4684,54149,42268,7948,5116,6244,5775,26582,20863,5982,8383,32652,11805,15456,9275,11337,25331,6735,29272,6169,20988,3126,36221,596,5416,4420,26573,229,16198,7711,35889,20575,3637,170,10876,6101,19750,39038,47642,1796,3389,10962,8942,2317,3160,9181,3806,437,25465,1012,40,16430,31029,4881,3556,1078,64451,7727,17984,3214,18042,30208,24218,16479,8741,25190,181,230438,2475,2089,11353,49895,13844,1,7277,7882,307,12359,4421,15455,14613,15228,4963,14963,583,8252,805,2697,13792,3003,5460,2490,27278,4647,21530,8299,14138,67347,20760,14310,2166,10062,117,8654,20534,117500,18108,5128,23011,18255,65607,2615,37373,26558,20350,18255,6617,14882,18459,4121,441,28255,11839,11143,4590,29940,17225,6207,6140,13267,6863,16778,13804,3127,100822,47,2112,6178,0,1065,3561,1,16123,56828,22050,41447,6,10603,35516,200828,1532,50777,27779,25480,1082,10469,953,2854,9738,10391,8356,36,31,467,35868,2974,26256,659,888387,711,2552,3899,111141,639997,15927,792,104426,8431,113957,0
sample_08,947,3590,13710,581,785,506,12347,0,440,2875,14971,27689,6509,3614,1581,26582,9902,5612,22106,67,1316,5524,32973,25330,4535,3914,6563,3323,26934,16631,4809,8441,18152,12739,8466,5721,8108,26228,4171,19216,3640,23571,2732,17660,729,4409,4316,16951,273,11931,7711,30724,14592,2733,99,10731,4552,10127,38036,33289,418,6184,6155,5928,2631,4158,7813,3076,293,19344,1064,39,11063,20230,2291,2911,438,45295,7387,12823,1897,13399,62598,15625,10823,4155,41953,173,135307,1708,1268,10470,82455,14341,4,1597,8230,180,8170,3647,7718,13952,9353,5893,13349,370,4812,1389,2605,11323,1975,5786,2138,21608,8012,13311,8155,12476,46884,12214,14667,1716,16840,145,9581,15884,105457,11127,2965,16986,18225,38514,2354,39029,19056,15832,10944,4363,10764,11408,2130,3001,23245,11163,6893,3419,21013,20355,5501,5870,9015,3415,23119,12555,5623,44626,14,3168,5968,0,442,2631,0,10277,60515,10930,31020,8,8568,31524,119004,1460,43088,20677,18398,1424,6433,897,2073,11449,9259,2993,46295,96,139,34611,2855,18488,177,663789,1240,2529,8370,72546,422433,12798,239,62425,8481,110692,0
sample_09,512,4385,17503,1136,2971,461,13893,1,606,4340,16214,44441,6461,3561,2488,37924,10352,6322,26123,33,1019,7128,46296,43288,6427,2987,8951,4583,30645,14432,5849,8274,17444,14077,6967,7982,12309,39294,5679,14728,5461,22626,2543,21499,215,1848,2023,26374,323,13861,11872,45481,22799,2142,90,9873,5967,18030,48162,27392,1080,1589,9190,7914,562,2558,8193,2087,40,15669,1753,39,11165,16177,3821,1497,2304,58589,5774,18855,1499,19291,71995,18882,17414,9676,28817,157,124590,1364,1158,9079,75653,20291,0,3791,8067,67,10264,3407,9992,21341,12080,1812,22524,908,6014,1346,1575,11505,1935,3933,1214,32769,1594,14076,9041,17401,47977,8211,20280,3446,6064,119,3562,20181,159295,18056,3024,20371,14287,29265,2491,43660,23247,20095,12570,6413,14971,18083,1867,484,23895,11713,13301,4575,34219,20811,7191,3642,9559,4676,17511,17085,3497,27919,6,4017,1593,0,590,2397,1,11526,73557,16797,29454,2,14908,39920,117796,2070,51536,28293,20899,487,8428,2062,1379,9617,11196,6099,24,21,224,24600,3044,21022,86,620808,1175,4344,7538,123679,553502,16310,2638,38921,14948,88775,0
sample_10,1156,3139,14721,649,1051,375,13918,0,649,7253,14960,32339,5795,5832,1656,27996,11490,5581,22496,59,1108,4273,28176,32318,3882,2865,6288,3742,24650,15339,4997,9197,12644,11630,6127,5030,15165,30924,4733,12468,3458,19042,2861,11866,502,5302,4000,16577,176,13508,9918,36229,16169,2592,127,6867,5165,13132,43935,28500,671,11971,4028,6987,1655,4472,6569,2684,1524,14375,478,32,9978,15037,2925,2371,686,45927,7120,15249,1532,13230,58710,16547,9587,6647,35745,75,103035,1631,1840,9976,94222,18418,54,1334,9710,188,7871,4232,9166,13798,10178,5292,14980,229,5126,476,2261,10708,1935,5149,2014,23901,8138,12285,7831,12827,38823,7484,5064,1427,18665,122,8903,19446,108782,14188,3892,19737,16530,24257,2291,38131,19650,16616,12721,5819,12061,8818,2679,4247,19738,11026,7967,2439,25391,18898,6135,4006,10458,4180,19839,17181,4536,31751,11,3531,7306,0,143,2417,1,9387,56677,9268,21428,3,5993,24025,89944,926,31163,14143,12341,1038,6906,298,2020,9471,6322,4413,40607,648,218,38986,1709,19467,280,571710,1500,2387,4215,73392,437208,12447,580,37792,10044,85578,0
