,ENSG00000004777,ENSG00000011143,ENSG00000019485,ENSG00000059804,ENSG00000072135,ENSG00000074800,ENSG00000081791,ENSG00000083223,ENSG00000089116,ENSG00000102178,ENSG00000104320,ENSG00000107902,ENSG00000108984,ENSG00000110777,ENSG00000112335,ENSG00000112337,ENSG00000112855,ENSG00000112877,ENSG00000120451,ENSG00000120699,ENSG00000122126,ENSG00000124116,ENSG00000124614,ENSG00000128298,ENSG00000130300,ENSG00000130822,ENSG00000131730,ENSG00000132259,ENSG00000136040,ENSG00000137393,ENSG00000138472,ENSG00000139835,ENSG00000141376,ENSG00000143379,ENSG00000143457,ENSG00000145075,ENSG00000147206,ENSG00000147439,ENSG00000156500,ENSG00000160298,ENSG00000161921,ENSG00000164099,ENSG00000164932,ENSG00000167202,ENSG00000168122,ENSG00000168256,ENSG00000168264,ENSG00000168542,ENSG00000168675,ENSG00000169188,ENSG00000171711,ENSG00000172243,ENSG00000172922,ENSG00000173457,ENSG00000176728,ENSG00000177047,ENSG00000178125,ENSG00000179055,ENSG00000182141,ENSG00000182704,ENSG00000183617,ENSG00000183742,ENSG00000184454,ENSG00000188672,ENSG00000189067,ENSG00000197548,ENSG00000197888,ENSG00000198155,ENSG00000198363,ENSG00000198752,ENSG00000198771,ENSG00000198786,ENSG00000199636,ENSG00000200432,ENSG00000200478,ENSG00000200560,ENSG00000200680,ENSG00000200817,ENSG00000202440,ENSG00000204172,ENSG00000204267,ENSG00000204371,ENSG00000204682,ENSG00000206939,ENSG00000207308,ENSG00000207397,ENSG00000207443,ENSG00000213014,ENSG00000215492,ENSG00000220744,ENSG00000221783,ENSG00000221970,ENSG00000222312,ENSG00000222579,ENSG00000223396,ENSG00000223660,ENSG00000223744,ENSG00000224070,ENSG00000224205,ENSG00000224459,ENSG00000225071,ENSG00000225246,ENSG00000226080,ENSG00000226506,ENSG00000226578,ENSG00000226824,ENSG00000226987,ENSG00000227436,ENSG00000227930,ENSG00000228076,ENSG00000228784,ENSG00000229197,ENSG00000229299,ENSG00000229901,ENSG00000230166,ENSG00000230606,ENSG00000231665,ENSG00000232241,ENSG00000233828,ENSG00000233859,ENSG00000234016,ENSG00000235782,ENSG00000236327,ENSG00000236990,ENSG00000237007,ENSG00000237032,ENSG00000237470,ENSG00000241484,ENSG00000242362,ENSG00000242412,ENSG00000243319,ENSG00000244153,ENSG00000244326,ENSG00000247925,ENSG00000248444,ENSG00000249055,ENSG00000249142,ENSG00000249209,ENSG00000249506,ENSG00000249997,ENSG00000250219,ENSG00000250483,ENSG00000250892,ENSG00000251079,ENSG00000251813,ENSG00000252086,ENSG00000252202,ENSG00000252449,ENSG00000252563,ENSG00000253270,ENSG00000253605,ENSG00000254013,ENSG00000254054,ENSG00000254112,ENSG00000254219,ENSG00000254469,ENSG00000256450,ENSG00000257376,ENSG00000257835,ENSG00000258636,ENSG00000258910,ENSG00000259134,ENSG00000259755,ENSG00000259810,ENSG00000260874,ENSG00000261067,ENSG00000262136,ENSG00000262154,ENSG00000263485,ENSG00000263793,ENSG00000265724,ENSG00000265944,ENSG00000266071,ENSG00000266325,ENSG00000266502,ENSG00000267096,ENSG00000267567,ENSG00000268204,ENSG00000268297,ENSG00000269469,ENSG00000269707,ENSG00000270333,ENSG00000270432,ENSG00000271390,ENSG00000272592,ENSG00000272655,ENSG00000272664,ENSG00000274317,ENSG00000275234,ENSG00000277289,ENSG00000278955,ENSG00000279181,ENSG00000279400,ENSG00000279879,ENSG00000280152,ENSG00000280441,ENSG00000280767,ENSG00000281344,ENSG00000282973,ENSG00000283623,Disese Group
sample_01,1324,412,835,4025,644,12409,1363,881,0,534,580,369,391,148,862,0,571,211,3943,416,1831,234,89,162,0,463,22,32,248,232,1004,375,1349,1162,476,161,0,599,284,262,180,116,13,997,0,419,2551,0,2116,124,0,39,418,77,0,0,32,0,775,235,274,4,35,56,303,960,0,357,6851,5102,21,25319,1,0,17,0,23,0,0,397,697,1549,149,0,0,0,0,2,11,26,4,0,3,0,22,0,0,0,0,1,0,4,0,1,187,575,6,19,0,0,103,0,19,5,0,9,7,0,2,1,0,0,0,0,4,0,0,146,0,20,287,1,0,30,0,12,5,1,2,0,0,0,0,48,0,0,31,0,0,0,2,0,0,0,0,203,1,3,29,33,0,3,6,3,37,49,37,0,34,5,0,0,20,0,1,24,0,6,9,0,2,0,0,0,0,96,0,1,4,0,0,0,183,13,155,1,8,42,0,0,0
sample_02,1340,433,1179,3770,727,16127,1381,976,0,796,628,411,434,206,2023,0,589,267,4699,399,2105,250,96,156,2,549,33,133,268,315,1253,553,1430,1075,777,231,1,834,293,307,188,85,9,1225,0,515,3417,7,4042,180,0,14,1231,108,243,0,41,0,644,263,376,0,41,46,482,1151,2,214,6740,6123,44,36890,7,0,13,0,23,0,0,34,220,1880,234,0,1,0,0,0,16,58,0,0,0,0,49,0,0,0,0,2,0,0,0,0,40,256,10,23,0,0,158,0,60,1,0,30,24,0,2,1,0,0,0,0,1,0,2,25,0,26,378,0,0,31,0,22,4,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,3,139,1,3,42,41,0,3,21,9,16,85,94,0,26,0,0,0,24,0,4,38,0,4,39,0,8,0,0,0,0,175,0,3,14,0,0,0,135,17,541,0,5,41,0,0,0
sample_03,1598,414,941,4995,803,21407,1488,928,0,683,657,499,344,371,1316,3,669,194,4001,446,1846,106,124,172,1,496,27,58,280,203,1571,329,1454,1046,664,214,3,935,282,314,150,49,21,1183,0,500,3050,20,4202,176,0,18,852,111,0,0,35,0,710,350,368,5,50,65,409,985,0,283,7039,5564,17,35931,5,0,8,1,28,0,0,337,196,1865,292,0,0,0,0,0,18,41,4,0,3,0,26,0,0,0,0,1,0,4,0,0,81,464,2,22,0,0,139,1,20,4,0,5,21,0,0,0,0,0,0,0,1,0,1,51,0,18,398,2,0,27,0,14,2,1,1,0,0,0,0,46,0,0,27,0,0,0,0,0,0,0,6,159,1,1,50,41,0,2,19,4,24,67,72,0,27,3,0,0,6,1,1,50,0,10,134,0,0,0,0,0,1,129,0,2,3,0,1,0,180,14,380,0,3,47,0,0,0
sample_04,1499,376,913,13945,628,23675,1327,1088,1,542,770,559,230,150,1099,0,741,191,3774,428,2105,142,89,107,1,951,33,39,283,213,1322,327,1590,1200,489,249,0,2004,241,224,200,61,10,1750,0,609,4498,2,3031,133,0,19,387,94,188,0,42,0,897,574,425,10,34,70,1586,1069,0,358,7624,5620,15,28139,1,0,11,0,26,0,0,349,360,1897,185,0,0,0,0,1,8,21,1,0,0,0,22,1,0,0,0,0,0,6,0,1,121,725,1,16,0,0,68,1,48,6,0,8,4,0,0,0,0,0,0,0,3,0,1,69,0,12,254,2,0,15,0,5,4,0,0,0,0,1,0,41,0,0,15,0,0,0,4,0,0,0,3,146,0,3,31,26,0,1,15,9,22,53,30,0,22,4,0,0,7,0,2,13,0,12,3,0,3,0,0,0,2,94,0,1,4,0,4,0,211,19,228,0,6,34,0,0,0
sample_05,2049,692,986,12544,999,24346,1873,1279,0,514,961,608,411,85,1326,0,780,353,4977,580,2364,166,105,161,3,1191,43,51,380,427,1555,765,2106,1652,787,360,0,1830,442,440,251,44,22,1389,0,808,4680,5,4328,130,0,58,604,102,0,0,81,0,879,519,578,3,56,86,1155,1281,0,499,9076,6825,66,39989,4,0,18,0,31,0,0,286,478,2475,174,0,0,0,0,3,6,61,3,0,1,0,29,0,0,0,0,1,0,1,0,1,175,1284,3,29,0,0,73,0,80,5,0,15,28,0,1,1,0,0,0,0,5,0,3,59,0,17,319,1,0,16,0,6,4,6,0,0,0,0,1,43,0,0,41,0,0,0,0,0,2,0,0,228,1,2,21,19,0,3,11,4,37,71,68,0,33,4,0,0,4,1,0,50,0,6,51,0,4,0,0,0,0,170,0,2,9,0,2,0,251,43,266,0,5,45,0,0,0
sample_06,1537,557,1692,3907,927,18831,1797,1345,0,977,1272,534,484,128,1344,0,747,260,4887,458,2733,178,135,126,0,603,51,39,347,306,2559,544,2345,1586,723,241,0,768,349,349,230,91,19,1119,1,780,3066,7,1830,205,0,43,727,104,0,0,46,0,990,320,539,4,66,104,378,1283,0,465,7773,6737,37,22408,4,0,17,0,32,0,1,436,709,2561,261,0,0,0,0,3,22,34,0,0,1,0,29,0,0,0,0,0,0,4,0,2,123,228,2,15,0,0,112,0,35,1,0,9,10,0,0,1,0,0,0,0,2,0,0,69,0,17,316,0,0,13,0,9,4,3,1,0,0,0,0,55,0,0,23,0,0,0,1,0,1,0,1,200,1,1,41,58,0,4,3,3,43,48,41,0,28,4,0,0,12,0,2,27,0,6,11,0,2,0,0,0,0,148,0,1,9,0,0,0,149,34,157,0,4,40,0,0,0
sample_07,1889,679,1482,4132,1042,19412,1912,1243,0,902,1198,485,586,452,1470,0,852,341,5371,625,3026,259,168,163,3,799,30,87,370,330,1836,474,1962,1619,923,263,1,960,427,408,245,118,21,1562,1,829,4045,3,2581,242,0,31,964,155,257,0,48,0,881,294,489,4,45,108,425,1431,0,512,7935,7606,36,35516,6,1,6,0,35,0,0,479,415,2681,339,0,0,0,0,1,16,65,4,0,0,0,53,0,0,0,0,0,0,1,0,0,82,532,3,27,0,0,80,0,45,8,0,25,33,0,1,0,0,0,0,0,2,0,5,35,0,20,400,2,0,18,0,11,2,4,0,0,0,1,0,66,0,0,26,0,0,0,3,0,0,0,1,233,3,4,42,79,0,5,11,1,50,77,66,0,23,2,0,0,16,0,0,49,0,3,70,0,1,0,0,0,0,179,0,4,9,0,0,0,164,44,362,0,7,44,0,0,0
sample_08,1638,462,951,3614,672,17070,1403,826,0,509,725,387,337,100,956,0,565,259,3364,411,1773,166,93,130,0,822,37,45,261,270,1355,449,1619,1063,459,240,3,712,270,310,153,37,14,730,1,564,2339,4,3030,118,0,20,428,56,0,0,36,0,653,251,380,0,13,85,388,1036,0,350,7567,5075,15,31524,2,0,7,0,35,0,0,334,481,1873,150,0,0,0,0,0,11,35,1,0,0,0,24,0,0,0,0,0,0,1,0,0,89,796,0,14,0,0,131,0,46,6,0,18,13,0,1,0,0,0,0,0,5,0,5,47,0,22,336,0,0,17,0,11,4,1,0,0,0,2,0,54,0,0,20,0,0,0,1,1,0,0,0,182,0,0,19,41,0,3,9,2,45,54,55,0,20,0,0,0,11,0,0,25,0,13,8,0,2,1,0,0,1,102,0,0,6,0,0,1,138,19,149,0,8,22,0,0,0
sample_09,1722,555,936,3561,922,8000,1537,1044,0,519,644,427,323,56,880,0,666,277,3848,403,1814,194,88,141,7,637,37,42,252,208,1285,608,1663,1259,535,262,4,884,470,374,195,114,11,908,0,549,2347,31,1909,150,0,50,855,93,218,0,51,0,625,188,439,5,21,50,294,1164,0,219,6339,5796,62,39920,6,0,6,1,29,0,0,398,437,2083,178,0,0,0,0,8,11,71,7,0,2,0,25,0,0,0,0,1,0,0,0,0,59,685,2,26,0,0,69,0,56,3,0,21,26,0,1,2,0,0,0,0,5,0,2,15,0,30,370,1,0,36,0,10,6,2,0,0,0,1,0,63,0,0,29,0,0,0,0,1,2,0,0,203,0,0,41,28,0,3,16,3,33,67,79,0,28,5,0,2,14,1,0,46,0,8,6,0,1,0,0,0,0,167,0,1,5,0,0,0,176,19,320,1,1,49,0,0,0
sample_10,1447,459,925,5832,823,14384,1339,947,0,465,708,399,225,136,734,0,566,288,3162,372,1676,210,59,113,0,739,18,34,322,202,1029,489,1568,1094,458,193,0,1120,235,328,171,36,9,841,1,563,2882,0,3109,135,0,22,551,63,0,0,32,0,592,309,321,4,25,72,483,1061,0,293,6658,5059,20,24025,2,0,9,0,28,0,0,98,335,1848,118,0,0,0,0,3,18,31,3,1,1,0,21,1,0,0,0,0,0,1,0,1,101,694,9,21,0,0,79,0,63,0,0,14,15,0,2,0,0,0,0,0,4,0,3,41,0,21,304,0,0,18,0,13,2,1,0,0,0,0,1,4,0,0,33,1,0,0,0,0,0,0,0,175,0,2,22,24,0,0,8,5,32,61,42,0,31,1,0,0,18,1,0,37,0,13,6,0,2,0,0,1,0,132,0,1,8,0,3,0,193,31,256,0,4,32,0,0,0
