,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,MIR635,MIR1255A,MIR4632,MIR8075,MIRLET7B,MIR590,Diagnosis
R_JS030_FPKM,7.454434215,1.17845835,0.94276668,5.272050514,8.129654705,1.800790288,9.071905789,91.45306302,0.921093883,4.674551455,4.579152446,9.813283975,0.0,6.568456378,2.003379195,0.965483949,8.261357506,1
R_JS031_FPKM,3.113638811,1.31261244,179.5763545,7.046656255,9.055123497,2.005789796,6.736426106,73.51068572,2.051899906,11.15798297,11.47731545,13.66283629,0.0,5.852960387,3.347161721,1.075393324,10.12296261,1
R_JS032_FPKM,2.395371557,0.0,183.4010637,1.807292905,2.985535563,0.771322395,7.774769477,60.59504374,0.789053944,3.433856519,1.962203725,2.803148179,0.0,4.503418385,0.858096164,0.82708064,3.53975479,1
R_JS033_FPKM,0.992292691,0.0,1.003966723,4.49029473,7.418122552,1.916719737,4.828777888,106.3808824,0.0,2.843853329,4.875177136,13.05652912,0.0,6.99202106,5.331416058,1.028158692,15.82953693,1
R_JS034_FPKM,9.296544934,2.351726302,153.3088151,5.259334117,12.74460116,1.796824591,6.033032049,66.7791354,0.919065452,3.99723406,9.136935368,15.499622,0.707599064,17.0376208,5.995851089,8.669206868,7.417981134,1
R_JS035_FPKM,0.903831409,2.284908422,197.462212,1.022756595,7.883131146,4.365868274,2.931580617,116.0999195,0.0,6.475327692,2.219625325,9.515289035,0.0,1.274254118,3.885409689,5.61694636,9.613384798,1
R_JS036_FPKM,6.641981368,2.100328327,146.17264,4.698102837,5.174721965,1.604745239,10.77755467,60.48481421,2.462453901,3.570558156,14.28110538,8.743418879,0.0,9.364104879,4.463197695,1.720750919,8.833557218,1
R_JS037_FPKM,3.159793546,1.332580983,136.3937273,2.383246554,6.563318594,1.018151762,1.709726544,119.3440513,2.08191653,5.283297676,3.88203207,12.01510419,0.0,1.485500112,2.264084226,3.274002951,9.337504804,1
R_JS038_FPKM,1.994608245,2.52259278,162.4510904,1.128528349,7.458100394,1.927374259,1.618267067,100.9017689,1.971681713,7.862080832,1.22525935,11.37740825,0.0,5.624141281,4.288407727,12.40021511,3.536831115,1
R_JS039_FPKM,4.508190225,0.0,352.1022491,2.040130342,3.37065013,1.742133775,8.777911554,91.21800032,0.891091414,1.938123825,6.646133034,11.07661766,0.0,5.084908302,4.846304492,4.67113686,5.595404798,1
R_JS040_FPKM,3.744009203,1.183767616,258.5518765,5.295802491,4.666446253,0.904451661,9.112777117,99.44310219,0.925243654,3.354008244,11.50060563,5.749728419,0.0,2.639219602,1.006202473,5.819002255,3.31943084,1
R_JS041_FPKM,5.805512591,2.447421975,183.0741219,6.569395827,7.235856273,1.869940385,6.280177142,56.7823308,1.91292752,3.467560265,14.2649738,13.58661782,0.736795073,8.18482103,3.121031719,3.008223343,10.29431099,1
