,MIR4513,MIR553,MIR1244-1,MIR4312,MIR4639,MIR4721,MIR5587,MIR1244-2,MIR3174,MIR5194,MIR6774,Diagnosis
RNA1_FPKM,0.923747416,1.168268791,436.4585378,1.045293129,4.605349438,0.892609863,2.997821804,125.2365051,0.91312963,6.620189817,4.539558732,0
RNA102_FPKM,3.504787449,0.0,153.3831564,2.974457769,14.19901497,1.693324273,9.953631725,57.62960262,0.866125634,4.396187345,6.459850732,1
RNA104_FPKM,3.442952137,1.088872535,172.4390887,2.921717782,18.2379546,2.494950016,4.189633046,74.8976066,0.0,7.403009142,2.115523782,0
RNA108_FPKM,4.675418236,1.182157153,223.2594632,3.174162202,9.323511531,0.903221195,4.551628818,72.84331243,0.923984901,4.690494509,4.594614482,0
RNA110_FPKM,0.873251754,1.104406631,543.4843156,0.0,2.176801475,0.843816302,1.416974545,137.8596121,0.0,1.878059176,2.145704311,0
RNA114_FPKM,0.813728637,1.029127394,211.5640845,0.920798194,4.055906562,1.572599163,3.96116959,72.44214402,1.608750868,1.749516569,4.997688793,0
RNA115_FPKM,0.0,0.0,561.4614485,0.0,1.130702712,0.876612215,5.885292829,129.3566282,0.0,1.949822893,1.114549817,0
RNA116_FPKM,0.923625233,0.0,255.2312598,2.091400713,4.607143599,0.892491798,1.498712641,98.16549397,0.913008851,2.649107569,1.134739571,0
RNA126_FPKM,5.595477004,3.538994309,0.943731816,1.055489531,19.76232276,1.802633805,0.0,95.30715065,0.922036832,11.36333558,2.291920124,0
RNA132_FPKM,3.655160924,1.155997348,307.8579099,1.034313416,7.972171872,0.883233929,1.483166408,117.4112688,0.903538157,6.548465658,2.244688573,0
RNA140_FPKM,4.436235958,0.0,523.4058593,1.003774841,2.212400416,0.857156044,1.439375243,122.9959954,1.754662399,1.272130239,5.450232748,1
RNA145_FPKM,0.8496975,0.0,531.9413155,0.961499802,2.117182128,0.821056011,2.75633145,139.2153569,0.839930862,3.043709322,2.086936669,0
RNA150_FPKM,3.762357025,1.189568765,299.7818815,2.128702001,4.689314553,1.817768001,6.104956683,100.8792686,2.789333657,4.718622769,5.777905432,1
RNA151_FPKM,1.686406374,0.0,373.7364687,1.908301949,4.204639395,0.815107697,2.736432984,116.0459924,0.833845805,2.417667652,4.144573118,0
RNA152_FPKM,1.955736729,1.236715873,466.9042608,1.106535255,2.437584909,0.94490651,4.760189398,125.6293714,0.0,2.802480267,3.604143401,0
RNA155_FPKM,0.0,1.149574672,616.1374261,1.028566811,1.132914169,2.634980146,2.949851987,155.413645,0.898518134,3.257128236,2.233459362,0
RNA165_FPKM,3.064694257,1.291506909,348.2548381,4.623502314,7.638132109,1.973538648,6.629927847,113.6741331,1.009453676,10.24755976,6.274409225,0
RNA174_FPKM,5.597896632,1.180168325,388.0035188,1.05594008,6.977088555,1.803403283,7.570891142,102.9011945,2.767291245,6.018112072,6.877415862,1
RNA179_FPKM,3.819651947,1.207956871,207.744139,3.242410549,23.80577885,0.92293334,4.649494372,79.2323682,1.888300396,2.737417229,2.346887636,0
RNA18_FPKM,2.869705829,4.837578485,0.967822358,0.0,23.84036543,0.924324724,0.0,94.82696479,0.0,9.595833972,1.175212863,1
RNA185_FPKM,0.910583006,1.151619684,439.4222831,2.060793119,4.539718176,1.759778394,5.910199134,130.8137709,0.900116535,4.567367125,2.237432529,1
RNA2_FPKM,0.929240665,0.0,432.6567161,3.155672954,6.951627377,0.897917946,3.01729146,93.11501155,0.918559737,4.663866994,3.426159207,0
RNA201_FPKM,0.756671318,0.956966667,542.6412858,1.711563467,1.88520034,2.192725357,1.227806289,143.8882159,0.747973946,2.168552418,3.71751843,1
RNA205_FPKM,0.962820012,1.217684133,550.3435898,1.089506855,1.200036536,0.930365405,3.124623434,153.901092,0.0,2.070063025,4.731572629,0
RNA209_FPKM,0.0,0.0,337.4120984,1.140427315,2.511147671,0.973848045,1.635329735,93.78257819,0.0,5.776270998,1.238178228,0
RNA213_FPKM,0.912225857,0.0,559.3397292,2.064511151,2.273954311,0.881476671,2.960431084,177.2160896,0.901740503,6.537618644,3.362203874,0
RNA219_FPKM,0.0,1.199477567,514.3287112,1.07321677,3.546281502,1.832909541,3.0779047,159.2881977,0.937522696,6.117335592,4.660827117,0
RNA23_FPKM,2.787534049,3.525410708,282.0048883,5.256357264,18.5278574,0.897501258,9.044542716,98.70143123,0.91813347,7.324491736,7.990478118,1
RNA246_FPKM,0.82032158,0.0,292.131763,2.78477589,5.112148977,1.585340581,2.662175693,101.250459,0.810892596,1.763691397,7.054765588,1
RNA253_FPKM,1.886683391,0.0,327.3215809,2.134931206,10.57999293,0.911068156,3.061410785,128.8289643,2.797009626,2.027831979,5.794208701,1
RNA26_FPKM,3.984937208,1.259943382,264.0867074,5.636588814,8.69178333,0.96265337,1.616531132,92.73312021,0.0,2.855871666,11.015505,0
