,MIR4513,Diagnosis
RNA1_FPKM,0.923747416,0
RNA102_FPKM,3.504787449,1
RNA104_FPKM,3.442952137,0
RNA108_FPKM,4.675418236,0
RNA110_FPKM,0.873251754,0
RNA114_FPKM,0.813728637,0
RNA115_FPKM,0.0,0
RNA116_FPKM,0.923625233,0
RNA126_FPKM,5.595477004,0
RNA132_FPKM,3.655160924,0
RNA140_FPKM,4.436235958,1
RNA145_FPKM,0.8496975,0
RNA150_FPKM,3.762357025,1
RNA151_FPKM,1.686406374,0
RNA152_FPKM,1.955736729,0
RNA155_FPKM,0.0,0
RNA165_FPKM,3.064694257,0
RNA174_FPKM,5.597896632,1
RNA179_FPKM,3.819651947,0
RNA18_FPKM,2.869705829,1
RNA185_FPKM,0.910583006,1
RNA2_FPKM,0.929240665,0
RNA201_FPKM,0.756671318,1
RNA205_FPKM,0.962820012,0
RNA209_FPKM,0.0,0
RNA213_FPKM,0.912225857,0
RNA219_FPKM,0.0,0
RNA23_FPKM,2.787534049,1
RNA246_FPKM,0.82032158,1
RNA253_FPKM,1.886683391,1
RNA26_FPKM,3.984937208,0
RNA277_FPKM,2.259912619,0
RNA288_FPKM,1.76026391,0
RNA29_FPKM,5.134360743,0
RNA295_FPKM,0.778865663,0
RNA3_FPKM,2.196995222,0
RNA302_FPKM,0.872572034,0
RNA303_FPKM,1.749744318,1
RNA31_FPKM,1.933759609,1
RNA314_FPKM,1.10011001,1
RNA319_FPKM,0.892783057,0
RNA32_FPKM,2.31228357,1
RNA328_FPKM,1.850094897,0
RNA331_FPKM,0.0,0
RNA334_FPKM,0.802198333,0
RNA335_FPKM,0.0,1
RNA336_FPKM,0.912605315,0
RNA35_FPKM,1.721868805,0
RNA358_FPKM,2.306130925,0
RNA365_FPKM,3.459925078,0
RNA368_FPKM,1.773747749,0
RNA37_FPKM,5.581964692,0
RNA379_FPKM,2.586971399,1
RNA38_FPKM,2.595669909,0
RNA383_FPKM,2.824288596,0
RNA385_FPKM,3.08337865,1
RNA386_FPKM,1.025616906,0
RNA39_FPKM,3.837322714,1
RNA392_FPKM,4.259993089,0
RNA409_FPKM,4.135353577,0
RNA41_FPKM,0.0,0
RNA418_FPKM,3.663730849,0
RNA431_FPKM,1.281924501,1
RNA44_FPKM,1.869881424,1
RNA442_FPKM,1.848356223,0
RNA454_FPKM,1.14552439,0
RNA457_FPKM,4.015882833,0
RNA466_FPKM,2.832924164,0
RNA471_FPKM,3.785974825,0
RNA476_FPKM,1.046041284,0
RNA483_FPKM,0.773621577,0
RNA488_FPKM,0.840340003,0
RNA499_FPKM,2.666682505,0
RNA50_FPKM,2.591090023,1
RNA504_FPKM,3.684976399,0
RNA519_FPKM,3.909448281,0
RNA52_FPKM,0.0,0
RNA521_FPKM,2.629831194,0
RNA528_FPKM,3.035314256,0
RNA53_FPKM,2.935320332,0
RNA535_FPKM,0.926365103,1
RNA58_FPKM,1.985546945,0
RNA6_FPKM,2.849108407,0
RNA60_FPKM,2.910838518,0
RNA62_FPKM,1.975544447,0
RNA63_FPKM,0.861870012,0
RNA64_FPKM,0.874766163,0
RNA66_FPKM,0.0,0
RNA67_FPKM,4.828401677,0
RNA69_FPKM,3.622720057,0
RNA7_FPKM,0.959117008,0
RNA72_FPKM,0.887725232,0
RNA74_FPKM,0.829525337,0
RNA75_FPKM,2.26973629,0
RNA78_FPKM,0.933116748,1
RNA86_FPKM,4.495722607,1
RNA87_FPKM,3.044013023,0
RNA89_FPKM,0.875046812,0
RNA94_FPKM,0.0,1
RNA95_FPKM,1.88680405,0
RNA97_FPKM,5.559933328,0
RNA98_FPKM,3.475746259,1
R_JS001_FPKM,5.410746884,1
R_JS002_FPKM,4.493261714,1
R_JS003_FPKM,9.303982663,1
R_JS004_FPKM,3.667368017,1
R_JS005_FPKM,7.673844135,1
R_JS006_FPKM,2.905178716,1
R_JS007_FPKM,1.762459782,1
R_JS008_FPKM,8.977930992,1
R_JS009_FPKM,2.129560284,1
R_JS010_FPKM,2.355694673,1
R_JS011_FPKM,4.461451314,1
R_JS012_FPKM,8.801224748,1
R_JS013_FPKM,2.300240952,1
R_JS014_FPKM,7.424404444,1
R_JS015_FPKM,6.061665668,1
R_JS016_FPKM,9.766651215,1
R_JS017_FPKM,3.56455732,1
R_JS018_FPKM,7.973029555,1
R_JS019_FPKM,4.842856269,1
R_JS020_FPKM,7.234017168,1
R_JS021_FPKM,1.829998049,1
R_JS022_FPKM,8.133155994,1
R_JS023_FPKM,7.555546203,1
R_JS024_FPKM,4.164476099,1
R_JS025_FPKM,6.748541673,1
R_JS026_FPKM,10.15301912,1
R_JS027_FPKM,7.23780537,1
R_JS028_FPKM,8.792325926,1
R_JS029_FPKM,9.72737917,1
R_JS030_FPKM,7.454434215,1
R_JS031_FPKM,3.113638811,1
R_JS032_FPKM,2.395371557,1
R_JS033_FPKM,0.992292691,1
R_JS034_FPKM,9.296544934,1
R_JS035_FPKM,0.903831409,1
R_JS036_FPKM,6.641981368,1
R_JS037_FPKM,3.159793546,1
R_JS038_FPKM,1.994608245,1
R_JS039_FPKM,4.508190225,1
R_JS040_FPKM,3.744009203,1
R_JS041_FPKM,5.805512591,1
