,RNU4-31P,RNU6-785P,RNU1-134P,RNU6-915P,RNU6-1076P,RNU6-553P,RNU6-262P,RNU4-62P,RNU6-1016P,RNU1-22P,RNU7-181P,RNU4-82P,RNU6-375P,RNU6-1152P,RNU6-1278P,RNU6-1153P,RNU6-442P,RNU6-30P,RNVU1-4,RNU6-878P,RNU6-1043P,RNU6-223P,RNU6ATAC39P,RNU6-1237P,RNU6-838P,RNU6-322P,RNU6-32P,RNU6-88P,RNU5A-6P,RNU6-118P,RNU6-1262P,RNU6-1128P,RNU6-226P,RNU6-48P,U2.4,RNU6-5P,U6.16,RNU6-1231P,RNU6-595P,RNU6-100P,RNU6-767P,RNU6-877P,Diagnosis
RNA145_FPKM,0.518255212,0.702634471,0.0,0.0,0.0,0.0,0.0,1.12373513,0.777382819,1.387085771,1.974129282,0.0,2.191595518,0.682934439,0.682934439,0.0,0.0,0.0,1.781531303,0.664308954,1.475611786,0.0,2.451309521,0.0,0.0,2.127762639,1.365285672,1.460855669,0.0,2.86442288,0.0,2.01063809,0.682934439,0.682934439,2.294537699,11.60521981,0.702634471,0.0,6.144077125,0.0,0.0,0.0,0
RNA150_FPKM,0.0,1.555589924,3.43172565,0.785346369,2.333384886,0.0,0.697333414,1.866707909,3.442156427,2.55983152,3.279351732,1.155581086,0.80890676,1.511975253,1.511975253,1.540774782,0.777794962,0.755987627,0.986471659,4.412218693,0.0,0.0,0.542890443,0.0,0.0,4.712078216,0.0,3.235627042,1.394666828,3.172183374,0.842611209,2.968465176,6.047901013,3.779938133,0.847022786,7.559876266,0.0,0.0,15.87650224,0.763119585,0.0,0.755987627,1
RNA151_FPKM,0.0,0.697544087,0.439664152,0.0,0.697544087,0.0,0.0,2.231693217,1.542882427,0.0,1.959877678,0.518175608,1.450309481,0.677986776,0.0,0.0,0.0,1.355429422,1.769025111,0.659496228,0.0,0.0,0.0,0.677986776,0.0,2.816700177,1.355429422,0.725445851,0.0,0.711221422,0.0,2.661652461,1.355429422,0.677986776,2.278277834,12.20104132,0.697544087,0.0,6.100792725,0.0,0.0,0.677986776,0
RNA152_FPKM,0.0,1.617243834,1.019353689,0.0,0.808621917,0.0,1.449942748,0.646897534,3.577634383,0.532257464,2.272883226,0.600690567,0.0,0.785950274,0.785950274,1.601841512,0.808621917,0.785950274,1.025569261,2.293545801,0.849461408,0.0,0.564407244,0.785950274,0.0,5.714443399,1.571900549,4.203943114,0.0,1.648954497,0.0,2.314587506,3.142968523,3.142968523,1.760720586,9.429738145,0.808621917,0.0,7.857837596,0.7933649,0.0,1.571900549,0
RNA155_FPKM,0.0,0.751644978,0.473764107,0.0,1.503289955,0.0,0.0,3.607895892,0.831607209,0.989507312,2.112731829,0.55836484,0.0,0.0,0.730570819,2.977945816,0.751644978,0.0,4.289459194,1.421292321,0.789606845,0.0,0.524638105,0.0,0.0,0.758942502,0.730570819,0.0,0.0,3.065532458,0.0,2.15149755,0.0,2.922283277,0.818545316,8.766210662,1.503289955,0.0,4.383424916,0.737462997,0.0,0.0,0
RNA165_FPKM,0.622854396,1.688893651,2.129613187,0.0,2.534266404,0.0,0.757090257,2.027413124,4.672432401,1.111676833,5.935251969,0.627303356,1.756449397,0.0,0.820770746,1.672808949,1.688893651,0.820770746,1.607095769,3.99280587,0.887095655,0.0,0.0,0.820770746,0.0,5.969452285,1.641541492,1.756449397,1.514180514,4.305967115,0.914817394,2.418015652,0.820770746,4.925524444,3.678932226,1.641541492,0.0,0.0,6.567065937,0.828513866,0.820770746,0.0,0
RNA174_FPKM,0.0,2.314945561,0.486372401,0.779140253,3.086594081,0.835952564,0.691822811,1.851956449,1.707477577,2.03168218,4.337916006,1.14644923,0.802514461,0.750013515,0.750013515,2.29289846,0.77164852,1.50002703,0.489338086,1.459117202,0.810620668,0.0,0.538600309,0.750013515,0.743068945,4.673971945,0.0,1.605028922,0.691822811,1.573557767,0.835952564,4.416689085,2.250040545,2.250040545,5.461671377,3.750067575,5.400678427,0.0,9.749338627,1.514178228,0.750013515,0.750013515,1
RNA179_FPKM,0.582560761,1.579635909,0.0,0.0,1.579635909,0.855636117,1.416225297,1.263708727,5.242257468,2.598931232,8.879112655,0.586721909,1.642821345,1.535347051,0.0,0.782295879,0.789817954,3.837674156,1.001720332,0.746736975,0.0,0.0,0.0,0.0,0.0,3.986710046,0.767673526,2.464232017,0.0,1.610609162,0.855636117,3.767258117,3.070000631,6.140694733,1.719843285,9.978368889,3.158558341,0.0,13.04906299,0.774915729,0.767673526,0.767673526,0
RNA18_FPKM,0.58343901,3.954040745,0.0,2.396065061,0.791008658,0.856926046,0.0,7.592079044,5.249841892,6.246647315,7.780405923,0.0,0.0,2.306492536,0.0,2.350425727,3.163032086,0.768830845,6.018111437,15.70227377,2.492875771,0.0,2.20775394,3.074348944,2.285136123,3.99242949,0.0,0.822649004,1.418360352,4.838089587,0.0,4.527386586,13.8360319,3.074348944,0.0,12.29837021,2.373025974,0.0,13.8360319,0.776083966,0.0,1.53766169,1
RNA185_FPKM,0.555391053,0.752982101,0.0,0.0,0.0,0.81573061,0.0,3.011928405,4.998519481,3.468886424,3.174735346,0.0,3.132405541,0.731870454,0.0,0.745810843,0.752982101,1.463740907,1.910003379,2.847641401,1.582023001,0.0,0.0,0.731870454,1.450187751,1.520585214,1.463740907,1.566202771,2.025262203,5.373373088,1.631461219,1.436883276,0.731870454,4.391222721,5.329554378,6.586021795,0.0,0.0,5.122280888,0.738774892,1.463740907,0.0,1
RNA2_FPKM,0.566770902,0.76841055,0.484331498,0.0,0.0,0.0,0.0,3.074981476,3.402477603,1.012129414,2.161033072,0.570819265,1.599164474,0.0,0.746866329,0.761092354,0.76841055,2.989092474,0.487284739,2.90757177,0.0,0.0,0.0,0.0,0.0,6.985373141,2.241412566,0.799146972,0.688919803,2.351285731,0.832444762,2.20028573,2.241412566,3.735958803,5.441499101,8.966463842,0.76841055,0.0,10.4601965,0.753912237,0.746866329,0.0,0
RNA201_FPKM,0.0,0.0,0.788356506,0.0,0.0,0.0,0.0,3.502914207,1.383817271,0.411859072,0.0,0.464812381,0.650737333,1.215689939,0.0,0.619749841,0.0,1.215689939,2.379909229,3.548228305,0.657310438,0.0,0.436736465,0.0,0.0,2.526468836,0.0,0.0,0.0,3.826520721,0.0,0.597006728,4.255877074,2.432021403,0.681040961,8.511754148,0.625708974,0.0,2.432021403,0.0,2.432021403,0.0,1
RNA205_FPKM,0.0,0.796178087,0.0,0.0,0.0,0.0,0.0,2.547769877,0.880877883,1.572199766,5.594764933,1.774339736,0.0,0.773855337,0.0,2.365786315,0.796178087,0.773855337,2.019573683,3.011000764,0.0,0.0,0.555721618,0.773855337,0.0,2.411723913,0.773855337,1.65605042,0.713814836,7.305366133,0.862526261,3.79828078,0.773855337,1.547710673,1.300563157,5.416283211,0.0,0.0,3.095421346,0.781155859,0.0,0.0,0
RNA209_FPKM,0.614698411,2.499439089,2.62552033,0.0,2.499439089,0.0,0.747176517,2.666262625,2.765336864,1.645200413,4.683974881,0.619089114,0.86672476,1.619338217,0.0,0.0,0.0,1.619338217,1.056519447,2.363106048,0.0,0.81002314,0.0,0.81002314,0.0,4.205930626,2.429361357,0.86672476,0.747176517,1.698717542,0.902838291,3.179946249,2.429361357,2.429361357,0.90716853,8.098107212,0.0,0.0,6.478060932,1.634614993,0.0,0.0,0
RNA213_FPKM,0.556393076,0.754340613,0.475463174,0.0,0.0,0.0,0.0,6.034724903,1.669179228,0.993055997,3.180463124,0.0,1.569028475,0.0,0.733190876,0.747156417,1.508681226,0.733190876,2.391811699,1.426389522,0.0,0.0,0.526519622,0.733190876,0.0,3.046657232,1.466381752,0.784514237,0.676305377,2.307394816,0.817202331,1.439475665,1.466381752,0.733190876,1.232221315,8.065820571,0.0,0.0,5.132336132,0.0,0.733190876,0.733190876,0
RNA219_FPKM,0.578471451,2.352821381,0.0,0.0,1.568547588,0.0,0.0,6.27419035,1.735414352,0.516230852,6.613335775,0.58260339,0.815644746,0.0,0.0,1.553609039,0.0,0.0,1.989377428,0.0,0.823883581,0.0,1.094825162,0.762284809,0.0,1.583776205,0.762284809,3.262578982,0.0,5.597561979,1.699259887,3.741489658,0.0,3.049139236,2.135195669,9.147417707,0.784273794,0.0,7.622848089,0.0,0.0,0.762284809,0
RNA23_FPKM,0.566507886,1.536107922,0.484106739,0.775510795,0.768053961,0.0,1.377200206,4.302565141,5.950356045,0.505554506,7.558560382,1.712342344,2.397279282,0.746519738,0.0,3.043862287,1.536107922,1.493039475,4.871745756,7.263330037,0.806844565,0.0,0.536091355,0.746519738,0.0,3.878477204,1.493039475,0.0,0.688600103,3.91650149,2.497165918,2.932160918,2.240447927,4.48000714,2.091534827,10.45394247,0.768053961,0.0,11.20135092,2.261584228,0.746519738,0.0,1
RNA246_FPKM,0.500337985,2.71337138,1.282684652,0.684928698,2.71337138,0.734871415,0.608169447,1.085348552,4.503041864,4.018122007,4.766733505,1.007823655,0.705476559,0.0,0.659323887,0.671882437,0.678342845,1.318647773,1.720674534,1.924026978,0.712602585,0.659323887,0.946948401,1.318647773,0.0,3.424643489,0.659323887,1.410953118,1.216338894,3.458218425,0.0,0.647226201,2.637295547,3.296619433,0.369359455,7.251949429,3.391714225,0.0,14.50451218,0.665543923,3.296619433,0.0,1
RNA253_FPKM,0.0,1.560142035,0.491424641,0.0,1.560142035,0.0,0.699009188,1.248113628,2.588721675,3.080251107,2.192632049,0.579179042,0.0,0.757804354,0.757804354,2.317522262,1.560142035,2.274204088,0.989358364,2.949317303,0.0,0.0,0.0,0.0,1.502358997,6.300334433,1.516399735,3.244249033,0.0,5.566320988,1.690153871,0.743899687,4.548408177,3.790603823,4.67159311,9.855411735,0.0,0.0,9.096816354,0.0,0.0,0.0,1
RNA26_FPKM,0.0,1.647618269,1.038498788,0.831807281,1.647618269,0.892459896,1.477174999,3.295236537,10.93738085,1.626762341,4.631143242,1.835917499,4.283807499,3.202846728,0.800711682,1.631926666,0.823809134,2.402135046,1.044831097,3.115496363,0.0,0.0,0.575007718,0.800711682,0.0,9.981687375,3.202846728,7.710853497,1.477174999,6.719698037,1.784919791,1.572039449,2.402135046,9.608540184,1.794264921,18.41636869,0.0,0.831807281,7.206405138,0.808265566,0.800711682,0.0,0
RNA277_FPKM,0.0,0.0,1.17789385,0.0,0.933891252,0.0,0.0,0.747113002,1.033241386,0.0,2.626384936,0.0,1.943524853,0.0,0.0,0.92499705,0.0,0.907707385,2.369523572,2.649792505,0.0,0.0,0.651843559,2.724085752,0.0,2.82987549,0.907707385,0.0,0.837281812,2.857619368,1.011715523,0.891052204,0.0,3.631793138,1.017552279,7.263586276,1.868773897,0.0,3.631793138,0.0,0.0,0.0,0
RNA288_FPKM,1.073636144,0.727801424,0.0,0.0,0.727801424,0.788451543,0.0,0.582241139,3.221832917,0.479059165,11.25376531,0.540652487,1.513826963,2.122999496,0.707395777,0.720869982,0.727801424,0.707395777,4.154853271,5.505615334,0.764559072,0.0,0.507995625,0.707395777,0.0,6.615494529,0.707395777,3.028522942,0.652511622,2.227068099,1.576903086,0.694416038,3.53779105,4.245186827,14.269162,9.905165207,0.0,0.0,4.245186827,2.143027793,1.414791554,0.0,0
RNA29_FPKM,0.521932652,6.368582075,0.0,0.0,4.245721383,0.0,0.0,5.09486566,6.263191828,2.79465205,6.961453079,1.051321485,2.207775119,0.0,0.0,0.70088099,1.415240461,0.0,3.589878243,2.00706829,0.0,0.0,0.0,0.0,0.0,3.572451649,1.375560822,3.679625199,0.634418138,0.721495137,0.0,3.375802935,5.502243288,4.126682466,0.770602136,15.13116904,0.0,0.0,8.941145343,0.694268905,1.375560822,0.0,0
RNA295_FPKM,0.475052816,0.64406199,0.405954224,0.0,0.64406199,0.0,0.0,0.0,1.424508283,1.271431808,2.714678725,0.0,0.0,0.0,0.626004178,0.637928067,0.64406199,1.251437183,0.816486455,1.217307078,0.0,0.0,0.0,0.0,0.620207843,3.250388391,0.626004178,1.339037786,0.577434888,4.595037087,0.697733823,1.842992896,0.626004178,1.877441361,0.35069344,7.509194272,0.64406199,0.0,5.631752911,0.631909877,0.0,0.0,0
RNA3_FPKM,0.0,0.908373024,0.0,0.91719218,0.0,0.984070776,0.0,1.453396839,4.018877299,1.793061212,3.828427994,0.67479139,0.944707945,1.765809244,0.882904622,0.899721853,0.0,1.765809244,0.57604143,3.434313328,1.9085009,0.0,1.268064356,1.765809244,0.0,8.252618706,0.882904622,0.0,0.0,1.85236852,0.0,2.599116253,2.647697865,4.413507109,2.472488276,10.59282346,1.816746049,0.0,10.59282346,0.891233911,0.0,0.0,0
RNA302_FPKM,0.0,1.44254699,0.454795121,0.0,2.88509398,0.0,0.646906853,0.577239961,0.798310584,0.949524601,7.096160214,0.536008535,0.0,0.0,0.0,1.428808447,0.0,0.701319579,0.457568262,1.363862609,0.757991868,0.0,0.0,0.701319579,0.0,3.641659892,0.0,1.50024887,0.0,4.413060429,0.781679114,2.064826439,0.0,0.701319579,0.785470612,5.6089444,0.721549951,0.0,9.815249642,0.0,0.0,0.0,0
