,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-516b-5p,hsa-miR-148a-3p,hsa-miR-3184-5p,hsa-miR-585-3p,hsa-miR-5680,hsa-let-7c-5p,hsa-miR-550a-3p,hsa-miR-486-3p,hsa-miR-6513-5p,hsa-miR-181d-3p,hsa-miR-6764-3p,hsa-miR-499a-3p,hsa-miR-3663-5p,hsa-miR-196a-5p,hsa-miR-193b-5p,hsa-miR-1269a,hsa-miR-455-3p,hsa-miR-6513-3p,hsa-miR-27b-3p,hsa-miR-487b-3p,hsa-miR-95-3p,hsa-miR-155-5p,hsa-miR-146b-5p,hsa-miR-2355-3p,hsa-miR-6861-3p,hsa-miR-378c,hsa-let-7f-5p,Diagnosis
sample_50,465.0,2421.5,5.0,25056.5,779.25,59.5,9.0,89313.92,14.67,461.66,5.0,19.0,11.75,14.75,6.0,15.0,317.0,0.0,432.5,16.0,269311.0,14097.83,21787.5,506.0,3514.25,56.5,1.33,29.08,711969.73,1
sample_51,501.0,2818.5,1.0,29543.5,1317.79,39.0,23.0,110700.83,9.84,526.17,6.0,25.0,8.0,24.0,24.0,60.5,225.5,3.0,856.5,22.0,259458.08,7505.42,22545.83,839.0,6356.25,69.0,2.5,60.42,787898.73,1
sample_52,582.0,2203.5,1.0,26424.5,1092.58,30.0,6.0,102896.92,15.67,517.0,3.0,27.0,6.75,0.5,11.0,10.0,183.0,2.0,517.25,12.0,200652.92,8389.5,22286.58,470.0,5295.5,39.5,0.83,49.83,762740.41,1
sample_53,351.0,1903.0,1.0,22783.5,772.17,64.0,11.0,89192.83,2.67,506.42,4.0,13.0,5.5,13.0,15.0,32.0,131.0,7.0,506.5,14.0,177761.75,5132.67,18084.0,458.0,4527.33,39.83,2.5,33.92,648179.23,1
sample_54,441.0,2058.25,0.0,23777.5,1180.75,53.0,10.0,100762.75,11.33,400.34,0.0,14.0,6.0,8.0,1.0,6.0,133.0,7.0,329.0,8.0,126934.25,4564.5,13165.58,341.0,4546.67,41.5,1.25,76.92,659717.07,1
sample_55,366.0,1468.0,1.0,30143.0,1252.25,49.0,13.0,128788.17,16.49,636.84,3.0,14.0,10.0,6.0,7.0,12.0,128.0,11.0,274.5,12.0,140932.5,6077.33,19514.58,817.0,5641.5,36.0,1.0,47.92,846948.91,1
sample_56,270.0,981.5,0.0,24104.5,1183.0,60.0,8.0,103765.5,5.33,513.0,3.0,7.0,8.0,1.75,4.0,14.0,146.0,7.0,213.0,8.0,100119.75,3255.0,9570.67,688.0,3021.83,23.0,1.5,22.5,613732.41,1
sample_57,442.5,2135.83,0.0,26526.33,1170.62,19.0,11.0,92659.0,7.33,596.58,2.0,23.0,8.0,11.5,0.0,8.0,160.0,9.0,328.5,10.0,165456.33,7579.67,20119.0,649.0,3822.58,39.33,0.0,75.58,674172.23,1
sample_58,232.5,1142.0,2.5,15248.0,3994.37,136.0,4.0,144728.08,11.33,1220.58,1.0,14.0,1.0,6.75,1.0,35.16,99.5,0.0,235.0,5.0,60243.67,3769.33,9397.75,592.0,5249.0,16.5,3.33,108.42,813508.73,1
sample_59,306.0,1453.0,4.0,17546.0,2499.08,102.0,3.0,162802.5,41.16,1471.16,3.0,9.0,6.5,11.25,20.0,22.0,107.0,0.0,392.0,13.0,85920.17,5054.5,11709.0,1358.0,7174.42,60.83,3.0,102.75,835260.9,1
sample_60,455.5,2074.0,1.0,31738.0,1059.67,63.5,10.0,108961.92,5.33,497.0,7.0,18.0,9.5,12.5,19.5,14.0,146.0,1.0,498.0,17.0,201468.0,6378.17,24445.42,409.0,4205.92,56.0,0.5,33.0,826392.64,1
sample_61,394.0,2078.0,2.0,28136.5,937.25,142.5,11.0,86326.17,13.33,452.34,3.0,22.33,9.0,12.75,23.0,115.0,283.0,1.0,439.5,14.0,223523.08,6190.83,16388.25,657.0,4048.0,70.0,4.5,43.08,685051.24,1
sample_62,742.5,2859.0,7.0,46741.25,4637.21,213.0,11.0,227063.58,56.84,1488.0,5.0,21.0,6.83,20.0,9.0,39.5,145.0,3.0,538.5,14.0,218632.0,10614.83,23711.08,2120.5,8822.42,79.33,4.5,324.75,1227465.3,1
sample_63,517.5,2107.75,0.0,50491.5,1818.33,144.0,25.0,161597.08,20.84,1177.24,6.0,20.0,10.0,4.25,11.0,274.0,439.0,10.0,503.5,17.0,288735.58,11540.17,23234.08,1012.0,5119.75,74.0,2.5,29.58,1319863.55,1
sample_64,286.0,1846.33,1.0,17751.0,737.29,63.0,11.0,90085.92,12.67,1205.34,0.0,4.0,2.0,5.75,18.0,74.5,120.0,3.0,381.0,14.0,154011.33,4703.0,11248.42,547.0,4269.42,40.0,0.5,23.67,539597.66,1
sample_65,599.0,2698.25,3.0,41589.0,1268.0,92.5,15.0,138807.33,11.33,810.0,7.0,33.0,13.5,5.0,22.0,59.5,338.0,6.0,531.83,20.0,359722.33,13304.0,24123.5,1164.0,4735.25,64.33,0.5,31.17,1027292.73,1
sample_66,505.5,2369.5,1.0,41668.5,776.75,82.0,15.0,126066.58,11.16,408.42,3.0,8.0,13.0,10.25,11.0,32.5,203.0,5.0,376.67,14.0,302636.75,9248.33,19645.33,740.0,4197.17,52.0,1.0,41.75,974992.9,1
sample_67,322.0,1028.0,4.0,25302.0,4583.58,283.5,14.0,198004.92,49.0,2383.08,4.0,32.0,7.0,5.0,8.0,53.5,320.5,2.0,255.5,9.0,111016.5,8364.25,14373.42,1694.0,5909.0,70.5,4.5,80.0,1055534.22,1
sample_68,390.0,1271.83,1.0,30948.5,920.75,106.0,13.0,92468.92,6.67,367.34,3.0,17.0,4.5,4.5,11.0,99.0,301.0,0.0,402.5,5.0,237933.25,8080.67,14424.67,604.0,3628.0,46.5,3.0,28.33,689525.23,1
