,hsa-miR-148b-5p,hsa-miR-17-5p,hsa-miR-516b-5p,hsa-miR-148a-3p,hsa-miR-3184-5p,hsa-miR-585-3p,hsa-miR-5680,hsa-let-7c-5p,hsa-miR-550a-3p,hsa-miR-486-3p,hsa-miR-6513-5p,hsa-miR-181d-3p,hsa-miR-6764-3p,hsa-miR-499a-3p,hsa-miR-3663-5p,hsa-miR-196a-5p,Diagnosis
sample_13,363.0,1260.5,0.0,17657.5,1464.75,27.0,2.0,71403.0,10.0,1043.24,2.0,24.0,10.0,17.0,2.0,7.5,0
sample_14,231.0,957.5,0.0,17861.0,2088.5,117.5,7.0,104944.25,14.49,1347.59,2.0,25.0,10.0,6.5,4.0,30.0,0
sample_15,223.0,1272.5,7.0,16519.5,3511.08,121.0,4.0,185912.83,39.49,1713.74,3.0,21.5,6.0,6.25,21.0,27.0,0
sample_16,367.0,1325.5,0.0,18390.0,1695.04,25.5,4.0,72512.67,16.49,721.0,1.0,34.0,13.0,12.0,8.0,4.0,0
sample_17,423.0,1840.5,0.0,19125.0,2545.12,33.0,6.0,94602.33,17.16,1101.34,3.0,28.0,10.0,18.5,7.0,61.0,0
sample_18,348.0,1474.0,1.0,36440.0,1499.17,76.5,8.0,126632.92,13.16,771.58,4.0,22.0,7.5,15.5,11.0,47.5,0
sample_19,209.0,1171.0,0.0,10478.0,1716.5,31.0,2.0,43487.83,7.84,804.0,0.0,15.0,3.5,5.25,0.0,7.0,0
sample_20,323.0,1426.5,1.0,19085.5,2070.92,43.0,9.0,84369.75,8.49,701.08,0.0,23.0,6.25,10.0,0.0,2.0,0
sample_21,178.0,1087.83,4.0,14935.83,2166.25,114.0,5.0,119319.67,44.49,1415.58,0.0,10.0,6.0,7.25,12.0,55.0,0
sample_22,316.0,1443.5,2.0,21161.0,3325.96,58.5,8.0,135104.58,45.84,1863.5,0.0,22.0,9.25,7.25,9.0,23.5,0
sample_23,206.0,1134.0,0.0,16615.0,1372.75,19.0,7.0,78018.17,10.67,634.76,2.0,20.5,7.75,3.25,1.0,6.0,0
sample_24,370.0,1306.5,3.0,27730.0,1607.67,42.0,6.0,123298.08,12.67,930.5,0.0,24.0,14.0,7.0,2.0,14.0,0
sample_25,769.5,2756.0,0.0,33708.5,2411.75,64.0,10.0,144758.33,33.33,1488.16,6.0,52.0,17.0,6.5,5.0,6.0,0
sample_26,376.0,1301.0,1.0,26471.0,857.5,69.0,15.0,80560.33,22.0,608.92,3.0,15.0,10.0,16.0,2.0,8.5,0
sample_27,302.0,1250.83,0.0,15816.5,1539.29,36.5,7.0,73136.42,18.0,1057.16,0.0,24.0,3.0,3.5,5.0,4.0,0
sample_28,283.0,1287.0,1.0,23101.5,1060.08,25.0,5.0,96025.33,9.16,544.91,4.0,20.0,8.0,10.0,8.0,179.5,0
