,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,AC012618.2,AL354710.1,AC068790.1,FTH1P12,AC139451.1,AL139132.1,RPS12P3,RPL10P12,BAK1P1,AC018638.4,SRP72P2,AL162151.2,RPL41P2,MTND3P12,FTH1P16,RPL11P3,YWHAQP6,RPL23AP23,AC138932.2,AC084337.1,EEF1A1P29,EIF4BP5,NSRP1P1,RPS24P16,RIMKLBP1,NDUFB4P6,MTCYBP3,RPS27AP10,YBX1P1,HNRNPA3P15,RPL23AP30,FAM32BP,AC005183.1,AC093433.1,RBM8B,PRKXP1,AL512310.6,ST13P7,AL513475.1,RPL21P134,EEF1A1P16,XBP1P1,VDAC2P5,PTMAP2,Diagnosis
RNA140_FPKM,0.095002351,46.97986968,1.078222213,0.254174745,0.0,0.529256826,0.610003547,0.243728076,1939.534557,0.602711362,0.526229369,28.38541085,0.877143032,1.168500535,0.0,0.0,0.969459022,0.0,0.665530571,4.186744399,1.199736768,2.99959932,21.2344887,0.115685961,28.97902928,0.559761654,0.465413502,0.967702755,0.875497195,0.502156673,0.161967915,0.080260583,1.77988261,0.069604825,0.042499659,0.0,0.0,0.262224574,0.417091882,0.0,0.366763884,44.83295616,0.371848238,0.456971091,0.916604818,0.192782361,0.0,17.58792407,0.952178112,0.0,2.013700114,0.0,1.737890943,0.269813502,0.702277658,26.33219357,64.17616547,1
RNA145_FPKM,0.545774222,49.33715071,0.9173348,0.146009029,0.0,0.230293265,0.992612726,0.233463211,2932.297235,0.230782886,0.705283704,26.08759143,1.427308643,0.774341876,0.0,0.0,1.458261015,0.442683536,0.212424375,1.092909478,0.229792406,1.722756215,17.9119577,0.073817871,38.37195845,1.071532275,0.445382826,1.852647411,2.793342393,0.240374951,0.155146465,0.0,0.212952721,0.066673344,0.0,0.08628799,0.0,0.125503064,0.199655697,0.0,0.0,35.91393691,0.071222208,0.0,0.219441396,0.0,0.0,21.42659632,0.455731449,0.062190625,1.196389904,0.0,1.663564843,0.206627393,0.784249518,17.57733452,38.64467019,0
RNA150_FPKM,0.805884693,55.04603291,0.50794773,0.538911899,0.088340746,0.153008845,1.810567924,1.292183323,2311.27084,0.383368133,0.334720039,31.83408738,1.394760556,4.097032524,0.0,0.227861059,0.587228138,0.735369782,0.470294628,4.034651032,0.50874639,1.271865976,30.38782191,0.122623561,26.62328,0.197776714,0.246617915,1.318869718,3.093489606,1.064351001,1.030454472,0.085058545,1.532913686,0.073805361,0.090128887,0.04777949,0.0,0.34746854,0.0,0.426863726,0.777794962,33.2000708,0.394204074,0.0,0.485829886,0.245247123,0.141664932,16.17875649,5.407348781,0.068843129,1.545755905,0.770387391,0.502426559,0.171620953,0.372196362,15.24215832,42.79686916,1
RNA151_FPKM,0.722590581,31.35249341,0.569332344,0.096622884,0.026408659,0.137185078,1.159552831,0.231771837,2233.216033,0.343721221,0.200042687,21.79769667,0.416855981,1.110537948,0.0,0.0,0.789747852,0.219832076,0.0,3.617457834,0.912327416,1.824654832,31.15584632,0.0,9.1810164,0.531969519,0.442167525,1.313897074,2.496197746,0.0,0.461943807,0.038141212,0.528665748,0.066190315,0.040414811,0.0,0.0,0.124597034,0.0,0.063803505,0.0,30.7492101,0.35347437,0.144799571,1.524611566,0.0,0.381042965,18.37396918,0.387835175,0.0,1.45189403,0.460415708,1.952063598,0.359049258,0.222440105,14.07769107,41.92035858,0
RNA152_FPKM,0.104728119,65.81808121,0.396059714,0.448157461,0.0,0.159073164,1.478633577,0.268679487,2143.589425,0.398562461,0.463858803,34.22226559,1.449737954,2.773086785,0.0,0.0,0.457876657,1.019083733,0.0,3.983964218,1.850904623,2.247447001,23.54304201,0.0,61.19945942,1.439089658,0.51278463,1.675516852,1.92921985,1.659509838,0.0,0.0,1.593409127,0.153461094,0.0,0.0,0.0,0.288915491,0.229772348,0.073963658,0.808621917,46.94599874,0.32777547,0.0,0.252542581,0.084989065,0.0,20.98056039,2.772765262,0.214714926,1.22409428,0.0,1.218608013,0.356782879,0.386947911,18.80158354,46.28384956,0
RNA155_FPKM,0.097348789,51.78261588,0.736305284,0.156237997,0.02845689,0.0,0.312434363,0.249747852,2856.793103,0.493972055,0.431288704,28.33808254,0.628962694,0.736513816,0.0,0.0,0.851227706,0.236882054,0.227241505,0.974701717,0.491641998,1.720639459,21.95462772,0.079000584,27.70447332,0.573381988,0.476652913,1.557633086,0.896800126,0.257141703,0.165968318,0.0,0.68371205,0.071323976,0.0,0.0,0.0,0.134314566,0.213582179,0.0,0.375822489,37.86197852,0.0,0.0,0.938991924,0.0,0.0,24.26895571,1.184349313,0.066528577,1.778107515,0.0,0.971069288,0.331701885,0.359682873,17.656249,48.04739305,0
RNA165_FPKM,1.093919416,59.58228721,1.103102127,0.234101383,0.03197032,0.276928528,0.421287862,0.280582971,2108.772297,0.277480157,0.848073911,31.13428964,1.716403307,3.724601523,0.0,0.0,0.79711188,0.266128696,0.255297877,2.409575465,3.590832393,2.485995828,42.85004674,0.443869273,58.37400424,1.073859769,0.535502865,2.227730382,5.54248429,0.866985875,0.932502433,0.138571875,1.664554958,0.080129991,0.097852334,0.051873875,0.0,0.452775872,0.720119415,0.0,0.844446825,40.99144273,1.369832755,0.175294351,0.791482601,0.221934637,0.0,16.22918156,3.053253475,0.149485055,1.918220621,0.278801492,0.90933467,0.310614318,0.13469704,19.44217866,45.12804659,0
RNA174_FPKM,0.699465201,48.30245935,1.511660576,0.160395962,0.058428428,0.050599903,1.98843016,0.256394397,2003.170508,0.380338607,0.664026359,28.44226397,1.383542673,3.118997671,0.0,0.452120823,1.601953432,0.486372401,0.93315635,3.40195765,3.28043784,1.387855882,49.75122356,0.364918367,36.05895744,0.981069023,0.978676172,2.325966615,5.370041902,1.3199251,1.703662197,0.210965947,2.105461949,0.073222122,0.13412498,0.047401917,0.0,0.275778165,0.657798739,0.070581747,0.38582426,28.2525843,0.938526108,0.480547581,1.204976668,0.162206056,0.0,14.36746553,3.790524401,0.136598206,1.752370859,1.019065982,1.495183123,0.680995606,0.861457909,19.7649848,46.87031543,1
RNA179_FPKM,0.920542221,48.22555284,0.25789974,0.164172686,0.0,0.258909921,0.91912593,0.0,2791.067806,0.259529438,0.79298382,30.77162458,1.888044529,3.28916311,0.0,0.231383288,1.341552457,0.746736975,1.193695159,3.891600685,0.258305243,1.807903362,53.92100854,0.207494257,9.356903844,0.40166781,1.502354274,1.636734671,5.653360255,0.810602637,0.523191511,0.043186681,0.957805155,0.0,0.0,0.048518055,0.0,0.282207962,1.121942991,0.28890947,0.0,20.78948426,1.120688634,0.655668797,0.740009615,0.083012701,0.143854759,11.88948399,1.390848373,0.139814583,1.569371981,1.303590904,1.190296624,0.348495192,0.251966464,11.5599377,28.88412755,0
RNA18_FPKM,0.921892701,24.05808067,0.258288541,0.0,0.0,0.363020201,3.024261632,1.576629833,3062.178552,0.0,0.226937656,27.15731808,3.025236196,0.096896231,0.0,0.0,0.298602179,0.0,0.0,7.383817524,2.327924023,0.905267356,9.011467735,0.457152792,5.205319461,0.201136676,0.75242287,4.320943458,8.177507533,1.8939146,0.698418975,0.0,0.59944641,0.075059216,0.045830028,0.048591199,0.0,0.282607678,0.674302463,0.361671273,1.186512987,12.25154445,0.400799452,0.0,0.0,0.0,0.0,18.01615718,4.544903012,0.0,3.367780406,0.0,3.235445785,0.290820536,1.261411771,18.85819427,9.054773172,1
