,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,AC012618.2,AL354710.1,AC068790.1,FTH1P12,AC139451.1,AL139132.1,RPS12P3,RPL10P12,BAK1P1,AC018638.4,SRP72P2,AL162151.2,RPL41P2,MTND3P12,FTH1P16,RPL11P3,YWHAQP6,RPL23AP23,AC138932.2,AC084337.1,EEF1A1P29,EIF4BP5,NSRP1P1,RPS24P16,RIMKLBP1,NDUFB4P6,MTCYBP3,RPS27AP10,YBX1P1,HNRNPA3P15,RPL23AP30,FAM32BP,AC005183.1,AC093433.1,RBM8B,PRKXP1,AL512310.6,ST13P7,AL513475.1,RPL21P134,EEF1A1P16,XBP1P1,VDAC2P5,PTMAP2,Diagnosis
RNA31_FPKM,0.207102524,42.35971978,0.261072726,0.609456171,0.030285209,0.052454898,0.332374198,0.265793831,2609.577182,0.262722475,0.344133511,33.28707841,0.382306497,1.175387008,0.0,0.0,0.905614502,0.503949474,0.0,2.69600259,1.569162235,1.961321329,20.6819291,0.252144311,20.00114721,0.610016615,0.0,1.657234986,0.635959183,0.0,0.176631569,0.087436029,1.454669927,0.07590645,0.046347336,0.098229962,0.0,0.142872274,0.0,0.0,0.0,22.86949443,0.324178024,0.331942767,1.248649014,0.378216466,0.0,19.95878807,1.111765031,0.0,0.983709771,1.584106637,0.516556512,0.176447521,0.637730248,19.53966261,50.86342298,1
RNA314_FPKM,0.0,57.3724093,0.890824575,0.125994781,0.0,0.0,1.058376238,0.302266648,1357.428526,0.448226899,0.91319271,23.07044081,1.521872039,0.0,0.0,0.0,0.858159334,0.573085352,0.0,1.179166567,1.18973927,1.189580849,21.79360056,0.0,39.50637845,2.081131739,0.0,0.342605373,0.542500243,0.0,0.200869344,0.049742093,1.654388496,0.086322501,0.10535831,0.055882729,0.0,0.0,0.0,0.083209728,0.0,37.73179875,0.829612945,0.0,0.0,0.0,0.0,20.71668436,1.180061207,0.241470321,2.237433287,0.300347495,1.370734399,0.0,0.435165072,21.36280686,50.61410345,1
RNA319_FPKM,0.38255781,54.7716644,0.241065441,0.204659508,0.027950252,0.048410683,0.061374375,0.245301415,1425.023956,0.363883142,0.529618295,21.62982783,0.353096461,0.633135394,0.0,0.0,0.41803635,0.0,0.0,1.149008995,0.482888949,1.569629806,25.44119089,0.116391121,32.56317386,0.563173664,0.0,0.973789764,0.587368874,0.252563628,0.326026934,0.040367688,0.671651031,0.0,0.0,0.181449451,0.0,0.13192327,0.0,0.135056012,0.369131456,36.23575443,0.149667335,0.306504363,0.922504268,0.077594081,0.0,22.23280145,0.889736682,0.130688243,3.004592895,0.0,1.748914847,0.380149894,0.471156321,21.79085654,49.55012519,0
RNA32_FPKM,0.990680801,46.35359522,0.780584148,0.331267224,0.108585577,0.376204474,3.02063802,0.0,2798.643071,0.157074555,0.548695047,38.46335626,0.34285584,2.342564517,0.0,0.560158837,0.721967167,0.602595112,0.578070893,6.447624866,0.62533455,1.876290239,56.72498699,0.0,4.405623352,0.243100718,1.819086269,1.261029872,5.32381254,1.30856549,0.422200397,0.0,1.159645311,0.0,0.0,0.0,0.0,0.0,0.271661731,0.08744784,0.478020161,14.39836743,0.58154025,0.0,1.194606333,0.0,0.0,12.3118932,3.811015268,0.0,2.171648029,0.0,1.029466051,0.492283232,0.915123153,11.51310189,28.28164491,1
RNA328_FPKM,0.297307426,56.35111579,0.249777333,0.26505398,0.0,0.250848691,0.699637194,0.254166392,2128.201739,0.125677852,0.329293605,33.24268923,2.012060068,1.030914169,0.0,0.0,0.722043602,0.964521042,0.231261862,1.388913181,1.751428257,2.126802256,50.02405038,0.0,44.81976656,0.194508754,0.0,2.7386855,4.564199134,0.523382109,0.337809259,0.041826541,1.043932899,0.07258584,0.088639644,0.046990006,0.0,0.205101257,0.0,0.0,1.147778189,27.26865149,0.697990223,0.0,0.238901143,0.080398262,0.0,15.15575095,1.347374684,0.0677056,2.099587302,0.252552637,1.482687305,0.393885563,0.610193289,11.37974285,42.09564474,0
RNA331_FPKM,0.0,54.50052127,0.657325396,0.418437319,0.0,0.219990826,0.167352629,0.0,572.8806129,0.220453887,0.770018742,25.95765099,1.203207694,1.808296176,0.0,0.0,0.253261907,0.211547964,1.217198481,2.436358767,0.877889833,2.304256244,19.29703563,0.282093779,56.97627389,0.853069558,0.0,0.379271991,0.133481507,0.229640882,0.592715429,0.0,1.118982109,0.0,0.116634061,0.082426055,0.0,0.119886006,0.572016773,0.0,0.335628982,23.18888277,0.408105534,0.0,0.419060993,0.0,0.122260645,32.56620794,0.621934847,0.118763669,2.285917488,0.0,1.733814814,0.148060918,0.535131057,22.33744985,77.25406081,0
RNA334_FPKM,0.085914143,50.24492595,0.541734152,0.275865231,0.025114327,0.130540262,0.275847046,0.220412322,963.359633,0.436169982,0.475978834,20.55574858,0.396649029,1.056779936,0.0,0.0,0.37574747,0.0,0.200549583,1.204819088,0.868225152,2.387290461,16.68371719,0.0,93.91323883,1.856132926,0.0,1.125200303,0.923771423,0.681042289,0.293095115,0.072580336,1.408447846,0.06294622,0.0,0.0,0.175992491,0.177866715,0.377179779,0.242828143,0.0,29.54719124,0.0,0.0,0.414557956,0.104616905,0.0,32.20710472,0.184524827,0.058714091,2.009541441,0.0,1.571756453,0.244048554,0.211729753,21.072752,70.70371375,0
RNA335_FPKM,0.224459009,48.30943024,0.14154985,0.180151791,0.0,0.284141503,0.072076143,0.0,681.5342742,0.14244432,0.372976329,21.86333132,1.243146472,1.273895678,0.0,0.0,0.16364293,0.546183589,0.523955187,1.573289296,2.267177162,1.842155284,18.88718122,0.091076596,77.00597392,0.220457835,0.0,0.979568394,0.689256537,0.889499469,1.1480292,0.0,1.707887406,0.082269393,0.0,0.15972111,0.0,0.619383452,0.246358618,0.0,0.0,29.29085605,0.527019253,0.17997456,0.270772535,0.273229789,0.157911128,27.46684204,1.526226772,0.0,2.296229327,0.0,2.052526245,0.063767507,0.138293335,17.80007955,58.98125267,1
RNA336_FPKM,0.195477104,49.48664225,0.246417762,0.052287846,0.057141651,0.049485534,0.251005834,0.250747786,1854.394014,0.744038566,0.433114894,19.46633608,0.902281277,0.184885882,0.0,0.0,0.997336732,0.237830476,0.456302658,2.740630945,0.493610422,1.604573824,28.12346946,0.0,23.84827537,0.76774645,0.718061711,1.137711226,1.200796552,0.516342481,0.333265635,0.041263963,0.457738044,0.071609541,0.087447417,0.0,0.200214431,0.269766579,0.214437314,0.0,0.0,24.28588489,0.306050973,0.0,0.235687859,0.0,0.0,20.93333745,1.189409314,0.066794942,0.928579574,0.0,2.275347845,0.277575923,0.240748641,17.64246808,39.36996905,0
RNA35_FPKM,0.276614042,62.83492822,0.348698706,0.098654708,0.02695317,0.046683707,1.302005493,0.0,2248.833405,0.467869565,0.816997061,25.8428917,0.765934744,1.220831569,0.0,0.0,0.806247099,0.224364723,0.0,3.692588913,1.629819215,3.026682871,35.21560232,0.037413016,13.1205761,0.724111087,0.225732801,1.341310845,2.264945927,0.730661434,0.0,0.1167829,2.374356955,0.067555072,0.041248111,0.0,0.0,0.0,0.202296062,0.0,0.355963263,22.51937442,0.072164092,1.034496029,0.222343419,0.0,0.0,17.62775375,1.913628683,0.063013071,1.953677326,0.0,1.53292668,0.261811735,0.794911826,19.24446416,36.90503458,0
RNA358_FPKM,0.370343516,58.71523541,0.622526645,0.198125145,0.0,0.125048713,0.871774449,0.316816709,1639.864241,0.156656603,0.273554841,35.00785551,0.227962367,2.685916726,0.0,0.0,0.17997029,0.600991696,0.576532731,3.214257094,1.247010921,1.714763892,30.1743891,0.0,42.67003969,0.484907725,0.0,0.718386726,1.137431611,0.326196151,0.210538492,0.052136504,1.589781101,0.0,0.110488724,0.175656139,0.0,0.25548612,0.541877758,0.0,0.0,19.7256007,0.386500461,0.593584517,0.89305058,0.0,0.520815837,19.45115808,2.650965831,0.084394579,2.255291641,0.314805174,1.231628846,0.140259731,0.76029617,17.21804093,70.94731615,0
RNA365_FPKM,0.49398612,60.77040685,0.622717197,0.132135528,0.0,0.125053863,1.109871161,0.0,2095.72931,0.313326109,0.410418699,39.69714464,0.455943511,2.21947916,0.0,0.279487688,0.359955403,0.0,0.576556475,2.225835009,0.935703008,2.183095633,31.99504098,0.050135487,47.07742993,0.242587113,1.209362362,1.078092597,2.085841809,2.283632932,0.421094325,0.0,2.023977875,0.09052749,0.110493274,0.234300564,0.0,0.255630203,0.271087785,0.0,0.0,20.35177428,0.483322596,0.0,1.787108448,0.150355511,0.0,16.81272905,3.005351835,0.084440961,2.436560825,0.314978188,1.026685267,0.210433916,0.608390881,15.64752754,53.68240787,0
RNA368_FPKM,0.189965512,49.96012667,1.31734674,0.10162712,0.0,0.096180521,0.426857223,0.731140247,2931.93586,0.361527484,0.420898604,31.35779422,0.964540084,0.628973363,0.0,0.0,0.969144075,0.693475446,0.0,1.521952559,0.719644331,1.559369583,21.49298796,0.0,19.79590251,0.93265545,0.465068007,1.934776759,1.166927297,0.752785846,0.647880017,0.080201002,0.33359606,0.069620977,0.042509521,0.0,0.0,0.065553772,0.0,0.0,0.0,25.26997447,0.520466263,0.152304572,0.229142915,0.0,0.133633259,21.0696334,1.155832146,0.194763317,1.943640052,0.0,0.789764139,0.323687266,0.468023755,19.74275519,41.75936314,0
RNA37_FPKM,0.597819382,56.4598963,0.627941676,0.0,0.0,0.201786029,0.831386197,0.255483085,2420.049409,0.0,0.441424334,34.61195975,0.91963403,2.544379718,0.0,0.0,0.871232239,0.484897943,0.0,5.187352282,1.509587935,2.012783914,47.23861587,0.0,6.076569158,0.782475898,0.731654045,1.159538559,3.824401643,1.052738955,0.0,0.042043221,1.866079547,0.072961866,0.0,0.141749868,0.0,0.068699489,0.0,0.281471101,0.384452912,22.58515626,0.545823752,0.479007039,1.201197741,0.04040738,0.0,15.08685357,2.923611969,0.204240448,1.237576683,0.25386097,0.993890194,0.282884617,0.613495166,16.5279791,31.07286428,0
RNA379_FPKM,0.831332168,62.84980962,0.174725785,0.074150783,0.080990004,0.210453888,0.711559058,0.0,1799.809791,0.175829898,0.920772043,33.89079546,1.023172853,1.572721523,0.0,0.313522043,0.807768042,0.674180425,0.64674285,3.60733391,1.049622219,0.699811621,31.2523436,0.168660872,60.56432627,0.816087691,0.33933026,0.806304694,1.063825079,0.366119491,0.944968558,0.116971367,2.108660201,0.101551392,0.0,0.06574148,0.0,0.095618836,0.0,0.097889468,0.535097718,25.8470733,0.325321506,0.666227277,0.668106728,0.337321744,0.0,20.77029357,2.776792635,0.094723681,1.518671919,0.353334366,0.691055622,0.157340552,1.023864619,13.51403499,52.06185465,1
RNA38_FPKM,1.019326494,27.18068033,0.584087834,0.148719262,0.0,0.093843845,2.200823501,0.237671802,3863.621522,0.11752176,0.410583001,30.08567124,1.36848635,1.139405786,0.0,0.0,1.215395348,0.451019206,0.0,2.783520824,1.170012422,2.456992256,32.35296601,0.075207851,6.593334093,0.181885756,0.453769323,0.808795696,4.410659609,0.489593217,0.316000718,0.039112132,0.867771957,0.06787525,0.0,0.0,0.0,0.12786627,0.0,0.261805344,0.0,14.33979665,0.435141544,0.0,0.67035319,0.112798187,0.0,15.30754855,1.923296468,0.063311723,0.947904264,0.472496311,0.308149768,0.157869598,0.228276592,13.0917379,19.79760218,0
RNA383_FPKM,0.403364881,50.63524671,0.381301129,0.053922598,0.029464077,0.153145535,1.100296129,0.0,2183.818852,0.127863854,0.670142068,33.82829692,1.116816825,2.098127534,0.0,0.4562,0.58784392,0.736026725,0.235284359,3.028726826,2.800920814,1.655100344,34.85221428,0.122733107,50.2219713,0.395968215,0.493753048,1.466810939,3.715604735,0.532733552,0.515687514,0.042554059,1.652451367,0.073848375,0.045090707,0.095659185,0.0,0.139133161,0.884978141,0.071185417,0.389124132,17.62782436,0.631314462,0.484808022,0.972678678,0.0,0.0,21.43772038,2.30932734,0.068883251,1.252475393,0.256945458,1.005906832,0.171774271,0.248391104,15.71599672,64.62732704,0
RNA385_FPKM,0.726520379,52.29181927,0.08328844,0.176662601,0.038608633,0.167194555,0.508753478,0.338843175,2199.548927,0.08381475,0.292644671,41.81483272,1.280216726,1.874118377,0.0,0.448204649,0.57754138,0.482159546,0.616765659,4.364686166,2.334932436,1.417643341,39.89298335,0.080400531,60.08608328,0.389028485,0.485099543,0.768629011,4.563361747,0.697919036,0.675637581,0.027894183,1.932805217,0.048407606,0.0,0.031337706,0.0,0.455663821,0.434734017,0.093278728,0.255070849,27.01567982,0.723692509,0.105897678,0.796308,0.1339922,0.0,25.25571434,2.883472533,0.090262054,1.158235852,0.168427735,0.768695729,0.112526627,0.56944791,13.48500671,70.55375072,1
RNA386_FPKM,0.10984191,51.86636985,0.55359436,0.058762861,0.032108866,0.277958803,0.493335303,0.281798894,1947.884322,0.278546293,0.121659385,22.81482457,1.114814225,3.21938636,0.0,0.0,0.480077781,0.267281982,0.512557568,1.759016255,1.66366577,2.634047003,20.24069843,0.089095403,59.71005248,0.862199528,0.0,0.479208075,1.854471082,0.0,0.18726763,0.046373845,1.156805499,0.080477239,0.0,0.052098673,0.0,0.302954989,0.481748097,0.0,0.0,23.69558071,0.257819549,0.176054,0.529488899,0.089095403,0.0,21.32868369,2.436059732,0.075066429,2.246347736,0.0,1.460384096,0.311769916,0.270429146,19.01497585,67.1384563,0
RNA39_FPKM,1.130222728,62.74353549,0.259034343,0.054992983,0.180201904,0.312115151,0.857373083,0.263720342,2459.605547,0.391073213,0.113854437,28.13309437,1.138061285,2.526774455,0.0,0.46480247,0.898393158,0.500014778,0.239954846,6.99584807,2.075797372,1.816223576,43.62204275,0.0,8.35520931,0.403434906,1.257787258,1.046302712,1.893142099,0.5427792,0.0,0.086753353,2.164909545,0.075314295,0.045985776,0.09746301,0.0,0.141756767,0.225531331,0.145123023,0.793292676,17.36120147,0.241276164,0.0,0.49551014,0.0,0.0,17.44473361,3.676878919,0.0,2.252266847,0.262045927,1.024875011,0.350081068,1.01242878,15.64013385,37.84798283,1
RNA392_FPKM,0.68446685,53.42196448,0.287566252,0.244076886,0.0,0.173274552,0.732203266,0.0,2369.770977,0.289383417,0.252661659,37.15821814,1.0528578,2.373559805,0.0,0.258123204,0.332449551,0.832768,0.266377143,2.055742017,2.304423217,1.296151806,34.32983248,0.1851235,45.21968725,0.224043368,0.558474704,0.663694576,2.10165581,0.602564812,0.0,0.096308992,1.068231171,0.083607425,0.051049436,0.108198289,0.0,0.0,0.0,0.402808393,0.0,25.95310934,0.714236436,0.182901671,1.100178395,0.09256175,0.0,24.94992232,1.877705893,0.077986159,2.000381938,0.0,0.948225969,0.388703593,0.702443471,18.29907096,62.74689064,0
RNA409_FPKM,0.885779347,51.5952635,0.0,0.05924852,0.0,0.056073158,1.421354384,0.284127885,2001.586905,0.280847317,0.490538493,35.94606216,0.408782078,2.513256468,0.0,0.0,0.322643107,0.538716217,0.0,2.660651429,1.677411193,1.957071658,27.52240732,0.0,49.51733007,0.652098728,0.542001072,0.966334709,3.399836203,0.584790631,0.0,0.046757112,2.462364878,0.081142361,0.09903975,0.052529255,0.0,0.305532996,0.485727737,0.0,0.427557827,20.37440946,0.433306467,0.0,0.533862918,0.179707129,0.0,20.66026241,3.486514328,0.0,1.860621214,0.0,1.288506806,0.12572585,0.681859564,15.44011497,47.8518777,0
RNA41_FPKM,0.186957291,37.66260292,0.0,0.100017791,0.0,0.0,0.0,0.239727238,3024.47305,0.118538113,0.207071317,24.07421428,0.345052823,1.149278446,0.0,0.0,1.089744765,0.0,0.0,0.0,0.0,0.944102776,18.27424615,0.075859881,40.37763787,1.1010334,0.0,0.951734214,0.287049149,0.0,0.478049534,0.039450381,0.437603434,0.06846225,0.0,0.088674959,0.0,0.0,0.0,0.0,0.0,20.4055448,0.0,0.299654101,0.0,0.0,0.0,21.301232,1.003392738,0.063859256,0.956116493,0.0,0.776993862,0.053065506,0.0,19.9350892,38.10116256,0
RNA418_FPKM,0.58861728,58.08880051,0.74200891,0.157422679,0.0,0.09935613,0.944533008,0.251723359,2290.446116,0.497758062,0.97786361,24.41845407,1.086573968,0.649527783,0.0,0.0,0.285986974,0.0,0.0,4.714809735,1.981882072,1.857878606,26.7838591,0.079625479,28.91783504,0.770368834,0.24021162,0.856267529,1.054395961,1.036450174,0.167281128,0.0,1.263163178,0.071888149,0.0,0.279184687,0.0,0.135376996,0.0,0.138591753,0.0,28.06392828,0.383889147,0.0,0.709583909,0.039812739,0.0,18.00593662,3.159455591,0.067054818,1.648634479,0.500250231,1.141716537,0.501379857,0.362410186,20.20818623,42.39925333,0
RNA431_FPKM,1.235887635,47.90507989,0.17306987,0.440757592,0.040133057,0.347623984,0.352586836,0.0,2256.358248,0.0,0.152062768,35.22076383,1.140710081,2.207997684,0.896304936,0.0,1.200684475,1.002547347,0.0,1.92500438,2.774126615,1.040215638,42.38167345,0.0,44.66629117,0.539097834,0.336114351,1.79785828,5.060062499,1.088291528,0.468133788,0.173943546,1.446673135,0.100588966,0.06141811,0.065118433,0.281238538,0.18942527,0.903936133,0.096961748,0.530026476,19.87138829,0.107451761,0.440101825,0.662135178,0.222883341,0.193074443,34.44593331,2.751781478,0.0,0.903018899,0.699971474,0.913221805,0.155934239,0.169088201,12.76666981,42.15169199,1
RNA44_FPKM,1.502267014,57.73616996,0.3788022,0.107135112,0.029270077,0.811302215,0.321428301,0.0,1812.270932,0.254043922,0.221806624,29.37142349,2.865475204,1.231364325,0.0,0.0,0.145925411,0.974854251,0.0,2.005520219,0.505691203,2.023153008,41.0488293,0.203186864,4.071655112,0.196589001,0.490273788,1.019776461,2.152644767,0.264489807,0.170711043,0.0,1.406739665,0.073362136,0.0,0.0,0.0,0.621828786,0.439371045,0.070716712,0.386562025,17.59174404,0.470284313,0.0,0.0,0.0,0.140814188,16.08380189,2.006906171,0.0,1.75618455,0.0,2.16444785,0.170648516,0.0,14.60509482,39.8406677,1
RNA442_FPKM,0.0,40.71776386,0.748745061,0.211803644,0.028933133,0.350838538,0.063532628,0.0,758.9114911,0.502238974,0.0,25.17494056,1.004996772,0.936240135,0.0,0.0,0.432736756,0.0,0.924178111,1.189403003,0.499869922,1.499727216,13.68582404,0.120484059,84.01607601,0.58297788,0.0,0.86404095,0.303936205,0.261445124,0.506237692,0.0,1.62224467,0.0,0.0,0.0,0.202753361,0.341470177,0.434313211,0.0,0.382112104,27.40691882,0.154930444,0.0,0.0,0.160645412,0.0,28.91860519,0.283348726,0.067641972,2.242181656,0.0,1.152028823,0.112417705,0.121900794,22.19540645,61.74330986,0
RNA454_FPKM,0.122683808,55.52425006,0.463819409,0.065632976,0.071691979,0.186288123,0.708520296,0.0,2623.01847,0.0,0.679287115,31.98902982,0.679202215,1.972078931,0.0,0.0,0.536212275,0.298530599,0.0,2.456044858,1.238893274,1.083995322,27.40567095,0.0,34.28388037,0.240868209,0.0,0.892179635,0.376554237,0.0,0.418127104,0.103542516,1.435676367,0.0,0.0,0.17451445,0.0,0.169190607,0.269166933,0.086644765,0.0,17.64590901,0.191947238,0.196636921,0.887246137,0.0,0.0,21.94898962,1.404438427,0.083842636,1.433830678,0.312746341,0.611703858,0.139277133,0.755342268,16.6570621,46.98560469,0
RNA457_FPKM,0.645172238,35.89300164,0.180725235,0.230090555,0.020963017,0.362931824,0.690199225,0.183978941,1861.996186,0.090972209,1.111522513,31.80619967,0.926268761,3.118791822,0.0,0.324287252,0.731309133,1.221064643,0.167399444,4.880482711,2.896150303,2.986693398,36.3388413,0.0,16.02964202,0.562943641,1.052944889,1.042771509,3.191764918,0.757381411,0.488840656,0.0605268,1.762106638,0.052541431,0.0,0.0,0.146901552,0.24727608,0.629081828,0.050646797,0.553471031,22.78476097,0.336613961,0.344725316,1.037134906,0.116343582,0.0,19.84497516,1.69299198,0.195952297,1.309416836,0.182810821,0.834267769,0.122141006,0.264888624,15.55012656,56.32924298,0
RNA466_FPKM,0.505733247,51.34791677,1.147521877,0.162312777,0.029572683,0.102441563,1.752929102,0.0,2220.221594,0.513219017,0.224099751,31.96272045,1.21360813,1.434995751,0.0,0.0,0.737030486,0.492340362,0.708231041,2.228039289,0.510919244,2.043313762,44.70650345,0.0,57.05976396,0.397242835,0.742778897,1.324223615,2.484794555,0.534448419,0.172475923,0.042710915,1.420816202,0.074120584,0.090513827,0.047983556,0.414470203,0.279095909,0.0,0.214275706,0.0,32.57274835,0.158355087,0.324296047,0.0,0.082098191,0.0,12.53108556,3.257517093,0.138274314,2.069290688,0.257892571,1.34520761,0.40210475,0.747453922,17.51630795,43.21810322,0
RNA471_FPKM,0.405471775,50.37281781,0.255568159,0.144599892,0.019747914,0.273700426,1.691647654,0.0,1960.058117,0.257183124,0.973014056,38.10086225,0.498952731,3.003934147,0.220518376,0.152809917,0.393910051,0.493323992,0.788639414,3.653660601,2.218349655,2.132969346,34.02033723,0.027411582,34.68684517,0.132634524,1.158052913,1.376236795,3.008820156,0.892407758,0.575991419,0.142635099,1.423800508,0.049495913,0.03022146,0.128201086,0.0,0.279719789,0.296583052,0.0,0.260805387,22.32682265,0.581760032,0.541500915,0.814690565,0.05485063,0.0,21.60168462,3.772283805,0.092382466,1.530629972,0.34460126,0.224739952,0.115132191,0.582578766,16.32192426,44.80399764,0
RNA476_FPKM,0.112029328,57.24362572,0.423528268,0.23967159,0.032748289,0.056721028,0.93454003,0.0,1956.38543,0.284088399,0.248038561,36.84507359,0.310100583,1.90662549,0.0,0.0,0.489632499,0.272604698,0.261510321,2.6911472,1.131280054,2.120970965,31.43682279,0.0,75.70179293,0.219950001,0.822522887,1.140461167,1.203698975,0.59153933,0.190996922,0.0,1.573104996,0.0,0.0,0.053136179,0.0,0.231776209,0.491333214,0.0,0.0,27.44776471,0.438221699,0.179559981,0.810172693,0.090868093,0.0,22.95381274,1.923699821,0.229606389,1.472907225,0.0,1.30338419,0.063620616,0.689594269,16.2304328,56.92903269,0
RNA483_FPKM,0.331488253,55.17821487,0.626762917,0.132974262,0.0,0.083898431,1.32975489,0.425121122,2692.516634,0.420513534,0.275302575,22.23972311,0.152945875,0.548621241,0.270453072,0.0,1.086828212,0.201610472,1.160604587,2.820831008,0.418436828,2.301682007,41.94904999,0.0,20.21471253,1.138825021,0.0,0.964331321,2.162816891,0.656560417,0.423767233,0.0,0.969932654,0.060703883,0.0,0.078595931,0.169723101,0.171472824,0.0,0.0,0.319862767,21.76410735,0.259439636,0.132797317,0.599382483,0.0,0.116517435,12.0404923,1.95707153,0.0,1.937491175,0.0,2.066439592,0.611759131,0.510301415,14.80343262,43.34243846,0
RNA488_FPKM,0.269909699,55.38844448,0.567152227,0.144395395,0.0,0.182223662,0.750830876,0.230892141,2398.47466,0.228338832,0.498311681,33.98514601,1.16271111,0.851062353,0.0,0.0,1.049026238,0.0,0.0,1.441430067,0.454523524,2.385806785,35.12217287,0.0,21.95076713,0.353394818,0.0,1.178048365,0.967140438,0.237727764,0.306875755,0.037996446,1.474575315,0.0,0.0,0.0,0.0,0.186200591,0.197456941,0.0,0.34744827,29.88041619,0.140875712,0.0,0.434049491,0.10951869,0.126566095,23.39678611,1.094800701,0.061505736,1.512139548,0.0,1.346340988,0.459888753,0.221684786,22.63598985,46.40220323,0
RNA499_FPKM,0.571100377,53.05708091,0.599998791,0.152787938,0.0,0.14459943,0.610969361,0.488385093,2424.09889,0.603790252,0.316323718,28.32757807,1.054238167,0.270123316,0.0,0.215408905,1.387155483,0.926451723,0.444373646,2.287249889,0.721178287,1.92282433,31.30429466,0.0,23.21992925,1.121255752,0.0,1.938499528,1.02306647,0.502843863,0.0,0.0,1.448480126,0.069772045,0.0,0.0,0.0,0.197022934,0.208934867,0.067256078,0.0,30.09552096,0.148990774,0.457753883,0.229640124,0.0,0.0,18.63505901,1.703070029,0.065080988,1.390942077,0.0,1.265958876,0.486512233,0.117285523,21.25549934,47.44935687,0
RNA50_FPKM,0.092533434,61.81726962,1.399394455,0.148456857,0.108168216,0.0,0.0,0.237394081,793.6681066,0.23476887,0.512334396,22.92707432,2.561671978,0.525025659,0.0,0.0,0.26970725,0.0,0.863773516,3.334566215,1.401719447,2.219285219,24.80567424,0.262784806,13.63512831,0.908172217,0.0,0.672902965,1.136283324,0.244422195,0.788625131,0.117157593,0.758092029,0.067795937,0.12414136,0.219398959,0.0,0.638217245,0.406034685,0.0,0.0,23.29230485,0.506872448,0.444777928,0.0,0.112599162,0.130130206,13.30099552,0.264828957,0.0,2.501024979,0.0,3.537481344,0.210140091,0.227927446,24.20044233,57.47644336,1
RNA504_FPKM,0.295954789,56.26412386,0.435290162,0.105552608,0.014425969,0.174829655,0.443293098,0.0,1584.663724,0.125145706,0.49172009,31.07014757,0.318712452,1.726285509,0.0,0.111628556,0.287539862,0.240052218,0.230282651,2.469608493,0.747332377,1.494787529,30.89718184,0.100082163,56.65980998,0.387370327,0.120817492,0.430528435,1.211810513,0.912104714,0.168189452,0.0,2.020990037,0.03615706,0.0,0.070198092,0.0,0.136112082,0.0,0.0,0.190519891,27.93454253,0.193043471,0.079098078,0.713668756,0.04002892,0.0,23.99343807,2.330092573,0.067418921,2.450973741,0.0,0.820134994,0.196096063,0.972050457,16.59106816,71.47081794,0
RNA519_FPKM,0.0,80.57037787,0.395794484,0.167968745,0.030584205,0.105993869,0.470290678,0.0,1687.182919,0.663866291,0.695612177,21.86272326,1.642373585,0.396010073,0.0,0.0,0.762663089,0.0,0.244229099,1.467166181,0.264197516,1.982325067,20.02637379,0.042453163,70.75286314,1.027450764,0.0,1.522701776,0.964280742,0.276364507,0.53528893,0.088383952,0.490105761,0.076655849,0.093652521,0.049624814,0.0,0.144421199,0.229548662,0.0,0.0,33.44582511,0.0,0.503235701,0.504823652,0.297288347,0.0,28.17752187,1.348446065,0.143069171,1.529629446,0.0,1.914174308,0.832209288,1.160183918,13.83381388,56.54904299,0
RNA52_FPKM,0.0,31.19521287,1.377134545,0.04177094,0.0,0.0,1.853273035,0.0,1052.283289,1.880839453,0.08648025,33.01963294,2.664878812,0.0,0.0,0.0,0.113789803,0.0,0.0,0.0,0.197164093,0.0,5.176397278,0.0,5.155782552,0.306404019,0.0,0.567638893,0.239616145,0.206244018,0.0,0.032964344,1.918207897,0.05720637,0.034929349,0.0,0.0,0.0,0.0,0.0,0.0,23.62854172,0.0,0.0,0.0,0.0,0.0,33.53877143,0.0,0.533273377,6.442884497,0.0,6.875932991,0.620392295,0.0,17.35452136,28.55215158,0
RNA521_FPKM,0.563301327,64.42010511,0.26628589,0.150676537,0.020582953,0.10695089,0.949085667,0.0,1640.432239,0.08932286,0.31195239,50.44239686,0.454930569,1.931256931,0.0,0.159271467,0.307847753,0.342674974,0.328728899,3.80686881,1.066818314,2.222439704,26.00756042,0.057141355,44.37186249,1.105943681,0.0,1.433906838,0.864877563,0.743965404,0.0,0.089181973,1.648345187,0.051588842,0.062998742,0.066794295,0.0,0.145725182,0.0,0.099457116,0.0,30.44818817,0.110217097,0.225714055,0.339587812,0.085712032,0.0,27.13830745,2.872255154,0.096240631,1.234695433,0.0,0.819440155,0.07997365,0.520319362,18.22566407,54.29048486,0
RNA528_FPKM,0.325077243,50.15277584,0.273152948,0.115921671,0.0,0.384055895,0.765138509,0.0,2710.381808,0.274879033,0.36005107,36.70576413,0.800173848,4.304590262,0.0,0.0,0.789680984,0.0,0.758828564,4.556952495,1.094577434,1.231306727,32.38472839,0.087922399,50.11636508,0.425424029,0.530483012,1.418679489,3.327532222,1.144985605,0.554218739,0.0,0.887919315,0.0,0.0,0.154186076,0.22203724,0.074775428,0.0,0.076551098,0.418454798,20.84733599,0.424087936,0.0,1.045272144,0.0,0.0,22.04377679,1.473494433,0.148083769,1.583529893,0.0,0.180204137,0.061554878,0.266868755,14.32146389,40.18129584,0
