,NPM1P29,DGKZP1,RPL15P5,HNRNPLP1,AC027575.1,ETF1P2,AC114878.2,AC006483.1,H3P6,AC021074.1,AL663070.1,DNAJB6P1,AL162430.1,Diagnosis
RNA3_FPKM,0.235294631,57.02422269,0.444746737,0.251681856,0.068781066,0.714648241,1.056966417,0.603647249,1762.15928,0.298485923,0.390763685,38.18753435,2.714053222,0
RNA302_FPKM,0.373660989,42.77881295,0.706643899,0.24989405,0.0,0.0,0.719589788,0.239748227,3119.922026,0.237006141,0.724297732,34.37499109,0.776023842,0
RNA303_FPKM,0.374873601,44.07516528,0.708793584,0.300800475,0.0,0.142318422,0.2406263,0.24038021,2084.780223,0.832133521,0.726538646,29.61224578,1.816346616,1
RNA31_FPKM,0.207102524,42.35971978,0.261072726,0.609456171,0.030285209,0.052454898,0.332374198,0.265793831,2609.577182,0.262722475,0.344133511,33.28707841,0.382306497,1
RNA314_FPKM,0.0,57.3724093,0.890824575,0.125994781,0.0,0.0,1.058376238,0.302266648,1357.428526,0.448226899,0.91319271,23.07044081,1.521872039,1
RNA319_FPKM,0.38255781,54.7716644,0.241065441,0.204659508,0.027950252,0.048410683,0.061374375,0.245301415,1425.023956,0.363883142,0.529618295,21.62982783,0.353096461,0
RNA32_FPKM,0.990680801,46.35359522,0.780584148,0.331267224,0.108585577,0.376204474,3.02063802,0.0,2798.643071,0.157074555,0.548695047,38.46335626,0.34285584,1
RNA328_FPKM,0.297307426,56.35111579,0.249777333,0.26505398,0.0,0.250848691,0.699637194,0.254166392,2128.201739,0.125677852,0.329293605,33.24268923,2.012060068,0
RNA331_FPKM,0.0,54.50052127,0.657325396,0.418437319,0.0,0.219990826,0.167352629,0.0,572.8806129,0.220453887,0.770018742,25.95765099,1.203207694,0
RNA334_FPKM,0.085914143,50.24492595,0.541734152,0.275865231,0.025114327,0.130540262,0.275847046,0.220412322,963.359633,0.436169982,0.475978834,20.55574858,0.396649029,0
RNA335_FPKM,0.224459009,48.30943024,0.14154985,0.180151791,0.0,0.284141503,0.072076143,0.0,681.5342742,0.14244432,0.372976329,21.86333132,1.243146472,1
RNA336_FPKM,0.195477104,49.48664225,0.246417762,0.052287846,0.057141651,0.049485534,0.251005834,0.250747786,1854.394014,0.744038566,0.433114894,19.46633608,0.902281277,0
RNA35_FPKM,0.276614042,62.83492822,0.348698706,0.098654708,0.02695317,0.046683707,1.302005493,0.0,2248.833405,0.467869565,0.816997061,25.8428917,0.765934744,0
RNA358_FPKM,0.370343516,58.71523541,0.622526645,0.198125145,0.0,0.125048713,0.871774449,0.316816709,1639.864241,0.156656603,0.273554841,35.00785551,0.227962367,0
RNA365_FPKM,0.49398612,60.77040685,0.622717197,0.132135528,0.0,0.125053863,1.109871161,0.0,2095.72931,0.313326109,0.410418699,39.69714464,0.455943511,0
RNA368_FPKM,0.189965512,49.96012667,1.31734674,0.10162712,0.0,0.096180521,0.426857223,0.731140247,2931.93586,0.361527484,0.420898604,31.35779422,0.964540084,0
RNA37_FPKM,0.597819382,56.4598963,0.627941676,0.0,0.0,0.201786029,0.831386197,0.255483085,2420.049409,0.0,0.441424334,34.61195975,0.91963403,0
RNA379_FPKM,0.831332168,62.84980962,0.174725785,0.074150783,0.080990004,0.210453888,0.711559058,0.0,1799.809791,0.175829898,0.920772043,33.89079546,1.023172853,1
RNA38_FPKM,1.019326494,27.18068033,0.584087834,0.148719262,0.0,0.093843845,2.200823501,0.237671802,3863.621522,0.11752176,0.410583001,30.08567124,1.36848635,0
RNA383_FPKM,0.403364881,50.63524671,0.381301129,0.053922598,0.029464077,0.153145535,1.100296129,0.0,2183.818852,0.127863854,0.670142068,33.82829692,1.116816825,0
RNA385_FPKM,0.726520379,52.29181927,0.08328844,0.176662601,0.038608633,0.167194555,0.508753478,0.338843175,2199.548927,0.08381475,0.292644671,41.81483272,1.280216726,1
RNA386_FPKM,0.10984191,51.86636985,0.55359436,0.058762861,0.032108866,0.277958803,0.493335303,0.281798894,1947.884322,0.278546293,0.121659385,22.81482457,1.114814225,0
RNA39_FPKM,1.130222728,62.74353549,0.259034343,0.054992983,0.180201904,0.312115151,0.857373083,0.263720342,2459.605547,0.391073213,0.113854437,28.13309437,1.138061285,1
RNA392_FPKM,0.68446685,53.42196448,0.287566252,0.244076886,0.0,0.173274552,0.732203266,0.0,2369.770977,0.289383417,0.252661659,37.15821814,1.0528578,0
RNA409_FPKM,0.885779347,51.5952635,0.0,0.05924852,0.0,0.056073158,1.421354384,0.284127885,2001.586905,0.280847317,0.490538493,35.94606216,0.408782078,0
RNA41_FPKM,0.186957291,37.66260292,0.0,0.100017791,0.0,0.0,0.0,0.239727238,3024.47305,0.118538113,0.207071317,24.07421428,0.345052823,0
RNA418_FPKM,0.58861728,58.08880051,0.74200891,0.157422679,0.0,0.09935613,0.944533008,0.251723359,2290.446116,0.497758062,0.97786361,24.41845407,1.086573968,0
