,RNA5SP494,RNA5SP493,RNA5SP82,Diagnosis
R_JS008_FPKM,3.325315099,2.828543285,3.729743669,1
R_JS009_FPKM,2.839413712,1.006275738,2.986013876,1
R_JS010_FPKM,1.046798017,0.742338436,3.669855284,1
R_JS011_FPKM,3.398924957,2.409128129,5.957354885,1
R_JS012_FPKM,1.955827722,0.92418233,9.141368699,1
R_JS013_FPKM,1.022329312,1.449236058,4.30114365,1
R_JS014_FPKM,2.121258413,1.002352876,5.452771286,1
R_JS015_FPKM,0.577170822,2.455209953,3.237816758,1
R_JS016_FPKM,4.341078403,2.307688657,6.847815253,1
R_JS017_FPKM,1.187915915,1.683968715,2.498875448,1
R_JS018_FPKM,1.328646147,2.825742795,7.453049367,1
R_JS019_FPKM,1.937281281,0.915746499,4.527017817,1
R_JS020_FPKM,1.378126055,1.953607265,6.76223344,1
R_JS021_FPKM,4.269200832,1.729448705,5.131208258,1
R_JS022_FPKM,3.389071693,4.804288444,2.850664859,1
R_JS023_FPKM,1.889212614,0.89301301,6.180401239,1
R_JS024_FPKM,0.69407935,2.951744048,2.919659874,1
R_JS025_FPKM,1.285609608,1.822457577,4.505771134,1
R_JS026_FPKM,0.615497625,0.872518611,4.314334851,1
R_JS027_FPKM,1.930081432,2.051696314,3.382550184,1
R_JS028_FPKM,1.758526288,0.830663257,2.465759686,1
R_JS029_FPKM,1.768561139,2.507081175,5.786818289,1
R_JS030_FPKM,1.242405702,2.641818719,2.613103298,1
R_JS031_FPKM,1.383839471,0.980853252,4.850959016,1
R_JS032_FPKM,1.596914371,1.509387481,3.732132768,1
R_JS033_FPKM,2.645444957,1.874594029,1.854218006,1
R_JS034_FPKM,1.859504518,3.513743941,5.213783556,1
R_JS035_FPKM,1.204447851,2.561574439,1.688845356,1
R_JS036_FPKM,3.321449448,1.569476113,5.433458064,1
R_JS037_FPKM,0.70244579,0.995774801,3.937537784,1
R_JS038_FPKM,0.664869415,0.942507193,1.864525099,1
R_JS039_FPKM,0.600968628,0.85192256,4.214177819,1
R_JS040_FPKM,0.624001534,0.0,4.374793362,1
R_JS041_FPKM,3.225637456,4.572606943,5.426892205,1
