,RNA5SP494,RNA5SP493,RNA5SP82,RNA5SP37,RNA5SP498,RNA5SP310,RNA5SP317,RNA5SP207,5S_rRNA.3,RNA5SP312,RNA5SP450,RNA5SP434,RNA5SP295,RNA5SP449,RNA5SP39,RNA5SP383,RNA5SP155,RNA5SP284,RNA5SP392,RNA5SP490,RNA5SP437,RNA5SP244,RNA5SP78,RNA5SP195,RNA5SP311,RNA5SP108,RNA5SP151,RNA5SP483,RNA5SP307,RNA5SP390,RNA5SP203,RNA5SP324,RNA5SP219,RNA5SP393,RNA5SP283,RNA5SP290,RNA5SP479,RNA5SP474,RNA5SP395,RNA5SP377,RNA5SP132,RNA5SP464,RNA5SP237,RNA5SP21,RNA5SP131,RNA5SP260,RNA5SP217,RNA5SP492,RNA5SP340,RNA5SP496,RNA5SP345,RNA5SP315,RNA5SP425,RNA5SP196,RNA5SP466,RNA5SP427,RNA5SP248,RNA5SP477,RNA5SP452,RNA5SP221,RNA5SP33,RNA5SP159,RNA5SP357,RNA5SP74,RNA5SP69,RNA5SP282,RNA5SP320,RNA5SP354,RNA5SP146,RNA5SP141,RNA5SP111,RNA5SP376,RNA5SP212,RNA5SP152,RNA5SP245,RNA5SP88,RNA5SP294,RNA5SP52,RNA5SP363,RNA5SP247,RNA5SP465,RNA5SP229,RNA5SP129,RNA5SP364,RNA5SP20,RNA5SP507,RNA5SP370,RNA5SP122,RNA5SP197,RNA5SP371,RNA5SP473,RNA5SP344,RNA5SP209,RNA5SP154,5S_rRNA.4,RNA5SP394,RNA5SP67,RNA5SP435,RNA5SP298,RNA5SP369,RNA5SP372,RNA5SP289,RNA5SP367,RNA5SP386,RNA5SP432,RNA5SP124,RNA5SP65,RNA5SP296,RNA5SP174,RNA5SP469,RNA5SP97,RNA5SP341,RNA5SP25,RNA5SP482,RNA5SP297,RNA5SP327,RNA5SP18,Diagnosis
RNA140_FPKM,1.77474819,0.838317449,3.317710918,1.174274067,0.0,0.657645585,1.315996799,2.852611257,0.663364243,1.315996799,0.747910666,0.630470148,0.0,0.586822215,2.54357837,1.272130239,0.0,1.293691768,0.681132928,0.560932999,0.0,0.681132928,0.64649905,0.0,0.0,0.652024683,1.304748963,0.0,0.657645585,0.0,0.560932999,0.0,1.350934767,0.0,0.641066285,0.600684157,0.0,0.847632088,0.0,0.0,0.64649905,0.0,1.350934767,0.0,0.641066285,1.375275934,0.0,0.669183227,0.0,0.699879705,0.706360073,0.0,0.681132928,0.747910666,0.0,0.641066285,0.0,0.641066285,0.0,0.0,0.0,0.0,0.641066285,1.400510355,0.0,0.0,0.0,0.0,0.620218601,0.0,0.755315722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.978037024,0.0,0.0,0.0,0.0,0.0,0.610295103,0.0,0.0,0.786462762,0.68726926,0.0,0.0,0.0,0.0,0.0,0.706360073,0.663364243,0.0,0.64649905,0.0,0.657645585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755315722,0.0,1
RNA145_FPKM,0.566465,0.0,2.382169041,0.562107577,3.043709322,0.0,0.629948146,1.365285672,0.635425956,0.629948146,0.716411617,0.603917231,0.0,1.685842706,0.0,3.043709322,0.566465,3.095297616,0.652446294,0.537308713,0.0,0.652446294,0.619271059,0.624563974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646672433,0.0,0.6140671,0.0,0.0,0.0,1.238013278,0.652446294,1.238013278,0.676610972,0.646672433,0.761187343,1.227609806,0.658324189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716411617,0.0,0.0,0.575385708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676610972,0.0,0.0,1.187687535,0.0,0.0,0.0,0.682934439,0.664308954,1.207318734,0.0,0.73812106,0.0,0.0,0.0,0.0,0.73812106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA150_FPKM,0.627059504,0.888908528,3.516985915,0.0,2.022266901,1.394666828,2.789333657,1.511975253,0.703397183,1.394666828,0.793045844,0.668517984,0.0,1.866707909,6.740889671,6.740889671,1.254119008,2.742056815,0.722238179,0.0,0.0,0.722238179,1.371028408,1.382746599,1.394666828,0.0,1.382746599,0.0,0.697333414,0.715846691,0.0,0.748987741,1.431693381,0.0,0.67975358,0.636934457,0.6913733,0.898785289,0.685514204,0.0,0.685514204,0.0,0.715846691,0.842611209,0.67975358,1.457489658,0.888908528,0.709567334,0.755987627,0.0,0.748987741,0.0,0.722238179,0.793045844,0.0,0.0,0.0,0.0,0.67975358,0.0,0.0,0.0,0.0,0.0,0.0,0.748987741,0.0,0.0,0.0,0.674088967,0.0,0.0,0.755987627,0.0,0.0,0.0,0.0,0.0,0.703397183,0.0,0.0,1.634155072,0.0,1.037059949,0.0,0.0,0.0,0.748987741,0.67975358,0.0,0.0,0.0,1.667848991,0.0,1.348177934,0.67975358,0.0,0.0,0.728744829,0.0,0.703397183,0.0,0.685514204,0.0,0.0,0.0,0.0,0.0,0.0,0.742116294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA151_FPKM,0.562361124,0.0,1.576423349,1.115622678,1.813129443,0.0,1.250266794,2.033416198,0.630822479,1.875651148,0.0,0.0,0.0,3.905351165,8.461594191,6.648464747,1.124270916,4.91729014,0.647719509,0.0,0.0,0.647719509,1.229075832,0.0,0.0,0.620039189,1.859619942,0.0,0.0,0.0,0.0,0.0,1.283459718,0.0,0.609618362,0.0,0.0,0.0,0.614784619,0.0,0.0,0.0,0.0,0.0,0.0,0.65355482,0.0,0.636356009,0.677986776,0.665546652,0.671709121,0.0,0.0,0.0,0.0,0.0,0.0,0.609618362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671709121,0.0,0.0,1.179113399,0.0,0.0,0.0,0.0,0.659496228,0.0,0.0,0.732773586,0.0,0.0,1.381247125,0.0,0.0,0.0,0.0,0.0,0.0,0.599542025,0.671709121,0.0,0.0,0.0,0.0,0.74788232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.630822479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614784619,0.0,0.0,0.0,0
RNA152_FPKM,0.651912243,0.0,3.655409044,0.0,2.802480267,0.0,1.449942748,1.571900549,0.0,0.724971374,0.0,0.695013879,0.0,1.293795067,1.401611323,3.503285928,1.955736729,2.849979932,0.750863209,0.0,0.651912243,0.750863209,1.425367447,2.156325112,0.0,0.0,0.0,0.0,0.0,0.744218401,0.0,0.0,0.0,0.718775037,2.826030521,0.662178578,0.0,0.0,0.712683723,0.0,1.425367447,0.0,0.0,0.876007077,0.0,0.757627742,0.924139334,0.0,0.0,1.543058337,0.778672957,0.724971374,0.750863209,0.824477249,1.557345914,0.706694785,0.0,0.706694785,0.0,0.0,0.0,0.0,0.706694785,0.771529169,0.0,0.778672957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.771529169,0.0,0.0,0.0,0.0,0.0,0.695013879,0.778672957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785950274,0.724971374,0.0,0.0,0.0,0.0,0.771529169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA155_FPKM,0.605977346,0.0,0.849685627,0.0,1.954276942,0.0,0.0,2.191712458,0.679748501,0.0,0.766383114,0.646041964,0.0,3.00657991,1.302851294,6.513686546,0.605977346,2.64986704,0.697956051,0.0,0.0,0.697956051,0.66246676,0.668128869,0.0,0.0,1.336257738,0.0,1.347777201,0.0,0.0,0.0,0.691779448,0.0,0.656899812,0.0,0.0,0.0,0.66246676,0.0,0.66246676,0.723806275,0.0,0.0,0.656899812,0.0,0.859022832,0.0,0.0,0.71716585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970699437,0.0,0.0,0.0,0.0,0.0,0.71716585,0.0,0.723806275,0.0,0.0,0.635537217,0.0,0.0,0.0,0.0,0.710646161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646041964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.656899812,0.0,0.723806275,0.704243943,0.0,0.679748501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66246676,0.0,0.930608067,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA165_FPKM,2.043129504,0.965082086,5.728599082,4.054085504,2.928218132,0.0,3.786281429,7.388736651,0.763673651,6.0575522,0.861004606,0.725805536,0.725805536,2.702970584,0.731853915,11.71207006,2.043129504,1.488516438,0.784129195,0.645753455,0.0,0.784129195,0.744258219,0.7506194,1.514180514,0.7506194,3.003300649,1.488516438,0.757090257,0.0,1.291506909,0.0,0.777189999,0.7506194,0.738003948,0.0,0.0,0.97580522,2.233590729,0.0,0.0,0.813171017,0.0,0.914817394,0.738003948,0.0,0.965082086,0.0,0.0,0.0,0.813171017,0.757090257,0.784129195,0.861004606,0.813171017,0.0,0.0,0.738003948,0.0,0.852645338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42800764,0.0,0.869529404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.763673651,0.836404475,0.0,0.0,0.744258219,0.0,0.0,0.0,0.0,0.0,0.0,0.702579759,0.0,0.0,0.905386287,0.0,0.0,0.0,0.0,0.0,0.0,0.813171017,0.763673651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.611421465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA174_FPKM,1.244208467,0.0,4.361491636,1.851956449,4.011825919,0.691822811,2.767291245,1.50002703,0.697838662,4.841987555,0.786778883,0.0,0.0,2.469275265,2.006286153,2.006286153,1.244208467,0.680097001,0.716530769,2.36033665,0.0,0.716530769,2.720388004,1.371819592,1.383645623,0.685909796,1.371819592,0.0,1.383645623,0.0,0.0,0.0,0.710189789,0.0,0.6743819,0.63190115,0.0,0.891682735,1.360194002,0.716530769,0.680097001,0.0,0.0,0.835952564,0.0,0.0,0.881884023,0.0,0.750013515,0.0,0.0,0.0,0.0,0.0,1.486137891,0.0,0.0,0.6743819,0.0,1.558280507,0.0,0.0,0.0,0.0,0.685909796,0.0,0.0,0.0,0.0,0.668762051,0.0,0.0,0.0,0.729558601,0.0,0.0,0.0,0.0,0.0,0.764299487,0.0,0.810620668,0.680097001,1.028864694,0.0,0.663235092,0.0,0.0,0.0,0.642011569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722986001,0.0,0.697838662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA179_FPKM,1.910257378,0.902649091,4.463381899,3.7905554,4.106435016,0.708112649,0.708112649,6.140694733,0.71427015,6.37237417,1.610609162,1.357703591,0.0,3.158701036,4.79094391,6.159961697,1.273504919,0.696110739,0.733402386,0.0,0.0,0.733402386,0.696110739,0.702060404,0.708112649,0.702060404,2.807607414,0.0,0.708112649,0.7269121,0.603978436,0.0,1.453824199,0.0,2.070783208,0.0,0.0,0.912678525,0.696110739,0.0,0.0,0.760565437,0.7269121,0.0,0.690261069,0.0,1.805298181,0.720535678,0.0,0.0,0.760565437,0.0,0.733402386,0.0,0.0,0.0,0.646780057,0.690261069,0.0,0.0,0.838174156,0.0,0.0,0.0,0.0,0.0,0.662427962,0.603978436,1.33562711,0.0,0.813277894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285403,0.782295879,0.0,0.82970775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657128538,0.0,0.0,0.846815126,0.740009615,0.0,0.0,0.0,0.0,0.0,0.760565437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA18_FPKM,3.825466185,0.0,0.8941837,0.0,1.371081674,0.0,0.0,30.74641275,0.0,0.709180176,1.613037264,2.039625631,6.1180152,1.265613853,4.112376149,13.70821012,0.0,0.0,0.73450804,0.0,0.0,0.73450804,2.09148052,0.0,0.0,1.406237614,0.0,0.0,4.963362399,0.0,0.0,0.761712041,1.456015937,0.0,1.382603369,0.0,0.0,0.0,2.787757093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.904009895,0.721621934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647755122,4.838235616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.371081674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316238407,0.0,0.0,0.0,0.0,0.0,0.0,1.523424082,0.0,0.761712041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA185_FPKM,1.821166012,1.721101946,6.808632538,1.807157043,1.305168975,0.0,1.350174802,2.927481814,0.680957726,2.025262203,1.535492912,0.647191228,0.647191228,1.204771362,0.652584488,5.219951613,2.42822135,1.327290484,0.699197665,0.575809842,0.607055337,0.699197665,0.663645242,1.338634847,2.025262203,0.669317423,2.00795227,0.0,1.350174802,0.693010075,1.151619684,0.725093875,0.693010075,0.669317423,2.632273564,0.0,0.0,0.87011265,1.990935725,0.0,0.663645242,1.450187751,0.0,0.0,0.658068391,0.0,0.0,0.68693104,1.463740907,0.0,0.725093875,0.675087401,0.699197665,0.0,0.725093875,1.316136782,0.616615264,1.316136782,0.0,0.0,0.799083046,0.0,0.0,0.718441638,0.0,0.0,0.631533375,0.575809842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.327290484,0.0,0.0,0.0,0.0,0.0,0.0,1.879443325,0.0,0.0,0.807321016,0.0,1.305168975,0.658068391,0.0,0.0,0.0,0.725093875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.663645242,0.0,0.0,0.669317423,0.0,0.0,0.0,1.550695812,0.0,1
RNA2_FPKM,1.859156159,1.757323597,4.34508252,2.460253036,3.331229932,1.378590063,1.378590063,5.977371368,0.69491041,2.067509867,1.567808307,0.660452043,0.0,1.230126518,2.665274123,5.329822803,1.239662383,0.0,0.713524082,0.0,0.0,0.713524082,0.0,0.6830316,0.688919803,0.0,0.6830316,0.677243196,0.688919803,0.707209709,1.175856231,0.0,0.707209709,0.0,7.389998999,0.629249584,0.0,0.88794108,0.677243196,0.0,0.0,0.7399509,0.0,0.0,0.0,1.440688715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783477423,1.480707846,0.0,0.629249584,1.343835692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7399509,0.0,0.0,0.649712985,0.0,0.791234625,0.0,0.746866329,0.0,0.0,0.0,0.807219163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.343835692,0.639317577,0.0,0.0,0.0,0.719952227,0.0,4.030775538,0.0,0.7399509,0.0,0.7399509,0.0,0.0,0.677243196,0.0,0.688919803,0.0,0.0,0.0,0.0,0.0,0.951365442,0.0,0.726497247,0.0,0.0,0.791234625,0.0,0
RNA201_FPKM,1.512810518,0.715095971,2.121223443,2.502307873,2.710833529,0.0,0.56098046,0.608165732,0.565858551,2.243330087,0.637977778,1.075031599,0.0,0.500567179,1.626271307,2.710833529,1.512810518,1.102362911,0.581015476,0.0,0.0,0.581015476,1.653835227,0.0,0.0,0.0,1.111784816,0.551472316,0.0,0.0,0.0,0.0,0.575873746,0.0,2.733613642,2.049025906,0.0,0.723041481,0.0,0.0,0.551472316,0.0,0.0,0.677851389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637977778,0.602534568,0.0,0.0,0.546838095,0.0,0.0,0.664017687,0.0,1.639937452,0.0,0.0,0.0,0.0,0.0,0.529054742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657310438,0.0,0.0,0.0,0.537799449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58624985,0.0,1.093099357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.551472316,0.0,0.0,0.556185755,0.0,0.0,0.0,0.644294389,0.0,1
RNA205_FPKM,0.641880008,0.909917813,2.700082207,0.636942469,4.139498188,0.0,0.713814836,1.547710673,0.720021922,0.0,0.0,0.684318355,0.0,1.910827408,1.380042017,5.519540205,0.641880008,0.0,0.739308223,0.0,1.283760016,0.739308223,0.0,0.707713855,0.0,2.123141564,2.123141564,0.70171628,0.713814836,0.0,0.608842066,0.0,0.732765673,0.0,0.695819504,0.0,0.0,0.920028011,0.70171628,0.739308223,0.70171628,0.766690009,0.0,0.862526261,0.0,0.745968658,0.0,0.0,0.773855337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695819504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673191228,0.0,0.819826941,0.739308223,0.773855337,0.0,0.684318355,0.759656156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766690009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.766690009,0.720021922,0.0,0.0,0.0,0.0,0.0,0.695819504,0.0,1.403432559,0.759656156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA209_FPKM,0.671879659,0.952444791,1.883360753,0.666711354,5.05463172,0.747176517,0.0,4.858722715,0.753673704,2.240876424,1.698717542,0.716301454,0.0,1.999551271,2.166180544,6.498541631,1.34317201,0.0,0.773861393,0.0,0.0,0.773861393,0.734512508,1.480933242,0.747176517,0.0,0.740790393,0.734512508,2.240876424,0.767013062,0.637297617,0.0,0.767013062,0.0,0.728340134,0.0,0.0,0.963027511,1.46838296,0.773861393,0.0,0.802522926,0.0,0.902838291,0.0,0.780833117,0.0,0.0,0.81002314,0.79516033,0.0,0.747176517,0.773861393,0.849730156,0.802522926,0.0,0.0,0.728340134,0.0,0.0,0.0,0.0,0.0,0.0,0.740790393,0.802522926,0.0,0.637297617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753673704,0.0,0.0,0.0,0.734512508,0.0,0.0,0.0,0.0,0.0,0.728340134,0.0,0.693379808,0.833389192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81002314,0.0,0.0,0.0,0.0,0.0,0.79516033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA213_FPKM,0.608150572,0.862103558,2.5581986,0.60347249,1.961285593,1.352610754,0.676305377,1.466381752,0.682186293,0.676305377,0.769131605,0.0,0.0,1.206944981,0.653761864,4.576333051,1.824451715,1.994527722,0.70045914,0.0,0.608150572,0.70045914,0.0,0.670524989,0.676305377,0.0,3.352624946,0.0,1.352610754,2.082781161,0.576848704,0.0,0.0,0.670524989,0.659255662,0.0,0.0,0.871682486,0.664842574,0.0,0.0,1.452804143,1.388520774,0.817202331,0.0,0.0,0.0,0.0,0.0,1.439475665,0.0,0.0,0.70045914,0.0,0.726402072,0.0,0.0,0.659255662,0.0,0.0,1.601049464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.713194761,0.0,0.719737832,0.0,0.0,0.682186293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179206215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA219_FPKM,0.0,0.896312907,0.886570376,0.0,9.515855365,0.0,1.406284044,7.622848089,0.7092563,0.0,0.799651711,0.674086567,0.0,0.627419035,1.359407909,6.117335592,1.264565497,0.691224361,0.728254237,0.0,0.0,0.728254237,1.382448721,2.091396783,0.703142022,0.0,2.091396783,0.0,0.0,0.0,0.599738783,0.0,1.443619019,0.0,0.685415753,0.0,0.0,0.906271939,1.382448721,0.0,0.0,1.510453232,0.0,0.849629943,0.0,0.734815086,0.0,0.0,0.0,0.0,0.755226616,0.0,0.728254237,0.0,1.510453232,0.0,0.0,0.0,0.685415753,0.0,0.832290557,0.0,0.0,0.0,0.0,1.510453232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7092563,0.0,0.0,0.823883581,0.0,0.0,0.0,0.674086567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679703955,0.0,0.0,0.0,0.0,0.0,0.7092563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741495223,0.691224361,0.0,0.0,0.0,0
RNA23_FPKM,0.619206294,2.634372837,7.816181436,1.844060986,1.997732735,0.0,1.377200206,8.214383256,0.69458793,2.06662007,2.350273806,0.660145553,0.0,1.228886337,2.663379501,1.997732735,0.0,0.0,0.713192964,0.587335382,0.0,0.713192964,1.353857829,0.682714632,0.0,1.365429264,0.0,0.676928915,3.443820276,1.413763043,1.174670764,0.739607518,1.413763043,0.682714632,0.671240436,0.0,0.0,0.0,0.676928915,0.0,0.0,0.739607518,0.0,0.832058458,0.0,0.719618125,0.877775955,0.0,0.0,0.0,0.739607518,0.688600103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.815077673,0.0,0.0,0.0,0.0,0.739607518,0.0,0.587335382,0.0,0.665646766,0.0,0.0,0.0,0.0,0.0,1.465644256,0.0,0.0,0.0,0.760739161,0.732822128,0.0,0.0,0.0,0.0,0.0,0.0,0.739607518,0.0,1.917823425,0.0,0.0,0.0,0.0,0.0,0.671240436,0.0,0.0,0.0,0.0,0.69458793,0.0,0.0,0.0,0.688600103,0.0,0.671240436,0.0,0.0,0.732822128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA246_FPKM,1.093762107,1.550497931,1.533644693,1.085348552,3.527382794,0.608169447,0.608169447,6.592625542,0.613457877,0.608169447,2.074931055,0.583038478,0.0,1.628022828,2.939485662,8.230012971,2.734405267,1.793584471,0.629889785,0.518732764,0.546881053,0.629889785,2.989307452,0.0,1.216338894,0.602971418,0.602971418,0.59786149,1.824508342,0.624315539,1.556198291,0.653219036,0.624315539,0.0,0.592837444,0.555493353,0.0,0.0,1.195722981,0.0,0.59786149,0.0,0.0,0.734871415,0.592837444,0.0,0.0,0.618839087,0.0,0.0,0.653219036,0.0,0.0,0.691643685,0.0,0.0,0.555493353,1.778512333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.147116356,0.0,0.0,0.0,0.0,0.0,0.583038478,0.0,0.0,0.0,0.613457877,0.0,0.0,0.0,0.59786149,0.0,0.839853046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.635564467,0.587897132,0.0,0.0,0.653219036,0.0,0.0,0.613457877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.839853046,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA253_FPKM,2.514921731,0.89104468,3.526357645,1.871844904,4.73137284,0.0,0.699009188,5.306212531,0.705087529,1.398748031,0.794951626,0.670124511,0.0,1.248113628,2.027831979,7.435619033,1.257788927,3.43724245,0.723973802,0.0,0.0,0.723973802,3.43724245,0.0,0.0,0.693034751,0.693034751,0.0,0.699009188,0.0,1.193049791,0.0,0.717566954,0.693034751,2.726259692,1.277596627,0.0,0.0,0.687161575,0.0,0.0,0.750787647,0.0,0.0,0.0,0.0,0.89104468,0.711272507,0.0,0.0,0.0,0.699009188,0.0,0.0,0.750787647,0.0,0.638465085,0.0,0.0,0.0,0.827398631,0.0,0.0,0.0,0.693034751,0.0,0.0,0.0,0.659228178,0.0,1.606482887,0.723973802,0.757804354,0.0,0.0,0.0,0.0,0.0,0.0,0.772238722,0.0,0.0,0.0,0.0,0.0,0.0,0.670124511,0.0,0.681387108,0.0,0.0,0.0,0.835928514,0.730496089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.488575886,0.0,1.38679292,0.0,0.0,0.0,0.802822434,0.0,1
RNA26_FPKM,7.305718215,0.941496154,2.793787499,0.0,2.141903749,0.7385875,2.215762499,8.00711682,0.74501,2.215762499,0.839962255,1.41613471,0.0,0.0,2.855871666,6.425711248,0.664156201,1.452138135,0.764965625,0.0,1.992468604,0.764965625,4.356414405,0.732274786,0.7385875,1.464549572,0.732274786,0.726069068,1.477174999,1.516392035,0.629971691,0.793297685,0.758196017,0.0,0.719967647,0.0,0.0,0.951957222,0.726069068,0.0,1.452138135,0.0,0.0,0.0,0.0,1.543714414,0.941496154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.15990294,0.0,0.831807281,0.874246428,0.0,0.0,0.786019724,4.393648716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.778874091,0.0,0.0,0.865415656,0.0,0.0,0.0,0.786019724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6854092,0.0,0.823809134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.452138135,0.758196017,0.848278713,0.0,0
RNA277_FPKM,1.506608413,1.067304288,1.055703155,0.747113002,4.0477213,0.0,1.675452459,1.816378367,0.844562524,0.0,0.952202846,0.0,0.0,0.747113002,1.619604044,7.286929387,1.506608413,0.823090595,0.867184734,0.714152134,0.0,0.867184734,1.64705496,1.661132353,0.0,0.0,0.830125558,0.0,0.0,0.0,0.714152134,0.0,0.0,0.0,0.816173868,0.764761341,0.830125558,0.0,0.0,0.867184734,0.0,0.0,0.0,1.011715523,0.0,0.0,1.067304288,0.0,0.0,0.0,0.899302687,0.0,0.867184734,0.0,0.0,0.0,0.0,1.633214162,0.0,0.0,0.0,0.0,2.449388029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924282032,0.0,0.907707385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823090595,2.491698529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.874997209,0.0,0.816173868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
