,RNA5SP494,RNA5SP493,RNA5SP82,RNA5SP37,RNA5SP498,RNA5SP310,RNA5SP317,RNA5SP207,Diagnosis
RNA385_FPKM,1.233431397,0.583019083,4.611774066,1.632056822,4.861632203,0.0,2.743321556,1.487034114,1
RNA386_FPKM,2.050564786,0.0,0.958728847,0.67848503,2.204357145,0.760371155,0.760371155,0.824327607,0
RNA39_FPKM,1.279107571,0.907082056,3.587062537,3.173494004,6.188033116,0.711590234,0.711590234,3.084203303,1
RNA392_FPKM,1.419997696,1.006964146,4.978186337,0.704874902,3.816609525,0.0,0.789946011,3.423919679,0
RNA409_FPKM,0.689395566,0.0,4.832309082,0.684092523,2.222569831,0.766655413,0.766655413,3.323742127,0
RNA41_FPKM,0.581663764,0.0,1.631812009,0.0,6.880089132,0.0,0.0,2.104311499,0
RNA418_FPKM,0.0,0.0,0.856406646,0.0,3.938830633,0.0,1.358438128,2.944680869,0
RNA431_FPKM,1.709232668,0.0,2.396641458,1.696084724,8.270148088,0.950392302,0.950392302,3.091968455,1
RNA44_FPKM,1.246587616,0.883570343,4.37072613,1.236998481,3.350890033,0.0,1.386291401,0.0,1
RNA442_FPKM,0.616118741,0.0,2.591716878,1.834138098,12.58547026,0.0,0.685166531,11.88615401,0
RNA454_FPKM,0.763682926,0.0,2.140628978,0.0,4.924216058,0.0,1.697740224,0.920701846,0
RNA457_FPKM,1.784836815,0.632806688,5.005303241,1.771107301,3.837399151,0.496425936,0.992430815,2.151812608,0
RNA466_FPKM,0.629737672,0.892705052,2.64816824,1.874088293,2.030262318,0.0,0.700311722,1.518432892,0
RNA471_FPKM,0.420523414,0.596126598,5.308595135,1.669572599,4.974048277,0.467651038,2.338723778,1.521466518,0
RNA476_FPKM,1.394015166,0.988566488,4.8871246,1.383291972,2.997892143,0.0,1.550241003,1.680635106,0
RNA483_FPKM,1.031495436,0.731114897,2.169503987,1.023560856,1.66328639,0.573547031,0.573547031,0.0,0
RNA488_FPKM,0.560226669,0.794167475,3.926912704,0.555917233,3.612876742,0.623010692,0.623010692,2.025584002,0
RNA499_FPKM,0.592791947,0.840331441,1.661571024,0.588232009,2.547742237,0.659225527,0.659225527,2.14331491,0
RNA50_FPKM,2.303396041,1.63306258,1.6153119,0.571571903,0.619202895,0.640554719,1.281109438,0.0,1
RNA504_FPKM,1.842261208,0.870519032,7.31961995,1.218726645,1.650521676,0.682907172,2.390343389,1.110704385,0
RNA519_FPKM,1.303149427,2.770561387,0.0,1.293125201,4.202656902,0.724265604,1.449192035,1.571086692,0
RNA52_FPKM,0.0,0.0,0.0,5.302264612,1.04432703,0.0,1.620839872,0.0,0
RNA521_FPKM,1.314915597,0.621333744,4.302060812,0.869867241,3.298246622,0.487425609,0.974851218,1.05684805,0
RNA528_FPKM,0.674717814,0.95646811,1.891287261,0.669527677,3.62595185,0.0,1.499986449,1.626153533,0
RNA53_FPKM,1.467660166,0.0,1.371943199,0.970913648,0.525911559,0.544046441,1.088092882,3.538844139,0
RNA535_FPKM,1.235773528,0.0,2.598719391,0.0,3.320141514,0.686787921,0.686787921,1.489857804,1
RNA58_FPKM,0.661848982,0.0,2.784946214,1.313515671,2.846613086,0.0,0.736021712,4.788323435,0
RNA6_FPKM,1.266039921,0.897848057,2.663296989,0.0,2.722729135,0.0,0.0,1.526347194,0
RNA60_FPKM,0.646626356,0.916646153,1.814318615,0.641652307,3.477078543,0.0,0.719093103,8.578632245,0
RNA62_FPKM,0.658787493,0.933885566,1.846704592,0.0,5.66381367,0.0,1.46462778,0.794239127,0
RNA63_FPKM,0.0,0.814514517,0.805661098,0.570160162,4.324771315,0.0,0.0,4.157492867,0
RNA64_FPKM,0.583177442,0.0,0.817716196,1.156781374,1.253179821,0.0,0.0,2.810870627,0
RNA66_FPKM,2.24851696,0.797053045,2.3644224,0.557937131,3.021587624,0.0,0.0,0.0,0
RNA67_FPKM,0.644074745,0.0,4.513505916,0.639120324,3.460354535,0.716255535,1.431710785,4.65727277,0
RNA69_FPKM,0.603941692,0.856137124,5.07924884,0.0,3.894090778,0.0,0.0,2.911718925,0
RNA7_FPKM,1.279409293,0.906418271,4.484474569,1.269567683,3.43809717,0.0,1.422791369,7.71161982,0
RNA72_FPKM,0.591816821,0.0,4.150865065,1.175135446,5.0922536,0.65814112,1.975103258,1.427734654,0
RNA74_FPKM,0.0,0.0,1.551712345,0.0,3.568278579,0.0,1.845661334,4.001807752,0
RNA75_FPKM,0.0,0.715008502,2.121710011,0.500505951,0.54221478,0.0,0.560911842,0.0,0
RNA78_FPKM,0.622077832,0.881846597,1.743871188,0.0,4.679637401,0.0,0.0,2.249384949,1
RNA86_FPKM,0.599429681,0.849740976,2.521513984,1.78445605,2.577547628,0.666607145,1.999821435,1.44535381,1
RNA87_FPKM,2.029342016,0.0,1.896639045,0.67149483,0.727452732,0.0,3.009305585,0.0,0
RNA89_FPKM,0.0,0.0,0.817978541,0.578877122,2.507931987,0.0,1.297483203,2.109925957,0
RNA94_FPKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA95_FPKM,0.629271914,0.892044801,4.409851886,0.0,2.705144184,0.0,1.398837485,2.275151637,0
RNA97_FPKM,1.482648888,2.101776994,2.078931592,0.735621948,0.796923777,1.648807815,1.648807815,1.787492584,0
RNA98_FPKM,0.772388058,0.0,4.332089541,1.532893222,3.321268648,0.858948788,1.717897576,2.793590451,1
R_JS001_FPKM,0.7216122,1.022944768,3.034220482,4.29458899,8.530173339,0.802482533,1.603968194,1.738881406,1
R_JS002_FPKM,0.998690256,2.12279058,4.899602251,0.991008023,4.293157739,0.55530622,2.77590505,1.805363951,1
R_JS003_FPKM,1.240780927,2.637478186,4.348600592,1.84623473,2.667007372,0.0,2.069056163,2.243088924,1
R_JS004_FPKM,2.444912012,1.73293214,6.85536702,3.032631245,2.628280412,0.679727693,4.078366157,2.210703151,1
R_JS005_FPKM,2.557948045,4.532627717,3.586688019,0.63456788,4.124691222,0.0,2.844614636,2.312910966,1
R_JS006_FPKM,1.936785811,1.830696561,2.715710539,2.562975186,5.553112903,0.717689504,3.589989281,3.891950997,1
R_JS007_FPKM,2.350614354,0.833284123,2.47174344,1.165934933,3.790006608,0.653697028,0.653697028,0.70868089,1
R_JS008_FPKM,3.325315099,2.828543285,3.729743669,0.660224847,5.718940293,0.0,2.218943439,4.009024745,1
R_JS009_FPKM,2.839413712,1.006275738,2.986013876,0.704393017,4.577767105,0.789405967,0.789405967,3.4232184,1
R_JS010_FPKM,1.046798017,0.742338436,3.669855284,1.038745725,4.501231473,0.0,0.582351704,4.417417105,1
R_JS011_FPKM,3.398924957,2.409128129,5.957354885,2.951421638,5.024295606,0.472748477,1.417708218,4.610281709,1
R_JS012_FPKM,1.955827722,0.92418233,9.141368699,3.881565786,3.504191335,1.450010207,2.175015311,4.715921049,1
R_JS013_FPKM,1.022329312,1.449236058,4.30114365,1.014465241,5.495551486,0.56845035,1.136900701,4.314443518,1
R_JS014_FPKM,2.121258413,1.002352876,5.452771286,1.403294027,12.92199916,0.392968962,0.78632855,3.835895762,1
R_JS015_FPKM,0.577170822,2.455209953,3.237816758,1.145915921,8.688387458,0.641853759,0.641853759,9.048144476,1
R_JS016_FPKM,4.341078403,2.307688657,6.847815253,2.153842746,5.249991694,0.603447321,4.827578569,7.849831817,1
R_JS017_FPKM,1.187915915,1.683968715,2.498875448,1.1787781,5.109198825,1.321044423,2.642689047,2.864971304,1
R_JS018_FPKM,1.328646147,2.825742795,7.453049367,1.318425792,7.143125204,0.739200357,3.69429265,6.408229362,1
R_JS019_FPKM,1.937281281,0.915746499,4.527017817,1.922379118,2.082577378,0.71838734,1.43600305,3.892389151,1
R_JS020_FPKM,1.378126055,1.953607265,6.76223344,6.152348462,3.702893461,0.0,4.596865051,2.491298637,1
R_JS021_FPKM,4.269200832,1.729448705,5.131208258,0.605044213,6.55635406,0.0,0.67806679,5.882080888,1
R_JS022_FPKM,3.389071693,4.804288444,2.850664859,1.344929062,5.828761795,0.0,3.014496173,8.987968061,1
R_JS023_FPKM,1.889212614,0.89301301,6.180401239,2.499142206,4.738307617,1.400381408,2.100934718,0.759478354,1
R_JS024_FPKM,0.69407935,2.951744048,2.919659874,0.688740278,8.208175361,1.543728209,0.771864105,5.021494043,1
R_JS025_FPKM,1.285609608,1.822457577,4.505771134,3.826559724,8.290879401,0.714843274,1.429686547,3.099150697,1
R_JS026_FPKM,0.615497625,0.872518611,4.314334851,0.610763027,3.307656719,0.0,1.368286428,2.225424478,1
R_JS027_FPKM,1.930081432,2.051696314,3.382550184,0.957617326,3.112256309,1.073191831,1.609520384,2.326920605,1
R_JS028_FPKM,1.758526288,0.830663257,2.465759686,0.58146428,6.301166914,1.303961506,3.911205019,0.706451928,1
R_JS029_FPKM,1.768561139,2.507081175,5.786818289,1.170164983,1.901203225,0.655370165,3.278153748,2.132190532,1
R_JS030_FPKM,1.242405702,2.641818719,2.613103298,1.232848735,2.003379195,0.690820412,1.381640824,2.995707208,1
R_JS031_FPKM,1.383839471,0.980853252,4.850959016,0.0,5.950509727,0.0,2.308387394,4.170918033,1
R_JS032_FPKM,1.596914371,1.509387481,3.732132768,1.056571237,4.005920628,0.0,1.775878913,2.56736936,1
R_JS033_FPKM,2.645444957,1.874594029,1.854218006,2.625095381,1.421567138,0.0,1.470586695,0.797543658,1
R_JS034_FPKM,1.859504518,3.513743941,5.213783556,0.615066879,7.328145667,0.0,4.135069717,8.218481122,1
R_JS035_FPKM,1.204447851,2.561574439,1.688845356,1.793102107,3.885054566,2.009510982,0.0,2.904979207,1
R_JS036_FPKM,3.321449448,1.569476113,5.433458064,2.197266558,2.97546513,0.615613475,1.846840426,2.669576192,1
R_JS037_FPKM,0.70244579,0.995774801,3.937537784,4.180649922,7.547816384,1.561437397,2.34260556,2.539647149,1
R_JS038_FPKM,0.664869415,0.942507193,1.864525099,4.618285244,15.00942704,0.739380643,1.478761285,4.809429226,1
R_JS039_FPKM,0.600968628,0.85192256,4.214177819,1.789037377,7.753821873,0.66831856,1.336637121,2.898872957,1
R_JS040_FPKM,0.624001534,0.0,4.374793362,1.857604566,2.683206595,0.69393274,4.163596441,1.504601829,1
R_JS041_FPKM,3.225637456,4.572606943,5.426892205,1.920634904,3.467560265,0.717740028,1.43469564,3.888852633,1
