,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,Diagnosis
RNA335_FPKM,8.743363886,5.240097943,2.120477464,4.673251908,1.355192364,0.70997838,0.667905588,0.662649207,0.609238205,0.0,1
RNA336_FPKM,5.858094856,4.563864597,1.846683696,0.581363386,1.180211385,0.617984702,1.162726772,0.288544328,0.530297683,0.0,0
RNA35_FPKM,6.629890187,5.165606416,1.742126085,0.548447101,0.556694426,0.58299495,1.645341303,1.088828803,2.001090774,0.0,0
RNA358_FPKM,0.740027088,5.764105845,3.498656978,2.937403503,0.0,0.0,2.202858097,1.093330306,1.340049051,0.0,0
RNA365_FPKM,2.960230258,4.612451798,7.001260157,2.938302627,1.491243814,0.0,0.734949106,1.0939469,0.670392766,0.0,0
RNA368_FPKM,6.831749733,1.773747749,3.590017507,1.129943011,2.868090819,0.60082355,0.0,0.280531584,0.51557156,0.0,0
RNA37_FPKM,3.582454951,7.442619589,1.882544955,2.962954429,1.8043799,0.629655162,1.185306083,0.588295298,1.081191359,0.0,0
RNA379_FPKM,3.321493962,5.175351057,6.545653132,1.647996595,0.836844551,0.876380514,0.824446854,2.045516604,2.255269362,0.830599443,1
RNA38_FPKM,1.665877703,6.056980096,2.626207202,0.551046475,1.119070211,0.0,1.653537868,0.547192419,0.502643744,0.0,0
RNA383_FPKM,3.02119268,6.590590919,9.525642803,4.198450511,2.435353382,0.0,2.399274072,0.8929736,1.094263513,0.604013578,0
RNA385_FPKM,2.374815675,9.250735478,4.991567225,3.142838623,1.196335716,1.252855514,1.571610273,1.169945958,1.433563424,0.791476968,1
RNA386_FPKM,2.631638858,5.126077453,7.260734876,2.612145237,2.651425617,0.0,1.306072619,0.648234572,0.595966581,0.658231746,0
RNA39_FPKM,3.078762839,4.797142099,3.882467687,1.222258346,3.101911432,1.299250998,1.222258346,0.910107882,1.672630701,1.231379677,1
RNA392_FPKM,4.101693137,8.521006781,4.310110655,2.713773375,0.688975468,0.721525491,2.713773375,1.68379832,0.619146874,0.0,0
RNA409_FPKM,1.990361042,2.067166881,5.230263948,1.316861865,3.342649892,0.700252189,1.316861865,0.980545514,1.201191566,0.66367185,0
RNA41_FPKM,5.601313958,2.618155004,3.531717128,0.0,2.82171455,0.590823823,0.0,0.827799009,0.0,0.0,0
RNA418_FPKM,5.290679981,3.663730849,2.779899312,0.58362527,4.738635329,1.240778133,1.16725054,0.868718535,1.596563794,0.0,0
RNA431_FPKM,2.468959885,7.69275751,5.189248608,1.633266772,4.145350668,0.868074859,0.816633386,1.216325826,1.48980415,1.64545533,1
RNA44_FPKM,3.000797045,8.416380311,1.891880029,0.595591861,1.814263169,1.89997639,1.191183722,0.591212509,3.260214225,0.0,1
RNA442_FPKM,8.304924205,4.621759146,3.740203181,1.177471372,0.0,0.0,0.588735686,1.753494868,0.537022416,0.0,0
RNA454_FPKM,4.409745724,4.581023965,3.475917217,1.458799007,1.480735834,0.0,0.729741463,1.08622413,0.665642551,1.469685567,0
RNA457_FPKM,1.288861068,6.024108218,1.354376171,2.132069316,1.298551753,0.90647224,1.279313949,2.327923828,0.389090598,1.288861068,0
RNA466_FPKM,3.030625355,9.444274362,3.82197221,1.804677616,1.831815625,0.639654801,1.203498663,2.090353372,1.646158636,0.0,0
RNA471_FPKM,4.859203833,5.678962237,4.468721828,2.009570061,1.224036973,0.42714583,3.215473154,0.797957492,0.733441872,1.214902369,0
RNA476_FPKM,2.013339603,6.274128065,5.289593684,1.998425976,0.676387597,0.708342917,1.332058936,2.314465309,1.822888559,2.013339603,0
RNA483_FPKM,1.4895102,6.189661503,4.697035036,1.478476791,1.000473017,0.0,1.971741236,2.446227208,1.348610587,0.0,0
RNA488_FPKM,5.931501327,3.360543355,1.700452712,3.746773698,1.086755492,0.569049136,0.535327706,1.062524737,0.488305677,0.0,0
RNA499_FPKM,6.274573376,7.999166257,5.395218855,2.831105405,0.574963618,0.602127253,1.698775521,0.281140298,1.549558753,0.0,0
RNA50_FPKM,11.08783393,5.183102141,6.991484455,0.550402573,0.558679304,0.0,0.0,0.546355496,2.007689793,1.10902011,1
RNA504_FPKM,3.251599231,7.369498816,6.058477311,1.467130379,0.297955919,0.312032577,0.880336068,2.330062126,0.803009251,0.295732367,0
RNA519_FPKM,6.899598437,5.864172422,2.966130426,1.245231675,1.263956963,0.0,0.0,1.236075559,0.0,0.626976195,0
RNA52_FPKM,4.676091179,5.828802028,9.58368992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RNA521_FPKM,2.531703164,7.231307701,4.656348173,2.09412484,0.0,0.890415286,2.512949807,0.207872686,1.910181441,0.843901055,0
RNA528_FPKM,3.896075016,7.082705234,4.095007342,1.9336076,1.308258857,0.685343291,2.578337956,0.959694949,1.175665054,0.0,0
RNA53_FPKM,8.006414786,9.539791079,3.712316891,2.804861651,0.0,0.0,1.402430825,2.552217862,1.705659112,0.470965576,0
RNA535_FPKM,7.136184689,1.853660292,2.812731576,1.18085026,1.198607407,0.627302353,1.77097914,0.878978617,0.0,0.0,1
RNA58_FPKM,5.735564621,7.944036518,4.018747886,0.632433471,2.568372709,0.6722718,1.264866942,1.255858714,1.153763765,1.274306248,0
RNA6_FPKM,7.923196034,5.698216814,6.725430853,1.814987578,0.614317092,0.643339947,1.20977148,1.501259091,1.103507769,1.218799625,0
RNA60_FPKM,5.604450281,4.851737502,3.926434264,2.472199352,1.882196335,0.656809448,3.090736483,1.840677298,0.563613513,0.0,0
RNA62_FPKM,5.706277813,5.927451372,2.998593047,1.88800303,0.638974335,0.669162099,0.629508048,0.312439656,1.722164926,0.0,0
RNA63_FPKM,8.299472701,4.310824602,1.744765263,1.647599025,1.115075544,0.0,1.098555906,1.907987345,1.002061131,0.0,0
RNA64_FPKM,17.39517589,0.0,2.654252572,1.113937619,6.219081074,0.0,2.227875238,0.0,2.540493562,0.0,0
RNA66_FPKM,8.117186002,0.843393338,4.265770764,0.0,0.545352083,0.0,0.0,0.0,2.449935912,0.0,0
RNA67_FPKM,4.338909168,14.48628449,4.885206403,4.3067691,5.620242703,3.269626333,1.230210749,1.83208892,3.928471814,1.859433531,0
RNA69_FPKM,5.812274763,8.150422558,1.832199628,0.577099839,0.585778032,0.0,2.884314186,0.572562384,1.052276813,0.0,0
RNA7_FPKM,1.847222847,7.675575836,3.882493226,1.222546658,0.620180923,0.0,1.222546658,2.123586247,2.229810299,0.0,0
RNA72_FPKM,3.989904432,6.216827837,1.797265977,2.263223822,3.445885895,0.601136771,0.565513851,0.842323448,1.548053905,0.0,0
RNA74_FPKM,1.597736677,8.298015385,5.037569758,1.057463228,0.536384804,0.0,0.528438363,0.524843881,0.0,0.0,0
RNA75_FPKM,5.342262212,7.567411194,3.828219781,1.445906081,0.489216343,0.0,1.445906081,0.478424806,1.318900817,0.0,0
RNA78_FPKM,4.190720061,6.529726606,2.831578701,1.782845849,3.015942397,1.263276766,1.782845849,0.29502956,2.71027256,0.0,1
RNA86_FPKM,6.347060559,8.991445213,1.819445384,1.718365085,1.744205162,0.608869518,2.291153447,0.852865024,0.522475871,0.0,1
RNA87_FPKM,3.256520715,7.103076371,5.133809127,1.939149037,1.311960843,0.0,1.939149037,0.641510265,1.178991839,0.0,0
RNA89_FPKM,3.930700864,1.750093623,4.425951344,0.557437228,0.565819743,0.592551384,0.557437228,0.276669212,0.508473147,0.0,0
RNA94_FPKM,0.578969063,0.0,1.825455399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
RNA95_FPKM,4.239242741,5.661423842,1.909001745,2.404572608,3.660770304,0.639181708,1.803268335,1.49156755,2.74125928,1.210933943,0
RNA97_FPKM,2.140989252,4.447946663,4.500275447,4.251056969,0.719028972,0.0,2.125130072,1.406336077,1.292308828,0.0,0
RNA98_FPKM,2.230702823,4.634328346,2.344424928,3.690298497,1.498316683,0.784551649,1.476119399,0.73263279,2.019690394,0.0,1
R_JS001_FPKM,2.777882524,16.23089603,3.284097463,4.135530138,4.197718561,0.732976172,9.650141371,3.079266508,4.401246909,4.166392303,1
R_JS002_FPKM,4.325331718,8.985678988,2.272634621,4.293292224,6.294615898,1.014417662,0.954304023,1.894040179,2.175709364,4.325331718,1
R_JS003_FPKM,1.791123245,11.16421691,1.883067525,4.74134644,0.601732104,0.630160392,2.963490774,2.059012498,2.16243841,0.597241566,1
R_JS004_FPKM,2.942104939,9.167332449,3.710513523,5.839930301,1.185690412,1.241707281,5.255867987,0.579767738,1.065519086,1.765262964,1
R_JS005_FPKM,0.0,16.30790565,0.970515582,5.499588296,8.063944271,1.299115346,3.666392198,1.516430596,2.229562823,1.846876667,1
R_JS006_FPKM,2.486468464,10.65370835,0.979435088,1.850706441,3.757745573,0.655527421,2.468050179,1.224951376,1.688144389,0.621283451,1
R_JS007_FPKM,7.919202441,10.57676263,4.458493385,1.684447381,1.709777417,0.0,1.122752157,2.786558365,3.584753236,0.0,1
R_JS008_FPKM,1.92087641,10.97291016,3.028205164,2.541751241,3.225305622,0.67582071,5.083502482,2.207845061,1.739171885,1.92087641,1
R_JS009_FPKM,3.41612657,9.581922432,1.077306967,2.713217547,2.065513358,0.721032222,1.356608773,2.019603135,3.092979462,1.366732719,1
R_JS010_FPKM,4.535078914,8.636482775,1.588669932,5.001876831,1.523231142,2.12656605,2.500938415,0.496459354,2.737235355,0.504125356,1
R_JS011_FPKM,3.68134435,19.1196775,3.22434686,6.496184858,10.30242693,1.726225667,2.842109726,2.014987682,2.962576483,4.090124249,1
R_JS012_FPKM,0.627616358,16.62572676,3.957674919,3.73780409,5.691017506,0.662209386,1.868902045,1.855160118,4.545977948,1.255232717,1
R_JS013_FPKM,0.984182696,9.968452329,0.775767537,3.419595974,3.966809752,0.519214493,1.465338681,1.454798588,2.673683891,2.460932651,1
R_JS014_FPKM,3.403511632,14.84880889,2.146214394,2.026980261,5.486563112,0.718221352,2.702640348,1.341383996,4.930492527,3.062991392,1
R_JS015_FPKM,1.667344073,9.525376619,0.8759416,3.861505537,3.919573289,1.759244927,3.309986751,3.01169996,1.509622336,0.0,1
R_JS016_FPKM,1.044774466,12.20850782,1.647056218,4.148141585,5.263149568,1.653540691,9.33282474,1.28676267,2.837833348,1.044774466,1
R_JS017_FPKM,1.143590694,5.346431192,2.704665191,1.702937343,6.338348874,0.603585734,1.702937343,1.127029153,2.589238633,1.143590694,1
R_JS018_FPKM,0.639904786,14.95015084,3.025206993,6.983875083,10.95570169,2.024744838,3.174355166,3.151378767,1.158076709,3.198044383,1
R_JS019_FPKM,1.243107118,5.811843844,0.980387429,3.085078809,3.758034365,0.656164815,4.93692173,1.531197203,2.2516366,2.486882215,1
R_JS020_FPKM,1.989320553,14.46688971,2.091508955,3.291460854,1.336678655,0.699914414,4.608336862,2.287226016,1.801141582,1.326703441,1
R_JS021_FPKM,1.17447636,4.574597815,3.702250912,2.914188237,4.732200414,1.239211277,5.245235108,1.735555734,2.126292754,1.17447636,1
R_JS022_FPKM,2.609563851,16.26631199,1.028475165,5.181121596,2.629184632,4.130792421,1.942675311,2.250114068,3.544666469,0.652390963,1
R_JS023_FPKM,1.818719606,11.3333193,1.911108746,2.406581383,3.053779478,0.639875464,4.813162766,2.687651314,2.195192478,1.212270473,1
