,SNORA25,SNORD62B,SNORD14E,SNORA55,Diagnosis
RNA386_FPKM,2.631638858,5.126077453,7.260734876,2.612145237,0
RNA39_FPKM,3.078762839,4.797142099,3.882467687,1.222258346,1
RNA392_FPKM,4.101693137,8.521006781,4.310110655,2.713773375,0
RNA409_FPKM,1.990361042,2.067166881,5.230263948,1.316861865,0
RNA41_FPKM,5.601313958,2.618155004,3.531717128,0.0,0
RNA418_FPKM,5.290679981,3.663730849,2.779899312,0.58362527,0
RNA431_FPKM,2.468959885,7.69275751,5.189248608,1.633266772,1
RNA44_FPKM,3.000797045,8.416380311,1.891880029,0.595591861,1
RNA442_FPKM,8.304924205,4.621759146,3.740203181,1.177471372,0
RNA454_FPKM,4.409745724,4.581023965,3.475917217,1.458799007,0
RNA457_FPKM,1.288861068,6.024108218,1.354376171,2.132069316,0
RNA466_FPKM,3.030625355,9.444274362,3.82197221,1.804677616,0
RNA471_FPKM,4.859203833,5.678962237,4.468721828,2.009570061,0
RNA476_FPKM,2.013339603,6.274128065,5.289593684,1.998425976,0
RNA483_FPKM,1.4895102,6.189661503,4.697035036,1.478476791,0
RNA488_FPKM,5.931501327,3.360543355,1.700452712,3.746773698,0
RNA499_FPKM,6.274573376,7.999166257,5.395218855,2.831105405,0
RNA50_FPKM,11.08783393,5.183102141,6.991484455,0.550402573,1
RNA504_FPKM,3.251599231,7.369498816,6.058477311,1.467130379,0
RNA519_FPKM,6.899598437,5.864172422,2.966130426,1.245231675,0
RNA52_FPKM,4.676091179,5.828802028,9.58368992,0.0,0
RNA521_FPKM,2.531703164,7.231307701,4.656348173,2.09412484,0
RNA528_FPKM,3.896075016,7.082705234,4.095007342,1.9336076,0
RNA53_FPKM,8.006414786,9.539791079,3.712316891,2.804861651,0
RNA535_FPKM,7.136184689,1.853660292,2.812731576,1.18085026,1
RNA58_FPKM,5.735564621,7.944036518,4.018747886,0.632433471,0
RNA6_FPKM,7.923196034,5.698216814,6.725430853,1.814987578,0
RNA60_FPKM,5.604450281,4.851737502,3.926434264,2.472199352,0
RNA62_FPKM,5.706277813,5.927451372,2.998593047,1.88800303,0
RNA63_FPKM,8.299472701,4.310824602,1.744765263,1.647599025,0
RNA64_FPKM,17.39517589,0.0,2.654252572,1.113937619,0
RNA66_FPKM,8.117186002,0.843393338,4.265770764,0.0,0
RNA67_FPKM,4.338909168,14.48628449,4.885206403,4.3067691,0
RNA69_FPKM,5.812274763,8.150422558,1.832199628,0.577099839,0
RNA7_FPKM,1.847222847,7.675575836,3.882493226,1.222546658,0
RNA72_FPKM,3.989904432,6.216827837,1.797265977,2.263223822,0
RNA74_FPKM,1.597736677,8.298015385,5.037569758,1.057463228,0
RNA75_FPKM,5.342262212,7.567411194,3.828219781,1.445906081,0
RNA78_FPKM,4.190720061,6.529726606,2.831578701,1.782845849,1
RNA86_FPKM,6.347060559,8.991445213,1.819445384,1.718365085,1
RNA87_FPKM,3.256520715,7.103076371,5.133809127,1.939149037,0
RNA89_FPKM,3.930700864,1.750093623,4.425951344,0.557437228,0
RNA94_FPKM,0.578969063,0.0,1.825455399,0.0,1
RNA95_FPKM,4.239242741,5.661423842,1.909001745,2.404572608,0
RNA97_FPKM,2.140989252,4.447946663,4.500275447,4.251056969,0
RNA98_FPKM,2.230702823,4.634328346,2.344424928,3.690298497,1
R_JS001_FPKM,2.777882524,16.23089603,3.284097463,4.135530138,1
R_JS002_FPKM,4.325331718,8.985678988,2.272634621,4.293292224,1
R_JS003_FPKM,1.791123245,11.16421691,1.883067525,4.74134644,1
R_JS004_FPKM,2.942104939,9.167332449,3.710513523,5.839930301,1
R_JS005_FPKM,0.0,16.30790565,0.970515582,5.499588296,1
R_JS006_FPKM,2.486468464,10.65370835,0.979435088,1.850706441,1
R_JS007_FPKM,7.919202441,10.57676263,4.458493385,1.684447381,1
R_JS008_FPKM,1.92087641,10.97291016,3.028205164,2.541751241,1
R_JS009_FPKM,3.41612657,9.581922432,1.077306967,2.713217547,1
R_JS010_FPKM,4.535078914,8.636482775,1.588669932,5.001876831,1
R_JS011_FPKM,3.68134435,19.1196775,3.22434686,6.496184858,1
R_JS012_FPKM,0.627616358,16.62572676,3.957674919,3.73780409,1
R_JS013_FPKM,0.984182696,9.968452329,0.775767537,3.419595974,1
R_JS014_FPKM,3.403511632,14.84880889,2.146214394,2.026980261,1
R_JS015_FPKM,1.667344073,9.525376619,0.8759416,3.861505537,1
R_JS016_FPKM,1.044774466,12.20850782,1.647056218,4.148141585,1
R_JS017_FPKM,1.143590694,5.346431192,2.704665191,1.702937343,1
R_JS018_FPKM,0.639904786,14.95015084,3.025206993,6.983875083,1
R_JS019_FPKM,1.243107118,5.811843844,0.980387429,3.085078809,1
R_JS020_FPKM,1.989320553,14.46688971,2.091508955,3.291460854,1
