,SNORA25,SNORD62B,SNORD14E,Diagnosis
RNA1_FPKM,8.892792292,3.694989665,4.673075165,0
RNA102_FPKM,1.687005899,8.762805487,1.773010121,1
RNA104_FPKM,3.867342394,10.3297802,4.354555484,0
RNA108_FPKM,3.600542199,7.48049181,0.945725722,0
RNA110_FPKM,6.166422427,2.620547688,2.651377661,0
RNA114_FPKM,6.788197159,5.6953435,2.469905744,0
RNA115_FPKM,7.565522739,0.907191711,1.834826588,0
RNA116_FPKM,7.709779813,2.771839816,2.804449696,0
RNA126_FPKM,3.591127033,5.595477004,1.887463632,0
RNA132_FPKM,4.105073576,9.137393942,0.924797878,0
RNA140_FPKM,4.555662753,4.436235958,3.59093417,1
RNA145_FPKM,3.270572392,4.247036264,1.718653728,0
RNA150_FPKM,1.207323523,5.643535538,2.854965037,1
RNA151_FPKM,3.247396018,1.686406374,3.413177862,0
RNA152_FPKM,3.76485814,3.910437581,1.978745397,0
RNA155_FPKM,4.083563759,5.453796116,3.678638949,0
RNA165_FPKM,3.277676461,9.192963042,3.100749483,0
RNA174_FPKM,4.790462705,10.26367838,0.94413466,1
RNA179_FPKM,7.354808984,7.640166703,1.932730994,0
RNA18_FPKM,11.6620919,2.869705829,7.741352221,1
RNA185_FPKM,4.674583534,8.194236419,1.842591495,1
RNA2_FPKM,4.176597308,16.73341768,5.643085753,0
RNA201_FPKM,2.912724728,3.782558412,3.827059099,1
RNA205_FPKM,6.178730348,3.851280047,1.948294612,0
RNA209_FPKM,3.232916825,8.05991302,2.03846105,0
RNA213_FPKM,3.512750316,6.385581002,4.614789631,0
RNA219_FPKM,5.478210978,3.793696491,4.797910268,0
RNA23_FPKM,2.385115971,14.86537396,6.580393744,1
RNA246_FPKM,4.73778565,8.20245271,0.829972422,1
RNA253_FPKM,7.263875745,8.488598981,1.908879666,1
RNA26_FPKM,2.557497014,29.88702906,1.007954706,0
RNA277_FPKM,3.624825045,4.518626346,6.858286482,0
RNA288_FPKM,5.085044302,4.40167026,8.906909231,0
RNA29_FPKM,6.0411757,3.422907162,3.463176658,0
RNA295_FPKM,4.99640965,3.114041363,0.788028788,0
RNA3_FPKM,4.934230222,12.08094553,5.555826596,0
RNA302_FPKM,8.957567922,1.74447543,4.412834928,0
RNA303_FPKM,8.984769017,3.500273274,2.655494317,1
RNA31_FPKM,7.447041566,3.867519218,7.827022554,1
RNA314_FPKM,9.880811002,4.399268464,1.113052481,1
RNA319_FPKM,13.18025773,5.357588453,4.517332519,0
