,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,AC076966.1,SNORD125,SNORA21,snoZ196,SNORA52,SNORA66,AC087441.1,SNORD14C,SNORA33,AP000254.1,SNORA30,SNORD51,SNORD73B,AL355598.1,SNORA9B,SNORD14D,AL355987.6,SNORA31,AC127002.1,SNORD101,AL389886.1,U3.1,Diagnosis
RNA201_FPKM,2.912724728,3.782558412,3.827059099,2.409629803,0.0,0.0,0.963546841,0.717472635,0.439687387,0.0,0.985965656,3.516571488,19.86407831,26.02217139,8.006962773,0.625708974,29.61869446,0.524788172,16.72834263,0.0,10.76463315,32.05636441,6.456126746,10.23323251,0.949480463,0.430951876,0.458265728,3.449839749,1.456362364,0.485624876,32.98643114,0.0,5.421381044,6.899679499,1.461559814,10.68067369,4.402453485,0.0,0.739474242,14.51222401,5.145523694,1.008362973,2.43940696,0.903801852,0.0,0.48927619,5.982213566,8.378627983,3.502914207,0.504447545,2.673322696,0.482027654,0.0,1
RNA205_FPKM,6.178730348,3.851280047,1.948294612,1.840056022,0.622575346,0.0,0.0,1.826249201,0.559476493,0.0,1.254583652,4.475811947,24.01675133,17.66252866,7.005787597,0.796178087,15.48217314,0.667762266,17.74232102,0.0,9.530141361,26.9986382,6.952308302,13.95463451,1.208795927,6.579833832,0.0,8.154222952,0.0,0.617929261,34.98379718,0.646894695,1.725052521,3.763180171,2.791096214,8.650447393,3.734885583,0.0,0.940937739,10.82686285,1.403432559,0.641880008,2.070063025,1.150035014,0.641880008,1.245150692,4.758765575,9.408806603,10.82686285,0.0,1.13428111,0.0,0.0,0
RNA209_FPKM,3.232916825,8.05991302,2.03846105,4.493005974,0.0,0.682460441,3.208969293,0.955667887,0.585624838,1.939863173,1.313219333,5.854200736,18.5196313,17.32944435,11.99730763,2.499439089,33.81354995,0.0,11.14035708,0.0,11.22050354,34.53294701,3.968575042,12.65661952,1.897384418,5.738393852,1.220205558,6.564374785,0.646809522,0.646809522,37.83117416,0.677128718,1.804887388,0.656609666,0.973848045,7.759452693,2.606121362,0.0,0.9849145,8.664916438,2.447518952,0.671879659,1.08340595,2.406516518,0.671879659,1.954448611,0.996235356,9.846275198,10.66446771,0.671879659,2.373550538,0.0,0.0,0
RNA213_FPKM,3.512750316,6.385581002,4.614789631,0.581121657,1.179720658,0.617727746,1.162243315,0.865273056,0.530077187,0.0,1.188657935,5.300771874,29.94446921,10.46018983,10.86309821,3.017362451,19.77356436,0.632672772,11.20734625,0.612901748,6.208941015,26.15159255,7.785844646,13.22301681,0.572638129,6.754606944,2.20989926,4.754631741,0.585458386,0.585458386,13.26048204,0.0,4.086011653,2.971644838,1.762953342,13.46611855,2.359441315,0.572638129,4.457467258,10.25962572,0.886456765,1.824451715,1.961285593,1.089603107,0.608150572,0.589860329,0.901740503,10.69850581,7.845735758,0.0,2.149354075,0.0,0.0,0
RNA219_FPKM,5.478210978,3.793696491,4.797910268,0.604181293,3.06633363,0.642239957,1.208362586,0.299869392,1.653333944,0.608690109,0.0,5.511113146,22.41414066,19.57547389,19.44999009,0.784273794,19.89377428,0.0,16.31289491,1.274444915,12.3226904,21.2771915,4.358407037,20.16200495,3.572166769,9.722917496,1.148795416,2.471650744,0.608690109,0.608690109,34.46386249,0.0,1.699259887,5.561214174,4.582273851,20.69495133,4.292867082,0.0,3.707476116,13.17579974,1.382448721,0.632282748,3.058667796,1.132839924,0.632282748,1.839800178,3.750090784,11.74034103,13.17579974,0.0,2.234643138,1.812543879,0.0,0
RNA23_FPKM,2.385115971,14.86537396,6.580393744,3.550820474,2.403049174,1.887621482,2.367448445,4.112396486,2.699210487,1.192203163,1.210266847,5.398420973,16.46840587,34.09125761,5.531451478,4.609238115,49.36996148,0.64417429,15.97959777,0.624043843,21.26854297,61.37318309,6.09897942,23.34144342,4.082726046,11.64094652,6.189711327,4.23737476,1.192203163,0.596101582,1.125036788,0.624043843,0.832058458,4.23737476,3.591073484,4.17413036,9.011613146,0.0,0.907700136,13.52140711,3.611362035,0.619206294,1.996940298,1.109411277,1.858356032,1.201167097,15.61264106,6.052775031,18.43841542,1.858356032,6.566585808,0.0,0.0,1
RNA246_FPKM,4.73778565,8.20245271,0.829972422,2.612876144,0.530433503,0.0,2.090300915,1.296831909,0.953346701,0.526475044,1.068903877,4.766733505,15.61641808,24.45477068,8.139609326,2.035028535,38.99928838,0.568932709,16.12424098,0.0,12.68748306,46.51770239,4.846284558,14.26732787,1.029892787,12.14640928,0.496814478,3.206711631,0.526475044,0.526475044,19.87165481,1.102307123,5.144099908,6.947378035,2.378010872,18.42564705,6.364708607,0.514946393,4.008389538,10.85298071,3.188223849,0.0,1.763691397,1.959657108,0.0,1.060867006,0.810892596,9.085185789,16.82189293,0.0,2.899218735,1.045150457,0.0,1
RNA253_FPKM,7.263875745,8.488598981,1.908879666,3.605034629,0.609662149,0.0,1.201887197,3.578527022,0.547872066,0.605112432,0.0,9.865128546,14.24147812,28.11964628,12.47918305,2.339806129,36.27062423,0.0,12.74677549,0.0,16.33977153,44.08391722,7.430224045,7.291398276,2.368064988,8.057610512,2.284682418,4.91617005,1.210856505,0.605112432,35.41645184,0.0,5.069579947,3.072686432,2.734155477,10.29070119,2.439284987,0.0,0.921421203,6.863648339,3.2077104,0.0,3.041747968,0.0,0.628566402,1.829622838,4.662007001,6.759653667,13.10291433,0.0,5.556090535,1.201887197,0.0,1
RNA26_FPKM,2.557497014,29.88702906,1.007954706,14.5966774,3.865089472,0.674615354,1.903914444,2.834872609,4.631143242,1.918122761,1.298123484,2.315571621,15.69639389,22.84697333,12.52189884,6.590473075,46.66912234,1.381873387,24.47889999,0.0,31.43513416,64.56832621,9.156229768,20.21572078,4.377613502,31.20654469,6.033531688,7.139679164,2.557497014,0.639374254,1.206706338,0.0,3.569839582,6.490617422,3.850613482,7.033116789,6.441815787,0.625373357,0.973592613,9.885709612,2.420230225,0.664156201,2.141903749,2.379893055,1.328312403,3.220907894,6.893483331,9.735926133,7.249520382,0.664156201,3.52093767,1.269276296,0.0,0
RNA277_FPKM,3.624825045,4.518626346,6.858286482,2.159090189,0.0,0.0,0.71944215,0.357076067,0.656247907,0.0,1.471586216,11.81664225,28.92364177,25.90816578,7.47350936,2.802665149,26.06622623,0.0,13.87937452,0.758786643,8.387090628,47.87348574,7.41645967,21.83272397,3.545449314,0.643209869,2.736632857,4.416320841,2.175202802,0.724811121,57.47146827,0.0,3.036220578,5.887907057,2.183735789,15.9504613,5.843637079,0.0,5.519619954,25.4097732,1.646763703,0.0,1.214058628,2.699340073,0.0,1.461296882,7.817000474,13.24818143,12.7048866,0.752904576,10.64662646,0.71944215,0.0,0
RNA288_FPKM,5.085044302,4.40167026,8.906909231,1.121353306,2.846192799,1.191989734,1.682673675,0.835150537,6.64973871,0.0,0.0,5.115454626,20.2268595,13.12215105,3.494115311,0.727801424,26.46614863,0.610414098,11.89683761,0.0,42.48240918,66.37964607,7.512681901,22.11598492,1.104983184,20.0547168,2.132762635,4.014593474,2.260091748,0.564860807,11.72927652,0.0,0.788451543,12.04443877,1.700929172,9.039718471,6.26149348,0.552491592,0.860128956,16.30609428,2.138664646,0.0,0.946141852,2.102537448,0.586754637,0.569107881,21.75438287,1.146838608,40.76490146,0.0,7.259264912,0.0,0.0,0
RNA29_FPKM,6.0411757,3.422907162,3.463176658,0.545129659,5.533270976,1.158937071,3.270777955,0.270560676,1.491739945,0.0,1.115037939,2.983479891,14.60674859,13.73726741,2.830480922,0.707620231,24.53147663,0.593487935,6.307928912,0.0,38.12099432,47.99625567,6.741298074,0.826882067,1.611514686,7.31051364,2.073028281,1.115037939,3.844384536,0.0,1.036514141,0.0,0.766588583,6.132708665,0.826882067,1.098395582,4.979943878,0.537171562,5.017670726,14.71910819,0.0,0.570484527,1.839812599,1.022118111,0.0,0.0,0.84589085,2.787594848,48.68548666,0.0,3.024349479,0.0,0.0,0
RNA295_FPKM,4.99640965,3.114041363,0.788028788,1.983759683,0.503627421,0.0,0.496166274,0.492293304,1.357339362,0.0,1.014885561,5.428531566,15.33296027,13.3907853,10.30076078,1.931598323,19.59666867,0.0,11.47833982,0.0,9.633805048,24.74419669,7.155630273,17.30320368,0.488922971,9.754984638,0.471707373,2.536287911,0.99928193,0.499869007,14.14519574,0.0,4.184493082,4.565133042,3.761685441,6.995429595,3.020385984,0.0,0.76116417,6.180644516,1.134950427,0.0,1.673797233,1.859774703,0.519243775,1.006795328,0.769913184,7.608400738,7.725453057,0.519243775,2.751866104,0.496166274,0.0,0
RNA3_FPKM,4.934230222,12.08094553,5.555826596,2.098545715,0.710306726,1.487729048,0.0,1.388876714,2.552530176,0.0,1.431375675,6.381692711,17.30430703,28.96524568,7.992010122,1.816746049,50.68103979,1.523722493,14.84230451,0.0,14.26943768,54.06929049,5.768378964,25.4703845,4.826181385,17.51416349,1.330574571,7.870919059,1.410011859,0.0,37.24843221,0.738053082,3.935150688,7.870919059,4.244656922,9.163454514,5.681636423,0.689567843,11.80637859,20.34337451,1.067466605,0.0,4.722180826,2.624188737,1.464663481,2.130102794,7.599848847,4.293303448,26.8819878,1.464663481,6.469113159,0.0,0.0,0
RNA302_FPKM,8.957567922,1.74447543,4.412834928,0.555860703,1.128006669,0.0,0.555860703,0.275886746,0.507035101,0.0,1.136987802,7.096160214,14.88928274,12.00275766,8.655945436,0.721549951,10.97836576,0.605170927,11.7889019,0.0,13.49248089,25.00623127,4.008517984,0.843159493,0.0,3.974550005,0.528459119,3.978150423,0.560008917,0.560008917,24.30183039,0.0,2.344438353,7.956300846,1.685672887,10.07715663,0.564219511,0.0,0.852740851,6.924667883,0.847598232,0.581714689,1.875311087,0.0,0.581714689,1.69222618,2.586966459,9.661346921,13.27253813,0.0,3.083097012,0.555860703,0.0,0
RNA303_FPKM,8.984769017,3.500273274,2.655494317,0.557325968,1.697120428,0.0,0.557325968,1.10670405,0.0,0.0,1.139984934,9.151601754,32.1668448,8.026393656,6.36689647,0.723451977,10.39998418,0.0,12.90004322,0.0,10.28543932,23.99218205,5.743950652,14.37301184,0.0,9.468053413,0.0,1.709977401,0.0,0.561485117,42.39292424,0.0,3.135661474,6.840932013,4.22766862,14.60012376,3.960455026,0.0,4.275710309,12.73431201,0.850158256,0.0,1.880975141,0.0,0.0,0.0,6.054488718,5.700435875,12.15555043,0.583248106,5.154280921,1.114651936,0.0,1
RNA31_FPKM,7.447041566,3.867519218,7.827022554,0.616247918,0.625514804,0.0,0.0,0.305858342,0.562118033,0.0,1.260507105,5.618920564,17.14036295,9.979871813,9.595387424,3.198140892,8.789406819,0.670915072,13.06848161,0.0,7.179162373,24.70720611,2.538982082,17.7538273,1.213892893,0.550950126,1.171150186,3.780254475,0.620846783,0.620846783,4.684600743,0.0,2.598924951,0.630253553,4.67191148,10.55065152,3.126316705,2.427785787,6.61481191,14.07374942,0.0,1.289173073,3.118709942,0.0,0.644910612,1.25040095,3.823064974,10.08025632,22.38988049,0.644910612,3.41776432,1.231876492,0.0,1
RNA314_FPKM,9.880811002,4.399268464,1.113052481,2.101686126,1.421941099,0.0,0.0,0.695287376,1.917078561,0.0,1.43347668,6.389808016,18.77052811,16.39359959,3.637275332,0.909706354,18.4538294,0.762979523,14.86144353,0.739136413,15.649004,36.32237555,6.497579245,13.81483111,1.380424571,8.768401816,0.666263809,2.14945172,1.411329598,0.706040753,55.94629265,0.0,2.955496115,7.1650935,2.124923215,9.175522157,3.555231528,0.0,1.07510751,10.91260104,1.068464216,0.0,2.363977077,5.254681776,1.466032296,0.0,1.087465067,10.7472586,13.09512125,0.0,3.886679822,0.0,0.0,1
RNA319_FPKM,13.18025773,5.357588453,4.517332519,0.568735873,2.309728731,0.0,0.568735873,0.564553992,0.518779344,0.0,1.163323377,7.263945269,23.44758026,13.31046076,10.04214214,0.738262912,10.61364616,0.0,13.1643602,0.0,18.78331228,19.47579529,7.620492801,25.88497792,1.120866319,8.645552835,0.540699598,4.072211742,1.145960342,0.572980171,36.77296347,0.0,2.399354465,8.144423483,5.176995584,10.88833704,1.154576585,0.0,0.872492533,18.90247478,1.735558877,0.0,1.919483572,1.066379762,0.0,1.731864877,0.882521183,8.144423483,8.269722306,0.0,1.05177182,0.0,0.0,0
