,SNORA25,SNORD62B,SNORD14E,SNORA55,SNORA1B,AC022973.1,SNORA16B,SNORA71B,AC015982.1,SNORA50A,SNORD36C,SNORD99,SNORA3B,SNORD59A,SNORA17B.1,SNORD124,SNORA63B,SNORA70.21,SNORD38A,AC008810.1,SNORA8,SNORA4,SNORA24,SNORD87,SNORA2B,SNORA6,SNORA70G,SNORA20,SNORA22,SNORA60,SNORD34,Diagnosis
RNA29_FPKM,6.0411757,3.422907162,3.463176658,0.545129659,5.533270976,1.158937071,3.270777955,0.270560676,1.491739945,0.0,1.115037939,2.983479891,14.60674859,13.73726741,2.830480922,0.707620231,24.53147663,0.593487935,6.307928912,0.0,38.12099432,47.99625567,6.741298074,0.826882067,1.611514686,7.31051364,2.073028281,1.115037939,3.844384536,0.0,1.036514141,0
RNA295_FPKM,4.99640965,3.114041363,0.788028788,1.983759683,0.503627421,0.0,0.496166274,0.492293304,1.357339362,0.0,1.014885561,5.428531566,15.33296027,13.3907853,10.30076078,1.931598323,19.59666867,0.0,11.47833982,0.0,9.633805048,24.74419669,7.155630273,17.30320368,0.488922971,9.754984638,0.471707373,2.536287911,0.99928193,0.499869007,14.14519574,0
RNA3_FPKM,4.934230222,12.08094553,5.555826596,2.098545715,0.710306726,1.487729048,0.0,1.388876714,2.552530176,0.0,1.431375675,6.381692711,17.30430703,28.96524568,7.992010122,1.816746049,50.68103979,1.523722493,14.84230451,0.0,14.26943768,54.06929049,5.768378964,25.4703845,4.826181385,17.51416349,1.330574571,7.870919059,1.410011859,0.0,37.24843221,0
RNA302_FPKM,8.957567922,1.74447543,4.412834928,0.555860703,1.128006669,0.0,0.555860703,0.275886746,0.507035101,0.0,1.136987802,7.096160214,14.88928274,12.00275766,8.655945436,0.721549951,10.97836576,0.605170927,11.7889019,0.0,13.49248089,25.00623127,4.008517984,0.843159493,0.0,3.974550005,0.528459119,3.978150423,0.560008917,0.560008917,24.30183039,0
RNA303_FPKM,8.984769017,3.500273274,2.655494317,0.557325968,1.697120428,0.0,0.557325968,1.10670405,0.0,0.0,1.139984934,9.151601754,32.1668448,8.026393656,6.36689647,0.723451977,10.39998418,0.0,12.90004322,0.0,10.28543932,23.99218205,5.743950652,14.37301184,0.0,9.468053413,0.0,1.709977401,0.0,0.561485117,42.39292424,1
RNA31_FPKM,7.447041566,3.867519218,7.827022554,0.616247918,0.625514804,0.0,0.0,0.305858342,0.562118033,0.0,1.260507105,5.618920564,17.14036295,9.979871813,9.595387424,3.198140892,8.789406819,0.670915072,13.06848161,0.0,7.179162373,24.70720611,2.538982082,17.7538273,1.213892893,0.550950126,1.171150186,3.780254475,0.620846783,0.620846783,4.684600743,1
RNA314_FPKM,9.880811002,4.399268464,1.113052481,2.101686126,1.421941099,0.0,0.0,0.695287376,1.917078561,0.0,1.43347668,6.389808016,18.77052811,16.39359959,3.637275332,0.909706354,18.4538294,0.762979523,14.86144353,0.739136413,15.649004,36.32237555,6.497579245,13.81483111,1.380424571,8.768401816,0.666263809,2.14945172,1.411329598,0.706040753,55.94629265,1
RNA319_FPKM,13.18025773,5.357588453,4.517332519,0.568735873,2.309728731,0.0,0.568735873,0.564553992,0.518779344,0.0,1.163323377,7.263945269,23.44758026,13.31046076,10.04214214,0.738262912,10.61364616,0.0,13.1643602,0.0,18.78331228,19.47579529,7.620492801,25.88497792,1.120866319,8.645552835,0.540699598,4.072211742,1.145960342,0.572980171,36.77296347,0
RNA32_FPKM,0.742001444,6.937910419,3.50923036,0.736505137,2.242741207,0.782899162,1.473010274,2.19360403,2.015436355,0.0,1.506487781,1.343624237,12.14529287,22.5407026,0.764832258,0.956040322,21.02030546,0.80184027,4.261208294,0.0,11.44628321,38.19147345,2.276981531,2.234341428,5.806691118,7.244320521,1.400397092,1.506487781,0.0,0.742001444,1.400397092,1
RNA328_FPKM,8.31331338,9.252233128,4.680541465,0.589289486,1.795021529,1.252820166,1.768428618,0.877712733,0.0,0.0,1.205364857,6.451352771,17.614095,15.91384098,3.6723085,3.825442543,26.52294534,0.641565166,12.50351614,0.621516254,19.46253575,35.74771618,7.89583428,8.940360101,0.0,5.796331984,0.560240004,3.616667463,1.187374337,0.593687168,30.25828569,0
RNA331_FPKM,8.853268689,8.925834033,4.926073853,2.067918274,0.524893445,0.549691561,1.033683782,1.796055536,1.414582019,1.04139784,1.057739822,7.544102541,19.71018433,19.54009295,9.125676956,3.354860089,30.06960426,0.0,17.94498332,0.0,21.08589638,42.98326103,7.990768655,0.784391328,1.018593508,0.462323366,0.491625551,3.172093011,0.52097633,0.52097633,34.40122305,0
RNA334_FPKM,15.45103167,3.210413935,2.435727716,0.0,0.518714712,0.0,0.511030049,0.761164911,0.466142275,1.030207457,1.045288737,13.0566922,23.1809401,11.96274888,3.716403494,1.327382684,16.83283125,1.113288703,14.78934236,0.0,15.8883888,23.50536238,3.688034001,19.38599538,2.015296338,0.45688117,0.485838427,2.614277689,0.0,0.514843706,18.46873067,0
RNA335_FPKM,8.743363886,5.240097943,2.120477464,4.673251908,1.355192364,0.70997838,0.667905588,0.662649207,0.609238205,0.0,1.36617052,12.17968711,17.19960451,19.22691466,18.02478093,2.600075372,18.31827798,0.0,18.02540022,0.0,27.23194332,39.18477757,4.815946622,1.013115217,1.973779845,0.597134135,1.904280554,2.730917946,0.672889958,0.672889958,1.269961328,1
RNA336_FPKM,5.858094856,4.563864597,1.846683696,0.581363386,1.180211385,0.617984702,1.162726772,0.288544328,0.530297683,0.0,1.18915238,5.303950748,18.57641419,7.327100525,6.038343928,1.50930879,12.12589727,0.632935944,13.4574985,0.0,15.81284905,26.16657482,4.794019821,12.34823606,1.719155045,5.198574243,0.552704627,2.378850744,0.585701919,0.585701919,36.48561089,0
RNA35_FPKM,6.629890187,5.165606416,1.742126085,0.548447101,0.556694426,0.58299495,1.645341303,1.088828803,2.001090774,0.0,1.121823616,3.001636161,5.086742196,10.85819902,5.695412202,1.423853051,23.47492642,0.0,13.74922348,0.578440302,15.44670059,33.79931549,5.651935773,9.982081854,1.621321722,7.354479212,1.042821953,3.365470847,0.55253999,0.55253999,17.72686026,0
RNA358_FPKM,0.740027088,5.764105845,3.498656978,2.937403503,0.0,0.0,2.202858097,1.093330306,1.340049051,0.0,0.0,6.698825712,5.298018033,14.5411978,6.10156917,2.859479261,25.79354371,0.799706692,9.914862318,0.0,9.272784855,22.98989765,2.27012094,13.36801646,2.170699585,0.65671278,0.698335421,0.75123962,1.480054176,0.740027088,8.378545528,0
RNA365_FPKM,2.960230258,4.612451798,7.001260157,2.938302627,1.491243814,0.0,0.734949106,1.0939469,0.670392766,0.0,0.0,4.020994009,8.327444778,11.90079785,3.814530646,3.814142833,25.80218968,0.0,11.33489344,0.775141636,13.5563871,27.30924357,4.542802392,7.800274284,1.447703849,0.657073704,1.396728361,2.254193611,0.740433801,0.740433801,9.77780861,0
RNA368_FPKM,6.831749733,1.773747749,3.590017507,1.129943011,2.868090819,0.60082355,0.0,0.280531584,0.51557156,0.0,1.156130164,6.185051278,13.97640403,6.102583927,2.347319139,0.733697989,8.063081749,0.0,9.808679529,0.0,15.9158139,13.267456,5.823246432,11.99996372,0.556967816,2.526199198,0.537356273,4.045442313,0.0,0.0,16.11692059,0
RNA37_FPKM,3.582454951,7.442619589,1.882544955,2.962954429,1.8043799,0.629655162,1.185306083,0.588295298,1.081191359,0.0,1.211609176,2.162382718,7.939420859,16.00107272,5.538703771,1.538618473,26.01823182,0.0,8.000216701,0.624735981,13.23845855,34.20547543,0.61042905,10.78761716,1.168002344,4.768420465,2.253751002,3.636734572,0.596762728,0.596762728,1.126284586,0
RNA379_FPKM,3.321493962,5.175351057,6.545653132,1.647996595,0.836844551,0.876380514,0.824446854,2.045516604,2.255269362,0.830599443,1.686368565,3.006480275,16.13817274,19.28721197,9.414924981,3.209421785,31.66196255,0.0,11.12657224,0.869533791,10.40676905,33.05871185,5.095875811,15.00270307,3.248760518,13.26357817,1.566757326,2.528635346,0.830599443,0.830599443,18.80620525,1
RNA38_FPKM,1.665877703,6.056980096,2.626207202,0.551046475,1.119070211,0.0,1.653537868,0.547192419,0.502643744,0.0,0.0,2.011301865,11.92860363,11.90618985,1.717135478,0.0,24.80408842,0.59992963,9.566897664,0.0,9.636111243,30.7354058,3.408055147,11.70502007,2.172793256,7.39199901,0.523882212,3.946214305,0.0,0.555158762,9.432152626,0
RNA383_FPKM,3.02119268,6.590590919,9.525642803,4.198450511,2.435353382,0.0,2.399274072,0.8929736,1.094263513,0.604013578,0.0,2.188527025,12.97994242,15.11442184,11.2114126,3.114442305,21.06557135,0.65272435,13.88043769,0.632326714,8.737550053,28.75025893,4.326647473,10.00778448,2.364248173,0.536012049,1.710484643,4.293869841,0.604013578,0.0,17.10590785,0
RNA385_FPKM,2.374815675,9.250735478,4.991567225,3.142838623,1.196335716,1.252855514,1.571610273,1.169945958,1.433563424,0.791476968,0.803859645,4.300341898,17.40900977,24.04323106,6.527434063,1.529929329,25.44063632,0.427860779,12.88030235,0.41449013,5.723476627,25.74986581,3.64380115,9.534454249,1.935551561,0.351355871,1.494136527,4.419665639,1.187407838,0.39593087,18.67470956,1
RNA386_FPKM,2.631638858,5.126077453,7.260734876,2.612145237,2.651425617,0.0,1.306072619,0.648234572,0.595966581,0.658231746,0.0,4.765400095,18.17266727,21.16067787,8.138500965,1.695382726,22.93871604,0.0,23.93219849,0.0,8.24610201,26.19524885,7.40372806,12.87874359,1.930823777,0.584126185,2.483377514,4.007922082,1.315819429,0.658231746,13.66039966,0
RNA39_FPKM,3.078762839,4.797142099,3.882467687,1.222258346,3.101911432,1.299250998,1.222258346,0.910107882,1.672630701,1.231379677,1.250673744,1.115465772,8.81769614,18.70223384,6.98129885,2.380282152,26.83211143,0.0,10.60805677,0.644878649,16.62040567,35.87367093,5.038958506,19.46828417,1.806929517,0.5466521,1.162006174,4.375447706,1.231379677,0.616003486,6.972037043,1
RNA392_FPKM,4.101693137,8.521006781,4.310110655,2.713773375,0.688975468,0.721525491,2.713773375,1.68379832,0.619146874,0.0,1.388389959,2.47540139,13.28569929,13.43493364,6.341173451,1.761343297,26.06465041,0.0,9.159612083,0.0,9.884744093,32.52453235,2.796636685,14.40936476,2.005937519,0.606845942,1.289997907,3.469645023,1.367012708,0.0,16.77182713,0
RNA409_FPKM,1.990361042,2.067166881,5.230263948,1.316861865,3.342649892,0.700252189,1.316861865,0.980545514,1.201191566,0.66367185,0.0,2.402383132,10.85857959,10.66833519,6.838901285,2.564503651,27.467092,0.717193774,10.1611545,0.694781468,14.71095477,32.2122162,6.107825489,5.993446734,3.245054274,0.588953827,1.878228026,3.367972997,0.66367185,0.0,11.26936816,0
RNA41_FPKM,5.601313958,2.618155004,3.531717128,0.0,2.82171455,0.590823823,0.0,0.827799009,0.0,0.0,1.136888266,7.099422787,17.76110979,5.003840469,11.54688221,0.0,4.881702159,0.0,10.72251529,0.0,5.399827844,10.33376856,2.291572182,8.433438993,0.0,2.485351226,0.0,4.54885883,0.0,0.559959892,11.62831966,0
RNA418_FPKM,5.290679981,3.663730849,2.779899312,0.58362527,4.738635329,1.240778133,1.16725054,0.868718535,1.596563794,0.0,1.193778961,2.129443553,6.01328648,11.55373254,8.483832113,2.272033092,15.37104637,0.635398479,12.37899915,0.615542277,13.03488699,27.97094222,5.411840591,15.93234863,1.724755048,6.260393058,0.55485501,2.98386564,0.0,0.587980682,16.64240554,0
RNA431_FPKM,2.468959885,7.69275751,5.189248608,1.633266772,4.145350668,0.868074859,0.816633386,1.216325826,1.48980415,1.64545533,1.670386471,2.979608299,21.043987,17.64344527,6.785940488,1.060052953,23.30900654,0.0,15.75233254,0.861293024,7.139696191,19.17690353,4.208638464,9.912047904,3.219606801,0.730102696,2.329863554,5.847929972,0.0,0.822727665,24.84992291,1
RNA44_FPKM,3.000797045,8.416380311,1.891880029,0.595591861,1.814263169,1.89997639,1.191183722,0.591212509,3.260214225,0.0,0.0,7.606981169,15.34695971,25.73395761,8.041756244,0.77312405,26.15261898,0.0,16.08333161,0.628163291,16.77808363,37.29578953,6.752813047,28.01082503,1.761291982,0.53248279,1.132463398,5.483399293,1.800723892,1.200073153,23.78636785,1
RNA442_FPKM,8.304924205,4.621759146,3.740203181,1.177471372,0.0,0.0,0.588735686,1.753494868,0.537022416,0.0,1.204232085,3.222134497,29.12561401,29.67526651,4.891609533,1.528448415,27.1423157,0.640962239,26.11783429,0.0,13.72465984,27.6482278,6.674406046,17.86219943,0.580141004,5.264025659,0.559713504,7.225958406,0.0,0.593129236,31.34711251,0
RNA454_FPKM,4.409745724,4.581023965,3.475917217,1.458799007,1.480735834,0.0,0.729741463,1.08622413,0.665642551,1.469685567,0.0,5.323892716,27.06580321,22.3239335,6.818145311,0.947260553,23.22113167,0.0,11.25623031,1.538577078,11.33654615,24.26514511,3.759413424,11.06599986,3.59476758,2.609060007,0.693768292,4.476560053,0.0,0.735187295,16.64653779,0
RNA457_FPKM,1.288861068,6.024108218,1.354376171,2.132069316,1.298551753,0.90647224,1.279313949,2.327923828,0.389090598,1.288861068,0.0,1.555702359,15.81828658,22.2572407,4.427768252,1.660647914,28.54670443,0.464398456,10.69024651,0.449886004,5.38357738,24.60958457,1.31837697,4.527543058,1.680612767,9.148766189,2.432154392,6.104953195,0.859119213,0.429741855,8.107181306,0
RNA466_FPKM,3.030625355,9.444274362,3.82197221,1.804677616,1.831815625,0.639654801,1.203498663,2.090353372,1.646158636,0.0,1.230850905,1.097785942,16.1202683,20.57572041,5.622857196,1.562233841,27.73354227,1.310260641,8.122515958,0.0,9.349262968,25.30769463,5.579934622,10.95145972,1.185929339,15.59858693,0.0,3.076543921,0.606239998,0.606239998,36.60588879,0
RNA471_FPKM,4.859203833,5.678962237,4.468721828,2.009570061,1.224036973,0.42714583,3.215473154,0.797957492,0.733441872,1.214902369,0.821932127,5.132991289,12.84093388,24.598732,7.930574377,2.086965749,27.35179123,0.875398363,13.1782804,0.423808753,8.978554726,28.31093184,2.485449122,9.145283496,1.980233272,7.546516994,1.146457165,4.110896006,0.810070127,0.404832242,16.04963473,0
