,PLOD1,RHBG,MFSD9,RBM5,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,PEX1,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,C14orf39,IGDCC4,NOXO1,TBC1D24,KRTAP9-8,ZNRF4,ANGPTL6,LIM2,SLC27A5,CTSA,EDA2R,Diagnosis
SEQ12119,7.962806386,6.627017457,6.914362761,7.004252319,8.577474548,5.634325113,6.189322921,7.707888851,8.117253349,7.956129142,9.065366775,6.738365509,8.002219583,6.051243184,7.621393592,7.800598081,7.420553242,6.504754967,7.675567646,6.572089439,7.29725833,5.198180091,7.524613478,4.938605398,5.198180091,6.721859729,5.990532861,7.137708208,6.346423913,5.925959648,1
SEQ12101,8.004723311,6.764212506,6.960764007,7.031811879,8.373603829,5.511565588,6.222437344,7.613345214,8.055061122,8.306176597,9.04169983,6.676347303,7.92869062,6.055140834,7.598209775,7.867278445,7.590579799,6.307799879,7.735761351,6.898484788,7.120998207,5.007536019,7.700857711,4.727253356,5.211208691,6.885665608,5.916906285,7.173868658,6.387269572,5.755709409,0
SEQ12162,7.664906044,6.462177293,6.372671745,7.066527256,8.665457167,6.052627656,6.052627656,7.593771769,8.002246217,8.157062939,8.986015704,7.066527256,7.94662862,5.582696367,7.556791491,7.828338726,7.398114099,6.462177293,7.169837167,6.766300325,7.629793257,4.727253356,7.917975021,5.336505921,4.727253356,6.832125761,6.052627656,7.94662862,5.920526918,5.582696367,1
SEQ12163,8.057645646,6.188350288,7.257628838,6.905858097,8.729173626,5.741806182,6.421835311,7.913717776,8.348989573,8.094481421,9.084841985,6.905858097,8.265537986,5.891220542,7.607002902,8.199568589,7.068073267,6.287505607,7.166181616,6.378747464,6.75339914,5.148532081,7.301140572,4.727253356,5.148532081,6.378747464,5.891220542,7.068073267,6.378747464,5.957929725,0
SEQ12109,7.929016684,6.732379514,7.174253798,6.814961213,8.486380709,5.633941749,6.186374927,7.449229813,8.131600197,8.12136077,8.915801886,6.56540922,7.963906269,6.116905139,7.664155898,7.940742752,7.300265292,6.391082715,7.713070075,6.841351937,7.363575989,4.727253356,7.537679862,5.119055494,4.727253356,6.854348423,5.990014192,6.760501969,6.446077882,5.672900679,1
SEQ12123,7.604942633,6.262950399,7.627381827,7.154041396,8.779261381,5.556198293,5.837549656,7.593585768,8.718759305,7.703189238,8.874743985,6.815829972,7.935754414,6.294452682,7.558947114,8.232704107,7.316749353,6.294452682,7.570589644,6.875357462,7.004540018,4.727253356,7.436795223,4.727253356,5.06953982,6.642109052,6.354983323,7.089651319,6.294452682,5.884477346,0
SEQ12106,7.884269491,6.673082796,7.151726436,7.062790396,8.551457048,5.638214379,6.18302647,7.584320205,8.13840373,8.106323884,9.203141113,6.693600177,8.009342898,5.95781937,7.91349782,7.87580581,7.452785139,6.471417182,7.610219788,6.782036193,7.1227317,5.127016616,7.584320205,4.727253356,5.054005109,6.753233016,5.918344028,7.023912341,6.198541036,5.8342203,1
SEQ12198,7.707438967,6.386955023,7.204201896,6.805604438,8.961942869,5.601361537,6.514346033,8.015572138,8.263621514,7.963802884,9.292954545,6.859262116,8.296428329,5.9458718,7.749009468,8.108468262,7.183779084,6.386955023,7.183779084,6.805604438,7.031410059,5.007477362,7.357385454,4.727253356,5.122931918,6.531496001,5.91666978,7.273350002,6.327876173,6.001830049,1
SEQ12176,8.096864867,6.671491496,6.966845732,7.145600944,8.526558617,5.559215889,6.404037928,7.618793928,8.035335503,8.056144065,9.004030575,6.948495487,7.957780031,5.997188237,7.832807059,7.95334385,7.596043987,6.404037928,7.641177829,6.822508895,7.16144261,5.147534871,7.646718027,4.727253356,5.31955656,6.781148567,5.955161299,7.438305659,6.076402568,5.739482312,0
SEQ12180,8.053117339,6.829580398,6.900397873,6.728683214,8.664640227,5.831191155,6.498924926,7.839200907,8.273283693,7.950212509,9.193334482,6.675077655,8.176593878,6.25450571,7.558764184,7.950212509,7.328831322,6.498924926,7.572813221,6.989226904,6.675077655,5.257455085,7.515741945,4.727253356,5.257455085,6.173962015,5.992371408,7.169702684,6.329696622,5.558745347,1
SEQ12178,7.76834862,6.732469745,6.962480863,6.98570596,8.613187791,5.737895046,6.552325042,7.728826151,8.142543915,8.049924615,9.402277097,7.008530044,7.973445356,6.032720221,7.617616179,7.701843426,7.074738609,6.645631272,7.617616179,7.158203401,7.217571175,4.727253356,7.49673528,4.727253356,4.727253356,6.7601444,5.866924,7.198070373,6.415720724,6.032720221,0
SEQ12122,7.935515375,6.839260997,7.034141125,7.109607892,8.536542344,5.681916181,6.41530072,7.348138947,8.051632917,8.072126945,9.059408803,6.690929973,8.018211843,6.054784376,7.686008628,7.970927395,7.557052103,6.297061348,7.625822281,6.597670549,7.109607892,5.146738665,7.63140248,4.727253356,5.365080124,6.788232231,6.015256967,7.277999191,6.522827983,5.764192792,0
SEQ12113,7.886519361,6.710854562,7.155953591,6.782049972,8.519956413,5.786436317,5.976994416,7.405316057,8.296948924,8.119639913,8.871201809,6.534245917,7.997272532,6.0759224,7.458539737,8.17707368,7.394419597,6.446823642,7.578481293,6.944546465,6.913627176,5.167727125,7.48951439,5.039317743,5.265688708,6.654710846,6.011035919,7.181776397,6.469278368,6.043984132,1
SEQ12099,8.018065622,6.653138895,6.970865351,7.048077505,8.561339255,5.557040036,6.452829177,7.734738451,7.990787872,8.100066397,9.106635715,6.873371875,8.213329667,6.184957303,7.713930508,8.034850572,7.481781376,6.362409282,7.335536806,6.698548481,7.041240902,5.29821788,7.718116947,4.727253356,5.440392817,6.606025245,5.726019389,7.577494775,6.350603816,5.867114112,0
SEQ12107,7.934453274,6.704063145,7.112069157,7.130415072,8.551935455,5.800823483,6.214103069,7.550326556,8.08863605,7.944599094,9.066803228,6.704063145,8.023241198,5.85616415,7.379365536,8.106778328,7.33308517,6.251470069,7.589956734,6.678568097,7.130415072,5.092448363,7.602919362,5.242356677,5.092448363,6.996366162,6.093767211,7.148513769,6.251470069,6.050468851,1
SEQ12111,7.79364562,6.670629538,6.938801196,6.986386645,8.468725409,5.672584247,6.22989015,7.500633028,8.070333353,8.200442735,9.210310719,6.717484337,8.078824818,6.280492515,7.708168733,7.83450516,7.455119399,6.375459749,7.824401255,6.705932158,7.076715938,4.727253356,7.468277172,4.97542078,4.97542078,6.95804204,6.140103408,7.177620409,6.34465863,6.158655925,0
SEQ12120,7.831433144,6.879891453,7.34570875,7.090355701,8.66187487,5.844859437,6.042588874,7.793053325,8.281442591,7.946484727,9.07969782,6.597413114,8.031113667,6.186325914,7.685248253,8.058232941,7.224041734,6.016616256,7.583564804,6.841286313,7.023850696,5.119041316,7.381063254,4.727253356,5.119041316,6.760438171,5.710077278,7.023850696,6.532431171,5.905518179,1
SEQ12139,7.860567788,6.364534662,7.27645362,7.27645362,8.815901733,5.705254843,6.173061269,7.742091696,8.541697663,7.639514019,9.290783839,6.875987995,8.147426434,6.039957278,7.691744783,8.090668537,7.205359865,6.291754854,7.293660706,7.071156563,7.149475875,5.102959363,7.223485744,4.727253356,5.257101751,6.727515797,5.77006539,7.030205999,6.13049915,6.173061269,1
SEQ12166,7.840425188,6.491850277,7.037178542,7.052187333,8.729219909,5.700678836,6.063307377,8.076074597,8.221357128,7.852984089,9.276129308,6.998897679,8.04368507,5.878963989,7.703604825,7.976590552,7.166552008,6.276914826,7.551908589,7.131849214,7.124799863,4.727253356,7.333921695,4.954597494,5.120216607,6.694081388,5.975350277,6.893839893,6.408026574,5.993555293,0
SEQ12177,7.833559112,6.724411783,7.193013534,7.206113455,8.93460096,5.715172268,6.380116693,7.982670812,8.090180246,7.791541452,9.375078325,6.948172009,8.150971753,6.130988053,7.944935476,8.124274789,7.231938891,6.380116693,7.400173767,6.979428137,7.152933368,5.175936565,7.257281576,5.045156909,4.727253356,6.646895258,5.999072088,7.039807852,6.498453549,5.963289801,1
SEQ12181,7.759505686,6.82756867,6.978650935,6.949795701,8.758110092,5.468890723,5.917663,7.659276625,8.355356343,8.233990699,9.269360168,6.890112181,7.968786034,6.500531052,7.882878154,8.023281941,7.513326128,6.619272504,7.759505686,6.920293563,7.088170689,5.158560194,7.551277541,4.727253356,5.468890723,6.949795701,5.5805891,6.890112181,6.761846984,5.9857176,0
SEQ12143,7.877951833,6.719144637,6.751103432,7.016541071,8.601550206,5.780654251,6.344116914,7.477273847,7.975359799,8.086389148,9.051542885,6.802655806,8.054390835,5.942332117,7.728118253,7.868753077,7.458820286,6.618121777,7.542903306,6.582551841,7.131584366,5.067031424,7.501501031,4.727253356,5.067031424,6.792509499,5.853355885,7.178017875,6.582551841,5.480202742,0
SEQ12167,7.713491964,6.474020511,7.214880881,7.325861591,9.005445092,5.706614928,6.366673123,8.003468861,8.482581896,7.496040917,9.362715394,7.055477492,8.227219011,6.248489243,7.7764764,7.983676049,7.214880881,6.388933046,7.496040917,7.10657067,6.903898731,5.027701364,7.081268251,5.027701364,4.727253356,6.514408602,6.028743105,6.646139432,6.453309127,6.028743105,1
SEQ12134,7.85602362,6.678372865,7.133156413,6.866942125,8.580445491,5.642166477,6.183807888,7.387999458,8.28261316,8.19728877,8.932052515,6.842797622,7.890348582,6.251709047,7.648328038,7.992081631,7.327207813,6.531516261,7.516911878,6.659761864,7.03860138,4.946321755,7.511980119,4.727253356,5.215246231,6.723735579,5.858373754,7.031583988,6.552132278,5.798844021,1
