,PLOD1,RHBG,GRHL1,CEBPZ,MFSD9,CCDC115,RBM5,OR5H14,ODAM,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,MALSU1,PEX1,ZNF398,C8orf22,UBQLN1,S1PR3,OR1Q1,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,TPCN1,CCDC60,ZMYM5,C14orf39,IGDCC4,FEM1B,NOXO1,TBC1D24,UMOD,RAC3,ANGPTL6,OR1I1,CYP4F2,CCDC8,LIM2,SLC27A5,C20orf194,CTSA,EDA2R,CTAG1A,CDY2B,MT-ND5,Diagnosis
SEQ12137,7.795951307,6.630988327,8.557623442,6.344026129,6.987727284,5.655647026,7.146519686,4.963114555,5.1974179,8.857061736,5.5974947,6.37189165,7.622037798,7.877633034,8.000006208,9.01224631,6.38558011,6.685404172,7.91676049,6.177364707,8.19243979,6.056556117,5.060442088,7.850930072,7.912466314,7.347881776,6.37189165,7.459402727,9.226070778,7.545903126,7.627319665,6.706529521,7.077390247,7.488841861,5.060442088,7.321817463,5.809236789,5.501078352,6.696010913,5.134874843,6.489760564,5.5974947,5.940624446,6.826422518,8.992230942,6.286206289,5.940624446,5.1974179,4.727253356,5.134874843,0
SEQ12116,8.022510442,6.943787419,8.448966672,6.459937643,7.008270086,5.631724739,7.173781215,4.727253356,5.228284085,8.726176404,5.538808329,6.369363929,7.648210015,8.028528098,8.227101088,8.940994217,6.535087612,6.854929598,8.171208883,5.925923327,8.146564237,6.125510781,4.932654237,7.663867587,7.929025091,7.398751811,6.430505379,7.445102321,9.249024364,7.667754655,7.644267977,6.697107908,7.151351616,7.201303724,5.185009104,7.690852316,6.224727299,5.877481123,6.728707682,4.932654237,6.81907154,5.753694648,5.941550994,7.520488444,8.902482438,6.212801161,5.653332036,5.185009104,4.727253356,4.727253356,1
SEQ12104,8.06178984,6.695337512,8.590340636,6.56070567,6.959776724,5.680841891,7.32208393,4.727253356,5.174960053,8.587113517,5.647302896,6.828560476,7.743280727,8.14351275,8.066455905,9.138103347,6.272968516,6.720616211,8.216595903,5.831342328,8.233258551,5.984683116,5.093290352,7.903703745,8.05241128,7.601527583,6.217272861,7.330006352,9.170723598,7.63991855,7.754953251,6.695337512,7.079094987,7.231755006,4.727253356,7.806308319,6.138400597,6.178542147,6.574843163,5.174960053,6.980424174,5.831342328,5.774167756,7.725587298,8.813716041,6.075249405,6.075249405,5.407563363,4.727253356,4.986426734,0
SEQ12115,7.984221742,6.909575869,8.430796924,6.327913587,7.138844909,5.769514458,7.09998937,4.727253356,5.318502145,8.568158566,5.374045695,6.172325046,7.66465055,8.240260028,8.127443184,8.955304524,6.327913587,6.558487769,8.324475712,5.96584319,8.108529488,5.913730157,4.727253356,7.359249052,7.904020564,7.391427127,6.481120523,7.611434284,9.100262651,7.438323031,7.527582999,6.765303386,7.266643975,7.415075026,5.102753473,7.334609502,5.858674094,5.769514458,6.777960941,5.102753473,6.672998452,5.634606956,5.990914167,7.039504745,8.936776291,6.345953268,6.062641511,5.256812988,4.727253356,4.993145661,1
SEQ12103,8.042602119,6.808227922,8.647659176,6.336543451,6.979853274,5.976793829,7.047062525,4.727253356,5.394432056,8.422468673,5.734885413,6.214999889,7.490076782,8.053186704,8.268034103,8.792824014,6.44656098,6.411012781,8.203136293,6.214999889,8.031937696,6.256973035,4.727253356,7.735147063,7.908983224,7.21132812,6.44656098,7.787050535,9.356358252,7.721864751,7.581586336,6.933070604,7.090053294,7.357786048,4.727253356,7.735147063,5.976793829,6.125973047,7.025035536,5.273599157,6.579138888,5.495421828,6.125973047,7.068731013,8.792824014,6.297447154,5.734885413,5.394432056,4.727253356,4.727253356,0
SEQ12119,7.962806386,6.627017457,8.355816328,6.484814201,6.914362761,5.679287949,7.004252319,4.938605398,5.242675586,8.577474548,5.634325113,6.189322921,7.707888851,8.117253349,7.956129142,9.065366775,6.227559225,6.738365509,8.02471259,6.136191115,8.002219583,6.051243184,4.727253356,7.621393592,7.800598081,7.420553242,6.504754967,7.675567646,9.252487014,7.454522502,7.565024439,6.572089439,7.29725833,7.444902201,5.198180091,7.524613478,6.149717968,5.909136654,6.721859729,5.092675647,6.443917595,5.820292867,5.990532861,7.137708208,8.866133844,6.346423913,5.925959648,5.092675647,4.727253356,5.092675647,1
SEQ12101,8.004723311,6.764212506,8.373603829,6.287051252,6.960764007,5.642864424,7.031811879,4.727253356,5.350121671,8.373603829,5.511565588,6.222437344,7.613345214,8.055061122,8.306176597,9.04169983,6.244387872,6.676347303,8.150663203,6.244387872,7.92869062,6.055140834,4.727253356,7.598209775,7.867278445,7.590579799,6.307799879,7.735761351,9.210305211,7.749482472,7.605798091,6.898484788,7.120998207,7.234694019,5.007536019,7.700857711,6.200048047,6.028951206,6.885665608,5.211208691,6.461720772,5.855718226,5.916906285,7.173868658,8.994130153,6.387269572,5.755709409,5.211208691,4.727253356,4.727253356,0
SEQ12162,7.664906044,6.462177293,8.648246019,6.54548236,6.372671745,5.920526918,7.066527256,4.727253356,5.336505921,8.665457167,6.052627656,6.052627656,7.593771769,8.002246217,8.157062939,8.986015704,6.623490729,7.066527256,8.577251755,5.920526918,7.94662862,5.582696367,4.727253356,7.556791491,7.828338726,7.398114099,6.462177293,7.169837167,9.224884512,7.699156284,7.974711428,6.766300325,7.629793257,6.954538035,4.727253356,7.917975021,6.623490729,5.920526918,6.832125761,4.727253356,6.696908566,5.336505921,6.052627656,7.94662862,8.857303745,5.920526918,5.582696367,4.727253356,5.336505921,5.336505921,1
SEQ12163,8.057645646,6.188350288,8.369109701,6.503613778,7.257628838,5.148532081,6.905858097,4.727253356,5.320952271,8.729173626,5.741806182,6.421835311,7.913717776,8.348989573,8.094481421,9.084841985,6.463418714,6.905858097,8.232936215,5.891220542,8.265537986,5.891220542,4.727253356,7.607002902,8.199568589,7.068073267,6.287505607,7.166181616,9.184300494,7.690213176,7.481442685,6.378747464,6.75339914,7.443370224,5.148532081,7.301140572,6.239018696,6.239018696,6.378747464,5.148532081,6.616832468,5.451883572,5.891220542,7.068073267,8.977977853,6.378747464,5.957929725,4.727253356,4.727253356,4.727253356,0
SEQ12109,7.929016684,6.732379514,8.408778285,6.532489477,7.174253798,5.745769142,6.814961213,5.119055494,5.279668686,8.486380709,5.633941749,6.186374927,7.449229813,8.131600197,8.12136077,8.915801886,6.293294091,6.56540922,8.042109737,6.313521642,7.963906269,6.116905139,5.004723624,7.664155898,7.940742752,7.300265292,6.391082715,7.713070075,9.248138993,7.799606043,7.64985952,6.841351937,7.363575989,7.143428088,4.727253356,7.537679862,5.745769142,5.710111738,6.854348423,5.401800764,6.515692034,5.503857451,5.990014192,6.760501969,8.867896888,6.446077882,5.672900679,5.206382082,5.119055494,4.727253356,1
SEQ12123,7.604942633,6.262950399,8.181093071,6.894609449,7.627381827,6.013054034,7.154041396,4.727253356,5.06953982,8.779261381,5.556198293,5.837549656,7.593585768,8.718759305,7.703189238,8.874743985,6.294452682,6.815829972,8.779261381,6.013054034,7.935754414,6.294452682,5.06953982,7.558947114,8.232704107,7.316749353,6.294452682,7.570589644,9.023758276,7.82428309,7.814582126,6.875357462,7.004540018,7.765044574,4.727253356,7.436795223,6.090555471,5.680237274,6.642109052,5.317379666,6.913581848,5.62064071,6.354983323,7.089651319,8.784189703,6.294452682,5.884477346,5.317379666,4.727253356,5.407124535,0
SEQ12106,7.884269491,6.673082796,8.514058121,6.471417182,7.151726436,5.741713543,7.062790396,4.958548098,5.290824245,8.551457048,5.638214379,6.18302647,7.584320205,8.13840373,8.106323884,9.203141113,6.342965933,6.693600177,8.032320697,6.067762956,8.009342898,5.95781937,4.958548098,7.91349782,7.87580581,7.452785139,6.471417182,7.610219788,9.165847424,7.650681466,7.594738034,6.782036193,7.1227317,7.351388197,5.127016616,7.584320205,6.014261395,5.581090166,6.753233016,5.290824245,6.553804515,5.638214379,5.918344028,7.023912341,8.967251255,6.198541036,5.8342203,5.242259339,4.727253356,5.242259339,1
