,PLOD1,RHBG,GRHL1,CEBPZ,MFSD9,CCDC115,RBM5,OR5H14,ODAM,NFKB1,UCP1,ASIC5,LIFR,SNX18,PDGFRB,EPB41L2,MALSU1,PEX1,ZNF398,C8orf22,UBQLN1,S1PR3,OR1Q1,MINPP1,ZNF143,DHCR7,LRTOMT,P2RY6,TPCN1,CCDC60,ZMYM5,C14orf39,IGDCC4,FEM1B,NOXO1,TBC1D24,UMOD,RAC3,ANGPTL6,OR1I1,CYP4F2,CCDC8,LIM2,SLC27A5,C20orf194,CTSA,EDA2R,CTAG1A,CDY2B,MT-ND5,Diagnosis
SEQ12139,7.860567788,6.364534662,8.491624714,6.617972265,7.27645362,5.705254843,7.27645362,5.102959363,5.257101751,8.815901733,5.705254843,6.173061269,7.742091696,8.541697663,7.639514019,9.290783839,6.399291743,6.875987995,8.370108629,6.13049915,8.147426434,6.039957278,4.727253356,7.691744783,8.090668537,7.205359865,6.291754854,7.293660706,9.104082339,7.678869321,7.528774379,7.071156563,7.149475875,7.499650209,5.102959363,7.223485744,6.13049915,5.635091397,6.727515797,5.102959363,6.778933157,5.257101751,5.77006539,7.030205999,8.71368411,6.13049915,6.173061269,5.102959363,4.727253356,5.257101751,1
SEQ12166,7.840425188,6.491850277,8.441114781,6.344314222,7.037178542,5.7942043,7.052187333,4.727253356,5.233534595,8.729219909,5.700678836,6.063307377,8.076074597,8.221357128,7.852984089,9.276129308,6.290714104,6.998897679,7.926069607,6.234483296,8.04368507,5.878963989,5.048435599,7.703604825,7.976590552,7.166552008,6.276914826,7.551908589,8.980306234,7.827752985,7.627375934,7.131849214,7.124799863,7.433208748,4.727253356,7.333921695,5.816130703,5.473695231,6.694081388,5.403776111,6.234483296,5.595502236,5.975350277,6.893839893,9.024916431,6.408026574,5.993555293,5.120216607,4.727253356,4.954597494,0
SEQ12177,7.833559112,6.724411783,8.561592093,6.705473396,7.193013534,5.558503652,7.206113455,5.045156909,5.715172268,8.93460096,5.715172268,6.380116693,7.982670812,8.090180246,7.791541452,9.375078325,6.428865682,6.948172009,8.240642515,6.354965744,8.150971753,6.130988053,5.045156909,7.944935476,8.124274789,7.231938891,6.380116693,7.400173767,9.107099203,7.960150966,7.519252904,6.979428137,7.152933368,7.487782661,5.175936565,7.257281576,5.963289801,5.175936565,6.646895258,5.175936565,6.66672531,5.887616862,5.999072088,7.039807852,8.852079785,6.498453549,5.963289801,5.275684944,4.727253356,5.175936565,1
SEQ12181,7.759505686,6.82756867,8.457373218,6.321553727,6.978650935,5.5805891,6.949795701,4.727253356,4.727253356,8.758110092,5.468890723,5.917663,7.659276625,8.355356343,8.233990699,9.269360168,5.9857176,6.890112181,8.062817344,6.109581501,7.968786034,6.500531052,5.158560194,7.882878154,8.023281941,7.513326128,6.619272504,7.759505686,9.134765413,7.710289701,7.693491643,6.920293563,7.088170689,7.306110135,5.158560194,7.551277541,6.109581501,5.677983431,6.949795701,5.468890723,6.414409625,5.5805891,5.5805891,6.890112181,8.709428585,6.761846984,5.9857176,4.727253356,4.727253356,5.468890723,0
SEQ12143,7.877951833,6.719144637,8.587714299,6.57046478,6.751103432,5.614263624,7.016541071,4.727253356,5.206674461,8.601550206,5.780654251,6.344116914,7.477273847,7.975359799,8.086389148,9.051542885,6.283919986,6.802655806,8.136891655,6.153005336,8.054390835,5.942332117,4.727253356,7.728118253,7.868753077,7.458820286,6.618121777,7.542903306,9.325425038,7.560275149,7.69194567,6.582551841,7.131584366,7.362648307,5.067031424,7.501501031,5.983970384,5.805532973,6.792509499,5.313093909,6.469224741,5.5160834,5.853355885,7.178017875,8.940761872,6.582551841,5.480202742,4.967789698,5.206674461,4.967789698,0
SEQ12167,7.713491964,6.474020511,8.519506396,6.646139432,7.214880881,5.898765033,7.325861591,4.727253356,5.245789846,9.005445092,5.706614928,6.366673123,8.003468861,8.482581896,7.496040917,9.362715394,6.453309127,7.055477492,8.449470109,6.273119251,8.227219011,6.248489243,4.727253356,7.7764764,7.983676049,7.214880881,6.388933046,7.496040917,8.765833214,7.929496215,7.569395274,7.10657067,6.903898731,7.61334658,5.027701364,7.081268251,5.965859134,5.324952135,6.514408602,5.245789846,6.553501425,5.394331804,6.028743105,6.646139432,8.904632521,6.453309127,6.028743105,5.027701364,5.027701364,4.727253356,1
SEQ12134,7.85602362,6.678372865,8.426443395,6.467491606,7.133156413,5.778110594,6.866942125,4.946321755,5.261320121,8.580445491,5.642166477,6.183807888,7.387999458,8.28261316,8.19728877,8.932052515,6.225040835,6.842797622,8.288312995,6.140975373,7.890348582,6.251709047,4.946321755,7.648328038,7.992081631,7.327207813,6.531516261,7.516911878,9.250954044,7.471879472,7.722456228,6.659761864,7.03860138,7.550950838,4.946321755,7.511980119,5.967328672,5.756886767,6.723735579,5.105967297,6.68757637,5.537047285,5.858373754,7.031583988,8.889742192,6.552132278,5.798844021,5.414167254,5.105967297,5.215246231,1
SEQ12129,7.779076448,6.803576245,8.365323029,6.759791592,7.249586672,5.702916004,7.279998968,4.727253356,5.01382949,8.602941387,5.702916004,5.911558616,7.880177625,8.415227526,8.057178607,9.105458498,6.340133739,6.774552979,8.337346979,5.971999596,7.918666189,6.31903569,4.727253356,7.592429477,7.833901312,7.467096875,6.567774373,7.87365926,9.156830975,7.647256712,7.484478619,6.514760917,7.109281102,7.357929293,4.727253356,7.631810964,5.942239885,5.702916004,6.90031712,5.297626485,6.420918002,5.576098754,5.971999596,7.002767524,8.830163876,6.567774373,5.74121927,5.423594238,5.01382949,4.727253356,0
SEQ12128,7.818389627,6.473303774,8.424203498,6.615258617,7.122275232,5.59959075,6.946138673,4.727253356,5.415498696,8.765937717,5.691771862,6.417276808,8.017594105,8.273777497,7.852801284,9.07494666,6.526844779,6.753642332,8.25563219,6.296570821,8.043280977,6.007656609,5.151196789,7.746925461,7.900543774,7.292564768,6.513678841,7.299819612,8.963661908,7.818389627,7.64370153,6.742670173,7.054592419,7.469717867,5.073814631,7.410947683,6.143562923,5.826181583,6.775308343,5.073814631,6.651304628,5.415498696,5.850821846,7.248204495,8.947999892,6.431531268,5.66218801,5.216200848,5.073814631,5.273268679,1
SEQ12150,8.092073567,6.789913228,8.45228945,6.519507052,6.906265466,5.680988505,7.17129223,4.977700798,5.336945235,8.455600669,5.471267169,6.276811547,7.507472095,8.035429349,8.287286548,9.032808461,6.477607846,6.674149684,8.245740629,6.053534552,8.061854937,6.113789898,5.080997614,7.666529588,8.022028989,7.507472095,6.242587749,7.461334903,9.289154866,7.613506618,7.745201302,6.599234086,7.17129223,7.305355306,4.727253356,7.788246395,5.897516769,6.053534552,6.811860329,5.226285848,6.546660733,5.711124588,5.967361279,7.55211946,8.750403917,6.419378619,5.617210808,5.429560348,4.977700798,4.727253356,0
SEQ12165,7.676543614,6.14159526,8.477709214,6.270352415,7.038633051,5.393048759,6.985024746,4.727253356,5.150565871,8.846398556,5.824609541,6.270352415,8.037621836,8.199943136,7.897080409,9.399877101,6.511297376,6.943342417,7.972439972,5.995447731,8.159611968,6.113932575,5.150565871,7.709107218,8.069118973,7.267506027,6.588175188,7.3943878,9.029248696,7.824884259,7.626226724,7.01209978,7.210940347,7.289488914,5.027115368,7.311122691,5.930650862,5.323798588,6.606669045,5.323798588,6.294425631,5.56509494,5.896589786,7.175830875,8.817211469,6.363769211,5.896589786,5.027115368,4.727253356,4.727253356,0
SEQ12132,7.871069593,6.936682407,8.284093297,6.519856479,7.121042458,5.711332475,6.875952087,4.727253356,4.727253356,8.573559987,5.337077059,6.053806665,7.799302665,8.19951622,8.013539618,9.081193725,6.094361401,6.492080705,8.117994406,6.27712224,8.092594614,6.011616876,5.226394268,7.558858878,8.092594614,7.252192545,6.310354839,7.520849535,9.196168037,7.678531503,7.571300534,6.875952087,7.386020657,7.204490646,5.226394268,7.583631639,5.822453426,5.768624624,6.790301772,5.226394268,6.698536713,5.429711478,5.921601484,7.155044568,8.854753938,6.674522005,5.711332475,5.226394268,5.337077059,4.727253356,1
SEQ12149,7.87169078,7.103297537,8.297605168,6.616285484,7.207655178,5.786709388,7.130155637,4.727253356,5.347969301,8.500829298,5.697869469,6.137405501,7.45911332,8.073939773,8.274423711,8.943161973,6.137405501,6.692875926,8.309055732,5.867568014,7.87169078,6.250292252,4.727253356,7.689478064,7.947294711,7.280954195,6.30274716,7.707058324,9.245588378,7.840273774,7.689478064,6.655164346,7.280954195,7.479842659,4.727253356,7.707058324,6.137405501,5.867568014,7.019325242,5.167844829,6.195284934,5.347969301,6.137405501,7.156487153,9.035279328,6.53467751,6.011360487,5.598562069,4.727253356,5.347969301,1
SEQ12133,7.873682524,6.452691736,8.47275759,6.55510464,7.204820852,5.559826509,7.100045885,4.915882163,5.319997098,8.791730289,5.690125076,6.493109179,7.774179638,8.142926027,7.876504995,9.274051453,6.294624978,6.81363835,8.090603707,6.186151019,8.048805514,6.054199565,4.99382545,7.786258783,7.848022024,7.204820852,6.285181845,7.477949095,8.999599356,7.84514172,7.627208039,6.970082967,7.095083602,7.35641402,4.915882163,7.35641402,6.165244873,5.690125076,6.584966508,5.51816615,6.670475864,5.450725569,5.903109839,7.028837625,8.911061903,6.385046403,6.111158434,5.053505172,4.727253356,5.319997098,0
SEQ12140,7.997455042,6.417467909,8.421972826,6.417467909,7.148104973,5.759897371,7.09094417,4.727253356,5.465063911,8.530116464,5.251774544,6.313905594,7.448133145,7.76755374,7.997455042,8.932885952,6.542886132,6.629173028,8.195101888,5.695672017,8.095018371,6.073304814,5.251774544,7.402482641,8.123022175,7.402482641,6.349453859,7.148104973,9.100832404,7.743560487,7.681712205,7.031231166,7.031231166,7.166630716,5.367924626,7.706780976,6.073304814,5.819775973,6.760968012,5.099161326,7.110269713,5.626151698,5.929095875,7.306355671,8.748602354,6.159467368,5.549975957,5.465063911,5.367924626,4.727253356,1
SEQ12195,7.881260002,6.74685061,8.599474995,6.494869697,6.865732191,5.867215321,7.02590721,4.727253356,5.396645901,8.610281048,5.665794186,6.208848783,7.536236806,8.370548667,8.026422932,9.143424966,6.331800123,6.725921231,8.1053253,5.953581235,7.8991347,5.772184931,5.064193713,7.709239269,8.208888696,7.416008547,6.208848783,7.570357307,9.011370402,7.729429465,7.581546815,6.884526296,7.168815442,7.559076842,5.064193713,7.440907283,5.994090754,5.994090754,6.704641891,5.543530563,6.240857778,5.474023591,5.953581235,7.364815281,8.995004623,6.544655006,5.607045038,5.308244484,5.064193713,5.202688397,0
SEQ12126,7.663500486,6.687153501,8.505026711,6.578144419,7.075027536,5.936770234,6.9813746,4.727253356,5.028722441,8.947851649,5.619041108,6.458579414,7.822211431,7.880984522,7.902406152,9.516196854,6.539574511,6.924723591,8.043880765,6.032902602,8.100428749,6.063044174,5.152826463,7.984976587,7.814688816,7.278457903,6.325782268,7.395508391,9.007800709,7.776458443,7.576820723,7.100619204,7.198369108,7.465108618,4.727253356,7.022322697,5.751807784,5.326961987,6.651861055,4.727253356,6.175733219,5.396567224,5.936770234,6.819271226,8.892375319,6.253243354,5.936770234,5.028722441,4.727253356,4.727253356,1
SEQ12174,7.884186214,6.742041126,8.44082987,6.336509337,6.963158454,5.512092181,6.890433845,4.727253356,5.065278,8.709706455,5.800187711,6.379532134,7.548981979,8.05017586,8.034022014,9.043994563,6.261052981,6.752484265,8.070112098,6.092979004,8.034022014,6.055994751,4.966545581,7.800435579,8.025875337,7.241483202,6.276546769,7.47225379,9.211897039,7.508196442,7.653998745,6.597806755,7.129196271,7.311484433,5.140777849,7.435349804,5.936378246,5.800187711,6.688500401,5.356097069,6.196859595,5.609803789,5.936378246,7.048764114,8.918595894,6.393529763,5.914980814,5.204211522,4.727253356,5.065278,0
SEQ12135,7.882731237,6.466973454,8.481739502,6.540927897,6.948207145,5.494114607,7.105316796,4.727253356,5.494114607,8.810492732,5.709860452,6.590160237,8.281802904,8.235337914,7.839924362,9.273365256,6.65071768,6.927188833,8.042026838,6.049123258,8.155074139,6.144101083,4.910017491,7.773163136,7.972065793,7.354156433,6.24073316,7.262499879,9.046602956,7.898453755,7.648074101,6.984200643,7.019239821,7.203526786,5.208885505,7.287010599,6.277165178,5.572907871,6.504512695,5.208885505,6.657268808,5.514628102,5.854995822,7.274810429,8.877527055,6.259095415,5.841478871,5.134842832,5.134842832,4.910017491,1
SEQ12145,7.959987029,6.654721265,8.392027151,6.421025027,7.193205994,5.603184021,6.900446309,4.949395521,4.949395521,8.622530755,5.679144834,6.397364067,7.389898283,8.146276826,8.049290637,9.088473169,6.348570207,6.68342778,8.162347566,6.06721609,8.045824795,6.21674447,5.041101026,7.723631726,7.911214789,7.454947622,6.432681356,7.619484438,9.335147324,7.642796279,7.614774842,6.720716042,6.985536537,7.433604418,4.727253356,7.547107315,5.892754059,5.813239835,6.962870365,5.311565179,6.635212755,5.792251724,5.966200148,7.06547799,8.842962178,6.500338073,5.72616885,5.222040709,5.041101026,4.727253356,0
SEQ12136,7.920264961,6.547075164,8.538183885,6.547075164,7.006578963,5.829004354,7.17180393,4.727253356,5.033874452,8.676491236,5.747614095,6.338722975,7.675745688,8.180665543,8.122273853,9.228942879,6.326673148,6.833902846,8.03492339,6.251600231,8.080888582,6.022372513,4.727253356,7.799388502,7.864895576,7.341101429,6.41976997,7.389636722,9.137876725,7.563619814,7.692876992,6.671551833,7.214644002,7.373648532,5.102435049,7.389636722,5.956355623,5.726049083,6.725085326,5.2982353,6.526762983,5.529642404,5.829004354,7.02057661,8.839121225,6.362455025,5.609091034,5.033874452,5.102435049,5.033874452,1
SEQ12142,7.902433402,6.550302284,8.496653357,6.473452229,7.047252514,5.783393986,7.021712552,4.96844144,4.96844144,8.602857036,5.482202266,6.103073254,7.633647322,8.044511794,8.084888795,9.20941689,6.207606153,6.734590888,8.112482596,6.156589294,8.150992666,5.9239084,4.96844144,7.713631684,7.973107634,7.470787615,6.362701023,7.628148245,9.225632856,7.531172552,7.622627356,6.64583077,7.088760289,7.433246636,4.727253356,7.507334142,5.901884019,5.832608369,6.904959848,5.361012319,6.562654015,5.675944124,5.675944124,7.121062953,8.932488397,6.156589294,5.552432376,5.144039146,4.96844144,5.144039146,0
SEQ12168,7.742372238,6.894415669,8.416937328,6.545175454,7.15220534,5.695848802,7.178002469,5.086684207,5.086684207,8.673209566,5.522922858,6.03080378,7.666872224,8.233696462,7.947163048,9.160687296,6.38196567,6.701490894,8.284657176,5.939593944,8.147305273,6.073542681,5.086684207,7.660891818,7.892357391,7.338465923,6.247277308,7.46144765,9.068001704,7.561536517,7.713814563,6.915333814,7.024789645,7.330876404,5.086684207,7.488854438,5.784518727,5.86522578,6.795886775,5.234267791,6.545175454,5.560735504,6.073542681,7.015205301,8.887945142,6.333276111,5.631141208,5.395439142,4.727253356,4.981737112,1
SEQ12125,7.51639771,6.50988301,8.553490106,6.445609945,6.97540434,5.635951717,6.805630137,5.034603152,5.409435614,8.850931389,5.531508494,6.201874511,7.582765379,8.219154727,7.75660652,9.077872405,5.924340634,7.004044193,8.03719554,6.400766561,8.265499154,5.924340634,4.727253356,8.063726864,7.637231183,7.164038317,6.400766561,7.340541522,8.974101342,7.75660652,7.591992495,7.176547949,7.018135116,7.295668507,5.034603152,7.176547949,6.146157539,5.409435614,6.629104927,5.25761459,6.280553278,5.409435614,6.146157539,7.018135116,8.984478082,6.305613225,5.992733368,5.25761459,4.727253356,5.034603152,0
SEQ12156,7.852161785,6.850356319,8.422777465,6.366773065,6.965645705,5.796258484,7.216403504,5.072266532,4.727253356,8.675772088,5.412466525,5.84601773,7.871290714,8.192724601,7.998375775,9.164466151,6.55821906,6.788641112,8.287839459,5.938310258,7.954291951,6.137669015,4.727253356,7.731566629,7.972091089,7.319162479,6.208019387,7.622464779,9.14516236,7.772928621,7.347153126,6.788641112,7.071656833,7.290585999,4.727253356,7.540664034,5.743612773,5.562654397,6.506544411,5.214026914,6.424658333,5.072266532,6.022707601,6.965645705,8.954216649,6.678686505,6.022707601,5.072266532,4.727253356,4.727253356,1
SEQ12157,7.801481231,6.64202445,8.442840705,6.480900484,7.040265964,5.508345203,6.856370628,4.727253356,5.312559233,8.875295134,5.508345203,6.348607261,7.533890023,7.996105676,7.835846783,9.245449341,6.294889774,6.856370628,8.126262152,5.875372063,7.91825441,6.094769515,4.990443843,7.723999903,7.970629731,7.439407335,6.137809859,7.377870637,8.987904279,7.693018208,7.686738538,6.902014022,7.118699166,7.547869434,5.098948395,7.346035553,5.928441363,5.508345203,6.628213139,5.251475857,6.432996111,5.588521758,5.789746216,7.060310423,8.936625449,6.416592667,5.97879209,5.312559233,4.727253356,5.181861874,0
SEQ12170,7.795978991,6.469521249,8.347797821,6.592847767,7.21004011,5.916972468,7.154088043,4.727253356,5.187817042,8.684896356,5.803168835,6.176176963,7.664498883,8.281554062,7.777935658,9.230827623,6.485636506,6.705005815,8.185115089,6.21722764,8.124887943,5.994343295,5.103830939,7.954067679,8.120147344,7.459741882,6.385526729,7.590343964,9.124366553,7.759656958,7.703343221,6.832555236,6.85661643,7.459741882,4.727253356,7.281217854,6.018868889,5.518413821,6.744622445,5.426891235,6.469521249,5.474178462,5.832936411,6.959714918,8.906428169,6.332109068,6.018868889,5.103830939,5.103830939,4.727253356,1
SEQ12158,7.760875284,6.564665244,8.407847444,6.307119192,6.987955154,5.870871175,7.001773154,5.029771638,5.329026967,8.836241478,5.668852211,6.25812462,7.924586278,8.096337148,7.90335336,9.40867098,6.39929331,6.931189539,8.052111213,6.330854813,8.314960448,6.03717416,5.029771638,7.999813386,7.917544147,7.055649273,6.727517596,7.361357578,9.065023527,7.736994181,7.510860684,6.856593576,7.094672749,7.392586558,4.727253356,7.169467139,6.067401627,5.249337422,6.583844746,5.154302249,6.463989661,5.572338748,5.713136903,6.841147911,8.977167589,6.153240029,5.755242665,5.154302249,5.029771638,4.727253356,0
SEQ12175,7.984528405,6.638775241,8.239317373,6.486981946,7.023689988,5.812913283,7.125755532,4.727253356,5.047446203,8.675654902,5.722046222,6.04248525,7.437857224,8.100370517,7.99205349,8.890740049,6.201069689,6.736900334,8.187976883,6.258597862,8.014391073,6.04248525,5.179154659,7.565687252,7.890948682,7.180768763,6.439905815,7.701308973,9.267925039,7.492563479,7.437857224,6.755646735,7.111643115,7.284501587,5.179154659,7.524376313,5.971712833,5.620422881,6.862722141,5.047446203,6.1087494,5.85515144,5.93437966,6.977431444,8.816975118,6.532296382,6.1087494,5.179154659,4.727253356,5.279602885,1
SEQ12197,7.771624454,6.550038354,8.39736046,6.524562697,7.159811189,5.682918386,6.918960089,4.727253356,5.319076414,8.76179337,5.558550351,6.234572961,7.92452307,8.562562467,7.942517694,9.454058711,6.416952563,6.670097929,8.232481928,6.094257431,8.195586567,6.094257431,5.07053304,7.541669411,8.172980083,7.078701124,6.444770323,7.377491757,8.801451794,8.142266519,7.771624454,7.236312457,7.078701124,7.430122564,4.727253356,7.350399416,6.166657977,5.623164784,6.550038354,5.21159248,6.623452766,5.21159248,6.131063243,7.027563702,8.936658486,6.359280509,6.444770323,5.409070582,4.727253356,5.07053304,0
SEQ12159,7.928723061,6.704858365,8.289668392,6.379581973,6.804881939,5.098081344,7.065679189,4.727253356,5.250259578,8.494784247,5.547636486,6.196153738,7.471497261,8.214156308,8.069110927,8.971696117,6.235279978,7.085256616,8.030403418,6.023892402,7.885904704,6.023892402,4.727253356,7.662516768,7.980478785,7.142327507,6.379581973,7.542776646,9.251812489,7.907476644,7.67520694,7.04581019,7.283666251,7.316815712,5.098081344,7.396333761,5.757004129,5.623608416,6.780598798,5.250259578,6.704858365,5.816729533,5.623608416,6.730608166,8.871964889,6.445557105,5.623608416,5.46295515,4.727253356,5.098081344,1
SEQ12153,7.956415945,6.504536576,8.475146894,6.565894121,7.163032181,5.656990878,7.189738685,4.727253356,5.473481893,8.778211128,5.73495557,6.539973254,7.875049099,8.12531434,8.041955447,9.302748644,6.486423971,7.014882682,8.157331036,5.856688095,8.261571753,6.233049344,4.727253356,7.93496769,8.092557455,7.542011499,6.186776868,7.311073906,9.019572474,7.849036309,7.764493749,6.82736967,7.068044169,7.306228615,4.727253356,7.542011499,6.361519738,5.696871628,6.420798439,5.359904394,6.972010351,5.176382381,6.034867311,7.781814904,9.012341749,5.993207387,6.126067106,5.075706157,4.727253356,5.176382381,0
SEQ12171,7.820232043,6.615928533,8.389794615,6.646267004,7.198829351,5.665893979,7.061038534,4.727253356,5.045038438,8.748431815,5.826296938,6.315652411,7.688998309,8.315272331,7.786421083,9.027838503,6.315652411,6.769903718,8.42836357,6.066627566,8.116629478,6.114886257,4.952188001,7.7906923,7.974329964,7.399386751,6.531204145,7.410645725,8.914412011,8.025779966,7.684404498,7.089752475,6.923539875,7.574337206,5.045038438,7.359236672,6.205384795,5.318824345,6.840441654,5.175770019,6.636235722,5.396718275,5.783355762,6.955355775,8.96945548,6.328717193,6.016049324,5.22821154,5.045038438,4.727253356,1
SEQ12152,8.060256282,6.576452655,8.486032503,6.384779483,6.860997314,5.864391635,7.045797422,4.727253356,5.138388163,8.749351897,5.541459657,6.46513453,7.772764872,7.857171491,8.118165797,9.085610065,6.384779483,6.678563453,8.268757035,5.794215836,7.962366083,6.298541599,4.727253356,7.758189604,7.843451466,6.943393758,5.990987936,7.447645283,9.26933851,7.829596123,7.501538773,6.576452655,6.995585846,7.250998694,4.727253356,7.42920227,6.205296334,4.727253356,6.773022139,5.434663634,6.503380951,5.434663634,5.634661483,7.11773546,8.984106547,6.576452655,5.794215836,5.138388163,4.727253356,5.634661483,0
SEQ12203,8.054939492,6.557842479,8.433924394,6.603254245,7.141609808,5.844384846,6.98554631,4.727253356,5.057139683,8.53529974,5.589081437,5.968996656,7.524250437,8.024119918,8.054939492,8.784157497,6.180104282,6.78943282,8.15070566,5.844384846,8.039613687,6.242210702,4.727253356,7.70165449,8.070101007,7.478992145,6.436346725,7.568075602,9.191095252,7.631323259,7.740308118,6.900035139,6.917588562,7.30773206,5.057139683,7.70165449,5.929201544,5.844384846,7.096675487,5.589081437,6.486414399,5.382809844,6.007275382,7.358883663,8.742439929,6.486414399,6.272022369,5.057139683,4.727253356,5.458651935,0
SEQ12173,7.724466662,6.659710656,8.496721317,6.391516004,7.118512046,5.813337773,7.106349052,5.146045155,5.447663372,8.840084399,5.651124475,6.494204059,8.074269325,8.403481112,8.122048939,9.351299581,6.325342158,6.836261221,8.098360651,6.127480378,8.133746188,5.849670503,4.727253356,7.73223356,7.967038993,7.130565753,6.325342158,7.351491656,9.099189014,7.843846945,7.652549872,6.964679412,7.118512046,7.487296873,5.239277716,7.610932683,6.255157326,5.386010845,6.532951773,5.239277716,6.551874641,5.556325472,6.042989115,7.267384074,8.912756985,6.279033598,6.013244272,5.239277716,4.727253356,5.146045155,1
SEQ12151,7.792230274,6.515310025,8.334000789,6.791369823,6.860362265,5.495732787,7.018400925,5.174407188,5.174407188,8.653329151,5.495732787,5.883830924,7.592297702,7.952134359,8.149327698,8.802227544,6.470332153,6.893530182,8.213590304,6.157006601,7.952134359,5.959283835,4.727253356,7.722793589,7.757942342,7.532391817,6.2155669,7.532391817,9.074194707,7.775191192,7.740478341,7.186133113,7.511833569,7.404183833,4.727253356,7.57261509,6.2155669,5.959283835,6.718466058,5.357143627,6.271209336,5.495732787,5.61125086,7.104890987,8.921871836,6.157006601,5.495732787,5.61125086,4.727253356,5.174407188,0
SEQ12172,7.713127262,6.341488177,8.516557855,6.465491478,6.86484641,5.723166364,6.738933257,4.727253356,5.047819406,8.803050872,5.504653446,6.367352028,7.979696341,8.21026808,7.810574297,9.368986494,6.441703554,6.84759297,8.053615575,6.341488177,8.123862369,5.723166364,5.047819406,7.740383476,8.060799246,7.235992398,6.465491478,7.155860021,8.933165379,7.784662997,7.516374304,7.128055089,7.169549996,7.311652639,5.364511873,7.274348373,6.043925938,5.769805946,6.392658033,5.28024153,6.441703554,5.723166364,6.043925938,6.979634737,8.857341987,6.172714574,6.141932459,5.17967925,5.17967925,5.17967925,1
