,PLOD1,LCE1E,MFSD9,SNX18,UBQLN1,S1PR3,MINPP1,ZNF143,DHCR7,KRTAP3-2,CTSA,Diagnosis
SEQ12150,8.092073567,4.727253356,6.906265466,8.035429349,8.061854937,6.113789898,7.666529588,8.022028989,7.507472095,4.727253356,6.419378619,0
SEQ12165,7.676543614,4.727253356,7.038633051,8.199943136,8.159611968,6.113932575,7.709107218,8.069118973,7.267506027,4.727253356,6.363769211,0
SEQ12132,7.871069593,5.226394268,7.121042458,8.19951622,8.092594614,6.011616876,7.558858878,8.092594614,7.252192545,5.081074847,6.674522005,1
SEQ12149,7.87169078,4.727253356,7.207655178,8.073939773,7.87169078,6.250292252,7.689478064,7.947294711,7.280954195,4.727253356,6.53467751,1
SEQ12133,7.873682524,5.053505172,7.204820852,8.142926027,8.048805514,6.054199565,7.786258783,7.848022024,7.204820852,4.915882163,6.385046403,0
SEQ12140,7.997455042,5.251774544,7.148104973,7.76755374,8.095018371,6.073304814,7.402482641,8.123022175,7.402482641,4.727253356,6.159467368,1
SEQ12195,7.881260002,5.064193713,6.865732191,8.370548667,7.8991347,5.772184931,7.709239269,8.208888696,7.416008547,5.064193713,6.544655006,0
SEQ12126,7.663500486,5.152826463,7.075027536,7.880984522,8.100428749,6.063044174,7.984976587,7.814688816,7.278457903,5.028722441,6.253243354,1
SEQ12174,7.884186214,5.140777849,6.963158454,8.05017586,8.034022014,6.055994751,7.800435579,8.025875337,7.241483202,4.727253356,6.393529763,0
SEQ12135,7.882731237,5.092053459,6.948207145,8.235337914,8.155074139,6.144101083,7.773163136,7.972065793,7.354156433,4.910017491,6.259095415,1
SEQ12145,7.959987029,4.727253356,7.193205994,8.146276826,8.045824795,6.21674447,7.723631726,7.911214789,7.454947622,4.727253356,6.500338073,0
SEQ12136,7.920264961,4.727253356,7.006578963,8.180665543,8.080888582,6.022372513,7.799388502,7.864895576,7.341101429,4.944270843,6.362455025,1
SEQ12142,7.902433402,4.96844144,7.047252514,8.044511794,8.150992666,5.9239084,7.713631684,7.973107634,7.470787615,4.96844144,6.156589294,0
