,AC093525.8,AC131649.2,Diagnosis
RNA1_FPKM,29.36119271,0.107378614,0
RNA102_FPKM,41.05022154,0.101867437,1
RNA104_FPKM,31.386946,0.166766036,0
RNA108_FPKM,43.56102197,0.072453934,0
RNA110_FPKM,18.02329871,0.033836292,0
RNA114_FPKM,14.33860195,0.06304518,0
RNA115_FPKM,5.113508311,0.0,0
RNA116_FPKM,8.941569814,0.107420447,0
RNA126_FPKM,15.06169837,0.271044348,0
RNA132_FPKM,19.96760252,0.177025429,0
RNA140_FPKM,17.00228345,0.051575246,1
RNA145_FPKM,31.51508053,0.0,0
RNA150_FPKM,35.38335149,0.1457818,1
RNA151_FPKM,19.24010786,0.08169964,0
RNA152_FPKM,23.49546172,0.0,0
RNA155_FPKM,29.47270997,0.017610065,0
RNA165_FPKM,39.33765024,0.316613743,0
RNA174_FPKM,34.97966261,0.27116065,1
RNA179_FPKM,47.43057583,0.12951414,0
RNA18_FPKM,12.93162796,0.29644641,1
RNA185_FPKM,33.72542678,0.052924176,1
RNA2_FPKM,31.69301751,0.162084576,0
RNA201_FPKM,12.94328001,0.073282276,1
RNA205_FPKM,18.38516465,0.037306835,0
RNA209_FPKM,38.99738645,0.156150601,0
RNA213_FPKM,25.07994093,0.14138576,0
RNA219_FPKM,28.504612,0.128621609,0
RNA23_FPKM,22.80339728,0.251987349,1
RNA246_FPKM,49.04388535,0.206590201,1
RNA253_FPKM,33.84815671,0.091370716,1
RNA26_FPKM,14.36456272,0.250910104,0
RNA277_FPKM,24.25243845,0.065662801,0
RNA288_FPKM,20.75991357,0.136431108,0
RNA29_FPKM,12.33882877,0.165786222,0
RNA295_FPKM,36.52076073,0.045254838,0
RNA3_FPKM,28.57450758,0.063821507,0
RNA302_FPKM,33.31663487,0.152092981,0
RNA303_FPKM,18.33531219,0.050848618,1
RNA31_FPKM,16.85544826,0.018741489,1
RNA314_FPKM,17.26606256,0.042603777,1
RNA319_FPKM,21.22907824,0.086499947,0
RNA32_FPKM,24.30470424,0.112014441,1
RNA328_FPKM,34.86286625,0.053781902,0
RNA331_FPKM,15.28817129,0.125763367,0
RNA334_FPKM,10.85111486,0.015541576,0
RNA335_FPKM,13.09578026,0.142124129,1
RNA336_FPKM,24.04136052,0.035361143,0
RNA35_FPKM,17.32295701,0.050038539,0
RNA358_FPKM,17.58303048,0.134011429,0
RNA365_FPKM,17.44083238,0.201072277,0
RNA368_FPKM,13.813464,0.085932886,0
RNA37_FPKM,19.67370017,0.054062295,0
RNA379_FPKM,23.13287112,0.225605025,1
RNA38_FPKM,24.39731542,0.050287815,0
RNA383_FPKM,27.09046163,0.127684348,0
RNA385_FPKM,25.64901245,0.155328979,1
RNA386_FPKM,22.00954061,0.099311255,0
RNA39_FPKM,19.79717029,0.074343265,1
RNA392_FPKM,22.93394177,0.123817725,0
RNA409_FPKM,18.61602691,0.20028321,0
RNA41_FPKM,16.49865106,0.0,0
RNA418_FPKM,17.37531488,0.053230782,0
RNA431_FPKM,33.85307789,0.07453044,1
RNA44_FPKM,21.39318346,0.199283287,1
RNA442_FPKM,13.09012373,0.071619119,0
RNA454_FPKM,26.49369049,0.044365367,0
RNA457_FPKM,27.40818804,0.181539496,0
RNA466_FPKM,33.52915899,0.091485424,0
